 INPUT STRING:	الان
 INPUT STRING:	والداخليه
     IS_TRANS:	wAldAxlyh
        INDEX:	P1W6
      OFFSETS:	28-37
       TOKENS:	P1W7-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAxoliy~ap_1]
   UNSPLITVOC:	(wiAldAxoliy~ap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+dAxoliy~+ap
        GLOSS:	and+the+interior/of state+[fem.sg.]

 INPUT STRING:	ترسل
     IS_TRANS:	trsl
        INDEX:	P1W7
      OFFSETS:	38-42
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>arosal_1]
   UNSPLITVOC:	(tirosil)
          POS:	IV3FS+IV
          VOC:	ti+rosil
        GLOSS:	it/they/she+send

 INPUT STRING:	تشكيلات
     IS_TRANS:	t$kylAt
        INDEX:	P1W8
      OFFSETS:	43-50
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta$okiylap_1]
   UNSPLITVOC:	(ta$okiylAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	ta$okiyl+At
        GLOSS:	assortment/group+[fem.pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W9
      OFFSETS:	51-53
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الامن
     IS_TRANS:	AlAmn
        INDEX:	P1W10
      OFFSETS:	54-59
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(Al>amon)
          POS:	DET+NOUN
          VOC:	Al+>amon
        GLOSS:	the+security/safety

 INPUT STRING:	المركزى
     IS_TRANS:	AlmrkzY
        INDEX:	P1W11
      OFFSETS:	60-67
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[marokaziy_1]
   UNSPLITVOC:	(Almarokaziy)
          POS:	DET+ADJ
          VOC:	Al+marokaziy
        GLOSS:	the+central

 INPUT STRING:	لحماية
     IS_TRANS:	lHmAyp
        INDEX:	P1W12
      OFFSETS:	68-74
       TOKENS:	P1W14-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HimAyap_1]
   UNSPLITVOC:	(liHimAyap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+HimAy+ap
        GLOSS:	for/to+protection/protecting+[fem.sg.]

 INPUT STRING:	رئيس
     IS_TRANS:	r}ys
        INDEX:	P1W13
      OFFSETS:	75-79
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iys)
          POS:	NOUN
          VOC:	ra}iys
        GLOSS:	president/head/chairman

 INPUT STRING:	مجلس
     IS_TRANS:	mjls
        INDEX:	P1W14
      OFFSETS:	80-84
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(majolis)
          POS:	NOUN
          VOC:	majolis
        GLOSS:	council/board/Majlis

 INPUT STRING:	البط
     IS_TRANS:	AlbT
        INDEX:	P1W15
      OFFSETS:	85-89
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baT~_1]
   UNSPLITVOC:	(AlbaT~)
          POS:	DET+NOUN
          VOC:	Al+baT~
        GLOSS:	the+duck

 INPUT STRING:	العسكرى
     IS_TRANS:	AlEskrY
        INDEX:	P1W16
      OFFSETS:	90-97
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+military/army

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P2W1
      OFFSETS:	0-2
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P2W2
      OFFSETS:	3-5
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	لحماية
     IS_TRANS:	lHmAyp
        INDEX:	P2W3
      OFFSETS:	6-12
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HimAyap_1]
   UNSPLITVOC:	(liHimAyap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+HimAy+ap
        GLOSS:	for/to+protection/protecting+[fem.sg.]

 INPUT STRING:	توفيق
     IS_TRANS:	twfyq
        INDEX:	P2W4
      OFFSETS:	13-18
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawfiyq_1]
   UNSPLITVOC:	(tawfiyq)
          POS:	NOUN_PROP
          VOC:	tawfiyq
        GLOSS:	Tawfiq

 INPUT STRING:	كنافه
     IS_TRANS:	knAfh
        INDEX:	P2W5
      OFFSETS:	19-24
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kunAfap_1]
   UNSPLITVOC:	(kunAfap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	kunAf+ap
        GLOSS:	Konafah+[fem.sg.]

 INPUT STRING:	طب
     IS_TRANS:	Tb
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab_1]
   UNSPLITVOC:	(Tab)
          POS:	INTERJ
          VOC:	Tab
        GLOSS:	ok

 INPUT STRING:	ماهو
     IS_TRANS:	mAhw
        INDEX:	P3W2
      OFFSETS:	3-7
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAhw)
          POS:	NO_FUNC
          VOC:	mAhw
        GLOSS:	nogloss

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P3W3
      OFFSETS:	8-10
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	امن
     IS_TRANS:	Amn
        INDEX:	P3W4
      OFFSETS:	11-14
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(>amon)
          POS:	NOUN
          VOC:	>amon
        GLOSS:	security/safety

 INPUT STRING:	اهو
     IS_TRANS:	Ahw
        INDEX:	P3W5
      OFFSETS:	15-18
       TOKENS:	P3W5-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(>ahuw~a)
          POS:	DEM_PRON+PRON_3MS
          VOC:	>a+huw~a
        GLOSS:	this+he

 INPUT STRING:	بيحمى
     IS_TRANS:	byHmY
        INDEX:	P3W6
      OFFSETS:	19-24
       TOKENS:	P3W7-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamay_1]
   UNSPLITVOC:	(biyiHomiy)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+Homiy
        GLOSS:	[present-tense]+he/it+protect

 INPUT STRING:	مطبلطية
     IS_TRANS:	mTblTyp
        INDEX:	P3W7
      OFFSETS:	25-32
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mTblTyp)
          POS:	TYPO
          VOC:	mTblTyp
        GLOSS:	nogloss

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P3W8
      OFFSETS:	33-39
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	العسكرى
     IS_TRANS:	AlEskrY
        INDEX:	P3W9
      OFFSETS:	40-47
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+military/army

 INPUT STRING:	الي
     IS_TRANS:	Aly
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to

 INPUT STRING:	السيد
     IS_TRANS:	Alsyd
        INDEX:	P4W2
      OFFSETS:	4-9
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~id_1]
   UNSPLITVOC:	(Als~ay~id)
          POS:	DET+NOUN
          VOC:	Al+say~id
        GLOSS:	the+Sir/Mr./Mister/Sirs/Messrs./gentlement

 INPUT STRING:	وزير
     IS_TRANS:	wzyr
        INDEX:	P4W3
      OFFSETS:	10-14
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waziyr_1]
   UNSPLITVOC:	(waziyr)
          POS:	NOUN
          VOC:	waziyr
        GLOSS:	minister

 INPUT STRING:	الداخليه
     IS_TRANS:	AldAxlyh
        INDEX:	P4W4
      OFFSETS:	15-23
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AldAxiliy~_1]
   UNSPLITVOC:	(AldAxiliy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+dAxiliy~+ap
        GLOSS:	the+internal/domestic+[fem.sg.]

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P4W5
      OFFSETS:	24-25
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	شكرا
     IS_TRANS:	$krA
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ukor_1]
   UNSPLITVOC:	($ukorAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	$ukor+AF
        GLOSS:	thank you/thanks+[acc.indef.]

 INPUT STRING:	لتأمينك
     IS_TRANS:	lt>mynk
        INDEX:	P5W2
      OFFSETS:	5-12
       TOKENS:	P5W2-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ta>miyn_1]
   UNSPLITVOC:	(lita>miynak)
          POS:	PREP+NOUN.VN+POSS_PRON_2MS
          VOC:	li+ta>miyn+ak
        GLOSS:	for/to+insurance/guarantee+your

 INPUT STRING:	المتحدث
     IS_TRANS:	AlmtHdv
        INDEX:	P5W3
      OFFSETS:	13-20
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutaHad~iv_1]
   UNSPLITVOC:	(AlmutaHad~iv)
          POS:	DET+NOUN
          VOC:	Al+mutaHad~iv
        GLOSS:	the+spokesman/speaker

 INPUT STRING:	الرسمى
     IS_TRANS:	AlrsmY
        INDEX:	P5W4
      OFFSETS:	21-27
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rasomiy_1]
   UNSPLITVOC:	(Alr~asomiy)
          POS:	DET+ADJ
          VOC:	Al+rasomiy
        GLOSS:	the+official

 INPUT STRING:	للمجلس
     IS_TRANS:	llmjls
        INDEX:	P5W5
      OFFSETS:	28-34
       TOKENS:	P5W7-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(lilmajolis)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+majolis
        GLOSS:	for/to+the+council/board/Majlis

 INPUT STRING:	العسكرى
     IS_TRANS:	AlEskrY
        INDEX:	P5W6
      OFFSETS:	35-42
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+military/army

 INPUT STRING:	بقوة
     IS_TRANS:	bqwp
        INDEX:	P5W7
      OFFSETS:	43-47
       TOKENS:	P5W10-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(biquw~ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+quw~+ap
        GLOSS:	with/by+power/strength/force/violence/armed forces/power/forces+[fem.sg.]

 INPUT STRING:	كبيره
     IS_TRANS:	kbyrh
        INDEX:	P5W8
      OFFSETS:	48-53
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(kibiyrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kibiyr+ap
        GLOSS:	large/great+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W9
      OFFSETS:	54-56
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الامن
     IS_TRANS:	AlAmn
        INDEX:	P5W10
      OFFSETS:	57-62
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(Al>amon)
          POS:	DET+NOUN
          VOC:	Al+>amon
        GLOSS:	the+security/safety

 INPUT STRING:	المركزي
     IS_TRANS:	Almrkzy
        INDEX:	P5W11
      OFFSETS:	63-70
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[marokaziy_1]
   UNSPLITVOC:	(Almarokaziy)
          POS:	DET+ADJ
          VOC:	Al+marokaziy
        GLOSS:	the+central

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W12
      OFFSETS:	71-72
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W13
      OFFSETS:	72-73
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P6W1
      OFFSETS:	0-1
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	تركك
     IS_TRANS:	trkk
        INDEX:	P6W2
      OFFSETS:	2-6
       TOKENS:	P6W2-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tarok_1]
   UNSPLITVOC:	(tarokak)
          POS:	NOUN.VN+POSS_PRON_2MS
          VOC:	tarok+ak
        GLOSS:	leaving+your

 INPUT STRING:	لشباب
     IS_TRANS:	l$bAb
        INDEX:	P6W3
      OFFSETS:	7-12
       TOKENS:	P6W4-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	(li$abAb)
          POS:	PREP+NOUN
          VOC:	li+$abAb
        GLOSS:	for/to+young man/young men

 INPUT STRING:	اولتراس
     IS_TRANS:	AwltrAs
        INDEX:	P6W4
      OFFSETS:	13-20
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>altrAs_1]
   UNSPLITVOC:	(>altrAs)
          POS:	NOUN_PROP
          VOC:	>altrAs
        GLOSS:	Ultras

 INPUT STRING:	اهلاوي
     IS_TRANS:	AhlAwy
        INDEX:	P6W5
      OFFSETS:	21-27
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ahal_1]
   UNSPLITVOC:	(>ahAliy)
          POS:	NOUN
          VOC:	>ahAliy
        GLOSS:	families

 INPUT STRING:	يُذبحون
     IS_TRANS:	yu*bHwn
        INDEX:	P6W6
      OFFSETS:	28-35
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*abaH_1]
   UNSPLITVOC:	(yu*baHuwn)
          POS:	IV3P+IV_PASS+IVSUFF_SUBJ:P
          VOC:	yu+*baH+uwn
        GLOSS:	they+be slaughter/be massacred/be sacrificed+[masc.pl.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P6W7
      OFFSETS:	36-37
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	يُقتلون
     IS_TRANS:	yuqtlwn
        INDEX:	P6W8
      OFFSETS:	38-45
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qatal_1]
   UNSPLITVOC:	(yuqtaluwn)
          POS:	IV3P+IV_PASS+IVSUFF_SUBJ:P
          VOC:	yu+qtal+uwn
        GLOSS:	they+be killed+[masc.pl.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P6W9
      OFFSETS:	46-47
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	يُشنقون
     IS_TRANS:	yu$nqwn
        INDEX:	P6W10
      OFFSETS:	48-55
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$anaq_1]
   UNSPLITVOC:	(yu$naquwn)
          POS:	IV3P+IV_PASS+IVSUFF_SUBJ:P
          VOC:	yu+$naq+uwn
        GLOSS:	they+hang (execute)+[masc.pl.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P6W11
      OFFSETS:	56-57
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	يُقذفون
     IS_TRANS:	yuq*fwn
        INDEX:	P6W12
      OFFSETS:	58-65
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qa*af_1]
   UNSPLITVOC:	(yuq*afuwn)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yu+q*af+uwn
        GLOSS:	they+throw/pelt/slander+[masc.pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P6W13
      OFFSETS:	66-68
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اعلي
     IS_TRANS:	AEly
        INDEX:	P6W14
      OFFSETS:	69-73
       TOKENS:	P6W16-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolaY_1]
   UNSPLITVOC:	(>aEolaY)
          POS:	ADJ_COMP
          VOC:	>aEolaY
        GLOSS:	higher/supreme

 INPUT STRING:	المدرجات
     IS_TRANS:	AlmdrjAt
        INDEX:	P6W15
      OFFSETS:	74-82
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mudar~j_2]
   UNSPLITVOC:	(Almudar~jAt)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mudar~j+At
        GLOSS:	the+NOT_IN_LEXICOamphitheater/bleachersN+[fem.sg.]

 INPUT STRING:	علنا
     IS_TRANS:	ElnA
        INDEX:	P6W16
      OFFSETS:	83-87
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ealan_1]
   UNSPLITVOC:	(EalanAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	Ealan+AF
        GLOSS:	open/public+[acc.indef.]

 INPUT STRING:	امام
     IS_TRANS:	AmAm
        INDEX:	P6W17
      OFFSETS:	88-92
       TOKENS:	P6W19-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
