 INPUT STRING:	سلاموا
        INDEX:	P4W4
      OFFSETS:	14-20
       TOKENS:	P4W6-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tiwiyt_1]
   UNSPLITVOC:	(biyitiwiyt)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+tiwiyt
        GLOSS:	[present-tense]+he/it+send a massage via twitter

 INPUT STRING:	مباشر
     IS_TRANS:	mbA$r
        INDEX:	P4W5
      OFFSETS:	21-26
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubA$ir_1]
   UNSPLITVOC:	(mubA$ir)
          POS:	ADJ
          VOC:	mubA$ir
        GLOSS:	direct/immediate

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W6
      OFFSETS:	27-29
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مكان
     IS_TRANS:	mkAn
        INDEX:	P4W7
      OFFSETS:	30-34
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(makAn)
          POS:	NOUN
          VOC:	makAn
        GLOSS:	place/location/position

 INPUT STRING:	الحدث
     IS_TRANS:	AlHdv
        INDEX:	P4W8
      OFFSETS:	35-40
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(AlHadav)
          POS:	DET+NOUN
          VOC:	Al+Hadav
        GLOSS:	the+incident/event

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P4W9
      OFFSETS:	41-45
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	ADV
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	هانقلكوا
     IS_TRANS:	hAnqlkwA
        INDEX:	P5W2
      OFFSETS:	4-12
       TOKENS:	P5W2-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naqal_1]
   UNSPLITVOC:	(hanoqil_lukuw)
          POS:	FUT_PART+IV1S+IV+PREP+PRON_2P
          VOC:	ha+>a+noqil+li+kuw
        GLOSS:	will+I+transfer/transport/transmit/translate+for/to+you [pl.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P5W3
      OFFSETS:	13-17
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	كتبه
     IS_TRANS:	ktbh
        INDEX:	P5W4
      OFFSETS:	18-22
       TOKENS:	P5W7-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(katab()uh)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3MS
          VOC:	katab+(null)+uh
        GLOSS:	write+he/it [verb]+him/it

 INPUT STRING:	اهو
     IS_TRANS:	Ahw
        INDEX:	P5W5
      OFFSETS:	23-26
       TOKENS:	P5W9-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(>ahuw~a)
          POS:	DEM_PRON+PRON_3MS
          VOC:	>a+huw~a
        GLOSS:	this+he/it

 INPUT STRING:	ممنوع
     IS_TRANS:	mmnwE
        INDEX:	P6W1
      OFFSETS:	0-5
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mamonuwE_1]
   UNSPLITVOC:	(mamonuwE)
          POS:	ADJ
          VOC:	mamonuwE
        GLOSS:	prohibited/banned

 INPUT STRING:	نقل
     IS_TRANS:	nql
        INDEX:	P6W2
      OFFSETS:	6-9
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naqol_1]
   UNSPLITVOC:	(naqol)
          POS:	NOUN
          VOC:	naqol
        GLOSS:	transmission/relaying

 INPUT STRING:	تعليقات
     IS_TRANS:	tElyqAt
        INDEX:	P6W3
      OFFSETS:	10-17
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEoliyq_1]
   UNSPLITVOC:	(taEoliyqAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	taEoliyq+At
        GLOSS:	comments/remarks+[fem.pl.]

 INPUT STRING:	منو
     IS_TRANS:	mnw
        INDEX:	P6W4
      OFFSETS:	18-21
       TOKENS:	P6W4-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~uh)
          POS:	PREP+PRON_3MS
          VOC:	min+uh
        GLOSS:	from+him/it

 INPUT STRING:	تويتر
     IS_TRANS:	twytr
        INDEX:	P6W5
      OFFSETS:	22-27
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(twytr)
          POS:	FOREIGN
          VOC:	twytr
        GLOSS:	twitter

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P6W6
      OFFSETS:	28-30
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	الفيس
     IS_TRANS:	Alfys
        INDEX:	P6W7
      OFFSETS:	31-36
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiys_1]
   UNSPLITVOC:	(Alfiys)
          POS:	DET+FOREIGN
          VOC:	Al+fiys
        GLOSS:	the+facebook

 INPUT STRING:	الادره
     IS_TRANS:	AlAdrh
        INDEX:	P7W1
      OFFSETS:	0-6
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<idArap_1]
   UNSPLITVOC:	(Al<idArap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+<idAr+ap
        GLOSS:	the+administration/management/bureau+[fem.sg.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	حصل
     IS_TRANS:	HSl
        INDEX:	P8W2
      OFFSETS:	5-8
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_2]
   UNSPLITVOC:	(HaSal)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	HaSal+(null)
        GLOSS:	occur/happen/take place+he/it [verb]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P8W3
      OFFSETS:	9-11
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مؤتمر
     IS_TRANS:	m&tmr
        INDEX:	P8W4
      OFFSETS:	12-17
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu&otamar_1]
   UNSPLITVOC:	(mu&otamar)
          POS:	NOUN
          VOC:	mu&otamar
        GLOSS:	conference/convention

 INPUT STRING:	عمرو
     IS_TRANS:	Emrw
        INDEX:	P8W5
      OFFSETS:	18-22
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamorw_1]
   UNSPLITVOC:	(Eamorw)
          POS:	NOUN_PROP
          VOC:	Eamorw
        GLOSS:	Amr

 INPUT STRING:	موسى
     IS_TRANS:	mwsY
        INDEX:	P8W6
      OFFSETS:	23-27
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwsaY_1]
   UNSPLITVOC:	(muwsaY)
          POS:	NOUN_PROP
          VOC:	muwsaY
        GLOSS:	Mousa/Moussa

 INPUT STRING:	كالاتى
     IS_TRANS:	kAlAtY
        INDEX:	P8W7
      OFFSETS:	28-34
       TOKENS:	P8W7-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|tiy_1]
   UNSPLITVOC:	(kaAl|tiy)
          POS:	PREP+DET+ADJ
          VOC:	ka+Al+|tiy
        GLOSS:	like/such as+the+coming/following

 INPUT STRING:	الراجل
     IS_TRANS:	AlrAjl
        INDEX:	P9W1
      OFFSETS:	0-6
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjil_1]
   UNSPLITVOC:	(Alr~Ajil)
          POS:	DET+NOUN
          VOC:	Al+rAjil
        GLOSS:	the+man

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P9W2
      OFFSETS:	7-10
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P9W3
      OFFSETS:	11-13
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	يجيى
     IS_TRANS:	yjyY
        INDEX:	P9W4
      OFFSETS:	14-18
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(yijiy)
          POS:	IV3MS+IV
          VOC:	yi+jiy
        GLOSS:	he/it+arrive/come/occur

 INPUT STRING:	لقينا
     IS_TRANS:	lqynA
        INDEX:	P9W5
      OFFSETS:	19-24
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laqaY_1]
   UNSPLITVOC:	(laqaynA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	laq+aynA
        GLOSS:	meet/encounter/find+we [verb]

 INPUT STRING:	5
     IS_TRANS:	5
        INDEX:	P9W6
      OFFSETS:	25-26
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(5)
          POS:	NOUN_NUM
          VOC:	5
        GLOSS:	5

 INPUT STRING:	أتوبيسات
     IS_TRANS:	>twbysAt
        INDEX:	P9W7
      OFFSETS:	27-35
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uwtuwbiys_1]
   UNSPLITVOC:	(>utuwbiysAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	>utuwbiys+At
        GLOSS:	buses+[fem.pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W8
      OFFSETS:	36-38
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الإسماعيليه
     IS_TRANS:	Al<smAEylyh
        INDEX:	P9W9
      OFFSETS:	39-50
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisomAEiyliy~ap_1]
   UNSPLITVOC:	(AlAisomAEiyliy~ap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+AisomAEiyliy~+ap
        GLOSS:	the+Ismailia+[fem.sg.]

 INPUT STRING:	منزلين
     IS_TRANS:	mnzlyn
        INDEX:	P9W10
      OFFSETS:	51-57
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[minaz~il_1]
   UNSPLITVOC:	(minaz~iliyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	minaz~il+iyn
        GLOSS:	lowering/unloading+[masc.pl.]

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P9W11
      OFFSETS:	58-61
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	معاهم
     IS_TRANS:	mEAhm
        INDEX:	P9W12
      OFFSETS:	62-67
       TOKENS:	P9W12-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	maEa+hum
        GLOSS:	something with+their

 INPUT STRING:	طبله
     IS_TRANS:	Tblh
        INDEX:	P9W13
      OFFSETS:	68-72
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tabolap_1]
   UNSPLITVOC:	(Tabolap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Tabol+ap
        GLOSS:	drum+[fem.sg.]

 INPUT STRING:	ورق
     IS_TRANS:	wrq
        INDEX:	P9W14
      OFFSETS:	73-76
       TOKENS:	P9W15-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riq~_1]
   UNSPLITVOC:	(wiriq~)
          POS:	CONJ+NOUN
          VOC:	wi+riq~
        GLOSS:	and+drum

 INPUT STRING:	وبيقولوا
     IS_TRANS:	wbyqwlwA
        INDEX:	P10W1
      OFFSETS:	0-8
       TOKENS:	P10W1-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wibiyiquwluwA)
          POS:	CONJ+PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+bi+yi+quwl+uwA
        GLOSS:	and+[present-tense]+they+say+[pl.]

 INPUT STRING:	أسمعلاوى
     IS_TRANS:	>smElAwY
        INDEX:	P10W2
      OFFSETS:	9-17
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<isomAEolAwiy_1]
   UNSPLITVOC:	(<isomAEolAwiy)
          POS:	ADJ
          VOC:	<isomAEolAwiy
        GLOSS:	from/of Ismailia

 INPUT STRING:	دخلوا
     IS_TRANS:	dxlwA
        INDEX:	P11W1
      OFFSETS:	0-5
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(daxaluwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	daxal+uwA
        GLOSS:	enter+they [verb]

 INPUT STRING:	وقعدوا
     IS_TRANS:	wqEdwA
        INDEX:	P11W2
      OFFSETS:	6-12
       TOKENS:	P11W2-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaEad_1]
   UNSPLITVOC:	(wiqaEaduwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	wi+qaEad+uwA
        GLOSS:	and+sit down/be seated/remain+they [verb]

 INPUT STRING:	يهتفوا
     IS_TRANS:	yhtfwA
        INDEX:	P11W3
      OFFSETS:	13-19
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hataf_1]
   UNSPLITVOC:	(yihotifuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+hotif+uwA
        GLOSS:	they (people)+call/shout/cheer+[pl.]

 INPUT STRING:	ويطبلوا
     IS_TRANS:	wyTblwA
        INDEX:	P12W1
      OFFSETS:	0-7
       TOKENS:	P12W1-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab~il_1]
   UNSPLITVOC:	(wiyiTab~iluwA)
          POS:	CONJ+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+yi+Tab~il+uwA
        GLOSS:	and+they (people)+beat a drum/make propaganda+[pl.]

 INPUT STRING:	ويرقصوا
     IS_TRANS:	wyrqSwA
        INDEX:	P12W2
      OFFSETS:	8-15
       TOKENS:	P12W3-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raqaS_1]
   UNSPLITVOC:	(wiyiroquSuwA)
          POS:	CONJ+IV3P+IV+IVSUFF_SUBJ:P
