 INPUT STRING:	ستار
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jadiyd_1]
   UNSPLITVOC:	(jadiyd)
          POS:	ADJ
          VOC:	jadiyd
        GLOSS:	new/modern

 INPUT STRING:	بسم
     IS_TRANS:	bsm
        INDEX:	P2W1
      OFFSETS:	1-4
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sim~_1]
   UNSPLITVOC:	(bisim~)
          POS:	PREP+NOUN
          VOC:	bi+sim~
        GLOSS:	in/by+(the) Name of

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P2W2
      OFFSETS:	5-9
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	الرحمن
     IS_TRANS:	AlrHmn
        INDEX:	P2W3
      OFFSETS:	10-16
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHoman_1]
   UNSPLITVOC:	(Alr~aHoman)
          POS:	DET+NOUN_PROP
          VOC:	Al+raHoman
        GLOSS:	the+Rahman

 INPUT STRING:	الرحيم
     IS_TRANS:	AlrHym
        INDEX:	P2W4
      OFFSETS:	17-23
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHiym_1]
   UNSPLITVOC:	(Alr~aHiym)
          POS:	DET+NOUN_PROP
          VOC:	Al+raHiym
        GLOSS:	the+Rahim

 INPUT STRING:	بالصدفه
     IS_TRANS:	bAlSdfh
        INDEX:	P3W1
      OFFSETS:	1-8
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sudofap_1]
   UNSPLITVOC:	(biAlS~udofap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+Sudof+ap
        GLOSS:	with/by+the+by coincidence/by chance+[fem.sg.]

 INPUT STRING:	كالعاده
     IS_TRANS:	kAlEAdh
        INDEX:	P3W2
      OFFSETS:	9-16
       TOKENS:	P3W3-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdap_1]
   UNSPLITVOC:	(kaAlEAdap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	ka+Al+EAd+ap
        GLOSS:	like/such+the+usually/typically/generally+[fem.sg.]

 INPUT STRING:	وعلشان
     IS_TRANS:	wEl$An
        INDEX:	P3W3
      OFFSETS:	17-23
       TOKENS:	P3W5-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(wiEala$a>on)
          POS:	CONJ+PREP+NOUN
          VOC:	wi+EalaY+$a>on
        GLOSS:	and+on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	يتسمم
     IS_TRANS:	ytsmm
        INDEX:	P3W4
      OFFSETS:	24-29
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tasam~am_1]
   UNSPLITVOC:	(yatsam~am)
          POS:	IV3MS+IV
          VOC:	ya+tsam~am
        GLOSS:	he/it+be poisoned

 INPUT STRING:	بدني
     IS_TRANS:	bdny
        INDEX:	P3W5
      OFFSETS:	30-34
       TOKENS:	P3W9-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[badan_1]
   UNSPLITVOC:	(badaniy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	badan+iy
        GLOSS:	body+my

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P3W6
      OFFSETS:	35-39
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	also/more

 INPUT STRING:	وكمان
     IS_TRANS:	wkmAn
        INDEX:	P3W7
      OFFSETS:	40-45
       TOKENS:	P3W12-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(wikamAn)
          POS:	CONJ+ADV
          VOC:	wi+kamAn
        GLOSS:	and+also/more

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P3W8
      OFFSETS:	46-47
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P3W9
      OFFSETS:	48-51
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be+I

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W10
      OFFSETS:	52-54
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	منتدى
     IS_TRANS:	mntdY
        INDEX:	P3W11
      OFFSETS:	55-60
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munotaday_1]
   UNSPLITVOC:	(munotadaY)
          POS:	NOUN
          VOC:	munotadaY
        GLOSS:	conference/fair/assembly

 INPUT STRING:	داونلود
     IS_TRANS:	dAwnlwd
        INDEX:	P3W12
      OFFSETS:	61-68
       TOKENS:	P3W18-P3W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(dAwnlwd)
          POS:	FOREIGN
          VOC:	dAwnlwd
        GLOSS:	nogloss

 INPUT STRING:	ولقيت
     IS_TRANS:	wlqyt
        INDEX:	P3W13
      OFFSETS:	69-74
       TOKENS:	P3W19-P3W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laqaY_1]
   UNSPLITVOC:	(wilaqayt)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wi+laq+ayt
        GLOSS:	and+find+I

 INPUT STRING:	عنوان
     IS_TRANS:	EnwAn
        INDEX:	P3W14
      OFFSETS:	75-80
       TOKENS:	P3W21-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EinowAn_1]
   UNSPLITVOC:	(EinowAn)
          POS:	NOUN
          VOC:	EinowAn
        GLOSS:	title/address

 INPUT STRING:	بيقول
     IS_TRANS:	byqwl
        INDEX:	P3W15
      OFFSETS:	81-86
       TOKENS:	P3W22-P3W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(biyiquwl)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+quwl
        GLOSS:	[present-tense]+he/it+said/say/be said/say/(for example)

 INPUT STRING:	تحميل
     IS_TRANS:	tHmyl
        INDEX:	P3W16
      OFFSETS:	87-92
       TOKENS:	P3W24-P3W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHomiyl_1]
   UNSPLITVOC:	(taHomiyl)
          POS:	NOUN
          VOC:	taHomiyl
        GLOSS:	burdening/loading/shipment

 INPUT STRING:	حفل
     IS_TRANS:	Hfl
        INDEX:	P3W17
      OFFSETS:	93-96
       TOKENS:	P3W25-P3W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hafol_1]
   UNSPLITVOC:	(Hafol)
          POS:	NOUN
          VOC:	Hafol
        GLOSS:	ceremony/celebration

 INPUT STRING:	توقيع
     IS_TRANS:	twqyE
        INDEX:	P3W18
      OFFSETS:	97-102
       TOKENS:	P3W26-P3W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawqiyE_1]
   UNSPLITVOC:	(tawqiyE)
          POS:	NOUN
          VOC:	tawqiyE
        GLOSS:	signing

 INPUT STRING:	بروتوكول
     IS_TRANS:	brwtwkwl
        INDEX:	P3W19
      OFFSETS:	103-111
       TOKENS:	P3W27-P3W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[boruwtuwkuwl_1]
   UNSPLITVOC:	(boruwtuwkuwl)
          POS:	NOUN
          VOC:	boruwtuwkuwl
        GLOSS:	protocol

 INPUT STRING:	اكاديميه
     IS_TRANS:	AkAdymyh
        INDEX:	P3W20
      OFFSETS:	112-120
       TOKENS:	P3W28-P3W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akAdiymiy~ap_1]
   UNSPLITVOC:	(>akAdiymiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>akAdiymiy~+ap
        GLOSS:	academy+[fem.sg.]

 INPUT STRING:	الزعيم
     IS_TRANS:	AlzEym
        INDEX:	P3W21
      OFFSETS:	121-127
       TOKENS:	P3W29-P3W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaEiym_1]
   UNSPLITVOC:	(Alz~aEiym)
          POS:	DET+NOUN
          VOC:	Al+zaEiym
        GLOSS:	the+leader/head of state

 INPUT STRING:	وتحتها
     IS_TRANS:	wtHthA
        INDEX:	P3W22
      OFFSETS:	128-134
       TOKENS:	P3W30-P3W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHot_1]
   UNSPLITVOC:	(witaHotahA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	wi+taHot+hA
        GLOSS:	and+under+its/their/her

 INPUT STRING:	صوره
     IS_TRANS:	Swrh
        INDEX:	P3W23
      OFFSETS:	135-139
       TOKENS:	P3W33-P3W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwaruh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Suwar+uh
        GLOSS:	picture/image/illustration/photo/pictures/photographs/illustrations/photos+his/its

 INPUT STRING:	عادل
     IS_TRANS:	EAdl
        INDEX:	P3W24
      OFFSETS:	140-144
       TOKENS:	P3W35-P3W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdil_1]
   UNSPLITVOC:	(EAdil)
          POS:	NOUN_PROP
          VOC:	EAdil
        GLOSS:	Adel/Adil

 INPUT STRING:	امام
     IS_TRANS:	AmAm
        INDEX:	P3W25
      OFFSETS:	145-149
       TOKENS:	P3W36-P3W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[imAm_1]
   UNSPLITVOC:	(AimAm)
          POS:	NOUN_PROP
          VOC:	AimAm
        GLOSS:	Imam

 INPUT STRING:	قلت
     IS_TRANS:	qlt
        INDEX:	P4W1
      OFFSETS:	1-4
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qult)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	qul+t
        GLOSS:	said/say/be said/say/(for example)+I

 INPUT STRING:	ادعبس
     IS_TRANS:	AdEbs
        INDEX:	P4W2
      OFFSETS:	5-10
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daEbis_1]
   UNSPLITVOC:	(AadEbs)
          POS:	IV1S+IV
          VOC:	Aa+dEbs
        GLOSS:	I+try

 INPUT STRING:	واشووف
     IS_TRANS:	wA$wwf
        INDEX:	P4W3
      OFFSETS:	11-17
       TOKENS:	P4W3-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(wiAa$wwf)
          POS:	CONJ+IV1S+IV
          VOC:	wi+Aa+$wwf
        GLOSS:	and+I+see

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P4W4
      OFFSETS:	18-21
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayoh_2]
   UNSPLITVOC:	(>ayoh)
          POS:	REL_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P4W5
      OFFSETS:	22-29
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	وطبعا
     IS_TRANS:	wTbEA
        INDEX:	P5W1
      OFFSETS:	1-6
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(wiTaboEAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wi+TaboE+AF
        GLOSS:	and+temperament/naturally/of course+[acc.indef.]

 INPUT STRING:	فوجئت
     IS_TRANS:	fwj}t
        INDEX:	P5W2
      OFFSETS:	7-12
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAja>_1]
   UNSPLITVOC:	(fuwji}t)
          POS:	PV_PASS+PVSUFF_SUBJ:1S
          VOC:	fuwji}+t
        GLOSS:	be surprised+I

 INPUT STRING:	بالخيبه
     IS_TRANS:	bAlxybh
        INDEX:	P5W3
      OFFSETS:	13-20
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaybap_1]
   UNSPLITVOC:	(biAlxaybap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+xayb+ap
        GLOSS:	with/by+the+disappointment/failure+[fem.sg.]

 INPUT STRING:	التقيله
     IS_TRANS:	Altqylh
        INDEX:	P5W4
      OFFSETS:	21-28
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tiqiyl_1]
   UNSPLITVOC:	(Alt~iqiylap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+tiqiyl+ap
        GLOSS:	the+serious/heavy+[fem.sg.]

 INPUT STRING:	الاستاذ
     IS_TRANS:	AlAstA*
        INDEX:	P6W1
      OFFSETS:	1-8
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>usotA*_1]
   UNSPLITVOC:	(Al>usotA*)
          POS:	DET+NOUN
          VOC:	Al+>usotA*
        GLOSS:	the+professor

 INPUT STRING:	عادل
     IS_TRANS:	EAdl
        INDEX:	P6W2
      OFFSETS:	9-13
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdil_1]
   UNSPLITVOC:	(EAdil)
          POS:	NOUN_PROP
          VOC:	EAdil
        GLOSS:	Adel/Adil

 INPUT STRING:	امام
     IS_TRANS:	AmAm
        INDEX:	P6W3
      OFFSETS:	14-18
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[imAm_1]
   UNSPLITVOC:	(AimAm)
          POS:	NOUN_PROP
          VOC:	AimAm
        GLOSS:	Imam

 INPUT STRING:	قرر
     IS_TRANS:	qrr
        INDEX:	P6W4
      OFFSETS:	19-22
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qar~ar_1]
   UNSPLITVOC:	(qar~ar)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qar~ar+(null)
        GLOSS:	decide/resolve+he/it

 INPUT STRING:	يعمل
     IS_TRANS:	yEml
        INDEX:	P6W5
      OFFSETS:	23-27
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(yiEomil)
          POS:	IV3MS+IV
          VOC:	yi+Eomil
        GLOSS:	he/it+do/make

 INPUT STRING:	اكاديميه
     IS_TRANS:	AkAdymyh
        INDEX:	P6W6
      OFFSETS:	28-36
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>akAdiymiy~_1]
   UNSPLITVOC:	(>akAdiymiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>akAdiymiy~+ap
        GLOSS:	scholar/academician+[fem.sg.]

 INPUT STRING:	خاصه
     IS_TRANS:	xASh
        INDEX:	P6W7
      OFFSETS:	37-41
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAS~ap_1]
   UNSPLITVOC:	(xAS~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	xAS~+ap
        GLOSS:	special/specific+[fem.sg.]

 INPUT STRING:	يشترك
     IS_TRANS:	y$trk
        INDEX:	P6W8
      OFFSETS:	42-47
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otarak_1]
   UNSPLITVOC:	(yi$otarik)
          POS:	IV3MS+IV
          VOC:	yi+$otarik
        GLOSS:	he/it+participate

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P6W9
      OFFSETS:	48-52
       TOKENS:	P6W9-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+it/them/her

 INPUT STRING:	16
     IS_TRANS:	16
        INDEX:	P6W10
      OFFSETS:	53-55
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(16)
          POS:	ADJ_NUM
          VOC:	16
        GLOSS:	16

 INPUT STRING:	طالب
     IS_TRANS:	TAlb
        INDEX:	P6W11
      OFFSETS:	56-60
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAlib_1]
   UNSPLITVOC:	(TAlib)
          POS:	NOUN
          VOC:	TAlib
        GLOSS:	student

 INPUT STRING:	وطالبه
     IS_TRANS:	wTAlbh
        INDEX:	P6W12
      OFFSETS:	61-67
       TOKENS:	P6W13-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[TAlib_0]
   UNSPLITVOC:	(wiTAlobap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+TAlob+ap
        GLOSS:	and+student+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P6W13
      OFFSETS:	68-70
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مختلف
     IS_TRANS:	mxtlf
        INDEX:	P6W14
      OFFSETS:	71-76
       TOKENS:	P6W16-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muxotalif_1]
   UNSPLITVOC:	(muxotalif)
          POS:	ADJ
          VOC:	muxotalif
        GLOSS:	different/various

 INPUT STRING:	انحاء
     IS_TRANS:	AnHA'
        INDEX:	P6W15
      OFFSETS:	77-82
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naHow_1]
   UNSPLITVOC:	(>anoHA')
          POS:	NOUN
          VOC:	>anoHA'
        GLOSS:	areas

 INPUT STRING:	العالم
     IS_TRANS:	AlEAlm
        INDEX:	P6W16
      OFFSETS:	83-89
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlam_1]
   UNSPLITVOC:	(AlEAlam)
          POS:	DET+NOUN
          VOC:	Al+EAlam
        GLOSS:	the+world/worlds

 INPUT STRING:	العربي
     IS_TRANS:	AlErby
        INDEX:	P6W17
      OFFSETS:	90-96
