 INPUT STRING:	ثقافه
      OFFSETS:	4-10
       TOKENS:	P3W2-P3W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amokan_1]
   UNSPLITVOC:	(yumokinanA)
          POS:	IV3MS+IV+IVSUFF_MOOD:S+IVSUFF_DO:1P
          VOC:	yu+mokin+a+nA
        GLOSS:	he/it+be possible/make possible for+[sub.]+us

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P3W3
      OFFSETS:	11-13
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	ندافع
     IS_TRANS:	ndAfE
        INDEX:	P3W4
      OFFSETS:	14-19
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAfiE_1]
   UNSPLITVOC:	(nidAfiE)
          POS:	IV1P+IV
          VOC:	ni+dAfiE
        GLOSS:	we+defend

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P3W5
      OFFSETS:	20-22
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P3W6
      OFFSETS:	23-26
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this

 INPUT STRING:	الجيل
     IS_TRANS:	Aljyl
        INDEX:	P3W7
      OFFSETS:	27-32
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jiyl_1]
   UNSPLITVOC:	(Aljiyl)
          POS:	DET+NOUN
          VOC:	Al+jiyl
        GLOSS:	the+generation/epoch/generations/epochs

 INPUT STRING:	أكيد
     IS_TRANS:	>kyd
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aakiyd_1]
   UNSPLITVOC:	(Akiyd)
          POS:	ADJ
          VOC:	Akiyd
        GLOSS:	certain

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P4W2
      OFFSETS:	5-9
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	temperament/naturally/of course+[acc.indef.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P4W3
      OFFSETS:	10-12
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	صحيح
     IS_TRANS:	SHyH
        INDEX:	P4W4
      OFFSETS:	13-17
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaHiyH_1]
   UNSPLITVOC:	(SaHiyH)
          POS:	ADJ
          VOC:	SaHiyH
        GLOSS:	true/correct/really/truly/yes/right/really/truly

 INPUT STRING:	لأن
     IS_TRANS:	l>n
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	for+that

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P5W2
      OFFSETS:	4-6
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	every/all

 INPUT STRING:	جيل
     IS_TRANS:	jyl
        INDEX:	P5W3
      OFFSETS:	7-10
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jiyl_1]
   UNSPLITVOC:	(jiyl)
          POS:	NOUN
          VOC:	jiyl
        GLOSS:	generation/epoch/generations/epochs

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P5W4
      OFFSETS:	11-13
       TOKENS:	P5W5-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	for/to+it/him

 INPUT STRING:	مميزاته
     IS_TRANS:	mmyzAth
        INDEX:	P5W5
      OFFSETS:	14-21
       TOKENS:	P5W7-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumay~iz_1]
   UNSPLITVOC:	(mumay~izAtuh)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_3MS
          VOC:	mumay~iz+At+uh
        GLOSS:	distinguishing feature/characteristic/advantage+[fem.pl.]+its/his

 INPUT STRING:	وعيوبه
     IS_TRANS:	wEywbh
        INDEX:	P5W6
      OFFSETS:	22-28
       TOKENS:	P5W9-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eayob_1]
   UNSPLITVOC:	(waEuyuwbhu)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	wa+Euyuwb+hu
        GLOSS:	and+faults/weaknesses+its/his

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yEny)
          POS:	NO_FUNC
          VOC:	yEny
        GLOSS:	nogloss

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P6W2
      OFFSETS:	5-7
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	every/all

 INPUT STRING:	الأجيال
     IS_TRANS:	Al>jyAl
        INDEX:	P6W3
      OFFSETS:	8-15
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jiyl_1]
   UNSPLITVOC:	(Al>ajoyAl)
          POS:	DET+NOUN
          VOC:	Al+>ajoyAl
        GLOSS:	the+generations/epochs

 INPUT STRING:	التي
     IS_TRANS:	Alty
        INDEX:	P6W4
      OFFSETS:	16-20
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom

 INPUT STRING:	سبقتنا
     IS_TRANS:	sbqtnA
        INDEX:	P6W5
      OFFSETS:	21-27
       TOKENS:	P6W5-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sibiq_1]
   UNSPLITVOC:	(siboqitnA)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:1P
          VOC:	siboq+it+nA
        GLOSS:	precede/antecede/anticipate+it/they/she [verb]+us

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P6W6
      OFFSETS:	28-32
       TOKENS:	P6W7-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+it/her

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P6W7
      OFFSETS:	33-35
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	السلبيه
     IS_TRANS:	Alslbyh
        INDEX:	P6W8
      OFFSETS:	36-43
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salobiy~ap_1]
   UNSPLITVOC:	(Als~alobiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+salobiy~+ap
        GLOSS:	the+negativism+[fem.sg.]

 INPUT STRING:	والأيجابيه
     IS_TRANS:	wAl>yjAbyh
        INDEX:	P6W9
      OFFSETS:	44-54
       TOKENS:	P6W11-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>yijAbiy~ap_1]
   UNSPLITVOC:	(wiAl>yijAbiy~ap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+>yijAbiy~+ap
        GLOSS:	and+the+positive attitude/positive nature+[fem.sg.]

 INPUT STRING:	فيهم
     IS_TRANS:	fyhm
        INDEX:	P6W10
      OFFSETS:	55-59
       TOKENS:	P6W13-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhum)
          POS:	PREP+PRON_3P
          VOC:	fiy+hum
        GLOSS:	in+they

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P6W11
      OFFSETS:	60-62
       TOKENS:	P6W15-P6W15
