 INPUT STRING:	عمرو
        GLOSS:	said/say/be said/say/(for example)+he/it [verb]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P3W3
      OFFSETS:	10-13
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P3W4
      OFFSETS:	14-16
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عاوزهم
     IS_TRANS:	EAwzhm
        INDEX:	P3W5
      OFFSETS:	17-23
       TOKENS:	P3W5-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwizhum)
          POS:	ADJ.VN+PRON_3P
          VOC:	EAwiz+hum
        GLOSS:	wanting/needing+they

 INPUT STRING:	يرشحوني
     IS_TRANS:	yr$Hwny
        INDEX:	P3W6
      OFFSETS:	24-31
       TOKENS:	P3W7-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra$~aH_1]
   UNSPLITVOC:	(yira$~aHuwniy)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:1S
          VOC:	yi+ra$~aH+uwA+niy
        GLOSS:	they (people)+nominate/appoint as candidate+[pl.]+me

 INPUT STRING:	لاني
     IS_TRANS:	lAny
        INDEX:	P3W7
      OFFSETS:	32-36
       TOKENS:	P3W9-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(li>an~iy)
          POS:	PREP+SUB_CONJ+PRON_1S
          VOC:	li+>an~+niy
        GLOSS:	for+that+I

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P3W8
      OFFSETS:	37-39
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	الاستبن
     IS_TRANS:	AlAstbn
        INDEX:	P3W9
      OFFSETS:	40-47
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotibon_1]
   UNSPLITVOC:	(AlAisotibon)
          POS:	DET+NOUN
          VOC:	Al+Aisotibon
        GLOSS:	the+substitute

 INPUT STRING:	بتاع
     IS_TRANS:	btAE
        INDEX:	P3W10
      OFFSETS:	48-52
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAE)
          POS:	NOUN
          VOC:	bitAE
        GLOSS:	belonging to

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P3W11
      OFFSETS:	53-55
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	one (of)/someone/anyone/no-one

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P4W2
      OFFSETS:	4-6
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	I

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P4W3
      OFFSETS:	7-12
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	بتخيل
     IS_TRANS:	btxyl
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitxay~al_1]
   UNSPLITVOC:	(batxay~al)
          POS:	PROG_PART+IV1S+IV
          VOC:	ba+>a+txay~al
        GLOSS:	[progressive]+I+imagine/suppose

 INPUT STRING:	مثلا
     IS_TRANS:	mvlA
        INDEX:	P5W2
      OFFSETS:	6-10
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maval_1]
   UNSPLITVOC:	(mavalAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	maval+AF
        GLOSS:	example/proverb/for example+[acc.indef.]

 INPUT STRING:	زويل
     IS_TRANS:	zwyl
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zuwiyl_1]
   UNSPLITVOC:	(zuwiyl)
          POS:	NOUN_PROP
          VOC:	zuwiyl
        GLOSS:	Zeweel

 INPUT STRING:	عمرو
     IS_TRANS:	Emrw
        INDEX:	P6W2
      OFFSETS:	5-9
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamorw_1]
   UNSPLITVOC:	(Eamorw)
          POS:	NOUN_PROP
          VOC:	Eamorw
        GLOSS:	Amro

 INPUT STRING:	خالد
     IS_TRANS:	xAld
        INDEX:	P6W3
      OFFSETS:	10-14
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAlid_1]
   UNSPLITVOC:	(xAlid)
          POS:	NOUN_PROP
          VOC:	xAlid
        GLOSS:	Khalid

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P6W4
      OFFSETS:	15-19
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Mohammad

 INPUT STRING:	صبحي
     IS_TRANS:	SbHy
        INDEX:	P6W5
      OFFSETS:	20-24
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SuboHiy_1]
   UNSPLITVOC:	(SuboHiy)
          POS:	NOUN_PROP
          VOC:	SuboHiy
        GLOSS:	Subhi/Sobhi

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P7W2
      OFFSETS:	3-8
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P8W1
      OFFSETS:	0-2
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	كانوا
     IS_TRANS:	kAnwA
        INDEX:	P8W2
      OFFSETS:	3-8
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	kAn+uwA
        GLOSS:	be/was/were+they [verb]

 INPUT STRING:	بيتكلموا
     IS_TRANS:	bytklmwA
        INDEX:	P8W3
      OFFSETS:	9-17
       TOKENS:	P8W3-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(biyitokal~imuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+tokal~im+uwA
        GLOSS:	[progressive]+they (people)+speak/talk/discuss+[pl.]

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P8W4
      OFFSETS:	18-21
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P8W5
      OFFSETS:	22-25
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	ADV
          VOC:	kidah
        GLOSS:	then

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P8W6
      OFFSETS:	26-29
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	منصور
     IS_TRANS:	mnSwr
        INDEX:	P8W7
      OFFSETS:	30-35
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoSuwr_1]
   UNSPLITVOC:	(manoSuwr)
          POS:	NOUN_PROP
          VOC:	manoSuwr
        GLOSS:	Mansour

 INPUT STRING:	حسن
     IS_TRANS:	Hsn
        INDEX:	P8W8
      OFFSETS:	36-39
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hasan_1]
   UNSPLITVOC:	(Hasan)
          POS:	NOUN_PROP
          VOC:	Hasan
        GLOSS:	Hassan

 INPUT STRING:	واحتمال
     IS_TRANS:	wAHtmAl
        INDEX:	P9W1
      OFFSETS:	0-7
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotimAl_1]
   UNSPLITVOC:	(wiAiHotimAl)
          POS:	CONJ+NOUN
          VOC:	wi+AiHotimAl
        GLOSS:	and+possibility/probability/likelihood/scenario

 INPUT STRING:	نبيل
     IS_TRANS:	nbyl
        INDEX:	P9W2
      OFFSETS:	8-12
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nabiyl_1]
   UNSPLITVOC:	(nabiyl)
          POS:	NOUN_PROP
          VOC:	nabiyl
        GLOSS:	Nabil

 INPUT STRING:	العربي
     IS_TRANS:	AlErby
        INDEX:	P9W3
      OFFSETS:	13-19
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Earabiy~_1]
   UNSPLITVOC:	(AlEarabiy~)
          POS:	DET+NOUN_PROP
          VOC:	Al+Earabiy~
        GLOSS:	the+Arabi

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P10W1
      OFFSETS:	0-1
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	منستبعدشي
     IS_TRANS:	mnstbEd$y
        INDEX:	P10W2
      OFFSETS:	2-11
       TOKENS:	P10W2-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AistabEad_1]
   UNSPLITVOC:	(manistabEad$iy)
          POS:	NEG_PART+IV1P+IV+NEG_PART
          VOC:	ma+ni+stabEad+$iy
        GLOSS:	not+we+rule out/reject+not

 INPUT STRING:	بقي
     IS_TRANS:	bqy
        INDEX:	P10W3
      OFFSETS:	12-15
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	عمر
     IS_TRANS:	Emr
        INDEX:	P10W4
      OFFSETS:	16-19
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumar_1]
   UNSPLITVOC:	(Eumar)
          POS:	NOUN_PROP
          VOC:	Eumar
        GLOSS:	Omar/Umar

 INPUT STRING:	سليمان
     IS_TRANS:	slymAn
        INDEX:	P10W5
      OFFSETS:	20-26
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sulayomAn_1]
   UNSPLITVOC:	(sulayomAn)
          POS:	NOUN_PROP
          VOC:	sulayomAn
        GLOSS:	Sulayman/Solomon

 INPUT STRING:	ههههه
     IS_TRANS:	hhhhh
        INDEX:	P11W1
      OFFSETS:	0-5
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(haha)
          POS:	INTERJ
          VOC:	haha
        GLOSS:	haha

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P12W1
      OFFSETS:	0-4
       TOKENS:	P12W1-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	معانا
     IS_TRANS:	mEAnA
        INDEX:	P12W2
      OFFSETS:	5-10
       TOKENS:	P12W3-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	maEa+nA
        GLOSS:	something with+our

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P12W3
      OFFSETS:	11-13
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aino_1]
   UNSPLITVOC:	(Aino)
          POS:	SUB_CONJ
          VOC:	Aino
        GLOSS:	Although, (even) though, even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P12W4
      OFFSETS:	14-17
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it [verb]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P12W5
      OFFSETS:	18-22
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P13W1
      OFFSETS:	0-3
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	نشوف
     IS_TRANS:	n$wf
        INDEX:	P13W2
      OFFSETS:	4-8
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(ni$uwf)
          POS:	IV1P+IV
          VOC:	ni+$uwf
        GLOSS:	we+look

 INPUT STRING:	الرئيس
     IS_TRANS:	Alr}ys
        INDEX:	P13W3
      OFFSETS:	9-15
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(Alr~a}iys)
