 INPUT STRING:	حدث
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P4W1
      OFFSETS:	1-8
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P4W2
      OFFSETS:	9-10
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P4W3
      OFFSETS:	11-13
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P4W4
      OFFSETS:	14-17
       TOKENS:	P4W4-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in/inside+it

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P4W5
      OFFSETS:	18-21
       TOKENS:	P4W6-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	يوجد
     IS_TRANS:	ywjd
        INDEX:	P4W6
      OFFSETS:	22-26
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajad_1]
   UNSPLITVOC:	(yuwjad)
          POS:	IV3MS+IV_PASS
          VOC:	yu+wjad
        GLOSS:	he/it+exist/be found

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P4W7
      OFFSETS:	27-29
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الأسكندرية
     IS_TRANS:	Al>skndryp
        INDEX:	P4W8
      OFFSETS:	30-40
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisokinodiriy~ap_1]
   UNSPLITVOC:	(AlAisokinodiriy~ap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+Aisokinodiriy~+ap
        GLOSS:	the+Alexandria+[fem.sg.]

 INPUT STRING:	قطارات
     IS_TRANS:	qTArAt
        INDEX:	P4W9
      OFFSETS:	41-47
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qatr_1]
   UNSPLITVOC:	(quTuwrAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	quTuwr+At
        GLOSS:	train+[fem.pl.]

 INPUT STRING:	داخلية
     IS_TRANS:	dAxlyp
        INDEX:	P4W10
      OFFSETS:	48-54
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dAxliy_1]
   UNSPLITVOC:	(dAxliyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	dAxliy+ap
        GLOSS:	internal+[fem.sg.]

 INPUT STRING:	تسمى
     IS_TRANS:	tsmY
        INDEX:	P4W11
      OFFSETS:	55-59
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sam~aY_1]
   UNSPLITVOC:	(tusam~aY)
          POS:	IV3FS+IV_PASS
          VOC:	tu+sam~aY
        GLOSS:	she/it+be called/be named

 INPUT STRING:	قطارات
     IS_TRANS:	qTArAt
        INDEX:	P4W12
      OFFSETS:	60-66
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiTAr_1]
   UNSPLITVOC:	(qiTArAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	qiTAr+At
        GLOSS:	train+[fem.pl.]

 INPUT STRING:	أبوقير
     IS_TRANS:	>bwqyr
        INDEX:	P4W13
      OFFSETS:	67-73
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>abuwqiyr_1]
   UNSPLITVOC:	(>abuwqiyr)
          POS:	NOUN_PROP
          VOC:	>abuwqiyr
        GLOSS:	Abu qir

 INPUT STRING:	حيث
     IS_TRANS:	Hyv
        INDEX:	P4W14
      OFFSETS:	74-77
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hayov_1]
   UNSPLITVOC:	(Hayov)
          POS:	REL_ADV
          VOC:	Hayov
        GLOSS:	where

 INPUT STRING:	تربط
     IS_TRANS:	trbT
        INDEX:	P4W15
      OFFSETS:	78-82
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rabat_1]
   UNSPLITVOC:	(tirbuT)
          POS:	IV3FS+IV
          VOC:	ti+rbuT
        GLOSS:	she/it+connect/tie

 INPUT STRING:	مساحات
     IS_TRANS:	msAHAt
        INDEX:	P4W16
      OFFSETS:	83-89
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misAHap_1]
   UNSPLITVOC:	(misAHAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	misAH+At
        GLOSS:	area+[fem.pl.]

 INPUT STRING:	طويلة
     IS_TRANS:	Twylp
        INDEX:	P4W17
      OFFSETS:	90-95
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tawiyl_1]
   UNSPLITVOC:	(Tawiylap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Tawiyl+ap
        GLOSS:	tall/long/for a long time/at length/extensively+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W18
