 INPUT STRING:	بثينة
          POS:	IV1P+IV
          VOC:	ni+hotam~
        GLOSS:	we+be concerned/be interested

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W4
      OFFSETS:	14-16
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P3W5
      OFFSETS:	17-20
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	بهذا
     IS_TRANS:	bh*A
        INDEX:	P3W6
      OFFSETS:	21-25
       TOKENS:	P3W6-P3W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(bih`*A)
          POS:	PREP+DEM_PRON_MS
          VOC:	bi+h`*A
        GLOSS:	with/by+this [masc.sg.]

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P3W7
      OFFSETS:	26-31
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yawom_1]
   UNSPLITVOC:	(Alyawom)
          POS:	DET+NOUN
          VOC:	Al+yawom
        GLOSS:	the+day

 INPUT STRING:	العالمي
     IS_TRANS:	AlEAlmy
        INDEX:	P3W8
      OFFSETS:	32-39
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAlamiy~_1]
   UNSPLITVOC:	(AlEAlamiy~)
          POS:	DET+ADJ
          VOC:	Al+EAlamiy~
        GLOSS:	the+international/world-wide/world

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P3W9
      OFFSETS:	40-41
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	لماذا
     IS_TRANS:	lmA*A
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[limA*A_1]
   UNSPLITVOC:	(limA*A)
          POS:	INTERROG_ADV
          VOC:	limA*A
        GLOSS:	why

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P4W2
      OFFSETS:	6-8
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	تقيم
     IS_TRANS:	tqym
        INDEX:	P4W3
      OFFSETS:	9-13
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aqAm_1]
   UNSPLITVOC:	(tuqiymu)
          POS:	IV3FS+IV+IVSUFF_MOOD:I
          VOC:	tu+qiym+u
        GLOSS:	it/they/she+install/establish/erect+[ind.]

 INPUT STRING:	نساء
     IS_TRANS:	nsA'
        INDEX:	P4W4
      OFFSETS:	14-18
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisA'_1]
   UNSPLITVOC:	(nisA')
          POS:	NOUN
          VOC:	nisA'
        GLOSS:	women

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P4W5
      OFFSETS:	19-22
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	ندوات
     IS_TRANS:	ndwAt
        INDEX:	P4W6
      OFFSETS:	23-28
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nadowap_1]
   UNSPLITVOC:	(nadawAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	nadaw+At
        GLOSS:	seminars/symposia+[fem.pl.]

 INPUT STRING:	ومحاضرات
     IS_TRANS:	wmHADrAt
        INDEX:	P4W7
      OFFSETS:	29-37
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muHADrap_1]
   UNSPLITVOC:	(wimuHADrAt)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+muHADr+At
        GLOSS:	and+lecture+[fem.pl.]

 INPUT STRING:	بمناسبة
     IS_TRANS:	bmnAsbp
        INDEX:	P4W8
      OFFSETS:	38-45
       TOKENS:	P4W9-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munAsobap_1]
   UNSPLITVOC:	(bimunAsobap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+munAsob+ap
        GLOSS:	with/by+occasion+[fem.sg.]

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P4W9
      OFFSETS:	46-51
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyawm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	العالمي
     IS_TRANS:	AlEAlmy
        INDEX:	P4W10
      OFFSETS:	52-59
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlamiy_1]
   UNSPLITVOC:	(AlEAlamiy)
          POS:	DET+ADJ
          VOC:	Al+EAlamiy
        GLOSS:	the+international/world-wide/world

 INPUT STRING:	للمرأة
     IS_TRANS:	llmr>p
        INDEX:	P4W11
      OFFSETS:	60-66
       TOKENS:	P4W13-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maro>ap_1]
   UNSPLITVOC:	(lilmaro>ap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+maro>+ap
        GLOSS:	for/to+the+woman+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W12
      OFFSETS:	67-68
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	المصدر
     IS_TRANS:	AlmSdr
        INDEX:	P5W1
      OFFSETS:	0-6
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSodar_1]
   UNSPLITVOC:	(AlmaSodar)
          POS:	DET+NOUN
          VOC:	Al+maSodar
        GLOSS:	the+source

 INPUT STRING:	مصراوى
     IS_TRANS:	mSrAwY
        INDEX:	P5W2
      OFFSETS:	7-13
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSorAwiy_1]
   UNSPLITVOC:	(maSorAwiy)
          POS:	ADJ
          VOC:	maSorAwiy
        GLOSS:	Egyptian

 INPUT STRING:	المرأة
     IS_TRANS:	Almr>p
        INDEX:	P6W1
      OFFSETS:	0-6
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maro>ap_1]
   UNSPLITVOC:	(Almaro>ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maro>+ap
        GLOSS:	the+woman+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P6W2
      OFFSETS:	7-9
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	العالم
     IS_TRANS:	AlEAlm
        INDEX:	P6W3
      OFFSETS:	10-16
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlam_1]
   UNSPLITVOC:	(AlEAlam)
          POS:	DET+NOUN
          VOC:	Al+EAlam
        GLOSS:	the+world/worlds

 INPUT STRING:	العربي
     IS_TRANS:	AlErby
        INDEX:	P6W4
      OFFSETS:	17-23
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy_1]
   UNSPLITVOC:	(AlEarabiy)
          POS:	DET+NOUN
          VOC:	Al+Earabiy
        GLOSS:	the+Arabic

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P6W5
      OFFSETS:	24-26
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(lamo)
          POS:	NEG_PART
          VOC:	lamo
        GLOSS:	did not

 INPUT STRING:	تأخذ
     IS_TRANS:	t>x*
        INDEX:	P6W6
      OFFSETS:	27-31
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>axa*-u_1]
   UNSPLITVOC:	(ta>oxu*a)
          POS:	IV3FS+IV+IVSUFF_MOOD:S
          VOC:	ta+>oxu*+a
        GLOSS:	it/they/she+take/begin+[sub.]

 INPUT STRING:	كثيرا
     IS_TRANS:	kvyrA
        INDEX:	P6W7
      OFFSETS:	32-37
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaviyr_2]
   UNSPLITVOC:	(kaviyrAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	kaviyr+AF
        GLOSS:	many/much/numerous+[acc.indef.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P6W8
      OFFSETS:	38-40
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	حقوقهــا
     IS_TRANS:	Hqwqh__A
        INDEX:	P6W9
      OFFSETS:	41-49
       TOKENS:	P6W9-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(HuquwqhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	Huquwq+hA
        GLOSS:	rights/law+its/their/her

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P7W1
      OFFSETS:	0-1
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	أقرب
     IS_TRANS:	>qrb
        INDEX:	P7W2
      OFFSETS:	2-6
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aqorab_1]
   UNSPLITVOC:	(>aqorab)
          POS:	ADJ_COMP
          VOC:	>aqorab
        GLOSS:	nearest

 INPUT STRING:	مثال
     IS_TRANS:	mvAl
        INDEX:	P7W3
      OFFSETS:	7-11
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mivAl_1]
   UNSPLITVOC:	(mivAl)
          POS:	NOUN
          VOC:	mivAl
        GLOSS:	example/model

 INPUT STRING:	شوفي
     IS_TRANS:	$wfy
        INDEX:	P7W4
      OFFSETS:	12-16
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($uwfiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	$uwf+iy
        GLOSS:	look+you [fem.sg.] [verb]

 INPUT STRING:	مجلس
     IS_TRANS:	mjls
        INDEX:	P7W5
      OFFSETS:	17-21
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(majolis)
          POS:	NOUN
          VOC:	majolis
        GLOSS:	council/board/Majlis

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P7W6
      OFFSETS:	22-27
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P7W7
      OFFSETS:	28-31
       TOKENS:	P7W7-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	كم
     IS_TRANS:	km
        INDEX:	P7W8
      OFFSETS:	32-34
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kamo_2]
   UNSPLITVOC:	(kamo)
          POS:	REL_PRON
          VOC:	kamo
        GLOSS:	how many/much

 INPUT STRING:	عضوة
     IS_TRANS:	EDwp
        INDEX:	P7W9
      OFFSETS:	35-39
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EuDow_1]
   UNSPLITVOC:	(EuDowap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	EuDow+ap
        GLOSS:	member+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P7W10
      OFFSETS:	40-41
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	شوفي
     IS_TRANS:	$wfy
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($uwfiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	$uwf+iy
        GLOSS:	look+you

 INPUT STRING:	مجلس
     IS_TRANS:	mjls
        INDEX:	P8W2
      OFFSETS:	5-9
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(majolis)
          POS:	NOUN
          VOC:	majolis
        GLOSS:	council/board/Majlis

 INPUT STRING:	الشورى
     IS_TRANS:	Al$wrY
        INDEX:	P8W3
      OFFSETS:	10-16
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uwraY_1]
   UNSPLITVOC:	(Al$~uwraY)
          POS:	DET+NOUN
          VOC:	Al+$uwraY
        GLOSS:	the+consultation/deliberation

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P8W4
      OFFSETS:	17-20
       TOKENS:	P8W4-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	كم
     IS_TRANS:	km
        INDEX:	P8W5
      OFFSETS:	21-23
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kam_2]
   UNSPLITVOC:	(kam)
          POS:	REL_PRON
          VOC:	kam
        GLOSS:	how many/much

 INPUT STRING:	عضوة
     IS_TRANS:	EDwp
        INDEX:	P8W6
      OFFSETS:	24-28
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EuDow_1]
   UNSPLITVOC:	(EuDowap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	EuDow+ap
        GLOSS:	member+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P8W7
      OFFSETS:	29-30
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	شوفي
     IS_TRANS:	$wfy
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($uwfiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	$uwf+iy
        GLOSS:	look+you

 INPUT STRING:	لجنة
     IS_TRANS:	ljnp
        INDEX:	P9W2
      OFFSETS:	5-9
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lajonap_1]
   UNSPLITVOC:	(lajonap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	lajon+ap
        GLOSS:	council/committee/commission/councils/committees/commissions+[fem.sg.]

 INPUT STRING:	أعداد
     IS_TRANS:	>EdAd
        INDEX:	P9W3
      OFFSETS:	10-15
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEodAd_1]
   UNSPLITVOC:	(AiEodAd)
          POS:	NOUN
          VOC:	AiEodAd
        GLOSS:	preparation

 INPUT STRING:	الدستور
     IS_TRANS:	Aldstwr
        INDEX:	P9W4
      OFFSETS:	16-23
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dusotuwr_1]
   UNSPLITVOC:	(Ald~usotuwr)
          POS:	DET+NOUN
          VOC:	Al+dusotuwr
        GLOSS:	the+constitution/statute/constitutions/statutes

 INPUT STRING:	مع
     IS_TRANS:	mE
