 INPUT STRING:	لماذا
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	شايف
     IS_TRANS:	$Ayf
        INDEX:	P2W5
      OFFSETS:	18-22
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ayif_1]
   UNSPLITVOC:	($Ayif)
          POS:	ADJ.VN
          VOC:	$Ayif
        GLOSS:	i see/viewer/observer/onlooker/seeing/see/looking

 INPUT STRING:	أنها
     IS_TRANS:	>nhA
        INDEX:	P2W6
      OFFSETS:	23-27
       TOKENS:	P2W7-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+she/it/they

 INPUT STRING:	حملة
     IS_TRANS:	Hmlp
        INDEX:	P2W7
      OFFSETS:	28-32
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamolap_1]
   UNSPLITVOC:	(Hamolap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Hamol+ap
        GLOSS:	campaign/expedition/attack/campaigns/expeditions/attacks+[fem.sg.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P2W8
      OFFSETS:	33-36
       TOKENS:	P2W10-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not/non-

 INPUT STRING:	منتشرة
     IS_TRANS:	mnt$rp
        INDEX:	P2W9
      OFFSETS:	37-43
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munota$ir_1]
   UNSPLITVOC:	(munota$irap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	munota$ir+ap
        GLOSS:	spreading/scattered/prevalent+[fem.sg.]

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P2W10
      OFFSETS:	44-47
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	أتكعبلت
     IS_TRANS:	>tkEblt
        INDEX:	P2W11
      OFFSETS:	48-55
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AitokaEobil_1]
   UNSPLITVOC:	(AitokaEobilt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	AitokaEobil+t
        GLOSS:	roll/roll along/roll down+I

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P2W12
      OFFSETS:	56-60
       TOKENS:	P2W15-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+her/it/them

 INPUT STRING:	بالصدفة
     IS_TRANS:	bAlSdfp
        INDEX:	P2W13
      OFFSETS:	61-68
       TOKENS:	P2W17-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sudofap_1]
   UNSPLITVOC:	(biAlS~udofap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+Sudof+ap
        GLOSS:	with/by+the+chance/coincidence/by chance/by coincidence/coincidences+[fem.sg.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	قلت
     IS_TRANS:	qlt
        INDEX:	P3W2
      OFFSETS:	3-6
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qult)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	qul+t
        GLOSS:	said/say/be said/(for example)+I

 INPUT STRING:	أنشرها
     IS_TRANS:	>n$rhA
        INDEX:	P3W3
      OFFSETS:	7-13
       TOKENS:	P3W3-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[na$ar_1]
   UNSPLITVOC:	(Aan$urhA)
          POS:	IV1S+IV+IVSUFF_DO:3FS
          VOC:	Aa+n$ur+hA
        GLOSS:	I+publish/announce/spread/be published/be announced/be spread+it/them/her

 INPUT STRING:	تضامناً
     IS_TRANS:	tDAmnAF
        INDEX:	P3W4
      OFFSETS:	14-21
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taDAmun_1]
   UNSPLITVOC:	(taDAmunAF)
          POS:	NOUN.VN+CASE_INDEF_ACC
          VOC:	taDAmun+AF
        GLOSS:	solidarity/cooperation+[indef.acc.]

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P3W5
      OFFSETS:	22-24
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with/at/with

 INPUT STRING:	المدون
     IS_TRANS:	Almdwn
        INDEX:	P3W6
      OFFSETS:	25-31
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mudaw~in_1]
   UNSPLITVOC:	(Almudaw~in)
          POS:	DET+NOUN
          VOC:	Al+mudaw~in
        GLOSS:	the+record/entry/document

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P3W7
      OFFSETS:	43-47
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	ماعرفوش
     IS_TRANS:	mAErfw$
        INDEX:	P3W8
      OFFSETS:	48-55
       TOKENS:	P3W9-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(mAEarofuw$)
          POS:	NEG_PART+IV1S+IV+IVSUFF_DO:3MS+NEG_PART
          VOC:	mA+Aa+Earof+uh+$
        GLOSS:	not+I+know+him+not

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P3W9
      OFFSETS:	56-59
       TOKENS:	P3W13-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not/non-

 INPUT STRING:	سمعت
     IS_TRANS:	smEt
        INDEX:	P3W10
      OFFSETS:	60-64
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[simiE_1]
   UNSPLITVOC:	(simiEt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	simiE+t
        GLOSS:	listen/be heard/hear+I

 INPUT STRING:	أسمه
     IS_TRANS:	>smh
        INDEX:	P3W11
      OFFSETS:	65-69
       TOKENS:	P3W16-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(Aisomuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Aisom+uh
        GLOSS:	name+his/its

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P3W12
      OFFSETS:	70-73
       TOKENS:	P3W18-P3W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	أنهارده
     IS_TRANS:	>nhArdh
        INDEX:	P3W13
      OFFSETS:	74-81
       TOKENS:	P3W19-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ain~ahArodap_1]
   UNSPLITVOC:	(Ain~ahArodap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Ain~ahArod+ap
        GLOSS:	today+[fem.sg.]

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	رأيكم
     IS_TRANS:	r>ykm
        INDEX:	P4W2
      OFFSETS:	4-9
       TOKENS:	P4W2-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oyukum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	ra>oy+kum
        GLOSS:	opinion/view/idea/opinions/views/ideas+your

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W3
      OFFSETS:	10-11
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	temperament/naturally/of course/printing+[acc.indef.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P5W2
      OFFSETS:	5-8
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	مؤيد
     IS_TRANS:	m&yd
        INDEX:	P5W3
      OFFSETS:	9-13
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu&ay~id_1]
   UNSPLITVOC:	(mu&ay~id)
          POS:	ADJ
          VOC:	mu&ay~id
        GLOSS:	supporting

 INPUT STRING:	وموافق
     IS_TRANS:	wmwAfq
        INDEX:	P5W4
      OFFSETS:	14-20
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miwAfiq_1]
   UNSPLITVOC:	(wimiwAfiq)
          POS:	CONJ+ADJ.VN
          VOC:	wi+miwAfiq
        GLOSS:	and+agreeing/consenting/corresponding to

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W5
      OFFSETS:	21-24
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الفكرة
     IS_TRANS:	Alfkrp
        INDEX:	P5W6
      OFFSETS:	25-31
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(Alfikorap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fikor+ap
        GLOSS:	the+idea/notion/concept+[fem.sg.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P5W7
      OFFSETS:	32-34
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON
          VOC:	diy
        GLOSS:	these/this

 INPUT STRING:	تماما
     IS_TRANS:	tmAmA
        INDEX:	P5W8
      OFFSETS:	35-40
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamAm_1]
   UNSPLITVOC:	(tamAmAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	tamAm+AF
        GLOSS:	exact/complete/exactly/completely+[acc.indef.]

 INPUT STRING:	ولو
     IS_TRANS:	wlw
        INDEX:	P5W9
      OFFSETS:	41-44
       TOKENS:	P5W10-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(wilaw)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+law
        GLOSS:	and+if

 INPUT STRING:	انى
     IS_TRANS:	AnY
        INDEX:	P5W10
      OFFSETS:	45-48
       TOKENS:	P5W12-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in~+iy
        GLOSS:	that+I

 INPUT STRING:	عارف
     IS_TRANS:	EArf
        INDEX:	P5W11
      OFFSETS:	49-53
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArif)
          POS:	ADJ.VN
          VOC:	EArif
        GLOSS:	knowing/having knowledge of

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P5W12
      OFFSETS:	54-58
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	temperament/naturally/of course/printing+[acc.indef.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P5W13
      OFFSETS:	59-61
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P5W14
      OFFSETS:	62-64
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	ممنوع
     IS_TRANS:	mmnwE
        INDEX:	P5W15
      OFFSETS:	65-70
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mamonuwE_1]
   UNSPLITVOC:	(mamonuwE)
          POS:	NOUN
          VOC:	mamonuwE
        GLOSS:	prohibited/banned

 INPUT STRING:	مرغوب
     IS_TRANS:	mrgwb
        INDEX:	P5W16
      OFFSETS:	71-76
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maroguwb_1]
   UNSPLITVOC:	(maroguwb)
          POS:	ADJ
          VOC:	maroguwb
        GLOSS:	desired/sought after

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W17
      OFFSETS:	76-77
       TOKENS:	P5W20-P5W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W18
      OFFSETS:	77-78
       TOKENS:	P5W21-P5W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وبمجرد
     IS_TRANS:	wbmjrd
        INDEX:	P5W19
      OFFSETS:	79-85
       TOKENS:	P5W22-P5W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mujar~ad_1]
   UNSPLITVOC:	(wibimujar~ad)
          POS:	CONJ+PREP+NOUN
          VOC:	wi+bi+mujar~ad
        GLOSS:	and+with/by+nothing but/mere/for no other reason but/for the sole reason that

 INPUT STRING:	تطبيق
     IS_TRANS:	tTbyq
        INDEX:	P5W20
      OFFSETS:	86-91
       TOKENS:	P5W25-P5W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taTobiyq_1]
   UNSPLITVOC:	(taTobiyq)
          POS:	NOUN
          VOC:	taTobiyq
        GLOSS:	application

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P5W21
      OFFSETS:	92-99
       TOKENS:	P5W26-P5W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue/subjects/themes/issues

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P5W22
      OFFSETS:	100-102
       TOKENS:	P5W27-P5W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	these/this

 INPUT STRING:	الكل
     IS_TRANS:	Alkl
        INDEX:	P5W23
      OFFSETS:	103-107
       TOKENS:	P5W28-P5W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(Alkul~)
          POS:	DET+NOUN_QUANT
          VOC:	Al+kul~
        GLOSS:	the+all/entire/every/whole

 INPUT STRING:	هيجري
     IS_TRANS:	hyjry
        INDEX:	P5W24
      OFFSETS:	108-113
       TOKENS:	P5W29-P5W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jiriy_1]
   UNSPLITVOC:	(Hayijoriy)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+joriy
        GLOSS:	will+he/it+go/run

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W25
      OFFSETS:	114-117
       TOKENS:	P5W31-P5W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	برامج
     IS_TRANS:	brAmj
        INDEX:	P5W26
      OFFSETS:	118-123
       TOKENS:	P5W32-P5W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bironAmij_1]
   UNSPLITVOC:	(barAmij)
          POS:	NOUN
          VOC:	barAmij
        GLOSS:	program/programs

 INPUT STRING:	البروكسي
     IS_TRANS:	Albrwksy
        INDEX:	P5W27
      OFFSETS:	124-132
       TOKENS:	P5W33-P5W33
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Albrwksy)
          POS:	FOREIGN
          VOC:	Albrwksy
        GLOSS:	nogloss

 INPUT STRING:	وما
     IS_TRANS:	wmA
        INDEX:	P5W28
      OFFSETS:	133-136
