 INPUT STRING:	صحيح
        INDEX:	P2W11
      OFFSETS:	50-55
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mitoSaw~ar_1]
   UNSPLITVOC:	(mitoSaw~ar)
          POS:	ADJ
          VOC:	mitoSaw~ar
        GLOSS:	have a photo

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W12
      OFFSETS:	56-58
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	صربيا
     IS_TRANS:	SrbyA
        INDEX:	P2W13
      OFFSETS:	59-64
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sirobiy~A_1]
   UNSPLITVOC:	(Sirobiy~A)
          POS:	NOUN_PROP
          VOC:	Sirobiy~A
        GLOSS:	Serbia

 INPUT STRING:	وهو
     IS_TRANS:	whw
        INDEX:	P2W14
      OFFSETS:	65-68
       TOKENS:	P2W16-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(wihuw~a)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	wi+huw~a
        GLOSS:	while+he

 INPUT STRING:	بيتدرب
     IS_TRANS:	bytdrb
        INDEX:	P2W15
      OFFSETS:	69-75
       TOKENS:	P2W18-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<itidar~ab_1]
   UNSPLITVOC:	(biyitidar~ab)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+tidar~ab
        GLOSS:	[present-tense]+he/it+receive training/be skilled

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P2W16
      OFFSETS:	76-79
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	السلاح
     IS_TRANS:	AlslAH
        INDEX:	P2W17
      OFFSETS:	80-86
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[silAH_1]
   UNSPLITVOC:	(Als~ilAH)
          POS:	DET+NOUN
          VOC:	Al+silAH
        GLOSS:	the+weapon

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P2W18
      OFFSETS:	87-88
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P2W19
      OFFSETS:	88-89
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P2W20
      OFFSETS:	89-90
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	ممتاز
     IS_TRANS:	mmtAz
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumotAz_1]
   UNSPLITVOC:	(mumotAz)
          POS:	ADJ
          VOC:	mumotAz
        GLOSS:	excellent/superior/first-rate

 INPUT STRING:	ايوه
     IS_TRANS:	Aywh
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	ماهوا
     IS_TRANS:	mAhwA
        INDEX:	P4W2
      OFFSETS:	5-10
       TOKENS:	P4W2-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(mAhuw~a)
          POS:	PART+PRON_3MS
          VOC:	mA+huw~a
        GLOSS:	[part.]+he

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P4W3
      OFFSETS:	11-13
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الرحله
     IS_TRANS:	AlrHlh
        INDEX:	P4W4
      OFFSETS:	14-20
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riHolap_1]
   UNSPLITVOC:	(Alr~iHolap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+riHol+ap
        GLOSS:	the+career/journey/trip+[fem.sg.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P4W5
      OFFSETS:	21-23
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P4W6
      OFFSETS:	24-27
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	متصور
     IS_TRANS:	mtSwr
        INDEX:	P4W7
      OFFSETS:	28-33
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mitoSaw~ar_1]
   UNSPLITVOC:	(mitoSaw~ar)
          POS:	ADJ
          VOC:	mitoSaw~ar
        GLOSS:	have a photo

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P4W8
      OFFSETS:	34-36
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	المجاهدين
     IS_TRANS:	AlmjAhdyn
        INDEX:	P4W9
      OFFSETS:	37-46
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mujAhid_1]
   UNSPLITVOC:	(AlmujAhidiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+mujAhid+iyn
        GLOSS:	the+fighter/warrior+[masc.pl.]

 INPUT STRING:	وهوا
     IS_TRANS:	whwA
        INDEX:	P4W10
      OFFSETS:	47-51
       TOKENS:	P4W11-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(wihuw~a)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	wi+huw~a
        GLOSS:	while+he

 INPUT STRING:	حامل
     IS_TRANS:	HAml
        INDEX:	P4W11
      OFFSETS:	52-56
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAmil_1]
   UNSPLITVOC:	(HAmil)
          POS:	ADJ
          VOC:	HAmil
        GLOSS:	bearing/carrying

 INPUT STRING:	السلاح
     IS_TRANS:	AlslAH
        INDEX:	P4W12
      OFFSETS:	57-63
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[silAH_1]
   UNSPLITVOC:	(Als~ilAH)
          POS:	DET+NOUN
          VOC:	Al+silAH
        GLOSS:	the+weapon

 INPUT STRING:	وقالو
     IS_TRANS:	wqAlw
        INDEX:	P4W13
      OFFSETS:	64-69
       TOKENS:	P4W15-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiqAluwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	wi+qAl+uwA
        GLOSS:	and+said/say/be said/say/(for example)+they

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P4W14
      OFFSETS:	70-72
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P4W15
      OFFSETS:	73-75
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	صور
     IS_TRANS:	Swr
        INDEX:	P4W16
      OFFSETS:	76-79
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwar)
          POS:	NOUN
          VOC:	Suwar
        GLOSS:	picture/image/illustration/photo/pictures/photographs/illustrations/photos

 INPUT STRING:	لملشيات
     IS_TRANS:	lml$yAt
        INDEX:	P4W17
      OFFSETS:	80-87
       TOKENS:	P4W20-P4W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miliy$iyA_1]
   UNSPLITVOC:	(limiliy$iyAt)
          POS:	PREP+NOUN+NSUFF_FEM_PL
          VOC:	li+miliy$iy+At
        GLOSS:	for/to+militias+[fem.pl.]

 INPUT STRING:	مسلحه
     IS_TRANS:	mslHh
        INDEX:	P4W18
      OFFSETS:	88-93
       TOKENS:	P4W22-P4W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musal~aH_2]
   UNSPLITVOC:	(musal~aHap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	musal~aH+ap
        GLOSS:	armed+[fem.sg.]

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~nA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	ينتقم
     IS_TRANS:	yntqm
        INDEX:	P5W2
      OFFSETS:	5-10
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotaqam_1]
   UNSPLITVOC:	(yinotiqim)
          POS:	IV3MS+IV
          VOC:	yi+notiqim
        GLOSS:	he/it+take revenge

 INPUT STRING:	منهم
     IS_TRANS:	mnhm
        INDEX:	P5W3
      OFFSETS:	11-15
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minhum)
          POS:	PREP+PRON_3P
          VOC:	min+hum
        GLOSS:	from+them

 INPUT STRING:	اشد
     IS_TRANS:	A$d
        INDEX:	P5W4
      OFFSETS:	16-19
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>a$ad~_1]
   UNSPLITVOC:	(>a$ad~)
          POS:	ADJ_COMP
          VOC:	>a$ad~
        GLOSS:	stronger/strongest/more/most intense

 INPUT STRING:	انتقام
     IS_TRANS:	AntqAm
        INDEX:	P5W5
      OFFSETS:	20-26
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inotiqAm_1]
   UNSPLITVOC:	(<inotiqAm)
          POS:	NOUN
          VOC:	<inotiqAm
        GLOSS:	retaliation/reprisal/revenge

 INPUT STRING:	اولا
     IS_TRANS:	AwlA
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aw~al_1]
   UNSPLITVOC:	(>aw~alAF)
          POS:	ADJ_NUM+CASE_INDEF_ACC
          VOC:	>aw~al+AF
        GLOSS:	first of all/primarily/in the first place+[acc.indef.]

 INPUT STRING:	هوا
     IS_TRANS:	hwA
        INDEX:	P6W2
      OFFSETS:	5-8
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	ماقلش
     IS_TRANS:	mAql$
        INDEX:	P6W3
      OFFSETS:	9-14
       TOKENS:	P6W3-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qal~_1]
   UNSPLITVOC:	(mA_qal~i$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	mA+qal~+(null)+$
        GLOSS:	not+said+he/it+not

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P6W4
      OFFSETS:	15-18
       TOKENS:	P6W6-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	حدف
     IS_TRANS:	Hdf
        INDEX:	P6W5
      OFFSETS:	19-22
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadaf_1]
   UNSPLITVOC:	(Hadaf)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Hadaf+(null)
        GLOSS:	throw+he/it

 INPUT STRING:	ملوتوف
     IS_TRANS:	mlwtwf
        INDEX:	P6W6
      OFFSETS:	23-29
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muluwtawf_1]
   UNSPLITVOC:	(muluwtawf)
          POS:	NOUN_PROP
          VOC:	muluwtawf
        GLOSS:	Molotov

 INPUT STRING:	هوا
     IS_TRANS:	hwA
        INDEX:	P6W7
      OFFSETS:	30-33
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P6W8
      OFFSETS:	34-37
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	said/say/be said/say/(for example)+he/it

 INPUT STRING:	اننا
     IS_TRANS:	AnnA
        INDEX:	P6W9
      OFFSETS:	38-42
       TOKENS:	P6W12-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P6W10
      OFFSETS:	43-47
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	ناخد
     IS_TRANS:	nAxd
        INDEX:	P6W11
      OFFSETS:	48-52
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(nAxud)
          POS:	IV1P+IV
          VOC:	n+Axud
        GLOSS:	we+take

 INPUT STRING:	حقنا
     IS_TRANS:	HqnA
        INDEX:	P6W12
      OFFSETS:	53-57
       TOKENS:	P6W16-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Haq~+nA
        GLOSS:	right, prerogative, truth+our

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P6W13
      OFFSETS:	58-60
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	القتله
     IS_TRANS:	Alqtlh
        INDEX:	P6W14
      OFFSETS:	61-67
       TOKENS:	P6W19-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qatolap_1]
   UNSPLITVOC:	(Alqatolap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qatol+ap
        GLOSS:	the+murderers/assassins+[fem.sg.]

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P6W15
      OFFSETS:	68-71
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	these

 INPUT STRING:	واننا
     IS_TRANS:	wAnnA
        INDEX:	P6W16
      OFFSETS:	72-77
       TOKENS:	P6W21-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(wi<in~inA)
          POS:	CONJ+SUB_CONJ+PRON_1P
          VOC:	wi+<in~+nA
        GLOSS:	and+that+we

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P6W17
      OFFSETS:	78-80
       TOKENS:	P6W24-P6W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هانقف
     IS_TRANS:	hAnqf
        INDEX:	P6W18
      OFFSETS:	81-86
       TOKENS:	P6W25-P6W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqaf_1]
   UNSPLITVOC:	(Hanuqaf)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+nu+qaf
        GLOSS:	will+we+stop/cease/stand

 INPUT STRING:	نتفرج
     IS_TRANS:	ntfrj
        INDEX:	P6W19
      OFFSETS:	87-92
       TOKENS:	P6W27-P6W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitofar~aj_1]
   UNSPLITVOC:	(nitofar~aj)
          POS:	IV1P+IV
          VOC:	ni+tofar~aj
        GLOSS:	we+observe

 INPUT STRING:	عليهم
     IS_TRANS:	Elyhm
        INDEX:	P6W20
      OFFSETS:	93-98
       TOKENS:	P6W28-P6W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
