 INPUT STRING:	اخواتي
 INPUT STRING:	اكبر
     IS_TRANS:	Akbr
        INDEX:	P3W8
      OFFSETS:	39-43
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akobar_1]
   UNSPLITVOC:	(>akobar)
          POS:	ADJ_COMP
          VOC:	>akobar
        GLOSS:	larger/largest/greater/greatest

 INPUT STRING:	قوه
     IS_TRANS:	qwh
        INDEX:	P3W9
      OFFSETS:	44-47
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(quw~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	quw~+ap
        GLOSS:	power/strength/force/violence+[fem.sg.]

 INPUT STRING:	بريه
     IS_TRANS:	bryh
        INDEX:	P3W10
      OFFSETS:	48-52
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bar~iy_1]
   UNSPLITVOC:	(bar~iy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	bar~iy~+ap
        GLOSS:	land/rural+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W11
      OFFSETS:	53-55
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	المنطقه
     IS_TRANS:	AlmnTqh
        INDEX:	P3W12
      OFFSETS:	56-63
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoTiqap_1]
   UNSPLITVOC:	(AlmanoTiqap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+manoTiq+ap
        GLOSS:	the+area/zone+[fem.sg.]

 INPUT STRING:	وفي
     IS_TRANS:	wfy
        INDEX:	P3W13
      OFFSETS:	64-67
       TOKENS:	P3W13-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wifiy)
          POS:	CONJ+PREP
          VOC:	wi+fiy
        GLOSS:	and+in

 INPUT STRING:	افريقيا
     IS_TRANS:	AfryqyA
        INDEX:	P3W14
      OFFSETS:	68-75
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AaforiyqyA_1]
   UNSPLITVOC:	(AforiyqyA)
          POS:	NOUN_PROP
          VOC:	AforiyqyA
        GLOSS:	Africa

 INPUT STRING:	وان
     IS_TRANS:	wAn
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(wi<in~)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+<in~
        GLOSS:	and+that

 INPUT STRING:	قوتها
     IS_TRANS:	qwthA
        INDEX:	P4W2
      OFFSETS:	4-9
       TOKENS:	P4W3-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(quw~ithA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	quw~+it+hA
        GLOSS:	force/violence+[fem.sg.]+its/their/her

 INPUT STRING:	البريه
     IS_TRANS:	Albryh
        INDEX:	P4W3
      OFFSETS:	10-16
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Albar~iy_1]
   UNSPLITVOC:	(Albar~iy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+bar~iy~+ap
        GLOSS:	the+land/rural+[fem.sg.]

 INPUT STRING:	تبلغ
     IS_TRANS:	tblg
        INDEX:	P4W4
      OFFSETS:	17-21
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balag_1]
   UNSPLITVOC:	(tibolug)
          POS:	IV3FS+IV
          VOC:	ti+bolug
        GLOSS:	it/they/she+reach/attain

 INPUT STRING:	450
     IS_TRANS:	450
        INDEX:	P4W5
      OFFSETS:	22-25
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[450_1]
   UNSPLITVOC:	(450)
          POS:	NOUN_NUM
          VOC:	450
        GLOSS:	450

 INPUT STRING:	الف
     IS_TRANS:	Alf
        INDEX:	P4W6
      OFFSETS:	26-29
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alof_1]
   UNSPLITVOC:	(Alof)
          POS:	NOUN_NUM
          VOC:	Alof
        GLOSS:	thousand

 INPUT STRING:	مقاتل
     IS_TRANS:	mqAtl
        INDEX:	P4W7
      OFFSETS:	30-35
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muqAtil_1]
   UNSPLITVOC:	(muqAtil)
          POS:	NOUN
          VOC:	muqAtil
        GLOSS:	combatant/warrior

 INPUT STRING:	حالي
     IS_TRANS:	HAly
        INDEX:	P4W8
      OFFSETS:	36-40
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAliy_1]
   UNSPLITVOC:	(HAliy)
          POS:	ADJ
          VOC:	HAliy
        GLOSS:	present/current

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P4W9
      OFFSETS:	41-42
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	1
     IS_TRANS:	1
        INDEX:	P4W10
      OFFSETS:	42-43
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHid_1]
   UNSPLITVOC:	(waHid)
          POS:	NOUN_NUM
          VOC:	waHid
        GLOSS:	one

 INPUT STRING:	مليون
     IS_TRANS:	mlywn
        INDEX:	P4W11
      OFFSETS:	44-49
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miloyawon_1]
   UNSPLITVOC:	(miloyawon)
          POS:	NOUN_NUM
          VOC:	miloyawon
        GLOSS:	million

 INPUT STRING:	احتياط
     IS_TRANS:	AHtyAT
        INDEX:	P4W12
      OFFSETS:	50-56
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotiyAT_1]
   UNSPLITVOC:	(AiHotiyAT)
          POS:	NOUN
          VOC:	AiHotiyAT
        GLOSS:	reserve

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W13
      OFFSETS:	56-57
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P5W1
      OFFSETS:	0-2
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	تعلمي
     IS_TRANS:	tElmy
        INDEX:	P5W2
      OFFSETS:	3-8
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ealam_1]
   UNSPLITVOC:	(taElamiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ta+Elam+iy
        GLOSS:	you+know/find out+[fem.sg.]

 INPUT STRING:	انها
     IS_TRANS:	AnhA
        INDEX:	P5W3
      OFFSETS:	9-13
       TOKENS:	P5W3-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+it/they/she

 INPUT STRING:	تمتلك
     IS_TRANS:	tmtlk
        INDEX:	P5W4
      OFFSETS:	14-19
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aimtalak_1]
   UNSPLITVOC:	(timtilik)
          POS:	IV3FS+IV
          VOC:	ti+mtilik
        GLOSS:	it/they/she+possess/acquire

 INPUT STRING:	ثالث
     IS_TRANS:	vAlv
        INDEX:	P5W5
      OFFSETS:	20-24
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAliv_1]
   UNSPLITVOC:	(vAliv)
          POS:	ADJ_NUM
          VOC:	vAliv
        GLOSS:	third

 INPUT STRING:	اكبر
     IS_TRANS:	Akbr
        INDEX:	P5W6
      OFFSETS:	25-29
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akobar_1]
   UNSPLITVOC:	(>akobar)
          POS:	ADJ_COMP
          VOC:	>akobar
        GLOSS:	larger/largest/greater/greatest

 INPUT STRING:	عدد
     IS_TRANS:	Edd
        INDEX:	P5W7
      OFFSETS:	30-33
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadad_1]
   UNSPLITVOC:	(Eadad)
          POS:	NOUN
          VOC:	Eadad
        GLOSS:	number/quantity/issue/numbers/issues

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W8
      OFFSETS:	34-36
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الدبابات
     IS_TRANS:	AldbAbAt
        INDEX:	P5W9
      OFFSETS:	37-45
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dab~Abap_1]
   UNSPLITVOC:	(Ald~ab~AbAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+dab~Ab+At
        GLOSS:	the+tanks+[fem.pl.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P5W10
      OFFSETS:	46-48
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	العالم
     IS_TRANS:	AlEAlm
        INDEX:	P5W11
      OFFSETS:	49-55
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlam_1]
   UNSPLITVOC:	(AlEAlam)
          POS:	DET+NOUN
          VOC:	Al+EAlam
        GLOSS:	the+world/worlds

 INPUT STRING:	5200
     IS_TRANS:	5200
        INDEX:	P5W12
      OFFSETS:	56-60
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[5200_1]
   UNSPLITVOC:	(5200)
          POS:	NOUN_NUM
          VOC:	5200
        GLOSS:	5200

 INPUT STRING:	دبابه
     IS_TRANS:	dbAbh
        INDEX:	P5W13
      OFFSETS:	61-66
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
