 INPUT STRING:	لا
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	حرررررررررررررام
     IS_TRANS:	HrrrrrrrrrrrrrAm
        INDEX:	P1W12
      OFFSETS:	51-67
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HarAm_1]
   UNSPLITVOC:	(HarAm)
          POS:	NOUN
          VOC:	HarAm
        GLOSS:	sin/offense

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P1W13
      OFFSETS:	68-73
       TOKENS:	P1W16-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	with+Allah/God

 INPUT STRING:	المناظر
     IS_TRANS:	AlmnAZr
        INDEX:	P1W14
      OFFSETS:	74-81
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoZar_1]
   UNSPLITVOC:	(AlmanAZir)
          POS:	DET+NOUN
          VOC:	Al+manAZir
        GLOSS:	the+view/scenery/appearance

 INPUT STRING:	بتاعت
     IS_TRANS:	btAEt
        INDEX:	P1W15
      OFFSETS:	82-87
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAEit)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bitAE+ap
        GLOSS:	belonging+[fem.sg.]

 INPUT STRING:	اعلانات
     IS_TRANS:	AElAnAt
        INDEX:	P1W16
      OFFSETS:	88-95
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEolAn_1]
   UNSPLITVOC:	(<iEolAnAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	<iEolAn+At
        GLOSS:	declarations+[fem.pl.]

 INPUT STRING:	الافلام
     IS_TRANS:	AlAflAm
        INDEX:	P1W17
      OFFSETS:	96-103
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiylm_1]
   UNSPLITVOC:	(AlAfolAm)
          POS:	DET+NOUN
          VOC:	Al+AfolAm
        GLOSS:	the+film/movie/films/movies

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P1W18
      OFFSETS:	104-108
       TOKENS:	P1W22-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	بتدخل
     IS_TRANS:	btdxl
        INDEX:	P1W19
      OFFSETS:	109-114
       TOKENS:	P1W23-P1W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(bitidoxul)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+doxul
        GLOSS:	[present-tense]+it/they/she+enter/be entered

 INPUT STRING:	علينا
     IS_TRANS:	ElynA
        INDEX:	P1W20
      OFFSETS:	115-120
       TOKENS:	P1W25-P1W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaynA)
          POS:	PREP+PRON_1P
          VOC:	EalaY+nA
        GLOSS:	on/above+us

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P1W21
      OFFSETS:	121-122
       TOKENS:	P1W27-P1W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	البيوت
     IS_TRANS:	Albywt
        INDEX:	P1W22
      OFFSETS:	123-129
       TOKENS:	P1W28-P1W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayt_1]
   UNSPLITVOC:	(Albiyuwt)
          POS:	DET+NOUN
          VOC:	Al+biyuwt
        GLOSS:	the+house/houses

 INPUT STRING:	وامال
     IS_TRANS:	wAmAl
        INDEX:	P2W1
      OFFSETS:	0-5
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~Al_1]
   UNSPLITVOC:	(wi>um~Al)
          POS:	CONJ+ADV
          VOC:	wi+>um~Al
        GLOSS:	and+Hence/ then

 INPUT STRING:	الافلام
     IS_TRANS:	AlAflAm
        INDEX:	P2W2
      OFFSETS:	6-13
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiylm_1]
   UNSPLITVOC:	(AlAfolAm)
          POS:	DET+NOUN
          VOC:	Al+AfolAm
        GLOSS:	the+film/movie/films/movies

 INPUT STRING:	عاملة
     IS_TRANS:	EAmlp
        INDEX:	P2W3
      OFFSETS:	14-19
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmolap_1]
   UNSPLITVOC:	(EAmolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAmol+ap
        GLOSS:	Gloss:TBA+[fem.sg.]

 INPUT STRING:	ازى
     IS_TRANS:	AzY
        INDEX:	P2W4
      OFFSETS:	20-23
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~ay~_1]
   UNSPLITVOC:	(Aiz~ay~)
          POS:	REL_ADV
          VOC:	Aiz~ay~
        GLOSS:	how

 INPUT STRING:	ازى
     IS_TRANS:	AzY
        INDEX:	P2W5
      OFFSETS:	24-27
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~ay~_1]
   UNSPLITVOC:	(Aiz~ay~)
          POS:	INTERROG_ADV
          VOC:	Aiz~ay~
        GLOSS:	how

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P2W6
      OFFSETS:	28-31
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	الواحد
     IS_TRANS:	AlwAHd
        INDEX:	P2W7
      OFFSETS:	32-38
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(AlwAHid)
          POS:	DET+NOUN_NUM
          VOC:	Al+wAHid
        GLOSS:	the+one

 INPUT STRING:	بيتحرج
     IS_TRANS:	bytHrj
        INDEX:	P2W8
      OFFSETS:	39-45
       TOKENS:	P2W9-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<itoHar~aj_1]
   UNSPLITVOC:	(biyitoHar~aj)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+toHar~aj
        GLOSS:	[present-tense]+he/it+be embarrassed

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W9
      OFFSETS:	46-48
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الاعلان
     IS_TRANS:	AlAElAn
        INDEX:	P2W10
      OFFSETS:	49-56
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEolAn_1]
   UNSPLITVOC:	(Al<iEolAn)
          POS:	DET+NOUN
          VOC:	Al+<iEolAn
        GLOSS:	the+declarations

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	نفسى
     IS_TRANS:	nfsY
        INDEX:	P3W2
      OFFSETS:	3-7
       TOKENS:	P3W2-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(nifosiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	nifos+iy
        GLOSS:	wish+my

 INPUT STRING:	اوووووووووووووووووووى
     IS_TRANS:	AwwwwwwwwwwwwwwwwwwwY
        INDEX:	P3W3
      OFFSETS:	8-29
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(qawiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	strong/very much

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P3W4
      OFFSETS:	30-32
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	قانون
     IS_TRANS:	qAnwn
        INDEX:	P3W5
      OFFSETS:	33-38
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwn_1]
   UNSPLITVOC:	(qAnuwn)
          POS:	NOUN
          VOC:	qAnuwn
        GLOSS:	law/statutes/regulations

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P3W6
      OFFSETS:	39-41
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P3W7
      OFFSETS:	42-46
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	تمنع
     IS_TRANS:	tmnE
        INDEX:	P3W8
      OFFSETS:	47-51
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manaE_1]
   UNSPLITVOC:	(timonaE)
          POS:	IV3FS+IV
          VOC:	ti+monaE
        GLOSS:	it/they/she+prevent/forbid/be prevented/be forbidden

 INPUT STRING:	مناظرهم
     IS_TRANS:	mnAZrhm
        INDEX:	P3W9
      OFFSETS:	52-59
       TOKENS:	P3W10-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoZar_1]
   UNSPLITVOC:	(manAZirhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	manAZir+hum
        GLOSS:	view/scenery/appearance+their

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P3W10
      OFFSETS:	60-62
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P4W1
      OFFSETS:	0-2
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P4W2
      OFFSETS:	3-6
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	أساس
     IS_TRANS:	>sAs
        INDEX:	P4W3
      OFFSETS:	7-11
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asAs_1]
   UNSPLITVOC:	(>asAs)
          POS:	NOUN
          VOC:	>asAs
        GLOSS:	foundation/basis/foundations/bases/primarily/basically

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P4W4
      OFFSETS:	12-14
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الإخوان
     IS_TRANS:	Al<xwAn
        INDEX:	P4W5
      OFFSETS:	15-22
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ixowAn_1]
   UNSPLITVOC:	(AlAixowAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+<ixowAn
        GLOSS:	the+Akhwan

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P4W6
      OFFSETS:	23-25
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P4W7
      OFFSETS:	26-29
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	واقفين
     IS_TRANS:	wAqfyn
        INDEX:	P4W8
      OFFSETS:	30-36
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAqif_1]
   UNSPLITVOC:	(wAqofiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	wAqof+iyn
        GLOSS:	standing+[masc.pl.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P4W9
      OFFSETS:	37-40
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	باب
     IS_TRANS:	bAb
        INDEX:	P4W10
      OFFSETS:	41-44
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAb_1]
   UNSPLITVOC:	(bAb)
          POS:	NOUN
          VOC:	bAb
        GLOSS:	door

 INPUT STRING:	بيته
     IS_TRANS:	byth
        INDEX:	P4W11
      OFFSETS:	45-49
       TOKENS:	P4W11-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayt_1]
   UNSPLITVOC:	(baytuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	bayt+uh
        GLOSS:	house/houses+his/its

 INPUT STRING:	بيتمنوا
     IS_TRANS:	bytmnwA
        INDEX:	P4W12
      OFFSETS:	50-57
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(bytmnwA)
          POS:	NO_FUNC
          VOC:	bytmnwA
        GLOSS:	nogloss

 INPUT STRING:	إنه
     IS_TRANS:	<nh
        INDEX:	P4W13
      OFFSETS:	58-61
       TOKENS:	P4W14-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	يوقع
     IS_TRANS:	ywqE
        INDEX:	P4W14
      OFFSETS:	62-66
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waq~aE_1]
   UNSPLITVOC:	(yawaq~aE)
          POS:	IV3MS+IV
          VOC:	ya+waq~aE
        GLOSS:	he/it+sign

 INPUT STRING:	معاهم
     IS_TRANS:	mEAhm
        INDEX:	P4W15
      OFFSETS:	67-72
       TOKENS:	P4W17-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	maEa+hum
        GLOSS:	with+their

 INPUT STRING:	عقد
     IS_TRANS:	Eqd
        INDEX:	P4W16
      OFFSETS:	73-76
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaqod_1]
   UNSPLITVOC:	(Eaqod)
          POS:	NOUN
          VOC:	Eaqod
        GLOSS:	contract/agreement/contracts/agreements

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P4W17
      OFFSETS:	77-81
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/be meant

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W18
      OFFSETS:	82-83
       TOKENS:	P4W21-P4W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P5W1
      OFFSETS:	0-2
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P5W2
      OFFSETS:	3-6
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>ayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	الغرور
     IS_TRANS:	Algrwr
        INDEX:	P5W3
      OFFSETS:	7-13
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[guruwr_1]
   UNSPLITVOC:	(Alguruwr)
          POS:	DET+NOUN
          VOC:	Al+guruwr
        GLOSS:	the+deception/delusion

 INPUT STRING:	الفاضى
     IS_TRANS:	AlfADY
        INDEX:	P5W4
      OFFSETS:	14-20
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fADiy_1]
   UNSPLITVOC:	(AlfADiy)
          POS:	DET+ADJ
          VOC:	Al+fADiy
        GLOSS:	the+empty/unoccupied/free

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P5W5
      OFFSETS:	21-23
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W6
      OFFSETS:	23-24
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
