 INPUT STRING:	اكاذيب
        INDEX:	P4W8
      OFFSETS:	40-41
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W9
      OFFSETS:	41-42
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	حكامنا
     IS_TRANS:	HkAmnA
        INDEX:	P5W1
      OFFSETS:	1-7
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HAkim_1]
   UNSPLITVOC:	(HkAminA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	HkAm+nA
        GLOSS:	judges+our

 INPUT STRING:	الذين
     IS_TRANS:	Al*yn
        INDEX:	P5W2
      OFFSETS:	8-13
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~a*iyna)
          POS:	REL_PRON
          VOC:	Al~a*iyna
        GLOSS:	who/whom [pl.]

 INPUT STRING:	ادمنوا
     IS_TRANS:	AdmnwA
        INDEX:	P5W3
      OFFSETS:	14-20
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>adoman_1]
   UNSPLITVOC:	(>adomanuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	>adoman+uwA
        GLOSS:	be addicted or devoted to+they [verb]

 INPUT STRING:	فض
     IS_TRANS:	fD
        INDEX:	P5W4
      OFFSETS:	21-23
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faD~_1]
   UNSPLITVOC:	(faD~)
          POS:	NOUN
          VOC:	faD~
        GLOSS:	dispersal/separation

 INPUT STRING:	الاشتباكات
     IS_TRANS:	AlA$tbAkAt
        INDEX:	P5W5
      OFFSETS:	24-34
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otibAk_1]
   UNSPLITVOC:	(AlAi$otibAkAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+Ai$otibAk+At
        GLOSS:	the+skirmishes/clashes+[fem.pl.]

 INPUT STRING:	فيما
     IS_TRANS:	fymA
        INDEX:	P5W6
      OFFSETS:	35-39
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiymA_1]
   UNSPLITVOC:	(fiymA)
          POS:	SUB_CONJ
          VOC:	fiymA
        GLOSS:	while/as/during

 INPUT STRING:	بينهم
     IS_TRANS:	bynhm
        INDEX:	P5W7
      OFFSETS:	40-45
       TOKENS:	P5W8-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bayn_1]
   UNSPLITVOC:	(bayonhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	bayon+hum
        GLOSS:	between/among+their

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W8
      OFFSETS:	46-47
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W9
      OFFSETS:	47-48
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W10
      OFFSETS:	48-49
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W11
      OFFSETS:	49-50
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	الذين
     IS_TRANS:	Al*yn
        INDEX:	P6W1
      OFFSETS:	2-7
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~a*iyna)
          POS:	REL_PRON
          VOC:	Al~a*iyna
        GLOSS:	who/whom [pl.]

 INPUT STRING:	ادمنوا
     IS_TRANS:	AdmnwA
        INDEX:	P6W2
      OFFSETS:	8-14
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>adoman_1]
   UNSPLITVOC:	(>adomanuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	>adoman+uwA
        GLOSS:	be addicted or devoted to+they [verb]

 INPUT STRING:	الشجب
     IS_TRANS:	Al$jb
        INDEX:	P6W3
      OFFSETS:	15-20
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ajab_1]
   UNSPLITVOC:	(Al$jb)
          POS:	DET+NOUN
          VOC:	Al+$jb
        GLOSS:	the+quarrel

 INPUT STRING:	والتنديد
     IS_TRANS:	wAltndyd
        INDEX:	P6W4
      OFFSETS:	21-29
       TOKENS:	P6W4-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanodiyd_1]
   UNSPLITVOC:	(wiAltanodiyd)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+tanodiyd
        GLOSS:	and+the+criticism/abuse/defamation

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W5
      OFFSETS:	30-31
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W6
      OFFSETS:	31-32
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W7
      OFFSETS:	32-33
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W8
      OFFSETS:	33-34
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	اقول
     IS_TRANS:	Aqwl
        INDEX:	P7W1
      OFFSETS:	1-5
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Aaquwl)
          POS:	IV1S+IV
          VOC:	Aa+quwl
        GLOSS:	I+said/say/be said/say/(for example)

 INPUT STRING:	لكم
     IS_TRANS:	lkm
        INDEX:	P7W2
      OFFSETS:	6-9
       TOKENS:	P7W2-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[la_1]
   UNSPLITVOC:	(lakum)
          POS:	PREP+PRON_2P
          VOC:	la+kum
        GLOSS:	to/for+you [masc.pl.] (you have)

 INPUT STRING:	جميعا
     IS_TRANS:	jmyEA
        INDEX:	P7W3
      OFFSETS:	10-15
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyE_1]
   UNSPLITVOC:	(jamiyEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jamiyE+AF
        GLOSS:	all, entire, every, whole+[acc.indef.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W4
      OFFSETS:	16-17
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W5
      OFFSETS:	17-18
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W6
      OFFSETS:	18-19
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	كفاكم
     IS_TRANS:	kfAkm
        INDEX:	P7W7
      OFFSETS:	20-25
       TOKENS:	P7W8-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kafaY-i_1]
   UNSPLITVOC:	(kafAkum)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:2P
          VOC:	kafA+(null)+kum
        GLOSS:	be enough/suffice+he/it [verb]+you [masc.pl.]

 INPUT STRING:	شجبا
     IS_TRANS:	$jbA
        INDEX:	P7W8
      OFFSETS:	26-30
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ajab_1]
   UNSPLITVOC:	($jbAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	$jb+AF
        GLOSS:	quarrel+[acc.indef.]

 INPUT STRING:	وتنديدا
     IS_TRANS:	wtndydA
        INDEX:	P7W9
      OFFSETS:	31-38
       TOKENS:	P7W11-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tandiyd_1]
   UNSPLITVOC:	(witndydAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wi+tndyd+AF
        GLOSS:	and+reclamation+[acc.indef.]

 INPUT STRING:	واجتماعات
     IS_TRANS:	wAjtmAEAt
        INDEX:	P7W10
      OFFSETS:	39-48
       TOKENS:	P7W13-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AijotimAE_1]
   UNSPLITVOC:	(wiAijotimAEAt)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+AijotimAE+At
        GLOSS:	and+meetings+[fem.pl.]

 INPUT STRING:	ومباحثات
     IS_TRANS:	wmbAHvAt
        INDEX:	P7W11
      OFFSETS:	49-57
       TOKENS:	P7W15-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubAHavap_1]
   UNSPLITVOC:	(wimobAHovAt)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+mobAHov+At
        GLOSS:	and+investigations+[fem.pl.]

 INPUT STRING:	كفانا
     IS_TRANS:	kfAnA
        INDEX:	P8W1
      OFFSETS:	1-6
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kafaY_1]
   UNSPLITVOC:	(kafAnA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:1P
          VOC:	kafA+(null)+nA
        GLOSS:	be enough/suffice+he/it+us

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P8W2
      OFFSETS:	7-9
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	تجرعناه
     IS_TRANS:	tjrEnAh
        INDEX:	P8W3
      OFFSETS:	10-17
       TOKENS:	P8W4-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tajar~aE_1]
   UNSPLITVOC:	(tjrEnAh)
          POS:	PV+PVSUFF_SUBJ:1P+PVSUFF_DO:3MS
          VOC:	tjrE+nA+uh
        GLOSS:	drink+we+it/him

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P8W4
      OFFSETS:	18-21
