 INPUT STRING:	ولدت
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	اختار
     IS_TRANS:	AxtAr
        INDEX:	P2W17
      OFFSETS:	75-80
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AixotAr_1]
   UNSPLITVOC:	(AixotAr)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	AixotAr+(null)
        GLOSS:	choose+you [verb]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P2W18
      OFFSETS:	81-83
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	يناسبك
     IS_TRANS:	ynAsbk
        INDEX:	P2W19
      OFFSETS:	84-90
       TOKENS:	P2W21-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAsib_1]
   UNSPLITVOC:	(yinAsibak)
          POS:	IV3MS+IV+IVSUFF_DO:2MS
          VOC:	yi+nAsib+ak
        GLOSS:	he/it+be compatible with/harmonize with+you

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W20
      OFFSETS:	91-93
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	التشبيهين
     IS_TRANS:	Alt$byhyn
        INDEX:	P2W21
      OFFSETS:	94-103
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ta$obiyh_1]
   UNSPLITVOC:	(Alta$obiyhayoni)
          POS:	DET+NOUN+NSUFF_MASC_DU_GEN
          VOC:	Al+ta$obiyh+ayoni
        GLOSS:	the+comparison/resemblance+two [gen.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W22
      OFFSETS:	105-106
       TOKENS:	P2W25-P2W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	اتذكر
     IS_TRANS:	At*kr
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ta*ak~ar_1]
   UNSPLITVOC:	(>ata*ak~aru)
          POS:	IV1S+IV+IVSUFF_MOOD:I
          VOC:	>a+ta*ak~ar+u
        GLOSS:	I+remember+[ind.]

 INPUT STRING:	ايام
     IS_TRANS:	AyAm
        INDEX:	P3W2
      OFFSETS:	6-10
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yawom_1]
   UNSPLITVOC:	(>ay~Am)
          POS:	NOUN
          VOC:	>ay~Am
        GLOSS:	days

 INPUT STRING:	انتخابات
     IS_TRANS:	AntxAbAt
        INDEX:	P3W3
      OFFSETS:	11-19
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotixAb_1]
   UNSPLITVOC:	(AinotixAbAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	{inotixAb+At
        GLOSS:	elections/selections+[fem.pl.]

 INPUT STRING:	الرئاسة
     IS_TRANS:	Alr}Asp
        INDEX:	P3W4
      OFFSETS:	20-27
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[ri}Asap_1]
   UNSPLITVOC:	(Alri}Asap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+ri}As+ap
        GLOSS:	the+presidency/leadership/chairmanship+[fem.sg.]

 INPUT STRING:	الماضية
     IS_TRANS:	AlmADyp
        INDEX:	P3W5
      OFFSETS:	28-35
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mADiy_1]
   UNSPLITVOC:	(AlmADiyap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+mADiy+ap
        GLOSS:	the+past/bygone+[fem.sg.]

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P3W6
      OFFSETS:	35-36
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	عندما
     IS_TRANS:	EndmA
        INDEX:	P3W7
      OFFSETS:	37-42
       TOKENS:	P3W7-P3W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EinodamA_1]
   UNSPLITVOC:	(EindamA)
          POS:	NOUN+CASE_DEF_ACC+SUB_CONJ
          VOC:	Einod+a+mA
        GLOSS:	the time when+[def.acc.]+that

 INPUT STRING:	تم
     IS_TRANS:	tm
        INDEX:	P3W8
      OFFSETS:	43-45
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tam~-i_1]
   UNSPLITVOC:	(tam~a)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	tam~+a
        GLOSS:	conclude/take place+he/it [verb]

 INPUT STRING:	تعديل
     IS_TRANS:	tEdyl
        INDEX:	P3W9
      OFFSETS:	46-51
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEodiyl_1]
   UNSPLITVOC:	(taEodiyl)
          POS:	NOUN
          VOC:	taEodiyl
        GLOSS:	adjustment/change/modification/amendment

 INPUT STRING:	المادة
     IS_TRANS:	AlmAdp
        INDEX:	P3W10
      OFFSETS:	52-58
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mAd~ap_3]
   UNSPLITVOC:	(AlmAd~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mAd~+ap
        GLOSS:	the+article/paragraph+[fem.sg.]

 INPUT STRING:	76
     IS_TRANS:	76
        INDEX:	P3W11
      OFFSETS:	58-60
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(76)
          POS:	NOUN_NUM
          VOC:	76
        GLOSS:	76

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W12
      OFFSETS:	61-63
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الدستور
     IS_TRANS:	Aldstwr
        INDEX:	P3W13
      OFFSETS:	64-71
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[dusotuwr_1]
   UNSPLITVOC:	(Aldusotuwr)
          POS:	DET+NOUN
          VOC:	Al+dusotuwr
        GLOSS:	the+constitution/statute

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P3W14
      OFFSETS:	71-72
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ليجعل
     IS_TRANS:	lyjEl
        INDEX:	P3W15
      OFFSETS:	73-78
       TOKENS:	P3W16-P3W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jaEal-a_1]
   UNSPLITVOC:	(liyajoEala)
          POS:	PREP+IV3MS+IV+IVSUFF_MOOD:S
          VOC:	li+ya+joEal+a
        GLOSS:	for+him/it to+make/bring about/appoint+[sub.]

 INPUT STRING:	انتخاب
     IS_TRANS:	AntxAb
        INDEX:	P3W16
      OFFSETS:	79-85
       TOKENS:	P3W18-P3W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotixAb_1]
   UNSPLITVOC:	(AinotixAb)
          POS:	NOUN
          VOC:	{inotixAb
        GLOSS:	election/selection

 INPUT STRING:	الرئيس
     IS_TRANS:	Alr}ys
        INDEX:	P3W17
      OFFSETS:	86-92
       TOKENS:	P3W19-P3W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(Alra}iys)
          POS:	DET+NOUN
          VOC:	Al+ra}iys
        GLOSS:	the+president/head/chairman

 INPUT STRING:	بالاقتراع
     IS_TRANS:	bAlAqtrAE
        INDEX:	P3W18
      OFFSETS:	93-102
       TOKENS:	P3W20-P3W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{iqotirAE_1]
   UNSPLITVOC:	(biAlAiqotirAE)
          POS:	PART+DET+NOUN
          VOC:	bi+Al+{iqotirAE
        GLOSS:	[part.]+the+balloting/voting/election

 INPUT STRING:	السري
     IS_TRANS:	Alsry
        INDEX:	P3W19
      OFFSETS:	103-108
       TOKENS:	P3W22-P3W22
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sariy~_1]
   UNSPLITVOC:	(Alsariy~)
          POS:	DET+ADJ
          VOC:	Al+sariy~
        GLOSS:	the+noble/high-ranking

 INPUT STRING:	بدلا
     IS_TRANS:	bdlA
        INDEX:	P3W20
      OFFSETS:	109-113
       TOKENS:	P3W23-P3W23
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[badal_1]
   UNSPLITVOC:	(badalAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	badal+AF
        GLOSS:	instead of/in lieu of+[acc.indef.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W21
      OFFSETS:	114-116
       TOKENS:	P3W24-P3W24
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الاستفتاء
     IS_TRANS:	AlAstftA'
        INDEX:	P3W22
      OFFSETS:	117-126
       TOKENS:	P3W25-P3W25
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{isotifotA'_1]
   UNSPLITVOC:	(AlAisotifotA')
          POS:	DET+NOUN
          VOC:	Al+{isotifotA'
        GLOSS:	the+referendum/poll/questionnaire

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P3W23
      OFFSETS:	127-128
       TOKENS:	P3W26-P3W26
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	يتيح
     IS_TRANS:	ytyH
        INDEX:	P3W24
      OFFSETS:	129-133
       TOKENS:	P3W27-P3W27
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>atAH_1]
   UNSPLITVOC:	(yutiyHu)
          POS:	IV3MS+IV+IVSUFF_MOOD:I
          VOC:	yu+tiyH+u
        GLOSS:	he/it+grant/provide+[ind.]

 INPUT STRING:	ترشيح
     IS_TRANS:	tr$yH
        INDEX:	P3W25
      OFFSETS:	134-139
       TOKENS:	P3W28-P3W28
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taro$iyH_1]
   UNSPLITVOC:	(taro$iyH)
          POS:	NOUN
          VOC:	taro$iyH
        GLOSS:	nomination/candidacy

 INPUT STRING:	اخرين
     IS_TRANS:	Axryn
        INDEX:	P3W26
      OFFSETS:	140-145
       TOKENS:	P3W29-P3W29
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|xar_1]
   UNSPLITVOC:	(|xariyna)
          POS:	ADJ+NSUFF_MASC_PL_GEN
          VOC:	|xar+iyna
        GLOSS:	other/another+[masc.pl.gen.]

 INPUT STRING:	ضد
     IS_TRANS:	Dd
        INDEX:	P3W27
      OFFSETS:	146-148
       TOKENS:	P3W30-P3W30
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Did~_1]
   UNSPLITVOC:	(Did~)
          POS:	NOUN
          VOC:	Did~
        GLOSS:	contrary/against/opposed/anti-/counter-

 INPUT STRING:	رئيس
     IS_TRANS:	r}ys
        INDEX:	P3W28
      OFFSETS:	149-153
       TOKENS:	P3W31-P3W31
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iys)
          POS:	NOUN
          VOC:	ra}iys
        GLOSS:	president/head/chairman

 INPUT STRING:	الجمهوريه
     IS_TRANS:	Aljmhwryh
        INDEX:	P3W29
      OFFSETS:	154-163
       TOKENS:	P3W32-P3W32
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[jumohuwriy~_1]
   UNSPLITVOC:	(Aljumohuwriy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jumohuwriy~+ap
        GLOSS:	the+republican+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W30
      OFFSETS:	163-164
       TOKENS:	P3W33-P3W33
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yawom_1]
   UNSPLITVOC:	(yawom)
          POS:	NOUN
          VOC:	yawom
        GLOSS:	day

 INPUT STRING:	اجراء
     IS_TRANS:	AjrA'
        INDEX:	P4W2
      OFFSETS:	4-9
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ijorA'_1]
   UNSPLITVOC:	(<ijorA')
          POS:	NOUN
          VOC:	<ijorA'
        GLOSS:	conducting/undertaking/carrying out

 INPUT STRING:	الانتخابات
     IS_TRANS:	AlAntxAbAt
        INDEX:	P4W3
      OFFSETS:	10-20
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotixAb_1]
   UNSPLITVOC:	(AlAinotixAbAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+{inotixAb+At
        GLOSS:	the+elections/selections+[fem.pl.]

