 INPUT STRING:	المشاركة
   UNSPLITVOC:	(Alxbrdh)
          POS:	NO_FUNC
          VOC:	Alxbrdh
        GLOSS:	nogloss

 INPUT STRING:	انتشر
     IS_TRANS:	Ant$r
        INDEX:	P2W2
      OFFSETS:	8-13
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inota$ar_1]
   UNSPLITVOC:	(<inota$ar)
          POS:	PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	<inota$ar+(null)
        GLOSS:	spread+he/it

 INPUT STRING:	بسرعة
     IS_TRANS:	bsrEp
        INDEX:	P2W3
      OFFSETS:	14-19
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suroEap_1]
   UNSPLITVOC:	(bisuroEap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+suroE+ap
        GLOSS:	with/by+speed/velocity/promptness/speeds+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W4
      OFFSETS:	20-23
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	النت
     IS_TRANS:	Alnt
        INDEX:	P2W5
      OFFSETS:	24-28
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nit~_1]
   UNSPLITVOC:	(Aln~it~)
          POS:	DET+NOUN
          VOC:	Al+nit~
        GLOSS:	the+internet

 INPUT STRING:	لكنه
     IS_TRANS:	lknh
        INDEX:	P2W6
      OFFSETS:	29-33
       TOKENS:	P2W7-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin~uh)
          POS:	PSEUDO_VERB+PRON_3MS
          VOC:	lakin+hu
        GLOSS:	But, however, yet, still, nevertheless, on the other hand+it/he

 INPUT STRING:	كاذب
     IS_TRANS:	kA*b
        INDEX:	P2W7
      OFFSETS:	34-38
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kA*b_1]
   UNSPLITVOC:	(kA*b)
          POS:	ADJ
          VOC:	kA*b
        GLOSS:	untrue/false

 INPUT STRING:	وده
     IS_TRANS:	wdh
        INDEX:	P2W8
      OFFSETS:	39-42
       TOKENS:	P2W10-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(wadah)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wa+dah
        GLOSS:	and+this

 INPUT STRING:	الخبر
     IS_TRANS:	Alxbr
        INDEX:	P2W9
      OFFSETS:	43-48
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(Alxabar)
          POS:	DET+NOUN
          VOC:	Al+xabar
        GLOSS:	the+news/report

 INPUT STRING:	الاصلى
     IS_TRANS:	AlASlY
        INDEX:	P2W10
      OFFSETS:	49-55
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al>aSoliy~_1]
   UNSPLITVOC:	(Al>aSoliy)
          POS:	DET+ADJ
          VOC:	Al+>aSoliy
        GLOSS:	the+origin

 INPUT STRING:	لسة
     IS_TRANS:	lsp
        INDEX:	P2W11
      OFFSETS:	56-59
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	still

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W12
      OFFSETS:	60-62
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	3
     IS_TRANS:	3
        INDEX:	P2W13
      OFFSETS:	63-64
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[3]
   UNSPLITVOC:	(3)
          POS:	NOUN_NUM
          VOC:	3
        GLOSS:	3

 INPUT STRING:	ساعات
     IS_TRANS:	sAEAt
        INDEX:	P2W14
      OFFSETS:	65-70
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(sAEAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	sAE+At
        GLOSS:	hour/time/hours+[fem.pl.]

 INPUT STRING:	فقط
     IS_TRANS:	fqT
        INDEX:	P2W15
      OFFSETS:	71-74
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqaT_1]
   UNSPLITVOC:	(faqaT)
          POS:	ADV
          VOC:	faqaT
        GLOSS:	only

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P3W2
      OFFSETS:	3-6
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P3W3
      OFFSETS:	7-9
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	ادخل
     IS_TRANS:	Adxl
        INDEX:	P3W4
      OFFSETS:	10-14
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(Aadoxul)
          POS:	IV1S+IV
          VOC:	Aa+doxul
        GLOSS:	I+enter/be entered

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P3W5
      OFFSETS:	15-16
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	عارفه
     IS_TRANS:	EArfh
        INDEX:	P3W6
      OFFSETS:	17-22
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P3W7
      OFFSETS:	23-26
       TOKENS:	P3W7-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+it

 INPUT STRING:	كذب
     IS_TRANS:	k*b
        INDEX:	P3W8
      OFFSETS:	27-30
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ki*b_1]
   UNSPLITVOC:	(ki*b)
          POS:	NOUN
          VOC:	ki*b
        GLOSS:	lying

 INPUT STRING:	فمجلس
     IS_TRANS:	fmjls
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(famajolis)
          POS:	CONJ+NOUN
          VOC:	fa+majolis
        GLOSS:	so/and+council/board/Majlis

 INPUT STRING:	عسكرى
     IS_TRANS:	EskrY
        INDEX:	P4W2
      OFFSETS:	6-11
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(Easokariy)
          POS:	ADJ
          VOC:	Easokariy
        GLOSS:	military/army

 INPUT STRING:	انبطح
     IS_TRANS:	AnbTH
        INDEX:	P4W3
      OFFSETS:	12-17
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inobaTaH_1]
   UNSPLITVOC:	(<inobaTaH)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	<inobaTaH+(null)
        GLOSS:	lie down/be floored+he/it

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P4W4
      OFFSETS:	18-20
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	موضوع
     IS_TRANS:	mwDwE
        INDEX:	P4W5
      OFFSETS:	21-26
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwE)
          POS:	NOUN
          VOC:	mawDuwE
        GLOSS:	subject/theme/issue

 INPUT STRING:	يخص
     IS_TRANS:	yxS
        INDEX:	P4W6
      OFFSETS:	27-30
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xaS_1]
   UNSPLITVOC:	(yaxuS)
          POS:	IV3MS+IV
          VOC:	ya+xuS
        GLOSS:	he/it+concern

 INPUT STRING:	عدد
     IS_TRANS:	Edd
        INDEX:	P4W7
      OFFSETS:	31-34
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadad_1]
   UNSPLITVOC:	(Eadad)
          POS:	NOUN
          VOC:	Eadad
        GLOSS:	number/quantity/issue/numbers/issues

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W8
      OFFSETS:	35-37
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الاشخاص
     IS_TRANS:	AlA$xAS
        INDEX:	P4W9
      OFFSETS:	38-45
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoS_1]
   UNSPLITVOC:	(Al>a$oxAS)
          POS:	DET+NOUN
          VOC:	Al+>a$oxAS
        GLOSS:	the+individual

 INPUT STRING:	لكونهم
     IS_TRANS:	lkwnhm
        INDEX:	P4W10
      OFFSETS:	46-52
       TOKENS:	P4W11-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kuwn_1]
   UNSPLITVOC:	(likuwnhum)
          POS:	PREP+NOUN.VN+POSS_PRON_3P
          VOC:	li+kuwn+hum
        GLOSS:	for/to+being+them/it

 INPUT STRING:	امريكان
     IS_TRANS:	AmrykAn
        INDEX:	P4W11
      OFFSETS:	53-60
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykAniy_1]
   UNSPLITVOC:	(>amoriykAn)
          POS:	ADJ
          VOC:	>amoriykAn
        GLOSS:	Americans

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P5W1
      OFFSETS:	0-2
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	يتجرأ
     IS_TRANS:	ytjr>
        INDEX:	P5W2
      OFFSETS:	3-8
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tajar~a>_1]
   UNSPLITVOC:	(yatajar~a>)
          POS:	IV3MS+IV
          VOC:	ya+tajar~a>
        GLOSS:	he/it+have the face to

 INPUT STRING:	بتحريك
     IS_TRANS:	btHryk
        INDEX:	P5W3
      OFFSETS:	9-15
       TOKENS:	P5W3-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyk_1]
   UNSPLITVOC:	(bitaHoriyk)
          POS:	PREP+NOUN
          VOC:	bi+taHoriyk
        GLOSS:	with/by+making move/stimulating/activating

 INPUT STRING:	عسكرى
     IS_TRANS:	EskrY
        INDEX:	P5W4
      OFFSETS:	16-21
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(Easokariy)
          POS:	NOUN
          VOC:	Easokariy
        GLOSS:	soldier

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P5W5
      OFFSETS:	22-26
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	person/ individual

 INPUT STRING:	تجاه
     IS_TRANS:	tjAh
        INDEX:	P5W6
      OFFSETS:	27-31
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tijAh_1]
   UNSPLITVOC:	(tijAh)
          POS:	NOUN
          VOC:	tijAh
        GLOSS:	towards/facing

 INPUT STRING:	الكيان
     IS_TRANS:	AlkyAn
        INDEX:	P5W7
      OFFSETS:	32-38
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kayAn_1]
   UNSPLITVOC:	(AlkayAn)
          POS:	DET+NOUN
          VOC:	Al+kayAn
        GLOSS:	the+Entity

 INPUT STRING:	الصهيونى
     IS_TRANS:	AlShywnY
        INDEX:	P5W8
      OFFSETS:	39-47
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlSuhiyuwniy~_1]
   UNSPLITVOC:	(AlSuhiyuwniy)
          POS:	DET+ADJ
          VOC:	Al+Suhiyuwniy
        GLOSS:	the+Zionist

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P6W2
      OFFSETS:	4-6
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	قلبى
     IS_TRANS:	qlbY
        INDEX:	P6W3
      OFFSETS:	7-11
       TOKENS:	P6W3-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(qalobiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	qalob+iy
        GLOSS:	heart/center/essence+my

 INPUT STRING:	وجعنى
     IS_TRANS:	wjEnY
        INDEX:	P6W4
      OFFSETS:	12-17
       TOKENS:	P6W5-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wajiE_1]
   UNSPLITVOC:	(wajiEniy)
          POS:	ADJ.VN+PRON_1S
          VOC:	wajiE+niy
        GLOSS:	hurt+me

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P6W5
      OFFSETS:	18-21
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	دماغى
     IS_TRANS:	dmAgY
        INDEX:	P6W6
      OFFSETS:	22-27
       TOKENS:	P6W8-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dimAg_1]
   UNSPLITVOC:	(dimAgiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	dimAg+iy
        GLOSS:	brain/brains+my

 INPUT STRING:	راحت
     IS_TRANS:	rAHt
        INDEX:	P6W7
      OFFSETS:	28-32
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(rAHit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	rAH+it
        GLOSS:	went+it/they/she

 INPUT STRING:	وجت
     IS_TRANS:	wjt
        INDEX:	P6W8
      OFFSETS:	33-36
       TOKENS:	P6W11-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[jAh_1]
   UNSPLITVOC:	(wijat)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+ja+t
        GLOSS:	and+came+it/they/she

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	ياخسارة
     IS_TRANS:	yAxsArp
        INDEX:	P7W2
      OFFSETS:	3-10
       TOKENS:	P7W2-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xusArap_1]
   UNSPLITVOC:	(yAxusArap)
          POS:	VOC_PART+NOUN+NSUFF_FEM_SG
          VOC:	yaA+xusAr+ap
        GLOSS:	oh+loss+[fem.sg.]

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P7W3
      OFFSETS:	11-15
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+afflict/be afflicted

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P7W4
      OFFSETS:	16-20
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P7W5
      OFFSETS:	21-26
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P7W6
      OFFSETS:	27-30
       TOKENS:	P7W7-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	to/for+Allah/God

 INPUT STRING:	بنصدر
     IS_TRANS:	bnSdr
        INDEX:	P7W7
      OFFSETS:	31-36
       TOKENS:	P7W9-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Sad~ar_1]
   UNSPLITVOC:	(binSad~ar)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+n+Sad~ar
        GLOSS:	[present-tense]+we+export

 INPUT STRING:	المخدرات
     IS_TRANS:	AlmxdrAt
        INDEX:	P7W8
      OFFSETS:	37-45
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muxad~ir_1]
   UNSPLITVOC:	(Almuxad~arAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+muxad~ar+At
        GLOSS:	the+narcotics/drugs+[fem.pl.]

 INPUT STRING:	لاسرائيل
     IS_TRANS:	lAsrA}yl
        INDEX:	P7W9
      OFFSETS:	46-54
       TOKENS:	P7W12-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyl_1]
   UNSPLITVOC:	(li<isorA}iyl)
          POS:	PREP+NOUN_PROP
          VOC:	li+<isorA}iyl
        GLOSS:	for/to+Israel

 INPUT STRING:	طب
     IS_TRANS:	Tb
        INDEX:	P7W10
      OFFSETS:	55-57
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab_1]
   UNSPLITVOC:	(Tab)
          POS:	INTERJ
          VOC:	Tab
        GLOSS:	ok

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P7W11
      OFFSETS:	58-63
       TOKENS:	P7W15-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
