 INPUT STRING:	وطبعا
      OFFSETS:	157-160
       TOKENS:	P1W41-P1W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qafA_1]
   UNSPLITVOC:	(qafA)
          POS:	NOUN
          VOC:	qafA
        GLOSS:	neck/nape/back/reverse/necks/napes/backs

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P1W30
      OFFSETS:	161-167
       TOKENS:	P1W42-P1W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	الي
     IS_TRANS:	Aly
        INDEX:	P1W31
      OFFSETS:	168-171
       TOKENS:	P1W43-P1W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P1W32
      OFFSETS:	172-177
       TOKENS:	P1W44-P1W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	تعبت
     IS_TRANS:	tEbt
        INDEX:	P1W33
      OFFSETS:	178-182
       TOKENS:	P1W45-P1W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tiEib_1]
   UNSPLITVOC:	(tiEobit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	tiEob+it
        GLOSS:	be tired+it/they/she

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P1W34
      OFFSETS:	183-187
       TOKENS:	P1W46-P1W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+she/it

 INPUT STRING:	بزمتكم
     IS_TRANS:	bzmtkm
        INDEX:	P1W35
      OFFSETS:	188-194
       TOKENS:	P1W48-P1W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*im~ap_1]
   UNSPLITVOC:	(bizim~itkum)
          POS:	PREP+NOUN+NSUFF_FEM_SG+POSS_PRON_2P
          VOC:	bi+zim~+ap+kum
        GLOSS:	with/by+protection/security+[fem.sg.]+your

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P1W36
      OFFSETS:	195-197
       TOKENS:	P1W51-P1W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	مسخرة
     IS_TRANS:	msxrp
        INDEX:	P1W37
      OFFSETS:	198-203
       TOKENS:	P1W52-P1W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[masoxarap_1]
   UNSPLITVOC:	(masoxarap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	masoxar+ap
        GLOSS:	ridiculous/ludicrous+[fem.sg.]

 INPUT STRING:	اكبر
     IS_TRANS:	Akbr
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akobar_1]
   UNSPLITVOC:	(>akobar)
          POS:	ADJ_COMP
          VOC:	>akobar
        GLOSS:	biggest

 INPUT STRING:	تقدير
     IS_TRANS:	tqdyr
        INDEX:	P2W2
      OFFSETS:	5-10
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taqodiyr_1]
   UNSPLITVOC:	(taqodiyr)
          POS:	NOUN
          VOC:	taqodiyr
        GLOSS:	appreciation/gratitude

 INPUT STRING:	لكل
     IS_TRANS:	lkl
        INDEX:	P2W3
      OFFSETS:	11-14
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(likul~)
          POS:	PREP+NOUN_QUANT
          VOC:	li+kul~
        GLOSS:	for/to+all, entire, every, whole

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W4
      OFFSETS:	15-17
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	ساهم
     IS_TRANS:	sAhm
        INDEX:	P2W5
      OFFSETS:	18-22
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAhim_1]
   UNSPLITVOC:	(sAhim)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	sAhim+(null)
        GLOSS:	participate/contribute+he/it

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W6
      OFFSETS:	23-25
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P2W7
      OFFSETS:	26-32
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	المصرية
     IS_TRANS:	AlmSryp
        INDEX:	P2W8
      OFFSETS:	33-40
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maSoriy~+ap
        GLOSS:	the+Egyptian+[fem.sg.]

 INPUT STRING:	نعم
     IS_TRANS:	nEm
        INDEX:	P2W9
      OFFSETS:	41-44
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naEam_1]
   UNSPLITVOC:	(naEam)
          POS:	INTERJ
          VOC:	naEam
        GLOSS:	yes

 INPUT STRING:	للتغير
     IS_TRANS:	lltgyr
        INDEX:	P2W10
      OFFSETS:	45-51
       TOKENS:	P2W11-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tagay~ur_1]
   UNSPLITVOC:	(lilt~agay~ur)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+tagay~ur
        GLOSS:	for/to+the+change/variation

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P2W11
      OFFSETS:	52-55
       TOKENS:	P2W13-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+INTERJ
          VOC:	wa+lA
        GLOSS:	and+no

 INPUT STRING:	للعملاء
     IS_TRANS:	llEmlA'
        INDEX:	P2W12
      OFFSETS:	56-63
       TOKENS:	P2W15-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamiyl_1]
   UNSPLITVOC:	(lilEumalA')
          POS:	PREP+DET+NOUN
          VOC:	li+Al+EumalA'
        GLOSS:	to/for+the+agents

 INPUT STRING:	الخونه
     IS_TRANS:	Alxwnh
        INDEX:	P2W13
      OFFSETS:	64-70
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xA}in_1]
   UNSPLITVOC:	(Alxawanap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+xawan+ap
        GLOSS:	the+traitors+[fem.sg.]

 INPUT STRING:	اكبر
     IS_TRANS:	Akbr
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akobar_1]
   UNSPLITVOC:	(>akobar)
          POS:	ADJ_COMP
          VOC:	>akobar
        GLOSS:	larger/largest/greater/greatest

 INPUT STRING:	تكريم
     IS_TRANS:	tkrym
        INDEX:	P3W2
      OFFSETS:	5-10
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[takoriym_1]
   UNSPLITVOC:	(takoriym)
          POS:	NOUN
          VOC:	takoriym
        GLOSS:	honoring/tribute

 INPUT STRING:	للشهداء
     IS_TRANS:	ll$hdA'
        INDEX:	P3W3
      OFFSETS:	11-18
       TOKENS:	P3W3-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahiyd_1]
   UNSPLITVOC:	(lil$~uhadA')
          POS:	PREP+DET+NOUN
          VOC:	li+Al+$uhadA'
        GLOSS:	to/for+the+martyrs

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P3W4
      OFFSETS:	19-23
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who

 INPUT STRING:	ضحوا
     IS_TRANS:	DHwA
        INDEX:	P3W5
      OFFSETS:	24-28
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaH~aY_1]
   UNSPLITVOC:	(DaH~uwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	DaH~+uwA
        GLOSS:	sacrifice/immolate/be sacrificed/be immolated+they

 INPUT STRING:	بحياتهم
     IS_TRANS:	bHyAthm
        INDEX:	P3W6
      OFFSETS:	29-36
       TOKENS:	P3W7-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayAp_1]
   UNSPLITVOC:	(biHayAthum)
          POS:	PREP+NOUN+NSUFF_FEM_SG+POSS_PRON_3P
          VOC:	bi+HayA+ap+hum
        GLOSS:	with/by+life/lives+[fem.sg.]+their

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W7
      OFFSETS:	37-39
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اجل
     IS_TRANS:	Ajl
        INDEX:	P3W8
      OFFSETS:	40-43
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajal_1]
   UNSPLITVOC:	(>ajal)
          POS:	NOUN
          VOC:	>ajal
        GLOSS:	for sake of/because of

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P3W9
      OFFSETS:	44-50
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

