 INPUT STRING:	وعليكم
        INDEX:	P3W2
      OFFSETS:	3-5
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~)
          POS:	NOUN
          VOC:	rab~
        GLOSS:	lord/master

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W3
      OFFSETS:	5-6
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W4
      OFFSETS:	6-7
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	اهلا
     IS_TRANS:	AhlA
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AholAF_1]
   UNSPLITVOC:	(AholAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Ahol+AF
        GLOSS:	welcome+[acc.indef.]

 INPUT STRING:	لولي
     IS_TRANS:	lwly
        INDEX:	P4W2
      OFFSETS:	5-9
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[luwlay_1]
   UNSPLITVOC:	(luwlaY)
          POS:	NOUN_PROP
          VOC:	luwlaY
        GLOSS:	Luli

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	with+Allah/God

 INPUT STRING:	اشك
     IS_TRANS:	A$k
        INDEX:	P5W2
      OFFSETS:	6-9
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ak~_1]
   UNSPLITVOC:	(Aa$uk~)
          POS:	IV1S+IV
          VOC:	Aa+$uk~
        GLOSS:	I+distrust/doubt

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P5W3
      OFFSETS:	10-12
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	هالانسان
     IS_TRANS:	hAlAnsAn
        INDEX:	P5W4
      OFFSETS:	13-21
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(hAlAnsAn)
          POS:	NO_FUNC
          VOC:	hAlAnsAn
        GLOSS:	nogloss

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P5W5
      OFFSETS:	22-25
       TOKENS:	P5W6-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/entire/every/whole+his/its

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W6
      OFFSETS:	26-29
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	بعضه
     IS_TRANS:	bEDh
        INDEX:	P5W7
      OFFSETS:	30-34
       TOKENS:	P5W9-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoDuh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	baEoD+uh
        GLOSS:	some/a few/little/part+his/its

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P5W8
      OFFSETS:	35-39
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	تعتبريه
     IS_TRANS:	tEtbryh
        INDEX:	P5W9
      OFFSETS:	40-47
       TOKENS:	P5W12-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEotabar_1]
   UNSPLITVOC:	(tiEotiboriyh)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+IVSUFF_DO:3MS
          VOC:	ti+Eotibor+iy+uh
        GLOSS:	you [fem.sg.]+consider+[fem.sg.]+him/it

 INPUT STRING:	معتوه
     IS_TRANS:	mEtwh
        INDEX:	P5W10
      OFFSETS:	48-53
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maEotuwh_1]
   UNSPLITVOC:	(maEotuwh)
          POS:	ADJ
          VOC:	maEotuwh
        GLOSS:	insane

 INPUT STRING:	ومريض
     IS_TRANS:	wmryD
        INDEX:	P5W11
      OFFSETS:	54-59
       TOKENS:	P5W15-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mariyD_1]
   UNSPLITVOC:	(wimariyD)
          POS:	CONJ+ADJ
          VOC:	wi+mariyD
        GLOSS:	and+patient/sick person/patients/sick people

 INPUT STRING:	نفسيا
     IS_TRANS:	nfsyA
        INDEX:	P5W12
      OFFSETS:	60-65
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafosiy~_1]
   UNSPLITVOC:	(nafosiy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	nafosiy~+AF
        GLOSS:	mental/spiritual/psychological+[acc.indef.]

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P6W2
      OFFSETS:	5-7
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	بتقدري
     IS_TRANS:	btqdry
        INDEX:	P6W3
      OFFSETS:	8-14
       TOKENS:	P6W3-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qadar_1]
   UNSPLITVOC:	(bitiqodariy)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	bi+ti+qodar+iy
        GLOSS:	[present-tense]+you [fem.sg.]+be able+[fem.sg.]

 INPUT STRING:	تاخدي
     IS_TRANS:	tAxdy
        INDEX:	P6W4
      OFFSETS:	15-20
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(tAxodiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	t+Axod+iy
        GLOSS:	you [fem.sg.]+take/believe+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P6W5
      OFFSETS:	21-24
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	كلامه
     IS_TRANS:	klAmh
        INDEX:	P6W6
      OFFSETS:	25-30
       TOKENS:	P6W7-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAmuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	kalAm+uh
        GLOSS:	speech/statement/remark/talk/saying+his/its

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P6W7
      OFFSETS:	31-35
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	لكسب
     IS_TRANS:	lksb
        INDEX:	P6W8
      OFFSETS:	36-40
       TOKENS:	P6W10-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kasob_1]
   UNSPLITVOC:	(likasob)
          POS:	PREP+NOUN
          VOC:	li+kasob
        GLOSS:	for/to+acquisition/gain/profit

 INPUT STRING:	شهرة
     IS_TRANS:	$hrp
        INDEX:	P6W9
      OFFSETS:	41-45
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uhorap_1]
   UNSPLITVOC:	($uhorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$uhor+ap
        GLOSS:	reputation/fame+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P6W10
      OFFSETS:	46-47
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P6W11
      OFFSETS:	48-52
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	لتشويه
     IS_TRANS:	lt$wyh
        INDEX:	P6W12
      OFFSETS:	53-59
       TOKENS:	P6W15-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta$owiyh_1]
   UNSPLITVOC:	(lita$owiyh)
          POS:	PREP+NOUN
          VOC:	li+ta$owiyh
        GLOSS:	for/to+distortion

 INPUT STRING:	الاسلام
     IS_TRANS:	AlAslAm
        INDEX:	P6W13
      OFFSETS:	60-67
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisolAm_1]
   UNSPLITVOC:	(Al<isolAm)
          POS:	DET+NOUN_PROP
          VOC:	Al+AisolAm
        GLOSS:	the+Islam

 INPUT STRING:	لأن
     IS_TRANS:	l>n
        INDEX:	P6W14
      OFFSETS:	68-71
       TOKENS:	P6W18-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	for/to+that

 INPUT STRING:	افعاله
     IS_TRANS:	AfEAlh
        INDEX:	P6W15
      OFFSETS:	72-78
       TOKENS:	P6W20-P6W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiEl_1]
   UNSPLITVOC:	(AfEAluh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	AfEAl+uh
        GLOSS:	acts/actions/deeds+his/its

 INPUT STRING:	كلها
     IS_TRANS:	klhA
        INDEX:	P6W16
      OFFSETS:	79-83
       TOKENS:	P6W22-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~hA)
          POS:	NOUN_QUANT+POSS_PRON_3FS
          VOC:	kul~+hA
        GLOSS:	all/entire/every+its/their/her

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P6W17
      OFFSETS:	84-87
       TOKENS:	P6W24-P6W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	not/other

 INPUT STRING:	طبيعية
     IS_TRANS:	TbyEyp
        INDEX:	P6W18
      OFFSETS:	88-94
       TOKENS:	P6W25-P6W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TabiyEiy_1]
   UNSPLITVOC:	(TabiyEiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	TabiyEiy~+ap
        GLOSS:	natural/normal+[fem.sg.]

 INPUT STRING:	وثبت
     IS_TRANS:	wvbt
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vibit_1]
   UNSPLITVOC:	(wivibit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+vibit+(null)
        GLOSS:	and+be stable/be established+he/it

 INPUT STRING:	الآن
     IS_TRANS:	Al|n
        INDEX:	P7W2
      OFFSETS:	5-9
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|an_1]
   UNSPLITVOC:	(Al|an)
          POS:	DET+NOUN
          VOC:	Al+|an
        GLOSS:	the+time/moment

 INPUT STRING:	تورطه
     IS_TRANS:	twrTh
        INDEX:	P7W3
      OFFSETS:	10-15
       TOKENS:	P7W4-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawar~uT_1]
   UNSPLITVOC:	(tawar~uTuh)
          POS:	NOUN.VN+POSS_PRON_3MS
          VOC:	tawar~uT+uh
        GLOSS:	involvement+his/its

