 INPUT STRING:	-
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from/off/about/on/over

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P1W12
      OFFSETS:	57-59
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	شئ
     IS_TRANS:	$}
        INDEX:	P1W13
      OFFSETS:	60-62
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$i}_1]
   UNSPLITVOC:	($i})
          POS:	NOUN
          VOC:	$i}
        GLOSS:	thing/something

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P2W1
      OFFSETS:	0-1
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P2W2
      OFFSETS:	2-4
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	فقط
     IS_TRANS:	fqT
        INDEX:	P2W3
      OFFSETS:	5-8
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqaT_1]
   UNSPLITVOC:	(faqaT)
          POS:	ADV
          VOC:	faqaT
        GLOSS:	only

 INPUT STRING:	العلمانيه
     IS_TRANS:	AlElmAnyh
        INDEX:	P2W4
      OFFSETS:	9-18
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalomAniy~ap_1]
   UNSPLITVOC:	(AlEalomAniy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+EalomAniy~+ap
        GLOSS:	the+secularism+[fem.sg.]

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P2W5
      OFFSETS:	19-21
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she/it

 INPUT STRING:	نقد
     IS_TRANS:	nqd
        INDEX:	P2W6
      OFFSETS:	22-25
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naqod_1]
   UNSPLITVOC:	(naqod)
          POS:	NOUN
          VOC:	naqod
        GLOSS:	criticism/critique/cash/money

 INPUT STRING:	دين
     IS_TRANS:	dyn
        INDEX:	P2W7
      OFFSETS:	26-29
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(diyn)
          POS:	NOUN
          VOC:	diyn
        GLOSS:	religion/religions

 INPUT STRING:	الدوله
     IS_TRANS:	Aldwlh
        INDEX:	P2W8
      OFFSETS:	30-36
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(Ald~awlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dawl+ap
        GLOSS:	the+state/country/states/countries+[fem.sg.]

 INPUT STRING:	المتمثل
     IS_TRANS:	Almtmvl
        INDEX:	P2W9
      OFFSETS:	37-44
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mitomav~il_1]
   UNSPLITVOC:	(Almitomav~il)
          POS:	DET+ADJ.VN
          VOC:	Al+mitomav~il
        GLOSS:	the+representative/delegate/actor/actress/representing/rep

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P2W10
      OFFSETS:	45-47
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الفقرة
     IS_TRANS:	Alfqrp
        INDEX:	P2W11
      OFFSETS:	48-54
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqorap_1]
   UNSPLITVOC:	(Alfaqorap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+faqor+ap
        GLOSS:	the+paragraph/clause/paragraphs/clauses+[fem.sg.]

 INPUT STRING:	الثانيه
     IS_TRANS:	AlvAnyh
        INDEX:	P2W12
      OFFSETS:	55-62
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(AlvAnoyap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+vAnoy+ap
        GLOSS:	the+second/next/II/secondly+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W13
      OFFSETS:	63-66
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P2W14
      OFFSETS:	67-69
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الاسلام
     IS_TRANS:	AlAslAm
        INDEX:	P2W15
      OFFSETS:	70-77
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAm_1]
   UNSPLITVOC:	(Al<isolAm)
          POS:	DET+NOUN_PROP
          VOC:	Al+<isolAm
        GLOSS:	the+Islam

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P2W16
      OFFSETS:	78-80
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	مصدر
     IS_TRANS:	mSdr
        INDEX:	P2W17
      OFFSETS:	81-85
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSodar_1]
   UNSPLITVOC:	(maSodar)
          POS:	NOUN
          VOC:	maSodar
        GLOSS:	source/sources

 INPUT STRING:	التشريع
     IS_TRANS:	Alt$ryE
        INDEX:	P2W18
      OFFSETS:	86-93
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta$oriyE_1]
   UNSPLITVOC:	(Alt~a$oriyE)
          POS:	DET+NOUN
          VOC:	Al+ta$oriyE
        GLOSS:	the+legislation/legislature

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W19
      OFFSETS:	94-95
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P3W1
      OFFSETS:	0-1
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P3W2
      OFFSETS:	2-4
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	نطالب
     IS_TRANS:	nTAlb
        INDEX:	P3W3
      OFFSETS:	5-10
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAlib_1]
   UNSPLITVOC:	(niTAlib)
          POS:	IV1P+IV
          VOC:	ni+TAlib
        GLOSS:	we+demand/require

 INPUT STRING:	بعلمانيه
     IS_TRANS:	bElmAnyh
        INDEX:	P3W4
      OFFSETS:	11-19
       TOKENS:	P3W4-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EalomAniy~ap_1]
   UNSPLITVOC:	(biEalomAniy~ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+EalomAniy~+ap
        GLOSS:	with/by+secularism+[fem.sg.]

 INPUT STRING:	احاديه
     IS_TRANS:	AHAdyh
        INDEX:	P3W5
      OFFSETS:	20-26
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>uHAdiy_1]
   UNSPLITVOC:	(>uHAdiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	>uHAdiy~+ap
        GLOSS:	single/mono-+[fem.sg.]

 INPUT STRING:	الطرف
     IS_TRANS:	AlTrf
        INDEX:	P3W6
      OFFSETS:	27-32
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Taraf_1]
   UNSPLITVOC:	(AlT~araf)
          POS:	DET+NOUN
          VOC:	Al+Taraf
        GLOSS:	the+participant/player/involved member/party/side/parties/sides

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P3W7
      OFFSETS:	33-36
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it [verb]

 INPUT STRING:	ننقد
     IS_TRANS:	nnqd
        INDEX:	P3W8
      OFFSETS:	37-41
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naqad_1]
   UNSPLITVOC:	(nunqud)
          POS:	IV1P+IV
          VOC:	nu+nqud
        GLOSS:	we+criticize

 INPUT STRING:	الاسلام
     IS_TRANS:	AlAslAm
        INDEX:	P3W9
      OFFSETS:	42-49
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAm_1]
   UNSPLITVOC:	(Al<isolAm)
          POS:	DET+NOUN_PROP
          VOC:	Al+<isolAm
        GLOSS:	the+Islam

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P3W10
      OFFSETS:	50-52
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	دين
     IS_TRANS:	dyn
        INDEX:	P3W11
      OFFSETS:	53-56
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(diyn)
          POS:	NOUN
          VOC:	diyn
        GLOSS:	religion

 INPUT STRING:	الاغلبيه
     IS_TRANS:	AlAglbyh
        INDEX:	P3W12
      OFFSETS:	57-65
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>agolabiy~ap_1]
   UNSPLITVOC:	(Al>agolabiy~ap)
          POS:	DET+NOUN_QUANT+NSUFF_FEM_SG
          VOC:	Al+>agolabiy~+ap
        GLOSS:	the+majority+[fem.sg.]

 INPUT STRING:	فقط
     IS_TRANS:	fqT
        INDEX:	P3W13
      OFFSETS:	66-69
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqaT_1]
   UNSPLITVOC:	(faqaT)
          POS:	ADV
          VOC:	faqaT
        GLOSS:	only

 INPUT STRING:	ام
     IS_TRANS:	Am
        INDEX:	P3W14
      OFFSETS:	70-72
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>am_1]
   UNSPLITVOC:	(>am)
          POS:	CONJ
          VOC:	>am
        GLOSS:	or

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W15
      OFFSETS:	73-75
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الممكن
     IS_TRANS:	Almmkn
        INDEX:	P3W16
      OFFSETS:	76-82
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(Almumokin)
          POS:	DET+ADJ
          VOC:	Al+mumokin
        GLOSS:	the+possible

 INPUT STRING:	نقد
     IS_TRANS:	nqd
        INDEX:	P3W17
      OFFSETS:	83-86
       TOKENS:	P3W18-P3W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naqod_1]
   UNSPLITVOC:	(naqod)
          POS:	NOUN
          VOC:	naqod
        GLOSS:	criticism/critique/cash/money

 INPUT STRING:	الاديان
     IS_TRANS:	AlAdyAn
        INDEX:	P3W18
      OFFSETS:	87-94
       TOKENS:	P3W19-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(Al>adoyAn)
          POS:	DET+NOUN
          VOC:	Al+>adoyAn
        GLOSS:	the+religions

 INPUT STRING:	الاخرى
     IS_TRANS:	AlAxrY
        INDEX:	P3W19
      OFFSETS:	95-101
       TOKENS:	P3W20-P3W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uxoray_1]
   UNSPLITVOC:	(Al>uxoraY)
          POS:	DET+ADJ
          VOC:	Al+>uxoraY
        GLOSS:	the+other/another/additional

 INPUT STRING:	النقد
     IS_TRANS:	Alnqd
        INDEX:	P4W1
      OFFSETS:	2-7
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naqod_1]
   UNSPLITVOC:	(Aln~aqod)
          POS:	DET+NOUN
          VOC:	Al+naqod
        GLOSS:	the+criticism/critique/cash/money

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P4W2
      OFFSETS:	8-11
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinA_1]
   UNSPLITVOC:	(hinA)
          POS:	ADV
          VOC:	hinA
        GLOSS:	here/from now on/somewhere

 INPUT STRING:	ليس
     IS_TRANS:	lys
        INDEX:	P4W3
      OFFSETS:	12-15
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layosa_1]
   UNSPLITVOC:	(layosa)
          POS:	NEG_PART
          VOC:	layosa
        GLOSS:	not

 INPUT STRING:	بصدد
     IS_TRANS:	bSdd
        INDEX:	P4W4
      OFFSETS:	16-20
       TOKENS:	P4W4-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sadad_1]
   UNSPLITVOC:	(biSadad)
          POS:	PREP+NOUN
          VOC:	bi+Sadad
        GLOSS:	with/by+respect/regard/purpose

 INPUT STRING:	نقد
     IS_TRANS:	nqd
        INDEX:	P4W5
      OFFSETS:	21-24
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naqod_1]
   UNSPLITVOC:	(naqod)
          POS:	NOUN
          VOC:	naqod
        GLOSS:	criticism/critique/cash/money

 INPUT STRING:	الدين
     IS_TRANS:	Aldyn
        INDEX:	P4W6
      OFFSETS:	25-30
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(Ald~iyn)
          POS:	DET+NOUN
          VOC:	Al+diyn
        GLOSS:	the+religion

 INPUT STRING:	كدين
     IS_TRANS:	kdyn
        INDEX:	P4W7
      OFFSETS:	31-35
       TOKENS:	P4W8-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(kadiyn)
          POS:	PREP+NOUN
          VOC:	ka+diyn
        GLOSS:	like/such+religion/religions

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P4W8
      OFFSETS:	36-37
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P4W9
      OFFSETS:	38-41
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but

 INPUT STRING:	تصرفات
     IS_TRANS:	tSrfAt
        INDEX:	P4W10
      OFFSETS:	42-48
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taSar~uf_1]
   UNSPLITVOC:	(taSar~ufAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	taSar~uf+At
        GLOSS:	behavior/conduct/disposal/measures/regulations+[fem.pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W11
      OFFSETS:	49-51
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_2]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	ينتسبون
     IS_TRANS:	yntsbwn
        INDEX:	P4W12
      OFFSETS:	52-59
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ainotasab_1]
   UNSPLITVOC:	(yanotasibuwn)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	ya+notasib+uwn
        GLOSS:	they (people)+be related/be affiliated/be derived+[masc.pl.]

 INPUT STRING:	للدين
     IS_TRANS:	lldyn
        INDEX:	P4W13
      OFFSETS:	60-65
       TOKENS:	P4W15-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(lild~iyn)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+diyn
        GLOSS:	for/to+the+religion/religions

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P4W14
      OFFSETS:	66-67
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	طريقه
     IS_TRANS:	Tryqh
        INDEX:	P4W15
      OFFSETS:	68-73
       TOKENS:	P4W18-P4W18
