 INPUT STRING:	هى
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AislAmiy_1]
   UNSPLITVOC:	(AislAmiy)
          POS:	ADJ
          VOC:	AislAmiy
        GLOSS:	Islamic/Islamist/Muslim

 INPUT STRING:	بلا
     IS_TRANS:	blA
        INDEX:	P3W4
      OFFSETS:	16-19
       TOKENS:	P3W5-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(balA)
          POS:	PREP+NEG_PART
          VOC:	ba+lA
        GLOSS:	with+no

 INPUT STRING:	تيار
     IS_TRANS:	tyAr
        INDEX:	P3W5
      OFFSETS:	20-24
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tay~Ar_1]
   UNSPLITVOC:	(tay~Ar)
          POS:	NOUN
          VOC:	tay~Ar
        GLOSS:	current/stream

 INPUT STRING:	لبراليي
     IS_TRANS:	lbrAlyy
        INDEX:	P3W6
      OFFSETS:	25-32
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[librAliy_1]
   UNSPLITVOC:	(librAliy)
          POS:	ADJ
          VOC:	librAliy
        GLOSS:	liberal

 INPUT STRING:	بطلو
     IS_TRANS:	bTlw
        INDEX:	P3W7
      OFFSETS:	33-37
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baT~al_1]
   UNSPLITVOC:	(baT~aluwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	baT~al+uwA
        GLOSS:	thwart/abolish/be thwarted/be abolished+they

 INPUT STRING:	النغمة
     IS_TRANS:	Alngmp
        INDEX:	P3W8
      OFFSETS:	38-44
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nagamap_1]
   UNSPLITVOC:	(Aln~agamap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+nagam+ap
        GLOSS:	the+tune/song/sound+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P3W9
      OFFSETS:	45-49
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which

 INPUT STRING:	فرقتنا
     IS_TRANS:	frqtnA
        INDEX:	P3W10
      OFFSETS:	50-56
       TOKENS:	P3W12-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[far~aq_1]
   UNSPLITVOC:	(far~aqitnA)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:1P
          VOC:	far~aq+it+nA
        GLOSS:	separate/differentiate+it/they/she+us

 INPUT STRING:	وضيعت
     IS_TRANS:	wDyEt
        INDEX:	P3W11
      OFFSETS:	57-62
       TOKENS:	P3W14-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Day~aE_1]
   UNSPLITVOC:	(wiDay~aEit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+Day~aE+it
        GLOSS:	and+lose/miss/let go by+it/they/she

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P3W12
      OFFSETS:	63-69
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P3W13
      OFFSETS:	70-72
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	الدستور
     IS_TRANS:	Aldstwr
        INDEX:	P4W1
      OFFSETS:	0-7
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dusotuwr_1]
   UNSPLITVOC:	(Ald~usotuwr)
          POS:	DET+NOUN
          VOC:	Al+dusotuwr
        GLOSS:	the+constitution/statute/constitutions/statutes

 INPUT STRING:	حيتكتب
     IS_TRANS:	Hytktb
        INDEX:	P4W2
      OFFSETS:	8-14
       TOKENS:	P4W2-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<itokatab_1]
   UNSPLITVOC:	(Hayitokitib)
          POS:	FUT_PART+IV3MS+IV_PASS
          VOC:	Ha+yi+tokitib
        GLOSS:	will+he/it+be written/be fated/be destined

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P4W3
      OFFSETS:	15-18
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	مزاج
     IS_TRANS:	mzAj
        INDEX:	P4W4
      OFFSETS:	19-23
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mazAj_1]
   UNSPLITVOC:	(mazAj)
          POS:	NOUN
          VOC:	mazAj
        GLOSS:	temperament/mood/feeling

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P4W5
      OFFSETS:	24-30
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	بالطريقة
     IS_TRANS:	bAlTryqp
        INDEX:	P4W6
      OFFSETS:	31-39
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyqap_1]
   UNSPLITVOC:	(biAlT~ariyqap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+Tariyq+ap
        GLOSS:	with/by+the+method/procedure/methods/manners+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P4W7
      OFFSETS:	40-44
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which

 INPUT STRING:	عاوزها
     IS_TRANS:	EAwzhA
        INDEX:	P4W8
      OFFSETS:	45-51
       TOKENS:	P4W10-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwizhA)
          POS:	ADJ+PRON_3FS
          VOC:	EAwiz+hA
        GLOSS:	wanting/needing+it/them/her

 INPUT STRING:	وحيشرك
     IS_TRANS:	wHy$rk
        INDEX:	P4W9
      OFFSETS:	52-58
       TOKENS:	P4W12-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>a$orak_1]
   UNSPLITVOC:	(wiHayi$orik)
          POS:	CONJ+FUT_PART+IV3MS+IV
          VOC:	wi+Ha+yi+$orik
        GLOSS:	and+will+he/it+associate/implicate/be idolatrous

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P4W10
      OFFSETS:	59-62
       TOKENS:	P4W15-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P4W11
      OFFSETS:	63-67
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P4W12
      OFFSETS:	68-70
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P4W13
      OFFSETS:	71-76
       TOKENS:	P4W19-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyizuh)
          POS:	ADJ+PRON_3MS
          VOC:	EAyiz+uh
        GLOSS:	wanting/needing+him

 INPUT STRING:	اسلامين
     IS_TRANS:	AslAmyn
        INDEX:	P4W14
      OFFSETS:	77-84
       TOKENS:	P4W21-P4W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AisolAmiy~_1]
   UNSPLITVOC:	(AisolAmiy~iyn)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	AisolAmiy~+iyn
        GLOSS:	Islamic/Islamist/Muslim+[pl.]

 INPUT STRING:	ليبرالين
     IS_TRANS:	lybrAlyn
        INDEX:	P4W15
      OFFSETS:	85-93
       TOKENS:	P4W22-P4W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liybrAliy~_1]
   UNSPLITVOC:	(liybrAliy~iyn)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	liybrAliy~+iyn
        GLOSS:	liberal+[masc.pl.]

 INPUT STRING:	ملاحده
     IS_TRANS:	mlAHdh
        INDEX:	P4W16
      OFFSETS:	94-100
       TOKENS:	P4W23-P4W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muloHid_1]
   UNSPLITVOC:	(malAHidap)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	malAHid+ap
        GLOSS:	atheist/heretic+[masc.pl.]

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P4W17
      OFFSETS:	101-104
       TOKENS:	P4W24-P4W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	خلصت
     IS_TRANS:	xlSt
        INDEX:	P4W18
      OFFSETS:	105-109
       TOKENS:	P4W25-P4W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xiliS_1]
   UNSPLITVOC:	(xiloSit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	xiloS+it
        GLOSS:	be concluded/be completed+it/they/she

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P4W19
      OFFSETS:	110-114
       TOKENS:	P4W26-P4W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	conclusion

 INPUT STRING:	خليهم
     IS_TRANS:	xlyhm
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(xal~iyhum)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:3P
          VOC:	xal~iy+(null)+hum
        GLOSS:	release/evacuate/allow/be released/be evacuated/be allowed+you+them

 INPUT STRING:	يتسلو
     IS_TRANS:	ytslw
        INDEX:	P5W2
      OFFSETS:	6-11
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<itosalay_1]
   UNSPLITVOC:	(yitosal~uwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+tosal~+uwA
        GLOSS:	they+have fun/be distracted+they

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W3
      OFFSETS:	12-15
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	رأى
     IS_TRANS:	r>Y
        INDEX:	P5W4
      OFFSETS:	16-19
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oy)
          POS:	NOUN
          VOC:	ra>oy
        GLOSS:	opinion/view/idea

 INPUT STRING:	المخلوع
     IS_TRANS:	AlmxlwE
        INDEX:	P5W5
      OFFSETS:	20-27
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maxoluwE_1]
   UNSPLITVOC:	(AlmaxoluwE)
          POS:	DET+ADJ
          VOC:	Al+maxoluwE
        GLOSS:	the+deposed/toppled/removed (from office)/unrestrained/irresponsible

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P5W6
      OFFSETS:	28-32
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	يحرقه
     IS_TRANS:	yHrqh
        INDEX:	P5W7
      OFFSETS:	33-38
       TOKENS:	P5W8-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haraq_1]
   UNSPLITVOC:	(yiHoraquh)
          POS:	IV3MS+IV+IVSUFF_DO:3MS
          VOC:	yi+Horaq+uh
        GLOSS:	he/it+burn+it/him

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P6W1
      OFFSETS:	0-2
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	PSEUDO_VERB
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	حول
     IS_TRANS:	Hwl
        INDEX:	P6W2
      OFFSETS:	3-6
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hawl_1]
   UNSPLITVOC:	(Hawl)
          POS:	NOUN
          VOC:	Hawl
        GLOSS:	power

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P6W3
      OFFSETS:	7-10
       TOKENS:	P6W3-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+PSEUDO_VERB
          VOC:	wa+lA
        GLOSS:	and+no

 INPUT STRING:	قوة
     IS_TRANS:	qwp
        INDEX:	P6W4
      OFFSETS:	11-14
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(quw~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	quw~+ap
        GLOSS:	power/strength/force/violence+[fem.sg.]

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P6W5
      OFFSETS:	15-18
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	only

 INPUT STRING:	بالله
     IS_TRANS:	bAllh
        INDEX:	P6W6
      OFFSETS:	19-24
       TOKENS:	P6W7-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(biAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	bi+All~ah
        GLOSS:	with/by+Allah/God

 INPUT STRING:	واضح
     IS_TRANS:	wADH
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wADiH_1]
   UNSPLITVOC:	(wADiH)
          POS:	ADJ
          VOC:	wADiH
        GLOSS:	clear/obvious/visible

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P7W2
      OFFSETS:	5-7
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P7W3
      OFFSETS:	8-11
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	كلها
     IS_TRANS:	klhA
        INDEX:	P7W4
      OFFSETS:	12-16
       TOKENS:	P7W4-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~ahA)
          POS:	NOUN_QUANT+POSS_PRON_3FS
          VOC:	kul~+hA
        GLOSS:	all, entire, every, whole+its/their/her

 INPUT STRING:	بقت
     IS_TRANS:	bqt
        INDEX:	P7W5
      OFFSETS:	17-20
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	baq+it
        GLOSS:	became+it/they/she

 INPUT STRING:	محللين
     IS_TRANS:	mHllyn
        INDEX:	P7W6
      OFFSETS:	21-27
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHal~il_1]
   UNSPLITVOC:	(muHal~iliyn)
