 INPUT STRING:	ده
          POS:	IV1S+IV+IVSUFF_DO:3MS
          VOC:	Aa+$ayir+uh
        GLOSS:	I+share+it/him

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W1
      OFFSETS:	13-14
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	PREP
          VOC:	wa
        GLOSS:	with/by

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P2W2
      OFFSETS:	15-19
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	God/Allah

 INPUT STRING:	بقالي
     IS_TRANS:	bqAly
        INDEX:	P2W3
      OFFSETS:	20-25
       TOKENS:	P2W3-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqAliiy)
          POS:	PV+PVSUFF_SUBJ:2MS+PREP+PRON_1S
          VOC:	baqA+(null)+li+iy
        GLOSS:	remain/become+you+to/for+I

 INPUT STRING:	عشرة
     IS_TRANS:	E$rp
        INDEX:	P2W4
      OFFSETS:	26-30
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$arap_1]
   UNSPLITVOC:	(Ea$arap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	Ea$ar+ap
        GLOSS:	ten+[fem.sg.]

 INPUT STRING:	دقائق
     IS_TRANS:	dqA}q
        INDEX:	P2W5
      OFFSETS:	31-36
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daqiyqap_1]
   UNSPLITVOC:	(daqA}iq)
          POS:	NOUN
          VOC:	daqA}iq
        GLOSS:	minutes

 INPUT STRING:	فاتح
     IS_TRANS:	fAtH
        INDEX:	P2W6
      OFFSETS:	37-41
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAtiH_1]
   UNSPLITVOC:	(fAtiH)
          POS:	ADJ.VN
          VOC:	fAtiH
        GLOSS:	opener/opening/clear

 INPUT STRING:	الصفحة
     IS_TRANS:	AlSfHp
        INDEX:	P2W7
      OFFSETS:	42-48
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SafoHap_1]
   UNSPLITVOC:	(AlS~afoHap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+SafoH+ap
        GLOSS:	the+page/leaf/pages/leaves+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W8
      OFFSETS:	49-50
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	عايز
     IS_TRANS:	EAyz
        INDEX:	P2W9
      OFFSETS:	51-55
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyiz)
          POS:	ADJ.VN
          VOC:	EAyiz
        GLOSS:	wanting/needing

 INPUT STRING:	اعلق
     IS_TRANS:	AElq
        INDEX:	P2W10
      OFFSETS:	56-60
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eal~aq_1]
   UNSPLITVOC:	(AaEal~aq)
          POS:	IV1S+IV
          VOC:	Aa+Eal~aq
        GLOSS:	I+comment

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P2W11
      OFFSETS:	61-63
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P2W12
      OFFSETS:	64-66
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارف
     IS_TRANS:	EArf
        INDEX:	P2W13
      OFFSETS:	67-71
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArif)
          POS:	ADJ.VN
          VOC:	EArif
        GLOSS:	knowing/having knowledge of

 INPUT STRING:	اكتب
     IS_TRANS:	Aktb
        INDEX:	P2W14
      OFFSETS:	72-76
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(Aakotib)
          POS:	IV1S+IV
          VOC:	Aa+kotib
        GLOSS:	I+write/be written/be fated/be destined

 INPUT STRING:	اقول
     IS_TRANS:	Aqwl
        INDEX:	P2W15
      OFFSETS:	77-81
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Aaquwl)
          POS:	IV1S+IV
          VOC:	Aa+quwl
        GLOSS:	I+said/say/be said/say/(for example)

 INPUT STRING:	لكم
     IS_TRANS:	lkm
        INDEX:	P2W16
      OFFSETS:	82-85
       TOKENS:	P2W18-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(likum)
          POS:	PREP+PRON_2P
          VOC:	li+kum
        GLOSS:	for/to+you

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P2W17
      OFFSETS:	86-89
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W18
      OFFSETS:	89-90
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	اقولكم
     IS_TRANS:	Aqwlkm
        INDEX:	P3W1
      OFFSETS:	0-6
       TOKENS:	P3W1-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Aaquwllikum)
          POS:	IV1S+IV+PREP+PRON_2P
          VOC:	Aa+quwl+li+kum
        GLOSS:	I+say+to+you

 INPUT STRING:	مبروك
     IS_TRANS:	mbrwk
        INDEX:	P3W2
      OFFSETS:	7-12
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maboruwk_1]
   UNSPLITVOC:	(maboruwk)
          POS:	ADJ
          VOC:	maboruwk
        GLOSS:	congratulations!

 INPUT STRING:	الانتصار
     IS_TRANS:	AlAntSAr
        INDEX:	P3W3
      OFFSETS:	13-21
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotiSAr_1]
   UNSPLITVOC:	(AlAinotiSAr)
          POS:	DET+NOUN
          VOC:	Al+AinotiSAr
        GLOSS:	the+victory

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W4
      OFFSETS:	22-24
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	موقعة
     IS_TRANS:	mwqEp
        INDEX:	P3W5
      OFFSETS:	25-30
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mawoqaEap_1]
   UNSPLITVOC:	(mawoqaEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mawoqaE+ap
        GLOSS:	battlefield+[fem.sg.]

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P3W6
      OFFSETS:	31-38
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN
          VOC:	Al+taHoriyr
        GLOSS:	the+liberation/liberating/editorship/editing

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P3W7
      OFFSETS:	39-42
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الشباب
     IS_TRANS:	Al$bAb
        INDEX:	P3W8
      OFFSETS:	43-49
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	(Al$~abAb)
          POS:	DET+NOUN
          VOC:	Al+$abAb
        GLOSS:	the+young man/young men

 INPUT STRING:	العزل
     IS_TRANS:	AlEzl
        INDEX:	P3W9
      OFFSETS:	50-55
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aEozal_2]
   UNSPLITVOC:	(AlEuz~al)
          POS:	DET+ADJ
          VOC:	Al+Euz~al
        GLOSS:	the+unarmed/defenseless

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W10
      OFFSETS:	55-56
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	اقولكم
     IS_TRANS:	Aqwlkm
        INDEX:	P4W1
      OFFSETS:	0-6
       TOKENS:	P4W1-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Aaquwllikum)
          POS:	IV1S+IV+PREP+PRON_2P
          VOC:	Aa+quwl+li+kum
        GLOSS:	I+say+to+you

 INPUT STRING:	رفعتوا
     IS_TRANS:	rfEtwA
        INDEX:	P4W2
      OFFSETS:	7-13
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rafaE_1]
   UNSPLITVOC:	(rafaEtuwA)
          POS:	PV+PVSUFF_SUBJ:2P
          VOC:	rafaE+tuwA
        GLOSS:	promote/raise+you

 INPUT STRING:	رأس
     IS_TRANS:	r>s
        INDEX:	P4W3
      OFFSETS:	14-17
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>os_1]
   UNSPLITVOC:	(ra>os)
          POS:	NOUN
          VOC:	ra>os
        GLOSS:	head/top/heads/tops

 INPUT STRING:	العسكرية
     IS_TRANS:	AlEskryp
        INDEX:	P4W4
      OFFSETS:	18-26
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Easokariy~+ap
        GLOSS:	the+military/army+[fem.sg.]

 INPUT STRING:	المصرية
     IS_TRANS:	AlmSryp
        INDEX:	P4W5
      OFFSETS:	27-34
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maSoriy~+ap
        GLOSS:	the+Egyptian+[fem.sg.]

 INPUT STRING:	عالية
     IS_TRANS:	EAlyp
        INDEX:	P4W6
      OFFSETS:	35-40
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAliy_1]
   UNSPLITVOC:	(EAloyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAloy+ap
        GLOSS:	high/elevated+[fem.sg.]

 INPUT STRING:	امام
     IS_TRANS:	AmAm
        INDEX:	P4W7
      OFFSETS:	41-45
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amAm_1]
   UNSPLITVOC:	(>amAm)
          POS:	NOUN
          VOC:	>amAm
        GLOSS:	front/forward

 INPUT STRING:	العالم
     IS_TRANS:	AlEAlm
        INDEX:	P4W8
      OFFSETS:	46-52
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlam_1]
   UNSPLITVOC:	(AlEAlam)
          POS:	DET+NOUN
          VOC:	Al+EAlam
        GLOSS:	the+world/worlds

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P4W9
      OFFSETS:	53-56
       TOKENS:	P4W11-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/entire+his/its

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P4W10
      OFFSETS:	56-57
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P4W11
      OFFSETS:	58-59
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	نجحتم
     IS_TRANS:	njHtm
        INDEX:	P4W12
      OFFSETS:	60-65
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[najaH-a_1]
   UNSPLITVOC:	(najaHotum)
          POS:	PV+PVSUFF_SUBJ:2MP
          VOC:	najaH+tum
        GLOSS:	succeed+you [masc.pl.] [verb]

 INPUT STRING:	فيما
     IS_TRANS:	fymA
        INDEX:	P4W13
      OFFSETS:	66-70
       TOKENS:	P4W16-P4W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(fiymA)
          POS:	PREP+REL_PRON
          VOC:	fiy+mA
        GLOSS:	in, by+what/which

 INPUT STRING:	فشلت
     IS_TRANS:	f$lt
        INDEX:	P4W14
      OFFSETS:	71-75
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fa$al_1]
   UNSPLITVOC:	(fa$alit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	fa$al+it
        GLOSS:	fail+it/they/she

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P4W15
      OFFSETS:	76-79
       TOKENS:	P4W19-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	الشرطة
     IS_TRANS:	Al$rTp
        INDEX:	P4W16
      OFFSETS:	80-86
       TOKENS:	P4W21-P4W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uroTap_1]
   UNSPLITVOC:	(Al$~uroTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$uroT+ap
        GLOSS:	the+police+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W17
      OFFSETS:	86-87
       TOKENS:	P4W22-P4W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
