 INPUT STRING:	اغرب
        INDEX:	P2W1
      OFFSETS:	1-6
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(EndmA)
          POS:	NO_FUNC
          VOC:	EndmA
        GLOSS:	nogloss

 INPUT STRING:	تقرر
     IS_TRANS:	tqrr
        INDEX:	P2W2
      OFFSETS:	7-11
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qar~ar_1]
   UNSPLITVOC:	(tiqar~ar)
          POS:	IV2MS+IV
          VOC:	ti+qar~ar
        GLOSS:	you+decide/resolve

 INPUT STRING:	السفر
     IS_TRANS:	Alsfr
        INDEX:	P2W3
      OFFSETS:	12-17
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[safar_1]
   UNSPLITVOC:	(Als~afar)
          POS:	DET+NOUN
          VOC:	Al+safar
        GLOSS:	the+travel/trip/journeys

 INPUT STRING:	للعمل
     IS_TRANS:	llEml
        INDEX:	P2W4
      OFFSETS:	18-23
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(lilEamal)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+Eamal
        GLOSS:	to/for+the+work/do

 INPUT STRING:	بالسعودية
     IS_TRANS:	bAlsEwdyp
        INDEX:	P2W5
      OFFSETS:	24-33
       TOKENS:	P2W6-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suEuwdiy~ap_1]
   UNSPLITVOC:	(biAls~uEuwdiy~ap)
          POS:	PREP+DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	bi+Al+suEuwdiy~+ap
        GLOSS:	with/by+the+Saudi Arabia+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W6
      OFFSETS:	34-35
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	تقابل
     IS_TRANS:	tqAbl
        INDEX:	P2W7
      OFFSETS:	36-41
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAbil_1]
   UNSPLITVOC:	(tiqAbil)
          POS:	IV2MS+IV
          VOC:	ti+qAbil
        GLOSS:	you+meet/face

 INPUT STRING:	اول
     IS_TRANS:	Awl
        INDEX:	P2W8
      OFFSETS:	42-45
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aw~il_2]
   UNSPLITVOC:	(>aw~il)
          POS:	ADJ_NUM
          VOC:	>aw~il
        GLOSS:	first

 INPUT STRING:	مصري
     IS_TRANS:	mSry
        INDEX:	P2W9
      OFFSETS:	46-50
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriy)
          POS:	ADJ
          VOC:	maSoriy
        GLOSS:	Egyptian

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W10
      OFFSETS:	51-53
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مطار
     IS_TRANS:	mTAr
        INDEX:	P2W11
      OFFSETS:	54-58
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maTAr_1]
   UNSPLITVOC:	(maTAr)
          POS:	NOUN
          VOC:	maTAr
        GLOSS:	airport/airfield

 INPUT STRING:	القاهرة
     IS_TRANS:	AlqAhrp
        INDEX:	P2W12
      OFFSETS:	59-66
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAhirap_1]
   UNSPLITVOC:	(AlqAhirap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+qAhir+ap
        GLOSS:	the+Cairo+[fem.sg.]

 INPUT STRING:	يقوم
     IS_TRANS:	yqwm
        INDEX:	P2W13
      OFFSETS:	67-71
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(yaquwm)
          POS:	IV3MS+IV
          VOC:	ya+quwm
        GLOSS:	he/it+be based (on)/undertake

 INPUT STRING:	بتسديد
     IS_TRANS:	btsdyd
        INDEX:	P2W14
      OFFSETS:	72-78
       TOKENS:	P2W16-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tasodiyd_1]
   UNSPLITVOC:	(bitasodiyd)
          POS:	PREP+NOUN
          VOC:	bi+tasodiyd
        GLOSS:	with/by+aiming/shooting/giving

 INPUT STRING:	اغلي
     IS_TRANS:	Agly
        INDEX:	P2W15
      OFFSETS:	79-83
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>agolaY_1]
   UNSPLITVOC:	(>agolaY)
          POS:	ADJ_COMP
          VOC:	>agolaY
        GLOSS:	most expensive/most important

 INPUT STRING:	نصيحة
     IS_TRANS:	nSyHp
        INDEX:	P2W16
      OFFSETS:	84-89
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naSiyHap_1]
   UNSPLITVOC:	(naSiyHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	naSiyH+ap
        GLOSS:	advice , counsel , recommendation+[fem.sg.]

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P2W17
      OFFSETS:	90-92
       TOKENS:	P2W20-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lak)
          POS:	PREP+PRON_2MS
          VOC:	li+ak
        GLOSS:	to/for+you [masc.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W18
      OFFSETS:	93-94
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P2W19
      OFFSETS:	95-97
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	خد
     IS_TRANS:	xd
        INDEX:	P2W20
      OFFSETS:	98-100
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(xud)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	xud+(null)
        GLOSS:	take+you

 INPUT STRING:	بالك
     IS_TRANS:	bAlk
        INDEX:	P2W21
      OFFSETS:	101-105
       TOKENS:	P2W25-P2W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAl_1]
   UNSPLITVOC:	(bAlak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	bAl+ak
        GLOSS:	mind/attention+you

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W22
      OFFSETS:	106-108
       TOKENS:	P2W27-P2W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	المصريين
     IS_TRANS:	AlmSryyn
        INDEX:	P2W23
      OFFSETS:	109-117
       TOKENS:	P2W28-P2W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~iyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+maSoriy~+iyn
        GLOSS:	the+Egyptian+[masc.pl.]

 INPUT STRING:	حتي
     IS_TRANS:	Hty
        INDEX:	P2W24
      OFFSETS:	118-121
       TOKENS:	P2W29-P2W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	لدي
     IS_TRANS:	ldy
        INDEX:	P2W25
      OFFSETS:	122-125
       TOKENS:	P2W30-P2W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ladaY_1]
   UNSPLITVOC:	(ladaY)
          POS:	NOUN
          VOC:	ladaY
        GLOSS:	with/by

 INPUT STRING:	هبوطك
     IS_TRANS:	hbwTk
        INDEX:	P2W26
      OFFSETS:	126-131
       TOKENS:	P2W31-P2W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hduwT_1]
   UNSPLITVOC:	(hbuwTak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	hduwT+ak
        GLOSS:	landing/descent/drop/fall/downfall/decline+your

 INPUT STRING:	للاراضي
     IS_TRANS:	llArADy
        INDEX:	P2W27
      OFFSETS:	132-139
       TOKENS:	P2W33-P2W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aroD_1]
   UNSPLITVOC:	(lil>arADiy)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+>arADiy
        GLOSS:	for/to+the+lands

 INPUT STRING:	السعودية
     IS_TRANS:	AlsEwdyp
        INDEX:	P2W28
      OFFSETS:	140-148
       TOKENS:	P2W35-P2W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suEuwdiy_1]
   UNSPLITVOC:	(Als~uEuwdiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+suEuwdiy~+ap
        GLOSS:	the+Saudi+[fem.sg.]

 INPUT STRING:	تجد
     IS_TRANS:	tjd
        INDEX:	P2W29
      OFFSETS:	149-152
       TOKENS:	P2W36-P2W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajad_1]
   UNSPLITVOC:	(tajid)
          POS:	IV2MS+IV
          VOC:	t+jid
        GLOSS:	you+find

 INPUT STRING:	المصريين
     IS_TRANS:	AlmSryyn
        INDEX:	P2W30
      OFFSETS:	153-161
       TOKENS:	P2W37-P2W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~iyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+maSoriy~+iyn
        GLOSS:	the+Egyptian+[masc.pl.]

 INPUT STRING:	يحذرونك
     IS_TRANS:	yH*rwnk
        INDEX:	P2W31
      OFFSETS:	162-169
       TOKENS:	P2W38-P2W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ha*~ar_1]
   UNSPLITVOC:	(yiHa*~iruwnak)
          POS:	IV3MS+IV+IVSUFF_DO:2MS
          VOC:	y+H*rwn+ak
        GLOSS:	he/it+warn+you

 INPUT STRING:	نقس
     IS_TRANS:	nqs
        INDEX:	P2W32
      OFFSETS:	170-173
       TOKENS:	P2W40-P2W40
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(nqs)
          POS:	TYPO
          VOC:	nqs
        GLOSS:	nogloss

 INPUT STRING:	التحذير
     IS_TRANS:	AltH*yr
        INDEX:	P2W33
      OFFSETS:	174-181
       TOKENS:	P2W41-P2W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHo*iyr_1]
   UNSPLITVOC:	(Alt~aHo*iyr)
          POS:	DET+NOUN
          VOC:	Al+taHo*iyr
        GLOSS:	the+warning/caution

 INPUT STRING:	فلماذا
     IS_TRANS:	flmA*A
        INDEX:	P3W1
      OFFSETS:	1-7
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[limA*A_1]
   UNSPLITVOC:	(falimA*A)
          POS:	CONJ+INTERROG_ADV
          VOC:	fa+limA*A
        GLOSS:	so/and+why

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P3W2
      OFFSETS:	8-9
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	نحن
     IS_TRANS:	nHn
        INDEX:	P3W3
      OFFSETS:	10-13
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naHnu_1]
   UNSPLITVOC:	(naHonu)
          POS:	PRON_1P
          VOC:	naHonu
        GLOSS:	we

 INPUT STRING:	المصريين
     IS_TRANS:	AlmSryyn
        INDEX:	P3W4
      OFFSETS:	14-22
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~iyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+maSoriy~+iyn
        GLOSS:	the+Egyptian+[masc.pl.]

 INPUT STRING:	خير
     IS_TRANS:	xyr
        INDEX:	P3W5
      OFFSETS:	23-26
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xayor_2]
   UNSPLITVOC:	(xayor)
          POS:	ADJ_COMP
          VOC:	xayor
        GLOSS:	better/best

 INPUT STRING:	جند
     IS_TRANS:	jnd
        INDEX:	P3W6
      OFFSETS:	27-30
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[junodiy_1]
   UNSPLITVOC:	(junod)
          POS:	NOUN
          VOC:	junod
        GLOSS:	army

 INPUT STRING:	الارض
     IS_TRANS:	AlArD
        INDEX:	P3W7
      OFFSETS:	31-36
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aroD_1]
   UNSPLITVOC:	(Al>aroD)
          POS:	DET+NOUN
          VOC:	Al+>aroD
        GLOSS:	the+earth/territory/land/territories/land/earth/lands/territories

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P3W8
      OFFSETS:	37-38
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	اهم
     IS_TRANS:	Ahm
        INDEX:	P3W9
      OFFSETS:	39-42
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aham~_1]
   UNSPLITVOC:	(>aham~)
          POS:	ADJ_COMP
          VOC:	>aham~
        GLOSS:	more/most important

 INPUT STRING:	الشعوب
     IS_TRANS:	Al$Ewb
        INDEX:	P3W10
      OFFSETS:	43-49
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~uEuwb)
          POS:	DET+NOUN
          VOC:	Al+$uEuwb
        GLOSS:	the+peoples/nations

 INPUT STRING:	العربية
     IS_TRANS:	AlErbyp
        INDEX:	P3W11
      OFFSETS:	50-57
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+Arab/Arabic+[fem.sg.]

 INPUT STRING:	بشهادة
     IS_TRANS:	b$hAdp
        INDEX:	P3W12
      OFFSETS:	58-64
       TOKENS:	P3W13-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahAdap_1]
   UNSPLITVOC:	(bi$ahAdap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+$ahAd+ap
        GLOSS:	with/by+certificate/witness/testimony+[fem.sg.]

 INPUT STRING:	العرب
     IS_TRANS:	AlErb
        INDEX:	P3W13
      OFFSETS:	65-70
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy_1]
   UNSPLITVOC:	(AlEarab)
          POS:	DET+NOUN
          VOC:	Al+Earab
        GLOSS:	the+Arabs

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P3W14
      OFFSETS:	71-75
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	عارفين
     IS_TRANS:	EArfyn
        INDEX:	P3W15
      OFFSETS:	76-82
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	EArof+iyn
        GLOSS:	knowing/having knowledge of+[masc.pl.]

 INPUT STRING:	تاريخنا
     IS_TRANS:	tAryxnA
        INDEX:	P3W16
      OFFSETS:	83-90
       TOKENS:	P3W18-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAriyx_1]
   UNSPLITVOC:	(tAriyxnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	tAriyx+nA
        GLOSS:	date/history+our

 INPUT STRING:	كويس
     IS_TRANS:	kwys
        INDEX:	P3W17
      OFFSETS:	91-95
       TOKENS:	P3W20-P3W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~is)
          POS:	ADJ
          VOC:	kuway~is
        GLOSS:	good

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P3W18
      OFFSETS:	96-99
       TOKENS:	P3W21-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P4W1
      OFFSETS:	1-5
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(wilakin)
          POS:	CONJ+CONJ
          VOC:	wi+lakin
        GLOSS:	and+but

 INPUT STRING:	البعض
     IS_TRANS:	AlbED
        INDEX:	P4W2
      OFFSETS:	6-11
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(AlbaEoD)
          POS:	DET+NOUN
          VOC:	Al+baEoD
        GLOSS:	the+some, a few, little, part

 INPUT STRING:	ينكر
     IS_TRANS:	ynkr
        INDEX:	P4W3
      OFFSETS:	12-16
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nakar_1]
   UNSPLITVOC:	(yinokir)
          POS:	IV3MS+IV
          VOC:	yi+nokir
        GLOSS:	he/it+deny

 INPUT STRING:	ذلك
     IS_TRANS:	*lk
        INDEX:	P4W4
      OFFSETS:	17-20
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*alik_1]
   UNSPLITVOC:	(*alik)
          POS:	DEM_PRON_MS
          VOC:	*alik
        GLOSS:	that

 INPUT STRING:	وفي
     IS_TRANS:	wfy
        INDEX:	P4W5
      OFFSETS:	21-24
       TOKENS:	P4W6-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wafiy)
          POS:	CONJ+PREP
          VOC:	wa+fiy
        GLOSS:	and+in

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P4W6
      OFFSETS:	25-27
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	ازمة
     IS_TRANS:	Azmp
        INDEX:	P4W7
      OFFSETS:	28-32
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>azomap_1]
   UNSPLITVOC:	(>azomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>azom+ap
        GLOSS:	crisis+[fem.sg.]

 INPUT STRING:	تتجه
     IS_TRANS:	ttjh
        INDEX:	P4W8
      OFFSETS:	33-37
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~ajah_1]
   UNSPLITVOC:	(tit~ijih)
          POS:	IV3FS+IV
          VOC:	ti+t~ijih
        GLOSS:	it/they/she+be directed

 INPUT STRING:	عيون
     IS_TRANS:	Eywn
