 INPUT STRING:	الحكومة
   UNSPLITVOC:	(muHad~adap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muHad~ad+ap
        GLOSS:	set/determined/defined+[fem.sg.]

 INPUT STRING:	للاسف
     IS_TRANS:	llAsf
        INDEX:	P2W1
      OFFSETS:	0-5
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asaf_1]
   UNSPLITVOC:	(lilAsaf)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+Asaf
        GLOSS:	for/to+the+regret/sorry

 INPUT STRING:	الكثير
     IS_TRANS:	Alkvyr
        INDEX:	P2W2
      OFFSETS:	6-12
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaviyr_2]
   UNSPLITVOC:	(Alkaviyr)
          POS:	DET+ADJ
          VOC:	Al+kaviyr
        GLOSS:	the+many/much/numerous

 INPUT STRING:	طالبو
     IS_TRANS:	TAlbw
        INDEX:	P2W3
      OFFSETS:	13-18
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TAlab_1]
   UNSPLITVOC:	(TAlabuw)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	TAlab+uw
        GLOSS:	demand/require+they

 INPUT STRING:	بالغاء
     IS_TRANS:	bAlgA'
        INDEX:	P2W4
      OFFSETS:	19-25
       TOKENS:	P2W5-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<olgA'_1]
   UNSPLITVOC:	(bi<ilogA')
          POS:	PREP+NOUN
          VOC:	bi+<ilogA'
        GLOSS:	with/by+cancellation/abrogation/repeal

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P2W5
      OFFSETS:	26-29
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(h`*A)
          POS:	DEM_PRON_MS
          VOC:	h`*A
        GLOSS:	this [masc.sg.]

 INPUT STRING:	القانون
     IS_TRANS:	AlqAnwn
        INDEX:	P2W6
      OFFSETS:	30-37
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwn_1]
   UNSPLITVOC:	(AlqAnuwn)
          POS:	DET+NOUN
          VOC:	Al+qAnuwn
        GLOSS:	the+law/statutes/regulations

 INPUT STRING:	الذي
     IS_TRANS:	Al*y
        INDEX:	P2W7
      OFFSETS:	38-42
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom [masc.sg.]

 INPUT STRING:	تم
     IS_TRANS:	tm
        INDEX:	P2W8
      OFFSETS:	43-45
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(tam~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	tam~+(null)
        GLOSS:	conclude/take place+he/it [verb]

 INPUT STRING:	وضعة
     IS_TRANS:	wDEp
        INDEX:	P2W9
      OFFSETS:	46-50
       TOKENS:	P2W11-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waDoE_1]
   UNSPLITVOC:	(waDoEuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	waDoE+uh
        GLOSS:	laying down/putting/placing+his/its

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P2W10
      OFFSETS:	51-54
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	اغتيال
     IS_TRANS:	AgtyAl
        INDEX:	P2W11
      OFFSETS:	55-61
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{igotiyAl_1]
   UNSPLITVOC:	(AigotiyAl)
          POS:	NOUN
          VOC:	{igotiyAl
        GLOSS:	assassination/murder

 INPUT STRING:	السادات
     IS_TRANS:	AlsAdAt
        INDEX:	P2W12
      OFFSETS:	62-69
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAdAt_1]
   UNSPLITVOC:	(Als~AdAt)
          POS:	DET+NOUN_PROP
          VOC:	Al+sAdAt
        GLOSS:	the+Sadat

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P2W13
      OFFSETS:	70-71
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P2W14
      OFFSETS:	72-76
       TOKENS:	P2W17-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[l`kino]
   UNSPLITVOC:	(wil`kino)
          POS:	CONJ+CONJ
          VOC:	wi+l`kino
        GLOSS:	and+But, however, yet, still, nevertheless, on the other hand

 INPUT STRING:	الحكومة
     IS_TRANS:	AlHkwmp
        INDEX:	P2W15
      OFFSETS:	77-84
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmap_1]
   UNSPLITVOC:	(AlHukuwmap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hukuwm+ap
        GLOSS:	the+government/administration/governments/administrations+[fem.sg.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P2W16
      OFFSETS:	85-87
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	تصغي
     IS_TRANS:	tSgy
        INDEX:	P2W17
      OFFSETS:	88-92
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aSogaY_1]
   UNSPLITVOC:	(tuSogiy)
          POS:	IV3FS+IV+IVSUFF_MOOD:I
          VOC:	tu+Sogiy+(null)
        GLOSS:	it/they/she+pay attention/heed+[ind.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W18
      OFFSETS:	92-93
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W19
      OFFSETS:	93-94
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W20
      OFFSETS:	94-95
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	مافيش
     IS_TRANS:	mAfy$
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mAfiyh$)
          POS:	CONJ+PREP+PRON_3MS+NEG_PART
          VOC:	mA+fiy+h+$
        GLOSS:	not+in+he/it+not

 INPUT STRING:	فايدة
     IS_TRANS:	fAydp
        INDEX:	P3W2
      OFFSETS:	6-11
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAyodap_1]
   UNSPLITVOC:	(fAyodap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fAyod+ap
        GLOSS:	benefit/use+[fem.sg.]

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P3W3
      OFFSETS:	11-12
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	شكرا
     IS_TRANS:	$krA
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ukor_1]
   UNSPLITVOC:	($ukorAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	$ukor+AF
        GLOSS:	thank you/thanks+[acc.indef.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P4W2
      OFFSETS:	5-8
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P4W3
      OFFSETS:	9-12
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P4W4
      OFFSETS:	13-20
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P5W1
      OFFSETS:	0-2
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	اعتراضى
     IS_TRANS:	AEtrADY
        INDEX:	P5W2
      OFFSETS:	3-10
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{iEotirAD_1]
   UNSPLITVOC:	(AiEotirADiy)
          POS:	NOUN.VN+POSS_PRON_1S
          VOC:	{iEotirAD+iy
        GLOSS:	opposition/resistance/insertion+my

 INPUT STRING:	اولا
     IS_TRANS:	AwlA
        INDEX:	P5W3
      OFFSETS:	11-15
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw~al_1]
   UNSPLITVOC:	(>aw~alAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	>aw~al+AF
        GLOSS:	first of all/primarily/in the first place+[acc.indef.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W4
      OFFSETS:	16-19
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اعتقال
     IS_TRANS:	AEtqAl
        INDEX:	P5W5
      OFFSETS:	20-26
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotiqAl_1]
   UNSPLITVOC:	(AiEotiqAl)
          POS:	NOUN
          VOC:	AiEotiqAl
        GLOSS:	arrest/detention

 INPUT STRING:	الأحداث
     IS_TRANS:	Al>HdAv
        INDEX:	P5W6
      OFFSETS:	27-34
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(Al>aHodAv)
          POS:	DET+NOUN
          VOC:	Al+>aHodAv
        GLOSS:	the+events

 INPUT STRING:	ثن
     IS_TRANS:	vn
        INDEX:	P5W7
      OFFSETS:	35-37
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(vn)
          POS:	TYPO
          VOC:	vn
        GLOSS:	nogloss

 INPUT STRING:	اعتراضى
     IS_TRANS:	AEtrADY
        INDEX:	P5W8
      OFFSETS:	38-45
       TOKENS:	P5W9-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{iEotirAD_1]
   UNSPLITVOC:	(AiEotirADiy)
          POS:	NOUN.VN+POSS_PRON_1S
          VOC:	{iEotirAD+iy
        GLOSS:	opposition/resistance/insertion+my

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W9
      OFFSETS:	46-49
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	استمرار
     IS_TRANS:	AstmrAr
        INDEX:	P5W10
      OFFSETS:	50-57
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotimorAr_1]
   UNSPLITVOC:	(AisotimorAr)
          POS:	NOUN
          VOC:	AisotimorAr
        GLOSS:	continuation/continuity

 INPUT STRING:	العمل
     IS_TRANS:	AlEml
        INDEX:	P5W11
      OFFSETS:	58-63
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(AlEamal)
          POS:	DET+NOUN
          VOC:	Al+Eamal
        GLOSS:	the+work/action

 INPUT STRING:	بقانون
     IS_TRANS:	bqAnwn
        INDEX:	P5W12
      OFFSETS:	64-70
       TOKENS:	P5W14-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwn_1]
   UNSPLITVOC:	(biqAnuwn)
          POS:	PREP+NOUN
          VOC:	bi+qAnuwn
        GLOSS:	with/by+law/statutes/regulations

 INPUT STRING:	الطوارئ
     IS_TRANS:	AlTwAr}
        INDEX:	P5W13
      OFFSETS:	71-78
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Taroqap_1]
   UNSPLITVOC:	(AlT~awAri})
          POS:	DET+NOUN
          VOC:	Al+TawAri}
        GLOSS:	the+emergency

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P5W14
      OFFSETS:	79-81
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P5W15
      OFFSETS:	82-85
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W16
      OFFSETS:	86-87
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	لكنى
     IS_TRANS:	lknY
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin~iy)
          POS:	PSEUDO_VERB+PRON_1S
          VOC:	lakin+iy
        GLOSS:	But, however, yet, still, nevertheless, on the other hand+I

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P6W2
      OFFSETS:	5-7
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
