 INPUT STRING:	في
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wami$)
          POS:	CONJ+NEG_PART
          VOC:	wa+mi$
        GLOSS:	and+not

 INPUT STRING:	معني
     IS_TRANS:	mEny
        INDEX:	P2W2
      OFFSETS:	4-8
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEonaY_1]
   UNSPLITVOC:	(maEonaY)
          POS:	NOUN
          VOC:	maEonaY
        GLOSS:	meaning/sense

 INPUT STRING:	كدا
     IS_TRANS:	kdA
        INDEX:	P2W3
      OFFSETS:	9-12
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidA)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	this

 INPUT STRING:	بفرضه
     IS_TRANS:	bfrDh
        INDEX:	P2W4
      OFFSETS:	13-18
       TOKENS:	P2W5-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faraD_1]
   UNSPLITVOC:	(bi>aforaDuh)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:3MS
          VOC:	bi+>a+foraD+uh
        GLOSS:	[present-tense]+I+impose+him/it

 INPUT STRING:	عليكي
     IS_TRANS:	Elyky
        INDEX:	P2W5
      OFFSETS:	19-24
       TOKENS:	P2W8-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealaykiy)
          POS:	PREP+PRON_2FS
          VOC:	EalaY+ik
        GLOSS:	on/above+you

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P2W6
      OFFSETS:	25-29
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P2W7
      OFFSETS:	30-33
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P2W8
      OFFSETS:	34-36
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P2W9
      OFFSETS:	37-39
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P2W10
      OFFSETS:	40-42
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	حبايبي
     IS_TRANS:	HbAyby
        INDEX:	P2W11
      OFFSETS:	43-49
       TOKENS:	P2W15-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiyb_1]
   UNSPLITVOC:	(HabAyobiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	HabAyob+iy
        GLOSS:	dear/beloved/sweetheart+my

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P3W2
      OFFSETS:	3-7
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	نفكر
     IS_TRANS:	nfkr
        INDEX:	P3W3
      OFFSETS:	8-12
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(nifak~ar)
          POS:	IV1P+IV
          VOC:	ni+fak~ar
        GLOSS:	we+think/consider/ponder

 INPUT STRING:	بعقليه
     IS_TRANS:	bEqlyh
        INDEX:	P3W4
      OFFSETS:	13-19
       TOKENS:	P3W4-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaqoliy~ap_1]
   UNSPLITVOC:	(biEaqoliy~ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+Eaqoliy~+ap
        GLOSS:	with/by+mentality/attitude+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P3W5
      OFFSETS:	20-22
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	معني
     IS_TRANS:	mEny
        INDEX:	P3W6
      OFFSETS:	23-27
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEonaY_1]
   UNSPLITVOC:	(maEonaY)
          POS:	NOUN
          VOC:	maEonaY
        GLOSS:	meaning/sense

 INPUT STRING:	كدا
     IS_TRANS:	kdA
        INDEX:	P3W7
      OFFSETS:	28-31
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidA)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	this

 INPUT STRING:	اني
     IS_TRANS:	Any
        INDEX:	P3W8
      OFFSETS:	32-35
       TOKENS:	P3W9-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(>an~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	>an~+iy
        GLOSS:	that+I

 INPUT STRING:	زعلانه
     IS_TRANS:	zElAnh
        INDEX:	P3W9
      OFFSETS:	36-42
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaEolAn_1]
   UNSPLITVOC:	(zaEolAnap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	zaEolAn+ap
        GLOSS:	angry/annoyed+[fem.sg.]

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P3W10
      OFFSETS:	43-46
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	شركات
     IS_TRANS:	$rkAt
        INDEX:	P3W11
      OFFSETS:	47-52
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$arikap_1]
   UNSPLITVOC:	($arikAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	$arik+At
        GLOSS:	company/corporation/companies/corporations+[fem.pl.]

 INPUT STRING:	الاتصالات
     IS_TRANS:	AlAtSAlAt
        INDEX:	P3W12
      OFFSETS:	53-62
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~iSAl_1]
   UNSPLITVOC:	(AlAit~iSAlAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+Ait~iSAl+At
        GLOSS:	the+contact/communication+[fem.pl.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P3W13
      OFFSETS:	63-65
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P3W14
      OFFSETS:	66-69
       TOKENS:	P3W16-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	يهمني
     IS_TRANS:	yhmny
        INDEX:	P3W15
      OFFSETS:	70-75
       TOKENS:	P3W18-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ham~_1]
   UNSPLITVOC:	(yihim~iniy)
          POS:	IV3MS+IV+IVSUFF_DO:1S
          VOC:	yi+him~+niy
        GLOSS:	he/it+concern+me

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P3W16
      OFFSETS:	76-78
       TOKENS:	P3W20-P3W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P3W17
      OFFSETS:	79-82
       TOKENS:	P3W21-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	بقول
     IS_TRANS:	bqwl
        INDEX:	P3W18
      OFFSETS:	83-87
       TOKENS:	P3W22-P3W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bAaquwl)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+quwl
        GLOSS:	[present-tense]+I+said/say/be said/say/(for example)

 INPUT STRING:	راي
     IS_TRANS:	rAy
        INDEX:	P3W19
      OFFSETS:	88-91
       TOKENS:	P3W24-P3W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oy)
          POS:	NOUN
          VOC:	ra>oy
        GLOSS:	opinion/view/idea

 INPUT STRING:	وبناقشوا
     IS_TRANS:	wbnAq$wA
        INDEX:	P3W20
      OFFSETS:	92-100
       TOKENS:	P3W25-P3W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nAqa$_1]
   UNSPLITVOC:	(wabi>anAq$uh)
          POS:	CONJ+PROG_PART+IV1S+IV+IVSUFF_DO:3MS
          VOC:	wa+bi+>a+nAq$+uh
        GLOSS:	and+[present-tense]+I+discuss+him/it

 INPUT STRING:	معاكوا
     IS_TRANS:	mEAkwA
        INDEX:	P3W21
      OFFSETS:	101-107
       TOKENS:	P3W29-P3W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAkuw)
          POS:	NOUN+POSS_PRON_2P
          VOC:	maEa+kuw
        GLOSS:	with+your

 INPUT STRING:	واللي
     IS_TRANS:	wAlly
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(waAill~iy)
          POS:	CONJ+REL_PRON
          VOC:	wa+Aill~iy
        GLOSS:	and+which

 INPUT STRING:	زعلت
     IS_TRANS:	zElt
        INDEX:	P4W2
      OFFSETS:	6-10
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ziEil_1]
   UNSPLITVOC:	(ziEolit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	ziEol+it
        GLOSS:	be angry+it/they/she

 INPUT STRING:	واللي
     IS_TRANS:	wAlly
        INDEX:	P4W3
      OFFSETS:	11-16
       TOKENS:	P4W4-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(waAill~iy)
          POS:	CONJ+REL_PRON
          VOC:	wa+Aill~iy
        GLOSS:	and+which

 INPUT STRING:	اتقمصت
     IS_TRANS:	AtqmSt
        INDEX:	P4W4
      OFFSETS:	17-23
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>atoqomaS_1]
   UNSPLITVOC:	(>atoqomaSit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	>atoqomaS+it
        GLOSS:	be angry+it/they/she

 INPUT STRING:	واللي
     IS_TRANS:	wAlly
        INDEX:	P4W5
      OFFSETS:	24-29
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(waAill~iy)
          POS:	CONJ+REL_PRON
          VOC:	wa+Aill~iy
        GLOSS:	and+which

 INPUT STRING:	حسستني
     IS_TRANS:	Hsstny
        INDEX:	P4W6
      OFFSETS:	30-36
       TOKENS:	P4W9-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Has~is_1]
   UNSPLITVOC:	(Has~asitniy)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:1S
          VOC:	Has~as+it+niy
        GLOSS:	feel+it/she+me

 INPUT STRING:	كاني
     IS_TRANS:	kAny
        INDEX:	P4W7
      OFFSETS:	37-41
       TOKENS:	P4W11-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ka<in~_1]
   UNSPLITVOC:	(Ka<in~iy)
          POS:	PSEUDO_VERB+PRON_1S
          VOC:	Ka<in~+iy
        GLOSS:	as if+I

 INPUT STRING:	بقولها
     IS_TRANS:	bqwlhA
        INDEX:	P4W8
      OFFSETS:	42-48
       TOKENS:	P4W13-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bi<uquwllihA)
          POS:	PROG_PART+IV1S+IV+PREP+PRON_3FS
          VOC:	bi+<u+quwl+li+hA
        GLOSS:	[present-tense]+I+said+for/to+she/it

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P4W9
      OFFSETS:	49-53
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you

 INPUT STRING:	وهي
     IS_TRANS:	why
        INDEX:	P4W10
      OFFSETS:	54-57
       TOKENS:	P4W18-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(wahiy~a)
          POS:	CONJ+DEM_PRON_FS
          VOC:	wa+hiy~a
        GLOSS:	and+she

 INPUT STRING:	اوعي
     IS_TRANS:	AwEy
        INDEX:	P4W11
      OFFSETS:	58-62
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waEaY_1]
   UNSPLITVOC:	(>uwEiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	>uwE+iy
        GLOSS:	be cautious/beware+you

 INPUT STRING:	تقفلي
     IS_TRANS:	tqfly
        INDEX:	P4W12
      OFFSETS:	63-68
       TOKENS:	P4W21-P4W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qafal_1]
   UNSPLITVOC:	(tiqofiliy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+qofil+iy
        GLOSS:	you+lock+[fem.sg.]

 INPUT STRING:	تليفونك
     IS_TRANS:	tlyfwnk
        INDEX:	P4W13
      OFFSETS:	69-76
       TOKENS:	P4W22-P4W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tiliyfawn_1]
   UNSPLITVOC:	(tiliyfawnik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	tiliyfawn+ik
        GLOSS:	telephone+your

 INPUT STRING:	لحسن
     IS_TRANS:	lHsn
        INDEX:	P4W14
      OFFSETS:	77-81
       TOKENS:	P4W24-P4W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aHosan_2]
   UNSPLITVOC:	(laHosan)
          POS:	EMPHATIC_PART+ADJ_COMP
          VOC:	la+>aHosan
        GLOSS:	indeed/truly+better

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P4W15
      OFFSETS:	82-84
       TOKENS:	P4W26-P4W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هيحصلك
     IS_TRANS:	hyHSlk
        INDEX:	P4W16
      OFFSETS:	85-91
       TOKENS:	P4W27-P4W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HaSal_]
   UNSPLITVOC:	(HayiHaSal~ik)
          POS:	FUT_PART+IV3MS+IV+PREP+PRON_2FS
          VOC:	Ha+yi+HaSal+li+ik
        GLOSS:	will+he/it+occur/take place+for/to+you

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P4W17
      OFFSETS:	92-95
       TOKENS:	P4W31-P4W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P5W1
      OFFSETS:	0-2
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	ابدا
     IS_TRANS:	AbdA
        INDEX:	P5W2
      OFFSETS:	3-7
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>abad_1]
   UNSPLITVOC:	(>abadAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>abad+AF
        GLOSS:	at all+[acc.indef.]

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P5W3
      OFFSETS:	8-10
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P5W4
      OFFSETS:	11-13
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	كلنا
     IS_TRANS:	klnA
        INDEX:	P5W5
      OFFSETS:	14-18
       TOKENS:	P5W5-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~nA)
          POS:	NOUN_QUANT+POSS_PRON_1P
          VOC:	kul~+nA
        GLOSS:	all+our

 INPUT STRING:	بنطالب
     IS_TRANS:	bnTAlb
        INDEX:	P5W6
      OFFSETS:	19-25
       TOKENS:	P5W7-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAlib_1]
   UNSPLITVOC:	(biniTAlib)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+TAlib
        GLOSS:	[present-tense]+we+ask

 INPUT STRING:	بالديمقراطيه
     IS_TRANS:	bAldymqrATyh
        INDEX:	P5W7
      OFFSETS:	26-38
       TOKENS:	P5W9-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diymuqrATiy~ap_1]
   UNSPLITVOC:	(biAldiymuqrATiy~ap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+diymuqrATiy~+ap
        GLOSS:	with/by+the+democracy+[fem.sg.]

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P5W8
      OFFSETS:	39-43
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

