 INPUT STRING:	اغلب
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W6
      OFFSETS:	12-13
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W7
      OFFSETS:	13-14
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W8
      OFFSETS:	14-15
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W9
      OFFSETS:	15-16
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W10
      OFFSETS:	16-17
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W11
      OFFSETS:	17-18
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	حضارتنا
     IS_TRANS:	HDArtnA
        INDEX:	P5W1
      OFFSETS:	0-7
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HaDArap_1]
   UNSPLITVOC:	(HaDAratnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	HaDAr+at+nA
        GLOSS:	civilization/culture+[fem.sg.]+our

 INPUT STRING:	وتراثنا
     IS_TRANS:	wtrAvnA
        INDEX:	P5W2
      OFFSETS:	8-15
       TOKENS:	P5W3-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[turAv_1]
   UNSPLITVOC:	(waturAvnA)
          POS:	CONJ+NOUN+POSS_PRON_1P
          VOC:	wa+turAv+nA
        GLOSS:	and+heritage/inheritance+our

 INPUT STRING:	لدى
     IS_TRANS:	ldY
        INDEX:	P5W3
      OFFSETS:	16-19
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ladaY_1]
   UNSPLITVOC:	(ladaY)
          POS:	NOUN
          VOC:	ladaY
        GLOSS:	with/by

 INPUT STRING:	الغرب
     IS_TRANS:	Algrb
        INDEX:	P5W4
      OFFSETS:	20-25
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[garob_1]
   UNSPLITVOC:	(Algarob)
          POS:	DET+NOUN
          VOC:	Al+garob
        GLOSS:	the+west/West/westward/in the West

 INPUT STRING:	لماذا
     IS_TRANS:	lmA*A
        INDEX:	P6W1
      OFFSETS:	0-5
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[limA*A_1]
   UNSPLITVOC:	(limA*A)
          POS:	INTERROG_ADV
          VOC:	limA*A
        GLOSS:	why

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	نظرنا
     IS_TRANS:	nZrnA
        INDEX:	P7W2
      OFFSETS:	3-8
       TOKENS:	P7W2-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naZar_1]
   UNSPLITVOC:	(naZarnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	naZar+nA
        GLOSS:	view/look/seeing/eye-sight/glances/looking+our

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P7W3
      OFFSETS:	9-11
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	جماعه
     IS_TRANS:	jmAEh
        INDEX:	P7W4
      OFFSETS:	12-17
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAEap_1]
   UNSPLITVOC:	(jamAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jamAE+ap
        GLOSS:	party/group/squad/groups/parties/squads/Gama'a/Jemaah+[fem.sg.]

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P7W5
      OFFSETS:	18-21
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to

 INPUT STRING:	اغلب
     IS_TRANS:	Aglb
        INDEX:	P7W6
      OFFSETS:	22-26
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>agolab_1]
   UNSPLITVOC:	(>agolab)
          POS:	NOUN_QUANT
          VOC:	>agolab
        GLOSS:	most

 INPUT STRING:	الاثارات
     IS_TRANS:	AlAvArAt
        INDEX:	P7W7
      OFFSETS:	27-35
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|vAr_1]
   UNSPLITVOC:	(AlAvArAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+AvAr+At
        GLOSS:	the+antiquities+[fem.pl.]

 INPUT STRING:	والحضاره
     IS_TRANS:	wAlHDArh
        INDEX:	P7W8
      OFFSETS:	36-44
       TOKENS:	P7W9-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaDArap_1]
   UNSPLITVOC:	(wiAlHaDArap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+HaDAr+ap
        GLOSS:	and+the+civilization/culture/civilizations/cultures+[fem.sg.]

 INPUT STRING:	العربيه
     IS_TRANS:	AlErbyh
        INDEX:	P7W9
      OFFSETS:	45-52
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+Arab/Arabic+[fem.sg.]

 INPUT STRING:	نجدها
     IS_TRANS:	njdhA
        INDEX:	P7W10
      OFFSETS:	53-58
       TOKENS:	P7W12-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajad_1]
   UNSPLITVOC:	(najidhA)
          POS:	IV1P+IV+IVSUFF_DO:3FS
          VOC:	na+jid+hA
        GLOSS:	we+find+it/her/them

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P7W11
      OFFSETS:	59-61
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	متاحف
     IS_TRANS:	mtAHf
        INDEX:	P7W12
      OFFSETS:	62-67
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[matoHaf_1]
   UNSPLITVOC:	(matAHif)
          POS:	NOUN
          VOC:	matAHif
        GLOSS:	museums

 INPUT STRING:	الغرب
     IS_TRANS:	Algrb
        INDEX:	P7W13
      OFFSETS:	68-73
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[garob_1]
   UNSPLITVOC:	(Algarob)
          POS:	DET+NOUN
          VOC:	Al+garob
        GLOSS:	the+west/West/westward/in the West

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P7W14
      OFFSETS:	74-76
       TOKENS:	P7W17-P7W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	باريس
     IS_TRANS:	bArys
        INDEX:	P7W15
      OFFSETS:	77-82
       TOKENS:	P7W18-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAriys_1]
   UNSPLITVOC:	(bAriys)
          POS:	NOUN_PROP
          VOC:	bAriys
        GLOSS:	Paris

 INPUT STRING:	وروما
     IS_TRANS:	wrwmA
        INDEX:	P7W16
      OFFSETS:	83-88
       TOKENS:	P7W19-P7W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rawmA_1]
   UNSPLITVOC:	(wirawmA)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+rawmA
        GLOSS:	and+Rome

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	لماذا
     IS_TRANS:	lmA*A
        INDEX:	P8W2
      OFFSETS:	4-9
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[limA*A_1]
   UNSPLITVOC:	(limA*A)
          POS:	INTERROG_ADV
          VOC:	limA*A
        GLOSS:	why

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P8W3
      OFFSETS:	9-10
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P8W4
      OFFSETS:	10-11
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P8W5
      OFFSETS:	11-12
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P8W6
      OFFSETS:	12-13
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P8W7
      OFFSETS:	13-14
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	قسم
     IS_TRANS:	qsm
        INDEX:	P9W1
      OFFSETS:	0-3
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qisom_1]
   UNSPLITVOC:	(qisom)
          POS:	NOUN
          VOC:	qisom
        GLOSS:	department/division/section

 INPUT STRING:	كبير
     IS_TRANS:	kbyr
        INDEX:	P9W2
      OFFSETS:	4-8
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kabiyr_1]
   UNSPLITVOC:	(kabiyr)
          POS:	ADJ
          VOC:	kabiyr
        GLOSS:	large/great/important/major/senior/senior/important

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W3
      OFFSETS:	9-11
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اثار
     IS_TRANS:	AvAr
        INDEX:	P9W4
      OFFSETS:	12-16
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>avar_1]
   UNSPLITVOC:	(|vAr)
          POS:	NOUN
          VOC:	|vAr
        GLOSS:	antiquities

 INPUT STRING:	الفراعنه
     IS_TRANS:	AlfrAEnh
        INDEX:	P9W5
      OFFSETS:	17-25
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[firoEawn_1]
   UNSPLITVOC:	(AlfarAEinap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+farAEin+ap
        GLOSS:	the+Pharaohs+[fem.sg.]

 INPUT STRING:	سرق
     IS_TRANS:	srq
        INDEX:	P9W6
      OFFSETS:	26-29
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saraq_1]
   UNSPLITVOC:	(suriq)
          POS:	PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	suriq+(null)
        GLOSS:	steal+he/it

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P9W7
      OFFSETS:	30-33
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	يد
     IS_TRANS:	yd
        INDEX:	P9W8
      OFFSETS:	34-36
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yad_1]
   UNSPLITVOC:	(yad)
          POS:	NOUN
          VOC:	yad
        GLOSS:	hand

 INPUT STRING:	منظمات
     IS_TRANS:	mnZmAt
        INDEX:	P9W9
      OFFSETS:	37-43
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munaZ~amap_1]
   UNSPLITVOC:	(munaZ~amAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	munaZ~am+At
        GLOSS:	organizations+[fem.pl.]

 INPUT STRING:	اجنبيه
     IS_TRANS:	Ajnbyh
        INDEX:	P9W10
      OFFSETS:	44-50
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajonabiy_1]
   UNSPLITVOC:	(>ajonabiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	>ajonabiy~+ap
        GLOSS:	foreign+[fem.sg.]

 INPUT STRING:	واين
     IS_TRANS:	wAyn
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayona_1]
   UNSPLITVOC:	(wa>ayona)
          POS:	CONJ+INTERROG_ADV
          VOC:	wa+>ayona
        GLOSS:	and+where

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P10W2
