 INPUT STRING:	سؤالى
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W6
      OFFSETS:	18-19
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W7
      OFFSETS:	19-20
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P2W1
      OFFSETS:	0-2
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	شيخ
     IS_TRANS:	$yx
        INDEX:	P2W2
      OFFSETS:	3-6
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	($ayx)
          POS:	NOUN
          VOC:	$ayx
        GLOSS:	Sheikh/chieftain

 INPUT STRING:	حسان
     IS_TRANS:	HsAn
        INDEX:	P2W3
      OFFSETS:	7-11
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HasAn_1]
   UNSPLITVOC:	(HasAn)
          POS:	NOUN_PROP
          VOC:	HasAn
        GLOSS:	HasAn

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W4
      OFFSETS:	11-12
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W5
      OFFSETS:	12-13
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W6
      OFFSETS:	13-14
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W7
      OFFSETS:	14-15
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P2W8
      OFFSETS:	16-19
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P2W9
      OFFSETS:	20-24
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	حصل
     IS_TRANS:	HSl
        INDEX:	P2W10
      OFFSETS:	25-28
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(HaSal)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	HaSal+(null)
        GLOSS:	occur/happen/take place+he/it

 INPUT STRING:	هتأمن
     IS_TRANS:	ht>mn
        INDEX:	P2W11
      OFFSETS:	29-34
       TOKENS:	P2W11-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>am~in_1]
   UNSPLITVOC:	(Hati>am~in)
          POS:	FUT_PART+IV2MS+IV
          VOC:	Ha+ti+>am~in
        GLOSS:	will+you+trust

 INPUT STRING:	للحكومة
     IS_TRANS:	llHkwmp
        INDEX:	P2W12
      OFFSETS:	35-42
       TOKENS:	P2W13-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmap_1]
   UNSPLITVOC:	(lilHukuwmap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+Hukuwm+ap
        GLOSS:	for/to+the+government/administration/governments/administrations+[fem.sg.]

 INPUT STRING:	تتصرف
     IS_TRANS:	ttSrf
        INDEX:	P2W13
      OFFSETS:	43-48
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoSar~af_1]
   UNSPLITVOC:	(titoSar~af)
          POS:	IV3FS+IV
          VOC:	ti+toSar~af
        GLOSS:	she/it+behave

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P2W14
      OFFSETS:	49-51
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	فلوس
     IS_TRANS:	flws
        INDEX:	P2W15
      OFFSETS:	52-56
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[filos_1]
   UNSPLITVOC:	(filuws)
          POS:	NOUN
          VOC:	filuws
        GLOSS:	fils (small coins)/money

 INPUT STRING:	الحملة
     IS_TRANS:	AlHmlp
        INDEX:	P2W16
      OFFSETS:	57-63
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamolap_1]
   UNSPLITVOC:	(AlHamolap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hamol+ap
        GLOSS:	the+campaign/expedition/attack/campaigns/expeditions/attacks+[fem.sg.]

 INPUT STRING:	بتاعتك
     IS_TRANS:	btAEtk
        INDEX:	P2W17
      OFFSETS:	64-70
       TOKENS:	P2W19-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAEatak)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2MS
          VOC:	bitAE+at+ak
        GLOSS:	owned by+[fem.sg.]+your

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W18
      OFFSETS:	71-72
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P3W1
      OFFSETS:	0-1
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P3W2
      OFFSETS:	2-6
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	هنرضى
     IS_TRANS:	hnrDY
        INDEX:	P3W3
      OFFSETS:	7-12
       TOKENS:	P3W3-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riDiy_1]
   UNSPLITVOC:	(HaniroDaY)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+roDaY
        GLOSS:	will+we+be pleased with

 INPUT STRING:	ندفع
     IS_TRANS:	ndfE
        INDEX:	P3W4
      OFFSETS:	13-17
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dafaE_1]
   UNSPLITVOC:	(nidofaE)
          POS:	IV1P+IV
          VOC:	ni+dofaE
        GLOSS:	we+pay

 INPUT STRING:	الفلوس
     IS_TRANS:	Alflws
        INDEX:	P3W5
      OFFSETS:	18-24
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[filos_1]
   UNSPLITVOC:	(Alfiluws)
          POS:	DET+NOUN
          VOC:	Al+filuws
        GLOSS:	the+money

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P3W6
      OFFSETS:	25-27
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P3W7
      OFFSETS:	28-33
       TOKENS:	P3W8-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+matter/affair

 INPUT STRING:	نساعد
     IS_TRANS:	nsAEd
        INDEX:	P3W8
      OFFSETS:	34-39
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEid_1]
   UNSPLITVOC:	(nisAEid)
          POS:	IV1P+IV
          VOC:	ni+sAEid
        GLOSS:	we+help/assist/support/contribute

 INPUT STRING:	الاقتصاد
     IS_TRANS:	AlAqtSAd
        INDEX:	P3W9
      OFFSETS:	40-48
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{iqotiSAd_1]
   UNSPLITVOC:	(AlAiqotiSAd)
          POS:	DET+NOUN
          VOC:	Al+{iqotiSAd
        GLOSS:	the+economy/saving

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P3W10
      OFFSETS:	49-50
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P3W11
      OFFSETS:	51-56
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P3W12
      OFFSETS:	57-58
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P3W13
      OFFSETS:	59-63
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P3W14
      OFFSETS:	64-66
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	واثقين
     IS_TRANS:	wAvqyn
        INDEX:	P3W15
      OFFSETS:	67-73
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAviq_1]
   UNSPLITVOC:	(wAvoqiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	wAvoq+iyn
        GLOSS:	certain/confident+two

 INPUT STRING:	الفلوس
     IS_TRANS:	Alflws
        INDEX:	P3W16
      OFFSETS:	74-80
       TOKENS:	P3W18-P3W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[filos_1]
   UNSPLITVOC:	(Alfiluws)
          POS:	DET+NOUN
          VOC:	Al+filuws
        GLOSS:	the+money

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P3W17
      OFFSETS:	81-83
       TOKENS:	P3W19-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	بتروح
     IS_TRANS:	btrwH
        INDEX:	P3W18
      OFFSETS:	84-89
       TOKENS:	P3W20-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(bitiruwH)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+ruwH
        GLOSS:	[present-tense]+it/they/she+go

 INPUT STRING:	فين
     IS_TRANS:	fyn
        INDEX:	P3W19
      OFFSETS:	90-93
       TOKENS:	P3W22-P3W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fayon_1]
   UNSPLITVOC:	(fayon)
          POS:	INTERROG_ADV
          VOC:	fayon
        GLOSS:	where

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P3W20
      OFFSETS:	94-95
       TOKENS:	P3W23-P3W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P3W21
      OFFSETS:	96-98
       TOKENS:	P3W24-P3W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(lA)
          POS:	TYPO
          VOC:	lA
        GLOSS:	nogloss

 INPUT STRING:	هتروح
     IS_TRANS:	htrwH
        INDEX:	P3W22
      OFFSETS:	99-104
       TOKENS:	P3W25-P3W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(HatiruwH)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+ruwH
        GLOSS:	will+it/they/she+go

 INPUT STRING:	فين
     IS_TRANS:	fyn
        INDEX:	P3W23
      OFFSETS:	105-108
       TOKENS:	P3W27-P3W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fayon_1]
   UNSPLITVOC:	(fayon)
          POS:	INTERROG_ADV
          VOC:	fayon
        GLOSS:	where

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P3W24
      OFFSETS:	109-110
       TOKENS:	P3W28-P3W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P4W1
      OFFSETS:	0-2
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	نفسى
     IS_TRANS:	nfsY
        INDEX:	P4W2
      OFFSETS:	3-7
       TOKENS:	P4W2-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	nafos+iy
        GLOSS:	same/self/selves+my

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P5W1
      OFFSETS:	0-2
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	هيقولوا
     IS_TRANS:	hyqwlwA
        INDEX:	P5W2
      OFFSETS:	3-10
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(HayiquwluwA)
          POS:	FUT_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	Ha+yi+quwl+uwA
        GLOSS:	will+they+said/say/be said/say/(for example)+we

 INPUT STRING:	لى
     IS_TRANS:	lY
        INDEX:	P5W3
      OFFSETS:	11-13
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy~a)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to+I

 INPUT STRING:	أوجه
     IS_TRANS:	>wjh
        INDEX:	P5W4
      OFFSETS:	14-18
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waj~ih_1]
   UNSPLITVOC:	(Aawaj~ih)
          POS:	IV1S+IV
          VOC:	Aa+waj~ih
        GLOSS:	I+direct

 INPUT STRING:	انفاق
     IS_TRANS:	AnfAq
        INDEX:	P5W5
      OFFSETS:	19-24
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inofAq_1]
   UNSPLITVOC:	(<inofAq)
          POS:	NOUN
          VOC:	<inofAq
        GLOSS:	expenditure/disbursement/expenses

 INPUT STRING:	الفلوس
     IS_TRANS:	Alflws
        INDEX:	P5W6
      OFFSETS:	25-31
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[filos_1]
   UNSPLITVOC:	(Alfiluws)
          POS:	DET+NOUN
          VOC:	Al+filuws
        GLOSS:	the+money

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P5W7
      OFFSETS:	32-34
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	فين
     IS_TRANS:	fyn
        INDEX:	P5W8
      OFFSETS:	35-38
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fayon_1]
   UNSPLITVOC:	(fayon)
          POS:	INTERROG_ADV
          VOC:	fayon
        GLOSS:	where

 INPUT STRING:	هروح
     IS_TRANS:	hrwH
        INDEX:	P5W9
      OFFSETS:	39-43
       TOKENS:	P5W11-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(HaAaruwH)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+ruwH
        GLOSS:	will+I+go

 INPUT STRING:	اشترك
     IS_TRANS:	A$trk
        INDEX:	P5W10
      OFFSETS:	44-49
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otarak_1]
   UNSPLITVOC:	(Aa$otirik)
          POS:	IV1S+IV
          VOC:	Aa+$otirik
        GLOSS:	I+participate

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P5W11
      OFFSETS:	50-54
       TOKENS:	P5W14-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+her/it

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W12
      OFFSETS:	55-57
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اللحظة
     IS_TRANS:	AllHZp
        INDEX:	P5W13
      OFFSETS:	58-64
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laHoZap_1]
   UNSPLITVOC:	(All~aHoZap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+laHoZ+ap
        GLOSS:	the+moment/instant/moments/instants+[fem.sg.]

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P5W14
      OFFSETS:	65-67
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W15
      OFFSETS:	67-68
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W16
      OFFSETS:	68-69
       TOKENS:	P5W20-P5W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W17
      OFFSETS:	69-70
