 INPUT STRING:	تفجير
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	تصدير
     IS_TRANS:	tSdyr
        INDEX:	P1W13
      OFFSETS:	62-67
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taSodiyr_1]
   UNSPLITVOC:	(taSodiyr)
          POS:	NOUN
          VOC:	taSodiyr
        GLOSS:	export/exporting/exports

 INPUT STRING:	الغاز
     IS_TRANS:	AlgAz
        INDEX:	P1W14
      OFFSETS:	68-73
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAz_1]
   UNSPLITVOC:	(AlgAz)
          POS:	DET+NOUN
          VOC:	Al+gAz
        GLOSS:	the+gas/gasses

 INPUT STRING:	لاسرائيل
     IS_TRANS:	lAsrA}yl
        INDEX:	P1W15
      OFFSETS:	74-82
       TOKENS:	P1W17-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyl_1]
   UNSPLITVOC:	(li<isorA}iyl)
          POS:	PREP+NOUN_PROP
          VOC:	li+<isorA}iyl
        GLOSS:	for/to+Israel

 INPUT STRING:	للمرة
     IS_TRANS:	llmrp
        INDEX:	P1W16
      OFFSETS:	83-88
       TOKENS:	P1W19-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(lilmar~ap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+mar~+ap
        GLOSS:	for/to+the+occasion/time/moment/occasions/times/moments+[fem.sg.]

 INPUT STRING:	الثانية
     IS_TRANS:	AlvAnyp
        INDEX:	P1W17
      OFFSETS:	89-96
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(AlvAniyap)
          POS:	DET+ADJ_NUM+NSUFF_FEM_SG
          VOC:	Al+vAniy+ap
        GLOSS:	the+second/next+[fem.sg.]

 INPUT STRING:	عشر
     IS_TRANS:	E$r
        INDEX:	P1W18
      OFFSETS:	97-100
       TOKENS:	P1W22-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$or_1]
   UNSPLITVOC:	(Ea$or)
          POS:	NOUN
          VOC:	Ea$or
        GLOSS:	ten/tens/scores/dozens

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P1W19
      OFFSETS:	101-106
       TOKENS:	P1W23-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyawm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	حيث
     IS_TRANS:	Hyv
        INDEX:	P1W20
      OFFSETS:	107-110
       TOKENS:	P1W24-P1W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hayov_1]
   UNSPLITVOC:	(Hayov)
          POS:	REL_ADV
          VOC:	Hayov
        GLOSS:	where/whereby/since/given that

 INPUT STRING:	تم
     IS_TRANS:	tm
        INDEX:	P1W21
      OFFSETS:	111-113
       TOKENS:	P1W25-P1W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(tam~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	tam~+(null)
        GLOSS:	conclude/take place+he/it

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P1W22
      OFFSETS:	114-116
       TOKENS:	P1W26-P1W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	تمام
     IS_TRANS:	tmAm
        INDEX:	P1W23
      OFFSETS:	117-121
       TOKENS:	P1W27-P1W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamAm_1]
   UNSPLITVOC:	(tamAm)
          POS:	NOUN
          VOC:	tamAm
        GLOSS:	exact/complete

 INPUT STRING:	الساعه
     IS_TRANS:	AlsAEh
        INDEX:	P1W24
      OFFSETS:	122-128
       TOKENS:	P1W28-P1W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(Als~AEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+sAE+ap
        GLOSS:	the+hour/time/hours+[fem.sg.]

 INPUT STRING:	الواحدة
     IS_TRANS:	AlwAHdp
        INDEX:	P1W25
      OFFSETS:	129-136
       TOKENS:	P1W29-P1W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHodap_1]
   UNSPLITVOC:	(AlwAHodap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+wAHod+ap
        GLOSS:	the+one+[fem.sg.]

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P1W26
      OFFSETS:	137-140
       TOKENS:	P1W30-P1W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	PREP
          VOC:	<il~A
        GLOSS:	but

 INPUT STRING:	عشرة
     IS_TRANS:	E$rp
        INDEX:	P1W27
      OFFSETS:	141-145
       TOKENS:	P1W31-P1W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$arap_1]
   UNSPLITVOC:	(Ea$arap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	Ea$ar+ap
        GLOSS:	ten+[fem.sg.]

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P1W28
      OFFSETS:	146-151
       TOKENS:	P1W32-P1W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyawm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	ملسمون
     IS_TRANS:	mlsmwn
        INDEX:	P1W29
      OFFSETS:	152-158
       TOKENS:	P1W33-P1W33
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mlsmwn)
          POS:	TYPO
          VOC:	mlsmwn
        GLOSS:	nogloss

 INPUT STRING:	مجهولون
     IS_TRANS:	mjhwlwn
        INDEX:	P1W30
      OFFSETS:	159-166
       TOKENS:	P1W34-P1W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[majohuwl_1]
   UNSPLITVOC:	(majohuwluwna)
          POS:	ADJ+NSUFF_MASC_PL_NOM
          VOC:	majohuwl+uwna
        GLOSS:	unknown/unidentified+[masc.pl.]

 INPUT STRING:	ومسلحون
     IS_TRANS:	wmslHwn
        INDEX:	P1W31
      OFFSETS:	167-174
       TOKENS:	P1W35-P1W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[musal~aH_1]
   UNSPLITVOC:	(wmusal~aHuwn)
          POS:	CONJ+ADJ+NSUFF_MASC_PL
          VOC:	w+musal~aH+uwn
        GLOSS:	and+armed+[masc.pl.]

 INPUT STRING:	بتفجير
     IS_TRANS:	btfjyr
        INDEX:	P1W32
      OFFSETS:	175-181
       TOKENS:	P1W37-P1W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tafojiyr_1]
   UNSPLITVOC:	(bitafojiyr)
          POS:	PREP+NOUN
          VOC:	bi+tafojiyr
        GLOSS:	with/by+blowing up/exploding/detonating/explosion

 INPUT STRING:	خط
     IS_TRANS:	xT
        INDEX:	P1W33
      OFFSETS:	182-184
       TOKENS:	P1W39-P1W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaT~_1]
   UNSPLITVOC:	(xaT~)
          POS:	NOUN
          VOC:	xaT~
        GLOSS:	line

 INPUT STRING:	الغاز
     IS_TRANS:	AlgAz
        INDEX:	P1W34
      OFFSETS:	185-190
       TOKENS:	P1W40-P1W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAz_1]
   UNSPLITVOC:	(AlgAz)
          POS:	DET+NOUN
          VOC:	Al+gAz
        GLOSS:	the+gas/gasses

 INPUT STRING:	الذي
     IS_TRANS:	Al*y
        INDEX:	P1W35
      OFFSETS:	191-195
       TOKENS:	P1W41-P1W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom [masc.sg.]

 INPUT STRING:	يستخدم
     IS_TRANS:	ystxdm
        INDEX:	P1W36
      OFFSETS:	196-202
       TOKENS:	P1W42-P1W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aisotaxodam_1]
   UNSPLITVOC:	(yusotaxodam)
          POS:	IV3MS+IV_PASS
          VOC:	yu+sotaxodam
        GLOSS:	he/it+be used

 INPUT STRING:	لتصدير
     IS_TRANS:	ltSdyr
        INDEX:	P1W37
      OFFSETS:	203-209
       TOKENS:	P1W43-P1W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taSodiyr_1]
   UNSPLITVOC:	(litaSodiyr)
          POS:	PREP+NOUN
          VOC:	li+taSodiyr
        GLOSS:	for/to+export/exporting/exports

 INPUT STRING:	الغاز
     IS_TRANS:	AlgAz
        INDEX:	P1W38
      OFFSETS:	210-215
       TOKENS:	P1W45-P1W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAz_1]
   UNSPLITVOC:	(AlgAz)
          POS:	DET+NOUN
          VOC:	Al+gAz
        GLOSS:	the+gas/gasses

 INPUT STRING:	لاسرائيل
     IS_TRANS:	lAsrA}yl
        INDEX:	P1W39
      OFFSETS:	216-224
       TOKENS:	P1W46-P1W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyl_1]
   UNSPLITVOC:	(li<isorA}iyl)
          POS:	PREP+NOUN_PROP
          VOC:	li+<isorA}iyl
        GLOSS:	for/to+Israel

 INPUT STRING:	للمرة
     IS_TRANS:	llmrp
        INDEX:	P1W40
      OFFSETS:	225-230
       TOKENS:	P1W48-P1W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(lilmar~ap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+mar~+ap
        GLOSS:	for/to+the+occasion/time/moment/occasions/times/moments+[fem.sg.]

 INPUT STRING:	الثانية
     IS_TRANS:	AlvAnyp
        INDEX:	P1W41
      OFFSETS:	231-238
       TOKENS:	P1W50-P1W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAnoyap_1]
   UNSPLITVOC:	(Alv~Anoyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vAnoy+ap
        GLOSS:	the+second+[fem.sg.]

 INPUT STRING:	عشر
     IS_TRANS:	E$r
        INDEX:	P1W42
      OFFSETS:	239-242
       TOKENS:	P1W51-P1W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$or_1]
   UNSPLITVOC:	(Ea$or)
          POS:	NOUN
          VOC:	Ea$or
        GLOSS:	ten/tens/scores/dozens

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P1W43
      OFFSETS:	242-243
       TOKENS:	P1W52-P1W52
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وذلك
     IS_TRANS:	w*lk
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*`lika_1]
   UNSPLITVOC:	(wa*`lika)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wa+*`lika
        GLOSS:	and+that

 INPUT STRING:	غرب
     IS_TRANS:	grb
        INDEX:	P2W2
      OFFSETS:	5-8
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[garob_1]
   UNSPLITVOC:	(garob)
          POS:	NOUN
          VOC:	garob
        GLOSS:	west/West/westward/in the West

 INPUT STRING:	العريش
     IS_TRANS:	AlEry$
        INDEX:	P2W3
      OFFSETS:	9-15
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eariy$_1]
   UNSPLITVOC:	(AlEariy$)
          POS:	DET+NOUN_PROP
          VOC:	Al+Eariy$
        GLOSS:	the+Arish

 INPUT STRING:	وتحديدا
     IS_TRANS:	wtHdydA
        INDEX:	P2W4
      OFFSETS:	16-23
       TOKENS:	P2W5-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHodiyd_1]
   UNSPLITVOC:	(witaHodiydAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wi+taHodiyd+AF
        GLOSS:	and+exactly+[acc.indef.]

 INPUT STRING:	بالقرب
     IS_TRANS:	bAlqrb
        INDEX:	P2W5
      OFFSETS:	24-30
       TOKENS:	P2W7-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qurob_1]
   UNSPLITVOC:	(biAlqurob)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+qurob
        GLOSS:	with/by+the+near/proximity/nearness

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W6
      OFFSETS:	31-33
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	محطة
     IS_TRANS:	mHTp
        INDEX:	P2W7
      OFFSETS:	34-38
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHaT~ap_1]
   UNSPLITVOC:	(maHaT~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maHaT~+ap
        GLOSS:	station/stop/layover+[fem.sg.]

 INPUT STRING:	السبيل
     IS_TRANS:	Alsbyl
        INDEX:	P2W8
      OFFSETS:	39-45
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabiyl_1]
   UNSPLITVOC:	(Als~abiyl)
          POS:	DET+NOUN
          VOC:	Al+sabiyl
        GLOSS:	the+way/road

 INPUT STRING:	والتي
     IS_TRANS:	wAlty
        INDEX:	P2W9
      OFFSETS:	46-51
       TOKENS:	P2W12-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(wiAl~atiy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Al~atiy
        GLOSS:	and+which

 INPUT STRING:	تم
     IS_TRANS:	tm
        INDEX:	P2W10
      OFFSETS:	52-54
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(tam~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	tam~+(null)
        GLOSS:	conclude/take place+he/it

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W11
      OFFSETS:	55-57
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P2W12
      OFFSETS:	58-61
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	تفجير
     IS_TRANS:	tfjyr
        INDEX:	P2W13
      OFFSETS:	62-67
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tafojiyr_1]
   UNSPLITVOC:	(tafojiyr)
          POS:	NOUN
          VOC:	tafojiyr
        GLOSS:	blowing up/exploding/detonating/explosion

 INPUT STRING:	خط
     IS_TRANS:	xT
        INDEX:	P2W14
      OFFSETS:	68-70
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaT~_1]
   UNSPLITVOC:	(xaT~)
          POS:	NOUN
          VOC:	xaT~
        GLOSS:	line

 INPUT STRING:	الغاز
     IS_TRANS:	AlgAz
        INDEX:	P2W15
      OFFSETS:	71-76
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAz_1]
   UNSPLITVOC:	(AlgAz)
          POS:	DET+NOUN
          VOC:	Al+gAz
        GLOSS:	the+gas/gasses

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P2W16
      OFFSETS:	77-81
       TOKENS:	P2W20-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+she/it

 INPUT STRING:	مرتين
     IS_TRANS:	mrtyn
        INDEX:	P2W17
      OFFSETS:	82-87
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(mar~itayn)
          POS:	NOUN
          VOC:	mar~itayn
        GLOSS:	occasion/time/moment/occasions/times/moments

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W18
      OFFSETS:	88-90
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P2W19
      OFFSETS:	91-94
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	وتعتبر
     IS_TRANS:	wtEtbr
        INDEX:	P2W20
      OFFSETS:	95-101
       TOKENS:	P2W25-P2W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AiEtabar_1]
   UNSPLITVOC:	(wituEtabar)
          POS:	CONJ+IV3FS+IV_PASS
          VOC:	wi+tu+Etabar
        GLOSS:	and+it/they/she+be considered

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P2W21
      OFFSETS:	102-105
       TOKENS:	P2W27-P2W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(h`*ihi)
          POS:	DEM_PRON_F
          VOC:	h`*ihi
        GLOSS:	this/these

 INPUT STRING:	الثالثة
     IS_TRANS:	AlvAlvp
        INDEX:	P2W22
      OFFSETS:	106-113
