 INPUT STRING:	احترمه
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ra$~aH_1]
   UNSPLITVOC:	(>ara$~aHuh)
          POS:	IV1S+IV+IVSUFF_DO:3MS
          VOC:	>a+ra$~aH+uh
        GLOSS:	I+nominate/appoint as candidate+it/him

 INPUT STRING:	ليس
     IS_TRANS:	lys
        INDEX:	P1W17
      OFFSETS:	90-93
       TOKENS:	P1W25-P1W25
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[layosa_2]
   UNSPLITVOC:	(layosa)
          POS:	NEG_PART
          VOC:	layosa
        GLOSS:	not

 INPUT STRING:	لانه
     IS_TRANS:	lAnh
        INDEX:	P1W18
      OFFSETS:	94-98
       TOKENS:	P1W26-P1W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~uh)
          POS:	PREP+SUB_CONJ+PRON_3MS
          VOC:	li+<in~+uh
        GLOSS:	for+that+it/he

 INPUT STRING:	مرشحا
     IS_TRANS:	mr$HA
        INDEX:	P1W19
      OFFSETS:	99-104
       TOKENS:	P1W29-P1W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mura$~aH_1]
   UNSPLITVOC:	(mura$~aHAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	mura$~aH+AF
        GLOSS:	candidate/nominee+[acc.indef.]

 INPUT STRING:	اسلاميا
     IS_TRANS:	AslAmyA
        INDEX:	P1W20
      OFFSETS:	105-112
       TOKENS:	P1W30-P1W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAmiy_1]
   UNSPLITVOC:	(<isolAmiy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	<isolAmiy~+AF
        GLOSS:	Islamic/Islamist/Muslim+[acc.indef.]

 INPUT STRING:	خالصا
     IS_TRANS:	xAlSA
        INDEX:	P1W21
      OFFSETS:	113-118
       TOKENS:	P1W31-P1W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAloSAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	xAloS+AF
        GLOSS:	pure/clear/sincere+[acc.indef.]

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P1W22
      OFFSETS:	119-123
       TOKENS:	P1W32-P1W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(waAnA)
          POS:	CONJ+PRON_1S
          VOC:	wa+AnA
        GLOSS:	and+I

 INPUT STRING:	اريد
     IS_TRANS:	Aryd
        INDEX:	P1W23
      OFFSETS:	124-128
       TOKENS:	P1W34-P1W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>arAd_1]
   UNSPLITVOC:	(>uriyd)
          POS:	IV1S+IV
          VOC:	>u+riyd
        GLOSS:	i+want/desire/intend

 INPUT STRING:	رجلا
     IS_TRANS:	rjlA
        INDEX:	P1W24
      OFFSETS:	129-133
       TOKENS:	P1W35-P1W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rajul_1]
   UNSPLITVOC:	(rajulAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	rajul+AF
        GLOSS:	man/men/people/leading men/prominent men+[acc.indef.]

 INPUT STRING:	معتدل
     IS_TRANS:	mEtdl
        INDEX:	P1W25
      OFFSETS:	134-139
       TOKENS:	P1W36-P1W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEotadil_1]
   UNSPLITVOC:	(muEotadil)
          POS:	ADJ
          VOC:	muEotadil
        GLOSS:	moderate/liberal/balanced

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P1W26
      OFFSETS:	140-142
       TOKENS:	P1W37-P1W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+him/it

 INPUT STRING:	فكر
     IS_TRANS:	fkr
        INDEX:	P1W27
      OFFSETS:	143-146
       TOKENS:	P1W39-P1W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikor_1]
   UNSPLITVOC:	(fikor)
          POS:	NOUN
          VOC:	fikor
        GLOSS:	thought/thinking/thoughts/ideas/concepts

 INPUT STRING:	معين
     IS_TRANS:	mEyn
        INDEX:	P1W28
      OFFSETS:	147-151
       TOKENS:	P1W40-P1W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEay~an_1]
   UNSPLITVOC:	(muEay~an)
          POS:	ADJ
          VOC:	muEay~an
        GLOSS:	fixed/determined/prescribed

 INPUT STRING:	ورؤية
     IS_TRANS:	wr&yp
        INDEX:	P1W29
      OFFSETS:	152-157
       TOKENS:	P1W41-P1W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ru&oyap_1]
   UNSPLITVOC:	(wiru&oyap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+ru&oy+ap
        GLOSS:	and+view/opinion+[fem.sg.]

 INPUT STRING:	عالمية
     IS_TRANS:	EAlmyp
        INDEX:	P1W30
      OFFSETS:	158-164
       TOKENS:	P1W43-P1W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlamiy_1]
   UNSPLITVOC:	(EAlamiyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAlamiy+ap
        GLOSS:	world/international/world-wide+[fem.sg.]

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P1W31
      OFFSETS:	165-167
       TOKENS:	P1W44-P1W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like

 INPUT STRING:	دكتور
     IS_TRANS:	dktwr
        INDEX:	P1W32
      OFFSETS:	168-173
       TOKENS:	P1W45-P1W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dukotawr_1]
   UNSPLITVOC:	(dukotawr)
          POS:	NOUN
          VOC:	dukotawr
        GLOSS:	doctor/Doctor/Dr.

 INPUT STRING:	البرادعى
     IS_TRANS:	AlbrAdEY
        INDEX:	P1W33
      OFFSETS:	174-182
       TOKENS:	P1W46-P1W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[barAdEiy_1]
   UNSPLITVOC:	(AlbarAdEiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+barAdEiy
        GLOSS:	the+Baradei/Baradi/BarAdii/barAdEiy

 INPUT STRING:	وهذا
     IS_TRANS:	wh*A
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(wiha*A)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wi+ha*A
        GLOSS:	and+this [masc.sg.]/this/these/these two [masc.du.]/these two [fem.du.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P2W2
      OFFSETS:	5-7
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P2W3
      OFFSETS:	8-12
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern

 INPUT STRING:	اننى
     IS_TRANS:	AnnY
        INDEX:	P2W4
      OFFSETS:	13-17
       TOKENS:	P2W5-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<inniy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in+niy
        GLOSS:	that+me

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P2W5
      OFFSETS:	18-20
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	احبذ
     IS_TRANS:	AHb*
        INDEX:	P2W6
      OFFSETS:	21-25
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>uHab~i*]
   UNSPLITVOC:	(>uHab~i*)
          POS:	IV1S+IV
          VOC:	>u+Hab~i*
        GLOSS:	i+applaud/appreciate

 INPUT STRING:	تولى
     IS_TRANS:	twlY
        INDEX:	P2W7
      OFFSETS:	26-30
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawal~iy_1]
   UNSPLITVOC:	(tawal~iy)
          POS:	NOUN
          VOC:	tawal~iy
        GLOSS:	taking charge of/assuming responsibility

 INPUT STRING:	مرشح
     IS_TRANS:	mr$H
        INDEX:	P2W8
      OFFSETS:	31-35
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mura$~aH_1]
   UNSPLITVOC:	(mura$~aH)
          POS:	NOUN
          VOC:	mura$~aH
        GLOSS:	candidate/nominee

 INPUT STRING:	اسلامى
     IS_TRANS:	AslAmY
        INDEX:	P2W9
      OFFSETS:	36-42
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<islAmiy_1]
   UNSPLITVOC:	(<islAmiy)
          POS:	ADJ
          VOC:	<islAmiy
        GLOSS:	Islamic/Muslim/Islamist

 INPUT STRING:	مثلا
     IS_TRANS:	mvlA
        INDEX:	P2W10
      OFFSETS:	43-47
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maval_1]
   UNSPLITVOC:	(mavalAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	maval+AF
        GLOSS:	example/proverb/for example/proverbs/examples+[acc.indef.]

 INPUT STRING:	كالدكتور
     IS_TRANS:	kAldktwr
        INDEX:	P2W11
      OFFSETS:	48-56
       TOKENS:	P2W13-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dukotawr_1]
   UNSPLITVOC:	(kaAld~ukotawr)
          POS:	PREP+DET+NOUN
          VOC:	ka+Al+dukotawr
        GLOSS:	like/such as+the+doctor/Doctor/Dr.

 INPUT STRING:	ابو
     IS_TRANS:	Abw
        INDEX:	P2W12
      OFFSETS:	57-60
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>abuw_1]
   UNSPLITVOC:	(>abuw)
          POS:	NOUN_PROP
          VOC:	>abuw
        GLOSS:	Abu

 INPUT STRING:	الفتوح
     IS_TRANS:	AlftwH
        INDEX:	P2W13
      OFFSETS:	61-67
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[futuwH_1]
   UNSPLITVOC:	(AlfutuwH)
          POS:	DET+NOUN_PROP
          VOC:	Al+futuwH
        GLOSS:	the+Fotouh/Futouh

 INPUT STRING:	فلو
     IS_TRANS:	flw
        INDEX:	P2W14
      OFFSETS:	68-71
       TOKENS:	P2W17-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(falaw)
          POS:	CONJ+SUB_CONJ
          VOC:	fa+law
        GLOSS:	so/and+if

 INPUT STRING:	نجح
     IS_TRANS:	njH
        INDEX:	P2W15
      OFFSETS:	72-75
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[najaH_1]
   UNSPLITVOC:	(najaH)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	najaH+(null)
        GLOSS:	succeed+he/it

 INPUT STRING:	سيكون
     IS_TRANS:	sykwn
        INDEX:	P2W16
      OFFSETS:	76-81
       TOKENS:	P2W20-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(sayakuwn)
          POS:	FUT_PART+IV3MS+IV
          VOC:	sa+ya+kuwn
        GLOSS:	will+he/it+be

 INPUT STRING:	شيئا
     IS_TRANS:	$y}A
        INDEX:	P2W17
      OFFSETS:	82-86
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ay}_1]
   UNSPLITVOC:	($ay}AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	$ay}+AF
        GLOSS:	thing/something+[acc.indef.]

 INPUT STRING:	سعيدا
     IS_TRANS:	sEydA
        INDEX:	P2W18
      OFFSETS:	87-92
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[saEiyd_1]
   UNSPLITVOC:	(saEiydAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	saEiyd+AF
        GLOSS:	happy+[acc.indef.]

 INPUT STRING:	لى
     IS_TRANS:	lY
        INDEX:	P2W19
      OFFSETS:	93-95
       TOKENS:	P2W24-P2W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy~a)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+me

 INPUT STRING:	لانه
     IS_TRANS:	lAnh
        INDEX:	P2W20
      OFFSETS:	96-100
       TOKENS:	P2W26-P2W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~uh)
          POS:	PREP+SUB_CONJ+PRON_3MS
          VOC:	li+<in~+uh
        GLOSS:	for+that+it/he

 INPUT STRING:	محترم
     IS_TRANS:	mHtrm
        INDEX:	P2W21
      OFFSETS:	101-106
       TOKENS:	P2W29-P2W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHotaram_1]
   UNSPLITVOC:	(muHotaram)
          POS:	ADJ
          VOC:	muHotaram
        GLOSS:	esteemed/respected/respectable

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P2W22
      OFFSETS:	107-110
       TOKENS:	P2W30-P2W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	seriousness/earnestness/very/much+[acc.indef.]

 INPUT STRING:	واى
     IS_TRANS:	wAY
        INDEX:	P3W1
      OFFSETS:	0-3
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(wi>ay~)
          POS:	CONJ+NOUN_QUANT
          VOC:	wi+>ay~
        GLOSS:	and+any

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P3W2
      OFFSETS:	4-6
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	no-one/anyone/someone/one (of)

 INPUT STRING:	هينجح
     IS_TRANS:	hynjH
        INDEX:	P3W3
      OFFSETS:	7-12
       TOKENS:	P3W4-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[najaH_1]
   UNSPLITVOC:	(HayinojaH)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+nojaH
        GLOSS:	will+he/it+succeed

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P3W4
      OFFSETS:	13-16
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	apart from/without/other/execpt/except/not

 INPUT STRING:	عمرو
     IS_TRANS:	Emrw
        INDEX:	P3W5
      OFFSETS:	17-21
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamorw_1]
   UNSPLITVOC:	(Eamorw)
          POS:	NOUN_PROP
          VOC:	Eamorw
        GLOSS:	Amr

 INPUT STRING:	موسى
     IS_TRANS:	mwsY
        INDEX:	P3W6
      OFFSETS:	22-26
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwsaY_1]
   UNSPLITVOC:	(muwsaY)
          POS:	NOUN_PROP
          VOC:	muwsaY
        GLOSS:	Mousa/Moussa/Moses

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P3W7
      OFFSETS:	27-29
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هزعل
     IS_TRANS:	hzEl
        INDEX:	P3W8
      OFFSETS:	30-34
       TOKENS:	P3W10-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
