 INPUT STRING:	المزرعه
 INPUT STRING:	الفائز
     IS_TRANS:	AlfA}z
        INDEX:	P2W13
      OFFSETS:	60-66
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fA}iz_1]
   UNSPLITVOC:	(AlfA}iz)
          POS:	DET+ADJ
          VOC:	Al+fA}iz
        GLOSS:	the+winner/victorious/winning

 INPUT STRING:	الطرف
     IS_TRANS:	AlTrf
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Taraf_1]
   UNSPLITVOC:	(AlT~araf)
          POS:	DET+NOUN
          VOC:	Al+Taraf
        GLOSS:	the+participant/player/involved member/party/side/parties/sides

 INPUT STRING:	المهزوم
     IS_TRANS:	Almhzwm
        INDEX:	P3W2
      OFFSETS:	6-13
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mahozuwm_1]
   UNSPLITVOC:	(Almahozuwm)
          POS:	DET+ADJ
          VOC:	Al+mahozuwm
        GLOSS:	the+defeated

 INPUT STRING:	ظل
     IS_TRANS:	Zl
        INDEX:	P3W3
      OFFSETS:	14-16
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Zal~_1]
   UNSPLITVOC:	(Zal~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Zal~+(null)
        GLOSS:	remain/continue+he/it

 INPUT STRING:	25
     IS_TRANS:	25
        INDEX:	P3W4
      OFFSETS:	17-19
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(25)
          POS:	NOUN_NUM
          VOC:	25
        GLOSS:	25

 INPUT STRING:	سنه
     IS_TRANS:	snh
        INDEX:	P3W5
      OFFSETS:	20-23
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanah)
          POS:	NOUN
          VOC:	sanah
        GLOSS:	year

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P3W6
      OFFSETS:	24-27
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	ADV
          VOC:	Hat~aY
        GLOSS:	even/including/and/and even/so that/lest/until/up to

 INPUT STRING:	انتج
     IS_TRANS:	Antj
        INDEX:	P3W7
      OFFSETS:	28-32
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>anotaj_1]
   UNSPLITVOC:	(>anotaj)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>anotaj+(null)
        GLOSS:	produce/yield/cause/be produced/be yielded/be caused+he/it

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P3W8
      OFFSETS:	33-36
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	these/this

 INPUT STRING:	الفيلم
     IS_TRANS:	Alfylm
        INDEX:	P3W9
      OFFSETS:	37-43
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiylm_1]
   UNSPLITVOC:	(Alfiylm)
          POS:	DET+NOUN
          VOC:	Al+fiylm
        GLOSS:	the+film/movie/films/movies

 INPUT STRING:	عنها
     IS_TRANS:	EnhA
        INDEX:	P3W10
      OFFSETS:	44-48
       TOKENS:	P3W10-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean~ahA)
          POS:	PREP+PRON_3FS
          VOC:	Ean~+hA
        GLOSS:	(away) from/off/about/on/over+it

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P4W1
      OFFSETS:	0-2
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lam_1]
   UNSPLITVOC:	(lam)
          POS:	NEG_PART
          VOC:	lam
        GLOSS:	did not

 INPUT STRING:	يذكرها
     IS_TRANS:	y*krhA
        INDEX:	P4W2
      OFFSETS:	3-9
       TOKENS:	P4W2-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*akar_1]
   UNSPLITVOC:	(ya*okurahA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	ya+*okur+hA
        GLOSS:	he/it+mention/cite/remember/be mentioned/be cited/be worth mentioning/be worth citing+it/them/her

 INPUT STRING:	تاريخهم
     IS_TRANS:	tAryxhm
        INDEX:	P4W3
      OFFSETS:	10-17
       TOKENS:	P4W4-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAriyx_1]
   UNSPLITVOC:	(tAriyxhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	tAriyx+hum
        GLOSS:	date/history/dates/histories+their

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P4W4
      OFFSETS:	18-21
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gay~ar_1]
   UNSPLITVOC:	(gay~ar)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	gay~ar+(null)
        GLOSS:	change/modify+he/it

 INPUT STRING:	اسمها
     IS_TRANS:	AsmhA
        INDEX:	P4W5
      OFFSETS:	22-27
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isom_1]
   UNSPLITVOC:	(<isomahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	<isom+hA
        GLOSS:	name/names+its/their/her

 INPUT STRING:	فقط
     IS_TRANS:	fqT
        INDEX:	P4W6
      OFFSETS:	28-31
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqaT_1]
   UNSPLITVOC:	(faqaT)
          POS:	ADV
          VOC:	faqaT
        GLOSS:	only

 INPUT STRING:	واخيرا
     IS_TRANS:	wAxyrA
        INDEX:	P5W1
      OFFSETS:	0-6
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxiyr_1]
   UNSPLITVOC:	(wiAxiyrAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wi+Axiyr+AF
        GLOSS:	and+recent/latter/latest/last+[acc.indef.]

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P5W2
      OFFSETS:	7-10
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after/if/unless/whether/as long as/as soon as/which

 INPUT STRING:	25
     IS_TRANS:	25
        INDEX:	P5W3
      OFFSETS:	11-13
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(25)
          POS:	NOUN_NUM
          VOC:	25
        GLOSS:	25

 INPUT STRING:	عام
     IS_TRANS:	EAm
        INDEX:	P5W4
      OFFSETS:	14-17
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(EAm)
          POS:	NOUN
          VOC:	EAm
        GLOSS:	year/years

 INPUT STRING:	قررو
     IS_TRANS:	qrrw
        INDEX:	P5W5
      OFFSETS:	18-22
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qar~ar_1]
   UNSPLITVOC:	(qar~aruwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	qar~ar+uwA
        GLOSS:	decide/resolve+they

 INPUT STRING:	مواجهة
     IS_TRANS:	mwAjhp
        INDEX:	P5W6
      OFFSETS:	23-29
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwAjohap_1]
   UNSPLITVOC:	(muwAjohap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muwAjoh+ap
        GLOSS:	confrontation/encounter/confronting/encountering/confrontations/encounters+[fem.sg.]

 INPUT STRING:	الخزى
     IS_TRANS:	AlxzY
        INDEX:	P5W7
      OFFSETS:	30-35
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xizy_1]
   UNSPLITVOC:	(Alxizy)
          POS:	DET+NOUN
          VOC:	Al+xizy
        GLOSS:	the+shame/disgrace

 INPUT STRING:	والعار
     IS_TRANS:	wAlEAr
        INDEX:	P5W8
      OFFSETS:	36-42
       TOKENS:	P5W9-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAr_1]
   UNSPLITVOC:	(wiAlEAr)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+EAr
        GLOSS:	and+the+shame/disgrace/infamy

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W9
      OFFSETS:	43-46
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	حسب
     IS_TRANS:	Hsb
        INDEX:	P5W10
      OFFSETS:	47-50
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hasab_1]
   UNSPLITVOC:	(Hasab)
          POS:	NOUN
          VOC:	Hasab
        GLOSS:	according to/in accordance with

 INPUT STRING:	كلام
     IS_TRANS:	klAm
        INDEX:	P5W11
      OFFSETS:	51-55
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAm)
          POS:	NOUN
          VOC:	kalAm
        GLOSS:	speech/statement/remark/talk/saying

 INPUT STRING:	ماتبقى
     IS_TRANS:	mAtbqY
        INDEX:	P5W12
      OFFSETS:	56-62
       TOKENS:	P5W14-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baq~aY_1]
   UNSPLITVOC:	(mAAitobaq~aY)
          POS:	SUB_CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	mA+Aitobaq~aY+(null)
        GLOSS:	that+remain+he/it

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W13
      OFFSETS:	63-65
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الجنود
     IS_TRANS:	Aljnwd
        INDEX:	P5W14
      OFFSETS:	66-72
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[junodiy~_1]
   UNSPLITVOC:	(Aljunuwd)
          POS:	DET+NOUN
          VOC:	Al+junuwd
        GLOSS:	the+soldier/soldiers

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P5W15
      OFFSETS:	73-75
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Al)
          POS:	TYPO
          VOC:	Al
        GLOSS:	nogloss

 INPUT STRING:	بيحكوا
     IS_TRANS:	byHkwA
        INDEX:	P5W16
      OFFSETS:	76-82
       TOKENS:	P5W19-P5W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HakaY_1]
   UNSPLITVOC:	(biyiHokuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+Hok+uwA
        GLOSS:	[present-tense]+they+relate/report/tell/be related/be reported/be told+they

 INPUT STRING:	الطرف
     IS_TRANS:	AlTrf
        INDEX:	P6W1
      OFFSETS:	0-5
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Taraf_1]
   UNSPLITVOC:	(AlT~araf)
          POS:	DET+NOUN
          VOC:	Al+Taraf
        GLOSS:	the+participant/player/involved member/party/side/parties/sides

 INPUT STRING:	المهزوم
     IS_TRANS:	Almhzwm
        INDEX:	P6W2
      OFFSETS:	6-13
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mahozuwm_1]
   UNSPLITVOC:	(Almahozuwm)
          POS:	DET+ADJ
          VOC:	Al+mahozuwm
        GLOSS:	the+defeated

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P6W3
      OFFSETS:	14-18
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TabEAF_1]
   UNSPLITVOC:	(TabEAF)
          POS:	NOUN
          VOC:	TabEAF
        GLOSS:	of course/naturally

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P6W4
      OFFSETS:	19-21
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they [masc.pl]/they

 INPUT STRING:	الاسرائيليون
     IS_TRANS:	AlAsrA}ylywn
        INDEX:	P6W5
      OFFSETS:	22-34
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<isorA}iyliy~_1]
   UNSPLITVOC:	(Al<isorA}iyliy~uwna)
          POS:	DET+NOUN+NSUFF_MASC_PL_NOM
          VOC:	Al+<isorA}iyliy~+uwna
        GLOSS:	the+Israeli+[masc.pl.]

 INPUT STRING:	افضل
     IS_TRANS:	AfDl
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>afoDal_1]
   UNSPLITVOC:	(>afoDal)
          POS:	ADJ_COMP
          VOC:	>afoDal
