 INPUT STRING:	محامي
          VOC:	Al+<iborA$iy
        GLOSS:	the+Ibrashy

 INPUT STRING:	بيقول
     IS_TRANS:	byqwl
        INDEX:	P1W7
      OFFSETS:	36-41
       TOKENS:	P1W7-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(biyiquwl)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+quwl
        GLOSS:	[present-tense]+he/it+say

 INPUT STRING:	بكره
     IS_TRANS:	bkrh
        INDEX:	P1W8
      OFFSETS:	42-46
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorap_1]
   UNSPLITVOC:	(bukorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bukor+ap
        GLOSS:	tomorrow+[fem.sg.]

 INPUT STRING:	باذن
     IS_TRANS:	bA*n
        INDEX:	P1W9
      OFFSETS:	47-51
       TOKENS:	P1W10-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<i*on_1]
   UNSPLITVOC:	(bi<i*on)
          POS:	PREP+NOUN
          VOC:	bi+<i*on
        GLOSS:	with/by+permission/authorization

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P1W10
      OFFSETS:	52-56
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P1W11
      OFFSETS:	57-59
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	جلسة
     IS_TRANS:	jlsp
        INDEX:	P1W12
      OFFSETS:	60-64
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jalosap_1]
   UNSPLITVOC:	(jalosap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jalos+ap
        GLOSS:	session/meeting+[fem.sg.]

 INPUT STRING:	محاكمة
     IS_TRANS:	mHAkmp
        INDEX:	P1W13
      OFFSETS:	65-71
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHAkomap_1]
   UNSPLITVOC:	(muHAkomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muHAkom+ap
        GLOSS:	judicial proceeding/legal prosecution+[fem.sg.]

 INPUT STRING:	حسني
     IS_TRANS:	Hsny
        INDEX:	P1W14
      OFFSETS:	72-76
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Husoniy_1]
   UNSPLITVOC:	(Husoniy)
          POS:	NOUN_PROP
          VOC:	Husoniy
        GLOSS:	Hosny/Hosni

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P1W15
      OFFSETS:	77-82
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	واعوانه
     IS_TRANS:	wAEwAnh
        INDEX:	P1W16
      OFFSETS:	83-90
       TOKENS:	P1W18-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Eawon_1]
   UNSPLITVOC:	(wi>aEowAnuh)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	wi+>aEowAn+uh
        GLOSS:	and+assistants/aids+his/its

 INPUT STRING:	حبيب
     IS_TRANS:	Hbyb
        INDEX:	P1W17
      OFFSETS:	91-95
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Habiyb_2]
   UNSPLITVOC:	(Habiyb)
          POS:	NOUN_PROP
          VOC:	Habiyb
        GLOSS:	Habib/Habeeb

 INPUT STRING:	العادلي
     IS_TRANS:	AlEAdly
        INDEX:	P1W18
      OFFSETS:	96-103
       TOKENS:	P1W22-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdiliy_1]
   UNSPLITVOC:	(AlEAdoliy)
          POS:	DET+NOUN_PROP
          VOC:	Al+EAdoliy
        GLOSS:	the+Adli/Adly

 INPUT STRING:	هيدلي
     IS_TRANS:	hydly
        INDEX:	P1W19
      OFFSETS:	104-109
       TOKENS:	P1W23-P1W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>adolaY_1]
   UNSPLITVOC:	(hayidoliy)
          POS:	FUT_PART+IV3MS+IV
          VOC:	ha+yi+doliy
        GLOSS:	will+he/it+provide/present/grant

 INPUT STRING:	بشهادته
     IS_TRANS:	b$hAdth
        INDEX:	P1W20
      OFFSETS:	110-117
       TOKENS:	P1W25-P1W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ihAdap_1]
   UNSPLITVOC:	(bi$ihAdtuh)
          POS:	PREP+NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	bi+$ihAd+ap+uh
        GLOSS:	with/by+certificate/witness/testimony+[fem.sg.]+his/its

 INPUT STRING:	كاملة
     IS_TRANS:	kAmlp
        INDEX:	P1W21
      OFFSETS:	118-123
       TOKENS:	P1W28-P1W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAmil_1]
   UNSPLITVOC:	(kAmolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kAmol+ap
        GLOSS:	complete/full/integral+[fem.sg.]

 INPUT STRING:	بنفسه
     IS_TRANS:	bnfsh
        INDEX:	P1W22
      OFFSETS:	124-129
       TOKENS:	P1W29-P1W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(binafosuh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	bi+nafos+uh
        GLOSS:	with/by+same/self+his/its

 INPUT STRING:	بكافة
     IS_TRANS:	bkAfp
        INDEX:	P1W23
      OFFSETS:	130-135
       TOKENS:	P1W32-P1W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAf~ap_1]
   UNSPLITVOC:	(bikAf~ap)
          POS:	PREP+NOUN_QUANT+NSUFF_FEM_SG
          VOC:	bi+kAf~+ap
        GLOSS:	with/by+all+[fem.sg.]

 INPUT STRING:	التفاصيل
     IS_TRANS:	AltfASyl
        INDEX:	P1W24
      OFFSETS:	136-144
       TOKENS:	P1W34-P1W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tafoSiyl_1]
   UNSPLITVOC:	(Alt~afASiyl)
          POS:	DET+NOUN
          VOC:	Al+tafASiyl
        GLOSS:	the+details

 INPUT STRING:	والاسماء
     IS_TRANS:	wAlAsmA'
        INDEX:	P1W25
      OFFSETS:	145-153
       TOKENS:	P1W35-P1W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(wiAl>asomA')
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+>asomA'
        GLOSS:	and+the+names

 INPUT STRING:	والشخصيات
     IS_TRANS:	wAl$xSyAt
        INDEX:	P1W26
      OFFSETS:	154-163
       TOKENS:	P1W37-P1W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoSiy~ap_1]
   UNSPLITVOC:	(wiAl$axoSiy~At)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_PL
          VOC:	wi+Al+$axoSiy~+At
        GLOSS:	and+the+identities/personalities/persons/individuals+[fem.pl.]

 INPUT STRING:	والوقائع
     IS_TRANS:	wAlwqA}E
        INDEX:	P1W27
      OFFSETS:	164-172
       TOKENS:	P1W39-P1W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqiyEap_1]
   UNSPLITVOC:	(wiAlwaqA}iE)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+waqA}iE
        GLOSS:	and+the+events/incidents

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P1W28
      OFFSETS:	173-177
       TOKENS:	P1W41-P1W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	حصلت
     IS_TRANS:	HSlt
        INDEX:	P1W29
      OFFSETS:	178-182
       TOKENS:	P1W42-P1W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(HaSalit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	HaSal+it
        GLOSS:	occur/happen/take place+it/they/she [verb]

 INPUT STRING:	بالتفصيل
     IS_TRANS:	bAltfSyl
        INDEX:	P1W30
      OFFSETS:	183-191
       TOKENS:	P1W43-P1W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tafoSiyl_1]
   UNSPLITVOC:	(biAlt~afoSiyl)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+tafoSiyl
        GLOSS:	with/by+the+detailing/elaboration/giving details

 INPUT STRING:	بيقول
     IS_TRANS:	byqwl
        INDEX:	P2W1
      OFFSETS:	0-5
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(biyiquwl)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+quwl
        GLOSS:	[present-tense]+he/it+say

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P2W2
      OFFSETS:	6-8
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	العادلي
     IS_TRANS:	AlEAdly
        INDEX:	P2W3
      OFFSETS:	9-16
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdiliy_1]
   UNSPLITVOC:	(AlEAdoliy)
          POS:	DET+NOUN_PROP
          VOC:	Al+EAdoliy
        GLOSS:	the+Adli/Adly

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P2W4
      OFFSETS:	17-20
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	say+he/it [verb]

 INPUT STRING:	هتبقى
     IS_TRANS:	htbqY
        INDEX:	P2W5
      OFFSETS:	21-26
       TOKENS:	P2W6-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(hatiboqaY)
          POS:	FUT_PART+IV3FS+IV
          VOC:	ha+ti+boqaY
        GLOSS:	will+it/they/she+become/remain

 INPUT STRING:	شهادة
     IS_TRANS:	$hAdp
        INDEX:	P2W6
      OFFSETS:	27-32
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahAdap_1]
   UNSPLITVOC:	($ahAdap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$ahAd+ap
        GLOSS:	certificate/witness/testimony+[fem.sg.]

 INPUT STRING:	للتاريخ
     IS_TRANS:	lltAryx
        INDEX:	P2W7
      OFFSETS:	33-40
       TOKENS:	P2W9-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAriyx_1]
   UNSPLITVOC:	(lilt~Ariyx)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+tAriyx
        GLOSS:	for/to+the+date/history

 INPUT STRING:	وامام
     IS_TRANS:	wAmAm
        INDEX:	P2W8
      OFFSETS:	41-46
       TOKENS:	P2W11-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amAm_1]
   UNSPLITVOC:	(wi>amAm)
          POS:	CONJ+NOUN
          VOC:	wi+>amAm
        GLOSS:	and+front/forward

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P2W9
      OFFSETS:	47-51
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P3W2
      OFFSETS:	5-7
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	بكرة
     IS_TRANS:	bkrp
        INDEX:	P3W3
      OFFSETS:	8-12
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorap_1]
   UNSPLITVOC:	(bukorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bukor+ap
        GLOSS:	tomorrow+[fem.sg.]

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P3W4
      OFFSETS:	13-17
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	النطق
     IS_TRANS:	AlnTq
        INDEX:	P3W5
      OFFSETS:	18-23
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuToq_1]
   UNSPLITVOC:	(Aln~uToq)
          POS:	DET+NOUN
          VOC:	Al+nuToq
        GLOSS:	the+decree

 INPUT STRING:	بالحكم
     IS_TRANS:	bAlHkm
        INDEX:	P3W6
      OFFSETS:	24-30
       TOKENS:	P3W6-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(biAlHukom)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+Hukom
        GLOSS:	with/by+the+judgment/decision/verdict

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P3W7
      OFFSETS:	31-34
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	لسة
     IS_TRANS:	lsp
        INDEX:	P3W8
      OFFSETS:	35-38
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	still

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P3W9
      OFFSETS:	39-40
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P3W10
      OFFSETS:	40-41
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P3W11
      OFFSETS:	41-42
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P3W12
      OFFSETS:	42-43
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	اللهم
     IS_TRANS:	Allhm
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ahum~a_1]
   UNSPLITVOC:	(All~ahum~a)
          POS:	NOUN
          VOC:	All~ahum~a
        GLOSS:	truly/certainly/oh God!/dear God

 INPUT STRING:	امين
     IS_TRANS:	Amyn
        INDEX:	P4W2
      OFFSETS:	6-10
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|amiyn_1]
   UNSPLITVOC:	(|amiyn)
          POS:	VERB
          VOC:	|amiyn
        GLOSS:	amen!

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yArab~)
          POS:	VOC_PART+NOUN
          VOC:	yA+rab~
        GLOSS:	oh+lord/master

 INPUT STRING:	ضميره
     IS_TRANS:	Dmyrh
        INDEX:	P5W2
      OFFSETS:	5-10
       TOKENS:	P5W3-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Damiyr_1]
   UNSPLITVOC:	(Damiyruh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Damiyr+uh
        GLOSS:	conscience/pronoun+his/its

 INPUT STRING:	يصحى
     IS_TRANS:	ySHY
        INDEX:	P5W3
      OFFSETS:	11-15
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaHiy_1]
   UNSPLITVOC:	(yiSoHaY)
          POS:	IV3MS+IV
          VOC:	yi+SoHaY
        GLOSS:	he/it+wake up/regain consciousness

 INPUT STRING:	وتكون
     IS_TRANS:	wtkwn
        INDEX:	P5W4
      OFFSETS:	16-21
       TOKENS:	P5W6-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(witikuwn)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+kuwn
        GLOSS:	and+it/they/she+be

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P5W5
      OFFSETS:	22-26
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	actually/in effect+[acc.indef.]

 INPUT STRING:	شهاده
     IS_TRANS:	$hAdh
        INDEX:	P5W6
      OFFSETS:	27-32
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahAdap_1]
   UNSPLITVOC:	($ahAdap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$ahAd+ap
        GLOSS:	certificate/witness/testimony+[fem.sg.]

 INPUT STRING:	لوجه
     IS_TRANS:	lwjh
        INDEX:	P5W7
      OFFSETS:	33-37
       TOKENS:	P5W10-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wajoh_1]
   UNSPLITVOC:	(liwajoh)
          POS:	PREP+NOUN
          VOC:	li+wajoh
        GLOSS:	for/to+face/front

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P5W8
      OFFSETS:	38-42
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	امام
     IS_TRANS:	AmAm
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amAm_1]
   UNSPLITVOC:	(>amAm)
          POS:	NOUN
          VOC:	>amAm
        GLOSS:	front/forward

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P6W2
      OFFSETS:	5-9
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P6W3
      OFFSETS:	10-12
       TOKENS:	P6W3-P6W3
