 INPUT STRING:	ليه
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P1W6
      OFFSETS:	20-24
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P1W7
      OFFSETS:	25-26
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P1W8
      OFFSETS:	26-27
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P1W9
      OFFSETS:	27-28
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P1W10
      OFFSETS:	28-29
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	بيقول
     IS_TRANS:	byqwl
        INDEX:	P2W2
      OFFSETS:	4-9
       TOKENS:	P2W2-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(biyquwl)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+y+quwl
        GLOSS:	[present-tense]+he/it+said/say/be said/(for example)

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P2W3
      OFFSETS:	10-12
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	أحوال
     IS_TRANS:	>HwAl
        INDEX:	P2W4
      OFFSETS:	13-18
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(AHowAl)
          POS:	NOUN
          VOC:	AHowAl
        GLOSS:	situation/condition/case/situations/conditions/cases

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P2W5
      OFFSETS:	19-24
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/countries

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P2W6
      OFFSETS:	25-27
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عاجباه
     IS_TRANS:	EAjbAh
        INDEX:	P2W7
      OFFSETS:	28-34
       TOKENS:	P2W8-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAjib_1]
   UNSPLITVOC:	(EAjobAh)
          POS:	ADJ+NSUFF_FEM_SG+PRON_3MS
          VOC:	EAjob+ap+uh
        GLOSS:	delight/liking/pleased/delighted/arousing admiration/like/pleasing/admirable+[fem.sg.]+him

 INPUT STRING:	ولذلك
     IS_TRANS:	wl*lk
        INDEX:	P2W8
      OFFSETS:	35-40
       TOKENS:	P2W10-P2W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li*`lika_1]
   UNSPLITVOC:	(wali*`lika)
          POS:	PART+PREP+DEM_PRON_MS
          VOC:	wa+li+*alika
        GLOSS:	[part.]+for/because of+that

 INPUT STRING:	قرر
     IS_TRANS:	qrr
        INDEX:	P2W9
      OFFSETS:	41-44
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qar~ar_1]
   UNSPLITVOC:	(qar~ar)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qar~ar+(null)
        GLOSS:	decide/resolve+he/it

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P2W10
      OFFSETS:	45-48
       TOKENS:	P2W14-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he

 INPUT STRING:	ينسحب
     IS_TRANS:	ynsHb
        INDEX:	P2W11
      OFFSETS:	49-54
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinosaHab_1]
   UNSPLITVOC:	(yinosiHib)
          POS:	IV3MS+IV
          VOC:	yi+nosiHib
        GLOSS:	he/it+retire/withdraw

 INPUT STRING:	وعمل
     IS_TRANS:	wEml
        INDEX:	P2W12
      OFFSETS:	55-59
       TOKENS:	P2W17-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(wiEamal)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+Eamal+(null)
        GLOSS:	and+function/make/act/do+he/it

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W13
      OFFSETS:	60-62
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	انسحابه
     IS_TRANS:	AnsHAbh
        INDEX:	P2W14
      OFFSETS:	63-70
       TOKENS:	P2W20-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AinsiHAb_1]
   UNSPLITVOC:	(AinsiHAbuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	AinsiHAb+uh
        GLOSS:	evacuation/withdrawal/retreat/pulling out+his/its

 INPUT STRING:	بطولة
     IS_TRANS:	bTwlp
        INDEX:	P2W15
      OFFSETS:	71-76
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buTuwlap_1]
   UNSPLITVOC:	(buTuwlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	buTuwl+ap
        GLOSS:	championship/starring role/heroism+[fem.sg.]

 INPUT STRING:	أخلاقية
     IS_TRANS:	>xlAqyp
        INDEX:	P2W16
      OFFSETS:	77-84
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>axolAqiy_1]
   UNSPLITVOC:	(>axolAqiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	>axolAqiy~+ap
        GLOSS:	moral/ethical+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W17
      OFFSETS:	84-85
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W18
      OFFSETS:	85-86
       TOKENS:	P2W25-P2W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W19
      OFFSETS:	86-87
       TOKENS:	P2W26-P2W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W20
      OFFSETS:	87-88
       TOKENS:	P2W27-P2W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P3W1
      OFFSETS:	0-3
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	INTERJ
          VOC:	Tay~ib
        GLOSS:	ok/so

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P3W2
      OFFSETS:	4-7
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P3W3
      OFFSETS:	8-12
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	رجعه
     IS_TRANS:	rjEh
        INDEX:	P3W4
      OFFSETS:	13-17
       TOKENS:	P3W4-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raj~aE_1]
   UNSPLITVOC:	(raj~aEuh)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3MS
          VOC:	raj~aE+(null)+uh
        GLOSS:	send back/be sent back+he/it+it/him

 INPUT STRING:	تاني
     IS_TRANS:	tAny
        INDEX:	P3W5
      OFFSETS:	18-22
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/next/II/secondly

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P3W6
      OFFSETS:	23-24
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P3W7
      OFFSETS:	24-25
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P3W8
      OFFSETS:	25-26
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	مظنش
     IS_TRANS:	mZn$
        INDEX:	P4W2
      OFFSETS:	4-8
       TOKENS:	P4W2-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zan~_1]
   UNSPLITVOC:	(mA_AaZun~i$)
          POS:	NEG_PART+IV1S+IV+NEG_PART
          VOC:	mA+Aa+Zun~+$
        GLOSS:	not+I+think/believe/presume+not

 INPUT STRING:	أنه
     IS_TRANS:	>nh
        INDEX:	P4W3
      OFFSETS:	9-12
       TOKENS:	P4W5-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he

 INPUT STRING:	خبر
     IS_TRANS:	xbr
        INDEX:	P4W4
      OFFSETS:	13-16
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(xabar)
          POS:	NOUN
          VOC:	xabar
        GLOSS:	news/report/reports

 INPUT STRING:	أكيد
     IS_TRANS:	>kyd
        INDEX:	P4W5
      OFFSETS:	17-21
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	ADJ
          VOC:	>akiyd
        GLOSS:	certain/definite/certainly/surely/definitely

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P5W1
      OFFSETS:	0-2
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P5W2
      OFFSETS:	3-8
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P5W3
      OFFSETS:	9-11
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	أفق
     IS_TRANS:	>fq
        INDEX:	P5W4
      OFFSETS:	12-15
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aufuq_1]
   UNSPLITVOC:	(Aufuq)
          POS:	NOUN
          VOC:	Aufuq
        GLOSS:	horizon/horizons/provinces/range of vision

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P5W5
      OFFSETS:	16-18
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P5W6
      OFFSETS:	19-26
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue/subjects/themes/issues

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P5W7
      OFFSETS:	27-30
       TOKENS:	P5W7-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	there is+it/him

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P5W8
      OFFSETS:	31-33
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	وانتى
     IS_TRANS:	wAntY
        INDEX:	P5W9
      OFFSETS:	34-39
       TOKENS:	P5W10-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(wiAinotiy)
          POS:	PART+PRON_2FS
          VOC:	wi+Ainotiy
        GLOSS:	[part.]+you

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P5W10
      OFFSETS:	40-45
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	السياسة
     IS_TRANS:	AlsyAsp
        INDEX:	P5W11
      OFFSETS:	46-53
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(Als~iyAsap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+siyAs+ap
        GLOSS:	the+politics/policy/policies+[fem.sg.]

 INPUT STRING:	وبحورها
     IS_TRANS:	wbHwrhA
        INDEX:	P5W12
      OFFSETS:	54-61
       TOKENS:	P5W14-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baHr_1]
   UNSPLITVOC:	(wibHwrhA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	wi+bHwr+hA
        GLOSS:	and+seas+its/their/her

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P5W13
      OFFSETS:	62-66
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	مالهاش
     IS_TRANS:	mAlhA$
        INDEX:	P5W14
      OFFSETS:	67-73
       TOKENS:	P5W18-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(mAlohA$)
          POS:	NEG_PART+PREP+PRON_3FS+NEG_PART
          VOC:	mA+li+hA+$
        GLOSS:	not+to+her+not

 INPUT STRING:	نهاية
     IS_TRANS:	nhAyp
        INDEX:	P5W15
      OFFSETS:	74-79
       TOKENS:	P5W22-P5W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nihAyap_1]
   UNSPLITVOC:	(nihAyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	nihAy+ap
        GLOSS:	end/termination/ultimately/finally+[fem.sg.]

 INPUT STRING:	ايوه
     IS_TRANS:	Aywh
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P6W2
      OFFSETS:	5-9
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	temperament/naturally/of course/printing+[acc.indef.]

 INPUT STRING:	نزاطط
     IS_TRANS:	nzATT
        INDEX:	P6W3
      OFFSETS:	10-15
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(nzATT)
          POS:	TYPO
          VOC:	nzATT
        GLOSS:	nogloss

 INPUT STRING:	البرادعى
     IS_TRANS:	AlbrAdEY
        INDEX:	P6W4
      OFFSETS:	16-24
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[barAdEiy_2]
   UNSPLITVOC:	(AlbarAdEiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+barAdEiy
        GLOSS:	the+Baradei/Baradi/BarAdii/barAdEiy

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P6W5
      OFFSETS:	25-28
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	اول
     IS_TRANS:	Awl
        INDEX:	P6W6
      OFFSETS:	29-32
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aw~il_1]
   UNSPLITVOC:	(>aw~il)
          POS:	ADJ
          VOC:	>aw~il
        GLOSS:	first-place/top/primarily/early/first/in the first place/best/beginning

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P6W7
      OFFSETS:	33-37
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	one

 INPUT STRING:	طالب
     IS_TRANS:	TAlb
        INDEX:	P6W8
