 INPUT STRING:	حمله
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	قطعوه
     IS_TRANS:	qTEwh
        INDEX:	P7W5
      OFFSETS:	18-23
       TOKENS:	P7W6-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaTaE_1]
   UNSPLITVOC:	(qaTaEuwh)
          POS:	PV+PVSUFF_SUBJ:3P+PVSUFF_DO:3MS
          VOC:	qaTaE+uwA+uh
        GLOSS:	cut apart+they+it/him

 INPUT STRING:	عننا
     IS_TRANS:	EnnA
        INDEX:	P7W6
      OFFSETS:	24-28
       TOKENS:	P7W8-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean~inA)
          POS:	PREP+PRON_1P
          VOC:	Ean~+nA
        GLOSS:	(away) from, off, about, on, over+we

 INPUT STRING:	4
     IS_TRANS:	4
        INDEX:	P7W7
      OFFSETS:	29-30
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(4)
          POS:	NOUN_NUM
          VOC:	4
        GLOSS:	4

 INPUT STRING:	ايام
     IS_TRANS:	AyAm
        INDEX:	P7W8
      OFFSETS:	31-35
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Aiy~Am)
          POS:	NOUN
          VOC:	Aiy~Am
        GLOSS:	today/some day/ever/days

 INPUT STRING:	كاملين
     IS_TRANS:	kAmlyn
        INDEX:	P7W9
      OFFSETS:	36-42
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAmill_1]
   UNSPLITVOC:	(kAmliyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	kAml+iyn
        GLOSS:	whole/all+two

 INPUT STRING:	وناس
     IS_TRANS:	wnAs
        INDEX:	P7W10
      OFFSETS:	43-47
       TOKENS:	P7W13-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(winAs)
          POS:	CONJ+NOUN
          VOC:	wi+nAs
        GLOSS:	and+people

 INPUT STRING:	ماتت
     IS_TRANS:	mAtt
        INDEX:	P7W11
      OFFSETS:	48-52
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAt_1]
   UNSPLITVOC:	(mAtit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	mAt+it
        GLOSS:	die/pass away+it/they/she

 INPUT STRING:	بسببهم
     IS_TRANS:	bsbbhm
        INDEX:	P7W12
      OFFSETS:	53-59
       TOKENS:	P7W16-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(bisababhum)
          POS:	PREP+NOUN+POSS_PRON_3P
          VOC:	bi+sabab+hum
        GLOSS:	with/by+reason/cause/because of/due to+their

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P7W13
      OFFSETS:	60-61
       TOKENS:	P7W19-P7W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P7W14
      OFFSETS:	61-62
       TOKENS:	P7W20-P7W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	مفكروش
     IS_TRANS:	mfkrw$
        INDEX:	P8W1
      OFFSETS:	0-6
       TOKENS:	P8W1-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(mAfak~aruw$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3P+NEG_PART
          VOC:	mA+fak~ar+uw+$
        GLOSS:	not+think+they+not

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P8W2
      OFFSETS:	7-10
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P8W3
      OFFSETS:	11-13
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	عملهم
     IS_TRANS:	Emlhm
        INDEX:	P8W4
      OFFSETS:	14-19
       TOKENS:	P8W6-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
