 INPUT STRING:	احالة
          POS:	NOUN
          VOC:	miydAn
        GLOSS:	square

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P2W7
      OFFSETS:	35-42
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN
          VOC:	Al+taHoriyr
        GLOSS:	the+liberation/liberating/editorship/editing

 INPUT STRING:	بقلب
     IS_TRANS:	bqlb
        INDEX:	P2W8
      OFFSETS:	43-47
       TOKENS:	P2W9-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(biqalob)
          POS:	PREP+NOUN
          VOC:	bi+qalob
        GLOSS:	with/by+heart/center/essence

 INPUT STRING:	القاهرة
     IS_TRANS:	AlqAhrp
        INDEX:	P2W9
      OFFSETS:	48-55
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAhirap_1]
   UNSPLITVOC:	(AlqAhirap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+qAhir+ap
        GLOSS:	the+Cairo+[fem.sg.]

 INPUT STRING:	للمشاركة
     IS_TRANS:	llm$Arkp
        INDEX:	P2W10
      OFFSETS:	56-64
       TOKENS:	P2W12-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$Arokap_1]
   UNSPLITVOC:	(lilmu$Arokap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+mu$Arok+ap
        GLOSS:	for/to+the+participation/association+[fem.sg.]

 INPUT STRING:	والتي
     IS_TRANS:	wAlty
        INDEX:	P2W11
      OFFSETS:	65-70
       TOKENS:	P2W14-P2W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(waAl~atiy)
          POS:	CONJ+REL_PRON
          VOC:	wa+Al~atiy
        GLOSS:	and+which/who/whom [fem.sg.]

 INPUT STRING:	اطلق
     IS_TRANS:	ATlq
        INDEX:	P2W12
      OFFSETS:	71-75
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uToliq_1]
   UNSPLITVOC:	(>uToliq)
          POS:	PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	>uToliq+(null)
        GLOSS:	release/fire/be released/be fired/be naled/be called+he/it

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P2W13
      OFFSETS:	76-81
       TOKENS:	P2W17-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalayhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+she/it

 INPUT STRING:	تظاهرة
     IS_TRANS:	tZAhrp
        INDEX:	P2W14
      OFFSETS:	83-89
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taZAhurap_1]
   UNSPLITVOC:	(taZAhurap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	taZAhur+ap
        GLOSS:	rally/demonstration+[fem.sg.]

 INPUT STRING:	مليونية
     IS_TRANS:	mlywnyp
        INDEX:	P2W15
      OFFSETS:	90-97
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miloyuwniy_1]
   UNSPLITVOC:	(miloyuwniy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	miloyuwniy~+ap
        GLOSS:	million+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P2W16
      OFFSETS:	98-99
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	اعلن
     IS_TRANS:	AEln
        INDEX:	P2W17
      OFFSETS:	100-104
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolan_1]
   UNSPLITVOC:	(>aEolan)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>aEolan+(null)
        GLOSS:	announce/declare/be announced/be declared+he/it

 INPUT STRING:	النائب
     IS_TRANS:	AlnA}b
        INDEX:	P2W18
      OFFSETS:	105-111
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nA}ib_1]
   UNSPLITVOC:	(Aln~A}ib)
          POS:	DET+NOUN
          VOC:	Al+nA}ib
        GLOSS:	the+deputy/delegate/vice-

 INPUT STRING:	العام
     IS_TRANS:	AlEAm
        INDEX:	P2W19
      OFFSETS:	112-117
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(AlEAm)
          POS:	DET+ADJ
          VOC:	Al+EAm
        GLOSS:	the+general/common/public

 INPUT STRING:	المصري
     IS_TRANS:	AlmSry
        INDEX:	P2W20
      OFFSETS:	118-124
       TOKENS:	P2W25-P2W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+egyptian

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P2W21
      OFFSETS:	125-127
       TOKENS:	P2W26-P2W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	احتجاز
     IS_TRANS:	AHtjAz
        INDEX:	P2W22
      OFFSETS:	128-134
       TOKENS:	P2W27-P2W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotijAz_1]
   UNSPLITVOC:	(AiHotijAz)
          POS:	NOUN
          VOC:	AiHotijAz
        GLOSS:	detention/confiscation

 INPUT STRING:	اربعة
     IS_TRANS:	ArbEp
        INDEX:	P2W23
      OFFSETS:	135-140
       TOKENS:	P2W28-P2W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ArobaEap_1]
   UNSPLITVOC:	(ArobaEap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	ArobaE+ap
        GLOSS:	four+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W24
      OFFSETS:	141-143
       TOKENS:	P2W29-P2W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كبار
     IS_TRANS:	kbAr
        INDEX:	P2W25
      OFFSETS:	144-148
       TOKENS:	P2W30-P2W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(kubAr)
          POS:	ADJ
          VOC:	kubAr
        GLOSS:	senior/important

 INPUT STRING:	مسؤولي
     IS_TRANS:	ms&wly
        INDEX:	P2W26
      OFFSETS:	149-155
       TOKENS:	P2W31-P2W31
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maso&uwl_1]
   UNSPLITVOC:	(maso&uwliy)
          POS:	NOUN+NSUFF_MASC_PL_ACC_POSS
          VOC:	maso&uwl+iy
        GLOSS:	official/functionary+[masc.pl.acc.]

 INPUT STRING:	وزارة
     IS_TRANS:	wzArp
        INDEX:	P2W27
      OFFSETS:	156-161
       TOKENS:	P2W32-P2W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wizArap_1]
   UNSPLITVOC:	(wizArap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	wizAr+ap
        GLOSS:	ministry+[fem.sg.]

 INPUT STRING:	الداخلية
     IS_TRANS:	AldAxlyp
        INDEX:	P2W28
      OFFSETS:	162-170
       TOKENS:	P2W33-P2W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAxoliy~ap_1]
   UNSPLITVOC:	(Ald~Axoliy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dAxoliy~+ap
        GLOSS:	the+interior/of state+[fem.sg.]

 INPUT STRING:	بتهم
     IS_TRANS:	bthm
        INDEX:	P2W29
      OFFSETS:	171-175
       TOKENS:	P2W34-P2W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tuhomap_1]
   UNSPLITVOC:	(bituham)
          POS:	PREP+NOUN
          VOC:	bi+tuham
        GLOSS:	with/by+accusations/charges

 INPUT STRING:	تعد
     IS_TRANS:	tEd
        INDEX:	P2W30
      OFFSETS:	176-179
       TOKENS:	P2W36-P2W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ead~_1]
   UNSPLITVOC:	(tiEid~)
          POS:	IV3FS+IV
          VOC:	ti+Eid~
        GLOSS:	she/it+be considered/be counted/be deemed

 INPUT STRING:	خطيرة
     IS_TRANS:	xTyrp
        INDEX:	P2W31
      OFFSETS:	180-185
       TOKENS:	P2W37-P2W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaTiyr_1]
   UNSPLITVOC:	(xaTiyrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	xaTiyr+ap
        GLOSS:	serious/grave/dangerous/significant+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W32
      OFFSETS:	185-186
       TOKENS:	P2W38-P2W38
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وقد
     IS_TRANS:	wqd
        INDEX:	P3W1
      OFFSETS:	1-4
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qado_1]
   UNSPLITVOC:	(waqado)
          POS:	PART+VERB_PART
          VOC:	wa+qado
        GLOSS:	[part.]+may, might, perhaps, maybe, possibly, probably

 INPUT STRING:	دعا
     IS_TRANS:	dEA
        INDEX:	P3W2
      OFFSETS:	5-8
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEA_1]
   UNSPLITVOC:	(daEA)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	daEA+(null)
        GLOSS:	call/invite/be called/be invited+he/it

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P3W3
      OFFSETS:	9-12
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P3W4
      OFFSETS:	13-16
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(h*h)
          POS:	NO_FUNC
          VOC:	h*h
        GLOSS:	nogloss

 INPUT STRING:	التظاهرة
     IS_TRANS:	AltZAhrp
        INDEX:	P3W5
      OFFSETS:	17-25
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taZAhurap_1]
   UNSPLITVOC:	(Alt~aZAhurap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+taZAhur+ap
        GLOSS:	the+rally/demonstration+[fem.sg.]

 INPUT STRING:	ائتلاف
     IS_TRANS:	A}tlAf
        INDEX:	P3W6
      OFFSETS:	26-32
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai}otilAf_1]
   UNSPLITVOC:	(Ai}otilAf)
          POS:	NOUN
          VOC:	Ai}otilAf
        GLOSS:	coalition/entente

 INPUT STRING:	شباب
     IS_TRANS:	$bAb
        INDEX:	P3W7
      OFFSETS:	33-37
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$abAb_1]
   UNSPLITVOC:	($abAb)
          POS:	NOUN
          VOC:	$abAb
        GLOSS:	Jeunesse

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P3W8
      OFFSETS:	38-44
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	تحت
     IS_TRANS:	tHt
        INDEX:	P3W9
      OFFSETS:	45-48
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHot_1]
   UNSPLITVOC:	(taHot)
          POS:	NOUN
          VOC:	taHot
        GLOSS:	under

 INPUT STRING:	عنوان
     IS_TRANS:	EnwAn
        INDEX:	P3W10
      OFFSETS:	49-54
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EinowAn_1]
   UNSPLITVOC:	(EinowAn)
          POS:	NOUN
          VOC:	EinowAn
        GLOSS:	title/headline

 INPUT STRING:	الوحدة
     IS_TRANS:	AlwHdp
        INDEX:	P3W11
      OFFSETS:	56-62
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiHodap_1]
   UNSPLITVOC:	(AlwiHodap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+wiHod+ap
        GLOSS:	the+unity+[fem.sg.]

 INPUT STRING:	الوطنية
     IS_TRANS:	AlwTnyp
        INDEX:	P3W12
      OFFSETS:	63-70
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waTaniy_1]
   UNSPLITVOC:	(AlwaTaniy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+waTaniy~+ap
        GLOSS:	the+national+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P3W13
      OFFSETS:	71-72
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W14
      OFFSETS:	73-75
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اعقاب
     IS_TRANS:	AEqAb
        INDEX:	P3W15
      OFFSETS:	76-81
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Euqob_1]
   UNSPLITVOC:	(>aEoqAb)
          POS:	NOUN
          VOC:	>aEoqAb
        GLOSS:	aftermath/heels

 INPUT STRING:	الاشتباكات
     IS_TRANS:	AlA$tbAkAt
        INDEX:	P3W16
      OFFSETS:	82-92
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otibAk_1]
   UNSPLITVOC:	(AlAi$otibAkAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+Ai$otibAk+At
        GLOSS:	the+skirmishes/clashes+[fem.pl.]

 INPUT STRING:	الطائفية
     IS_TRANS:	AlTA}fyp
        INDEX:	P3W17
      OFFSETS:	93-101
       TOKENS:	P3W18-P3W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TA}ifiy_1]
   UNSPLITVOC:	(AlT~A}ifiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+TA}ifiy~+ap
        GLOSS:	the+sectarian/factional+[fem.sg.]

 INPUT STRING:	التي
     IS_TRANS:	Alty
        INDEX:	P3W18
      OFFSETS:	102-106
       TOKENS:	P3W19-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	that

 INPUT STRING:	شهدتها
     IS_TRANS:	$hdthA
        INDEX:	P3W19
      OFFSETS:	107-113
       TOKENS:	P3W20-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ihid_1]
   UNSPLITVOC:	($ihodithA)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:3FS
          VOC:	$ihod+it+hA
        GLOSS:	witness/observe+it/they/she+it/them/her

 INPUT STRING:	البلاد
     IS_TRANS:	AlblAd
        INDEX:	P3W20
      OFFSETS:	114-120
       TOKENS:	P3W22-P3W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(AlbilAd)
          POS:	DET+NOUN
          VOC:	Al+bilAd
        GLOSS:	the+country/country/countries

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W21
      OFFSETS:	121-123
       TOKENS:	P3W23-P3W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الآونة
     IS_TRANS:	Al|wnp
        INDEX:	P3W22
      OFFSETS:	124-130
       TOKENS:	P3W24-P3W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>awAn_1]
   UNSPLITVOC:	(Al|winap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+|win+ap
        GLOSS:	the+times/moments+[fem.sg.]

 INPUT STRING:	الأخيرة
     IS_TRANS:	Al>xyrp
        INDEX:	P3W23
      OFFSETS:	131-138
       TOKENS:	P3W25-P3W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>axiyr_1]
   UNSPLITVOC:	(AlAxiyrap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Axiyr+ap
        GLOSS:	the+last/latest/recent/latter/finally/recently/lately+[fem.sg.]

 INPUT STRING:	وقال
     IS_TRANS:	wqAl
        INDEX:	P4W1
      OFFSETS:	1-5
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiqAl)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+qAl+(null)
        GLOSS:	and+said/say/be said/say/(for example)+he/it

 INPUT STRING:	ضباط
     IS_TRANS:	DbAT
        INDEX:	P4W2
      OFFSETS:	6-10
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DAbiT_2]
   UNSPLITVOC:	(Dub~AT)
          POS:	NOUN
          VOC:	Dub~AT
        GLOSS:	officers

 INPUT STRING:	بالقوات
     IS_TRANS:	bAlqwAt
        INDEX:	P4W3
      OFFSETS:	11-18
       TOKENS:	P4W4-P4W5
