 INPUT STRING:	زملائى
          POS:	CONNEC_PART+NEG_PART
          VOC:	fa+lA
        GLOSS:	so/then+no/not/non-

 INPUT STRING:	أعلم
     IS_TRANS:	>Elm
        INDEX:	P2W11
      OFFSETS:	51-55
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ealim_1]
   UNSPLITVOC:	(AaEolam)
          POS:	IV1S+IV
          VOC:	Aa+Eolam
        GLOSS:	I+know

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P2W12
      OFFSETS:	56-58
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P2W13
      OFFSETS:	59-61
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	المقصود
     IS_TRANS:	AlmqSwd
        INDEX:	P2W14
      OFFSETS:	62-69
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maqoSuwd_1]
   UNSPLITVOC:	(AlmaqoSuwd)
          POS:	DET+NOUN
          VOC:	Al+maqoSuwd
        GLOSS:	the+purpose/aim/goal

 INPUT STRING:	ويبقى
     IS_TRANS:	wybqY
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(wiyiboqaY)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+boqaY
        GLOSS:	and+he/it+become

 INPUT STRING:	أيه
     IS_TRANS:	>yh
        INDEX:	P3W2
      OFFSETS:	6-9
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>ayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	لزوم
     IS_TRANS:	lzwm
        INDEX:	P3W3
      OFFSETS:	10-14
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[luzuwm_1]
   UNSPLITVOC:	(luzuwm)
          POS:	NOUN
          VOC:	luzuwm
        GLOSS:	requirement/necessity/exigency

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P3W4
      OFFSETS:	15-21
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P3W5
      OFFSETS:	22-26
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	قامت
     IS_TRANS:	qAmt
        INDEX:	P3W6
      OFFSETS:	27-31
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(qAmit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	qAm+it
        GLOSS:	undertake/carry out+it/they/she

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P3W7
      OFFSETS:	32-34
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P3W8
      OFFSETS:	35-38
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W9
      OFFSETS:	39-41
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الأساس
     IS_TRANS:	Al>sAs
        INDEX:	P3W10
      OFFSETS:	42-48
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asAs_1]
   UNSPLITVOC:	(Al>asAs)
          POS:	DET+NOUN
          VOC:	Al+>asAs
        GLOSS:	the+foundation/basis/foundations/bases/primarily/basically

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P3W11
      OFFSETS:	49-50
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	ودماء
     IS_TRANS:	wdmA'
        INDEX:	P3W12
      OFFSETS:	51-56
       TOKENS:	P3W13-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dimA'_1]
   UNSPLITVOC:	(widimA')
          POS:	CONJ+NOUN
          VOC:	wi+dimA'
        GLOSS:	and+blood

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P3W13
      OFFSETS:	57-62
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P3W14
      OFFSETS:	63-67
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	سالت
     IS_TRANS:	sAlt
        INDEX:	P3W15
      OFFSETS:	68-72
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(sa>alit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	sa>al+it
        GLOSS:	flow/leak+she/it

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P3W16
      OFFSETS:	73-78
       TOKENS:	P3W18-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	for+that

 INPUT STRING:	غيرهم
     IS_TRANS:	gyrhm
        INDEX:	P3W17
      OFFSETS:	79-84
       TOKENS:	P3W20-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(gayorhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	gayor+hum
        GLOSS:	not/other+their

 INPUT STRING:	يتمتع
     IS_TRANS:	ytmtE
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitomat~aE_1]
   UNSPLITVOC:	(yitomat~aE)
          POS:	IV3MS+IV
          VOC:	yi+tomat~aE
        GLOSS:	he/it+enjoy

 INPUT STRING:	بحاجة
     IS_TRANS:	bHAjp
        INDEX:	P4W2
      OFFSETS:	6-11
       TOKENS:	P4W2-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(biHAjap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+HAj+ap
        GLOSS:	with/by+thing/belongings+[fem.sg.]

 INPUT STRING:	إسمها
     IS_TRANS:	<smhA
        INDEX:	P4W3
      OFFSETS:	12-17
       TOKENS:	P4W4-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isom_1]
   UNSPLITVOC:	(<isomhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	<isom+hA
        GLOSS:	name+its/their/her

 INPUT STRING:	ديمقراطية
     IS_TRANS:	dymqrATyp
        INDEX:	P4W4
      OFFSETS:	18-27
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diymuqrATiy~ap_1]
   UNSPLITVOC:	(diymuqrATiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	diymuqrATiy~+ap
        GLOSS:	democracy+[fem.sg.]

 INPUT STRING:	وحرية
     IS_TRANS:	wHryp
        INDEX:	P4W5
      OFFSETS:	28-33
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hur~iy~ap_1]
   UNSPLITVOC:	(wiHur~iy~ap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+Hur~iy~+ap
        GLOSS:	and+freedom+[fem.sg.]

 INPUT STRING:	اختيار
     IS_TRANS:	AxtyAr
        INDEX:	P4W6
      OFFSETS:	34-40
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ixotiyAr_1]
   UNSPLITVOC:	(<ixotiyAr)
          POS:	NOUN
          VOC:	<ixotiyAr
        GLOSS:	choice

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P4W7
      OFFSETS:	41-42
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P4W8
      OFFSETS:	43-45
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	ريت
     IS_TRANS:	ryt
        INDEX:	P4W9
      OFFSETS:	46-49
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rayot_1]
   UNSPLITVOC:	(rayot)
          POS:	PSEUDO_VERB
          VOC:	rayot
        GLOSS:	wish/if only

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P4W10
      OFFSETS:	50-52
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	someone

 INPUT STRING:	يشرح
     IS_TRANS:	y$rH
        INDEX:	P4W11
      OFFSETS:	53-57
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$araH_1]
   UNSPLITVOC:	(yi$oraH)
          POS:	IV3MS+IV
          VOC:	yi+$oraH
        GLOSS:	he/it+expose/explain

 INPUT STRING:	لى
     IS_TRANS:	lY
        INDEX:	P4W12
      OFFSETS:	58-60
       TOKENS:	P4W15-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy~a)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/for+me

 INPUT STRING:	لأنى
     IS_TRANS:	l>nY
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(li>an~iy)
          POS:	PREP+SUB_CONJ+PRON_1S
          VOC:	li+>an~+iy
        GLOSS:	for+that+I

 INPUT STRING:	فعلاً
     IS_TRANS:	fElAF
        INDEX:	P5W2
      OFFSETS:	5-10
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	(actually/in effect)+[acc.indef.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P5W3
      OFFSETS:	11-13
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	فاهمة
     IS_TRANS:	fAhmp
        INDEX:	P5W4
      OFFSETS:	14-19
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAhim_1]
   UNSPLITVOC:	(fAhomap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	fAhom+ap
        GLOSS:	understanding+[fem.sg.]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P5W5
      OFFSETS:	20-22
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P5W6
      OFFSETS:	23-25
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	المقصود
     IS_TRANS:	AlmqSwd
        INDEX:	P5W7
      OFFSETS:	26-33
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maqoSuwd_1]
   UNSPLITVOC:	(AlmaqoSuwd)
          POS:	DET+NOUN
          VOC:	Al+maqoSuwd
        GLOSS:	the+purpose/aim/goal

 INPUT STRING:	بهذا
     IS_TRANS:	bh*A
        INDEX:	P5W8
      OFFSETS:	34-38
       TOKENS:	P5W10-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(bih`*A)
          POS:	PREP+DEM_PRON_MS
          VOC:	bi+h`*A
        GLOSS:	with/by+this [masc.sg.]

 INPUT STRING:	المصطلح
     IS_TRANS:	AlmSTlH
        INDEX:	P5W9
      OFFSETS:	39-46
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muSoTalaH_1]
   UNSPLITVOC:	(AlmuSoTalaH)
          POS:	DET+NOUN
          VOC:	Al+muSoTalaH
        GLOSS:	the+technical term/terminology

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W10
      OFFSETS:	46-47
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	الخبر
     IS_TRANS:	Alxbr
        INDEX:	P6W1
      OFFSETS:	0-5
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(Alxabar)
          POS:	DET+NOUN
          VOC:	Al+xabar
        GLOSS:	the+news/report

 INPUT STRING:	بيقول
     IS_TRANS:	byqwl
        INDEX:	P6W2
      OFFSETS:	6-11
       TOKENS:	P6W2-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(biyiquwl)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+quwl
        GLOSS:	[present-tense]+he/it+said/say/be said/say/(for example)

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P6W3
      OFFSETS:	12-13
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حديث
     IS_TRANS:	Hdyv
        INDEX:	P7W2
      OFFSETS:	3-7
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadiyv_1]
   UNSPLITVOC:	(Hadiyv)
          POS:	NOUN
          VOC:	Hadiyv
        GLOSS:	discussion/talk/interview/discussions/talks

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P7W3
      OFFSETS:	8-10
       TOKENS:	P7W3-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	for+him

 INPUT STRING:	خلال
     IS_TRANS:	xlAl
        INDEX:	P7W4
      OFFSETS:	11-15
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xilAl_1]
   UNSPLITVOC:	(xilAl)
          POS:	NOUN
          VOC:	xilAl
        GLOSS:	during/through/(by) means (of)/via/through

 INPUT STRING:	مؤتمر
     IS_TRANS:	m&tmr
        INDEX:	P7W5
      OFFSETS:	16-21
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu&otamar_1]
   UNSPLITVOC:	(mu&otamar)
          POS:	NOUN
          VOC:	mu&otamar
        GLOSS:	conference/convention

 INPUT STRING:	جماهيرى
