 INPUT STRING:	الموقف
          VOC:	Al+kul~iy~+ap
        GLOSS:	the+faculty/college/institute+[fem.sg.]

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P2W6
      OFFSETS:	27-29
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	التصوير
     IS_TRANS:	AltSwyr
        INDEX:	P2W7
      OFFSETS:	30-37
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taSowiyr_1]
   UNSPLITVOC:	(Alt~aSowiyr)
          POS:	DET+NOUN
          VOC:	Al+taSowiyr
        GLOSS:	the+photography/filming/illustration/depiction/characterization

 INPUT STRING:	وفيها
     IS_TRANS:	wfyhA
        INDEX:	P2W8
      OFFSETS:	38-43
       TOKENS:	P2W9-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wafiyhA)
          POS:	CONJ+PREP+PRON_3FS
          VOC:	wa+fiy+hA
        GLOSS:	and+in+it/them/her

 INPUT STRING:	شغل
     IS_TRANS:	$gl
        INDEX:	P2W9
      OFFSETS:	44-47
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ugol_1]
   UNSPLITVOC:	($ugol)
          POS:	NOUN
          VOC:	$ugol
        GLOSS:	work/activity/occupation/work/labor/business

 INPUT STRING:	عملي
     IS_TRANS:	Emly
        INDEX:	P2W10
      OFFSETS:	48-52
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamaliy_1]
   UNSPLITVOC:	(Eamaliy)
          POS:	ADJ
          VOC:	Eamaliy
        GLOSS:	practical/pragmatic

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/concern

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P3W2
      OFFSETS:	5-9
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	حنخرج
     IS_TRANS:	Hnxrj
        INDEX:	P3W3
      OFFSETS:	10-15
       TOKENS:	P3W3-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaraj_1]
   UNSPLITVOC:	(Hanuxoruj)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+nu+xoruj
        GLOSS:	will+we+oust/remove

 INPUT STRING:	بره
     IS_TRANS:	brh
        INDEX:	P3W4
      OFFSETS:	16-19
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bar~ah_1]
   UNSPLITVOC:	(bar~ah)
          POS:	NOUN
          VOC:	bar~ah
        GLOSS:	out

 INPUT STRING:	الكلية
     IS_TRANS:	Alklyp
        INDEX:	P3W5
      OFFSETS:	20-26
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~iy~ap_1]
   UNSPLITVOC:	(Alkul~iy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+kul~iy~+ap
        GLOSS:	the+faculty/college/institute+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W6
      OFFSETS:	27-29
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الشارع
     IS_TRANS:	Al$ArE
        INDEX:	P3W7
      OFFSETS:	30-36
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$AriE_1]
   UNSPLITVOC:	(Al$~AriE)
          POS:	DET+NOUN
          VOC:	Al+$AriE
        GLOSS:	the+street/streets

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P3W8
      OFFSETS:	37-41
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/concern

 INPUT STRING:	ونصور
     IS_TRANS:	wnSwr
        INDEX:	P3W9
      OFFSETS:	43-48
       TOKENS:	P3W10-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Saw~ar_1]
   UNSPLITVOC:	(winiSaw~ar)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+Saw~ar
        GLOSS:	and+we+film/photograph/be filmed/be photographed

 INPUT STRING:	حاجات
     IS_TRANS:	HAjAt
        INDEX:	P3W10
      OFFSETS:	49-54
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	HAj+At
        GLOSS:	thing/belongings+[fem.pl.]

 INPUT STRING:	معينة
     IS_TRANS:	mEynp
        INDEX:	P3W11
      OFFSETS:	55-60
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEay~an_1]
   UNSPLITVOC:	(muEay~anap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muEay~an+ap
        GLOSS:	fixed/determined/prescribed+[fem.sg.]

 INPUT STRING:	المهم
     IS_TRANS:	Almhm
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muhim~_1]
   UNSPLITVOC:	(Almuhim~)
          POS:	DET+NOUN
          VOC:	Al+muhim~
        GLOSS:	the+main thing/most important thing

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P4W2
      OFFSETS:	6-10
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TabEAF_1]
   UNSPLITVOC:	(TabEAF)
          POS:	NOUN
          VOC:	TabEAF
        GLOSS:	of course/naturally

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P4W3
      OFFSETS:	11-15
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P4W4
      OFFSETS:	16-18
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	حنصور
     IS_TRANS:	HnSwr
        INDEX:	P4W5
      OFFSETS:	19-24
       TOKENS:	P4W5-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Saw~ar_1]
   UNSPLITVOC:	(HaniSaw~ar)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+Saw~ar
        GLOSS:	will+we+film/photograph/be filmed/be photographed

 INPUT STRING:	بكاميرا
     IS_TRANS:	bkAmyrA
        INDEX:	P4W6
      OFFSETS:	25-32
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAmiyrA_1]
   UNSPLITVOC:	(bikAmiyrA)
          POS:	PREP+NOUN
          VOC:	bi+kAmiyrA
        GLOSS:	with/by+camera

 INPUT STRING:	ديجيتال
     IS_TRANS:	dyjytAl
        INDEX:	P4W7
      OFFSETS:	33-40
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(dyjytAl)
          POS:	FOREIGN
          VOC:	dyjytAl
        GLOSS:	nogloss

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P4W8
      OFFSETS:	41-45
       TOKENS:	P4W10-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P4W9
      OFFSETS:	46-48
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	سهلة
     IS_TRANS:	shlp
        INDEX:	P4W10
      OFFSETS:	49-53
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sahol_1]
   UNSPLITVOC:	(saholap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	sahol+ap
        GLOSS:	easy/simple+[fem.sg.]

 INPUT STRING:	الاستخدام
     IS_TRANS:	AlAstxdAm
        INDEX:	P4W11
      OFFSETS:	54-63
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotixodAm_1]
   UNSPLITVOC:	(AlAisotixodAm)
          POS:	DET+NOUN
          VOC:	Al+AisotixodAm
        GLOSS:	the+usage/using/utilization

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/concern

 INPUT STRING:	حنصور
     IS_TRANS:	HnSwr
        INDEX:	P5W2
      OFFSETS:	5-10
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Saw~ar_1]
   UNSPLITVOC:	(HaniSaw~ar)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+Saw~ar
        GLOSS:	will+we+film/photograph/be filmed/be photographed

 INPUT STRING:	بكاميرا
     IS_TRANS:	bkAmyrA
        INDEX:	P5W3
      OFFSETS:	11-18
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAmiyrA_1]
   UNSPLITVOC:	(bikAmiyrA)
          POS:	PREP+NOUN
          VOC:	bi+kAmiyrA
        GLOSS:	with/by+camera

 INPUT STRING:	عادية
     IS_TRANS:	EAdyp
        INDEX:	P5W4
      OFFSETS:	19-24
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdiy_1]
   UNSPLITVOC:	(EAdiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAdiy~+ap
        GLOSS:	ordinary/regular/normal+[fem.sg.]

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TabEAF_1]
   UNSPLITVOC:	(TabEAF)
          POS:	NOUN
          VOC:	TabEAF
        GLOSS:	of course/naturally

 INPUT STRING:	استعارنا
     IS_TRANS:	AstEArnA
        INDEX:	P6W2
      OFFSETS:	5-13
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AisotaEAr_1]
   UNSPLITVOC:	(AisotaEArnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	AisotaEAr+nA
        GLOSS:	borrow+we

 INPUT STRING:	كاميرا
     IS_TRANS:	kAmyrA
        INDEX:	P6W3
      OFFSETS:	14-20
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAmiyrA_1]
   UNSPLITVOC:	(kAmiyrA)
          POS:	NOUN
          VOC:	kAmiyrA
        GLOSS:	camera

 INPUT STRING:	الكلية
     IS_TRANS:	Alklyp
        INDEX:	P6W4
      OFFSETS:	21-27
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~iy~ap_1]
   UNSPLITVOC:	(Alkul~iy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+kul~iy~+ap
        GLOSS:	the+faculty/college/institute+[fem.sg.]

 INPUT STRING:	وكونت
     IS_TRANS:	wkwnt
        INDEX:	P6W5
      OFFSETS:	28-33
       TOKENS:	P6W5-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaw~in_1]
   UNSPLITVOC:	(wikaw~int)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wi+kaw~in+t
        GLOSS:	and+make+I

 INPUT STRING:	مجموعة
     IS_TRANS:	mjmwEp
        INDEX:	P6W6
      OFFSETS:	34-40
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majomuwEap_1]
   UNSPLITVOC:	(majomuwEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	majomuwE+ap
        GLOSS:	collection/group/bloc+[fem.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P6W7
      OFFSETS:	41-44
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	i

 INPUT STRING:	وزميلاتى
     IS_TRANS:	wzmylAtY
        INDEX:	P6W8
      OFFSETS:	45-53
       TOKENS:	P6W9-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zamiyl_1]
   UNSPLITVOC:	(wizamiylAtiy)
          POS:	CONJ+NOUN+NSUFF_FEM_PL+POSS_PRON_1S
          VOC:	wi+zamiyl+At+iy
        GLOSS:	and+colleague/associate/companion+[fem.pl.]+my

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P6W9
      OFFSETS:	54-56
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	5
     IS_TRANS:	5
        INDEX:	P6W10
      OFFSETS:	57-58
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[5_1]
   UNSPLITVOC:	(5)
          POS:	NOUN_NUM
          VOC:	5
        GLOSS:	5

 INPUT STRING:	طالبات
     IS_TRANS:	TAlbAt
        INDEX:	P6W11
      OFFSETS:	59-65
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAlibap_1]
   UNSPLITVOC:	(TAlibAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	TAlib+At
        GLOSS:	student+[fem.pl.]

 INPUT STRING:	المهم
     IS_TRANS:	Almhm
        INDEX:	P7W1
      OFFSETS:	0-5
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muhim~_1]
   UNSPLITVOC:	(Almuhim~)
          POS:	DET+NOUN
          VOC:	Al+muhim~
        GLOSS:	the+main thing/most important thing

 INPUT STRING:	اشترينا
     IS_TRANS:	A$trynA
        INDEX:	P7W2
      OFFSETS:	6-13
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otaraY_1]
   UNSPLITVOC:	(Ai$otaraynA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	Ai$otar+aynA
        GLOSS:	buy+we

 INPUT STRING:	الفيلم
     IS_TRANS:	Alfylm
        INDEX:	P7W3
      OFFSETS:	14-20
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiylm_1]
   UNSPLITVOC:	(Alfiylm)
          POS:	DET+NOUN
          VOC:	Al+fiylm
        GLOSS:	the+film/movie/films/movies

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P7W4
      OFFSETS:	21-23
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الاستوديو
     IS_TRANS:	AlAstwdyw
        INDEX:	P7W5
      OFFSETS:	24-33
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isotuwdyuw_1]
   UNSPLITVOC:	(Al<isotuwdyuw)
          POS:	DET+NOUN
          VOC:	Al+<isotuwdyuw
        GLOSS:	the+studio

 INPUT STRING:	والعاملة
     IS_TRANS:	wAlEAmlp
        INDEX:	P7W6
      OFFSETS:	34-42
       TOKENS:	P7W6-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmolap_1]
   UNSPLITVOC:	(wiAlEAmolap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+EAmol+ap
        GLOSS:	and+the+worker+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P7W7
      OFFSETS:	43-47
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P7W8
      OFFSETS:	48-52
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	ADV
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P7W9
      OFFSETS:	53-55
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P7W10
      OFFSETS:	56-60
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	ركبت
     IS_TRANS:	rkbt
        INDEX:	P7W11
      OFFSETS:	61-65
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
