 INPUT STRING:	عمر
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	هايكون
     IS_TRANS:	hAykwn
        INDEX:	P1W28
      OFFSETS:	127-133
       TOKENS:	P1W32-P1W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(Hayikuwn)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+kuwn
        GLOSS:	will+he/it+be

 INPUT STRING:	بالعمل
     IS_TRANS:	bAlEml
        INDEX:	P1W29
      OFFSETS:	134-140
       TOKENS:	P1W34-P1W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(biAlEamal)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+Eamal
        GLOSS:	with/by+the+work/action

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P1W30
      OFFSETS:	141-142
       TOKENS:	P1W36-P1W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	الشغل
     IS_TRANS:	Al$gl
        INDEX:	P1W31
      OFFSETS:	143-148
       TOKENS:	P1W37-P1W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ugol_1]
   UNSPLITVOC:	(Al$~ugol)
          POS:	DET+NOUN
          VOC:	Al+$ugol
        GLOSS:	the+work/activity/occupation

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P1W32
      OFFSETS:	149-150
       TOKENS:	P1W38-P1W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	الانتاج
     IS_TRANS:	AlAntAj
        INDEX:	P1W33
      OFFSETS:	151-158
       TOKENS:	P1W39-P1W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inotAj_1]
   UNSPLITVOC:	(Al<inotAj)
          POS:	DET+NOUN
          VOC:	Al+<inotAj
        GLOSS:	the+production/output

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P1W34
      OFFSETS:	159-160
       TOKENS:	P1W40-P1W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P1W35
      OFFSETS:	161-165
       TOKENS:	P1W41-P1W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	للاسف
     IS_TRANS:	llAsf
        INDEX:	P1W36
      OFFSETS:	166-171
       TOKENS:	P1W42-P1W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asaf_1]
   UNSPLITVOC:	(lil>asaf)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+>asaf
        GLOSS:	for/to+the+regret/sorry

 INPUT STRING:	ماعندناش
     IS_TRANS:	mAEndnA$
        INDEX:	P1W37
      OFFSETS:	172-180
       TOKENS:	P1W44-P1W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eand_1]
   UNSPLITVOC:	(mAEandnA$)
          POS:	NEG_PART+NOUN+POSS_PRON_1P+NEG_PART
          VOC:	mA+Eand+nA+$
        GLOSS:	not+at/with+we+not

 INPUT STRING:	الحاجات
     IS_TRANS:	AlHAjAt
        INDEX:	P1W38
      OFFSETS:	181-188
       TOKENS:	P1W48-P1W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(AlHAjAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+HAj+At
        GLOSS:	the+things+[fem.pl.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P1W39
      OFFSETS:	189-191
       TOKENS:	P1W49-P1W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON
          VOC:	diy
        GLOSS:	this/these

 INPUT STRING:	بدل
     IS_TRANS:	bdl
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[badal_1]
   UNSPLITVOC:	(badal)
          POS:	NOUN
          VOC:	badal
        GLOSS:	instead of

 INPUT STRING:	مايفتحوا
     IS_TRANS:	mAyftHwA
        INDEX:	P2W2
      OFFSETS:	4-12
       TOKENS:	P2W2-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fataH_1]
   UNSPLITVOC:	(mAyiftaHuwA)
          POS:	SUB_CONJ+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	mA+yi+ftaH+uwA
        GLOSS:	that+they+open/conquer+

 INPUT STRING:	لنا
     IS_TRANS:	lnA
        INDEX:	P2W3
      OFFSETS:	13-16
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(linA)
          POS:	PREP+PRON_1P
          VOC:	li+nA
        GLOSS:	to/for+us (we have)

 INPUT STRING:	مصانع
     IS_TRANS:	mSAnE
        INDEX:	P2W4
      OFFSETS:	17-22
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSonaE_1]
   UNSPLITVOC:	(maSAniE)
          POS:	NOUN
          VOC:	maSAniE
        GLOSS:	factory/industrial plant

 INPUT STRING:	منتجة
     IS_TRANS:	mntjp
        INDEX:	P2W5
      OFFSETS:	23-28
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[munotij_1]
   UNSPLITVOC:	(munotijap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	munotij+ap
        GLOSS:	productive/producing+[fem.sg.]

 INPUT STRING:	بيفتحوا
     IS_TRANS:	byftHwA
        INDEX:	P2W6
      OFFSETS:	29-36
       TOKENS:	P2W8-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fataH_1]
   UNSPLITVOC:	(biyifotaHuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+fotaH+uwA
        GLOSS:	[present-tense]+they+open/conquer+[pl.]

 INPUT STRING:	لنا
     IS_TRANS:	lnA
        INDEX:	P2W7
      OFFSETS:	37-40
       TOKENS:	P2W10-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(linA)
          POS:	PREP+PRON_1P
          VOC:	li+nA
        GLOSS:	to/for+us (we have)

 INPUT STRING:	برامج
     IS_TRANS:	brAmj
        INDEX:	P2W8
      OFFSETS:	41-46
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bironAmij_1]
   UNSPLITVOC:	(barAmij)
          POS:	NOUN
          VOC:	barAmij
        GLOSS:	programs

 INPUT STRING:	توك
     IS_TRANS:	twk
        INDEX:	P2W9
      OFFSETS:	47-50
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(twk)
          POS:	FOREIGN
          VOC:	twk
        GLOSS:	nogloss

 INPUT STRING:	شو
     IS_TRANS:	$w
        INDEX:	P2W10
      OFFSETS:	51-53
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	($w)
          POS:	FOREIGN
          VOC:	$w
        GLOSS:	nogloss

 INPUT STRING:	نسهر
     IS_TRANS:	nshr
        INDEX:	P2W11
      OFFSETS:	54-58
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sihir_1]
   UNSPLITVOC:	(nisohar)
          POS:	IV1P+IV
          VOC:	ni+sohar
        GLOSS:	we+be sleepless/stay up the night

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P2W12
      OFFSETS:	59-64
       TOKENS:	P2W16-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalayhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+her/them/it

 INPUT STRING:	للصبح
     IS_TRANS:	llSbH
        INDEX:	P2W13
      OFFSETS:	65-70
       TOKENS:	P2W18-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SuboH_1]
   UNSPLITVOC:	(lilS~uboH)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+SuboH
        GLOSS:	till+the+morning/daybreak

 INPUT STRING:	عموما
     IS_TRANS:	EmwmA
        INDEX:	P2W14
      OFFSETS:	71-76
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumuwm_1]
   UNSPLITVOC:	(EumuwmAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Eumuwm+AF
        GLOSS:	in general/generally+[acc.indef.]

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P2W15
      OFFSETS:	77-81
       TOKENS:	P2W21-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	يصلح
     IS_TRANS:	ySlH
        INDEX:	P2W16
      OFFSETS:	82-86
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[SalaH_1]
   UNSPLITVOC:	(yiSolaH)
          POS:	IV3MS+IV
          VOC:	yi+SolaH
        GLOSS:	he/it+put in order/repair

 INPUT STRING:	لنا
     IS_TRANS:	lnA
        INDEX:	P2W17
      OFFSETS:	87-90
       TOKENS:	P2W24-P2W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(linA)
          POS:	PREP+PRON_1P
          VOC:	li+nA
        GLOSS:	to/for+us (we have)

 INPUT STRING:	حالنا
     IS_TRANS:	HAlnA
        INDEX:	P2W18
      OFFSETS:	91-96
       TOKENS:	P2W26-P2W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(HAlonA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	HAlo+nA
        GLOSS:	situation/condition/case+our

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W19
      OFFSETS:	97-98
       TOKENS:	P2W28-P2W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	يرضي
     IS_TRANS:	yrDy
        INDEX:	P2W20
      OFFSETS:	99-103
       TOKENS:	P2W29-P2W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raDaY_1]
   UNSPLITVOC:	(yiroDaY)
          POS:	IV3MS+IV
          VOC:	yi+roDaY
        GLOSS:	he/it+be pleased/agree/approve

 INPUT STRING:	عنا
     IS_TRANS:	EnA
        INDEX:	P2W21
      OFFSETS:	104-107
       TOKENS:	P2W30-P2W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean~A)
          POS:	PREP+PRON_1P
          VOC:	Ean+nA
        GLOSS:	(away) from, off, about, on, over+us

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P2W22
      OFFSETS:	108-110
       TOKENS:	P2W32-P2W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	بطلنا
     IS_TRANS:	bTlnA
        INDEX:	P2W23
      OFFSETS:	111-116
       TOKENS:	P2W33-P2W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baT~al_1]
   UNSPLITVOC:	(baT~alnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	baT~al+nA
        GLOSS:	thwart/abolish+we [verb]

 INPUT STRING:	نتكلم
     IS_TRANS:	ntklm
        INDEX:	P2W24
      OFFSETS:	117-122
       TOKENS:	P2W34-P2W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(nitokal~im)
          POS:	IV1P+IV
          VOC:	ni+tokal~im
        GLOSS:	we+speak/talk/discuss

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W25
      OFFSETS:	123-124
       TOKENS:	P2W35-P2W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	ابتدينا
     IS_TRANS:	AbtdynA
        INDEX:	P2W26
      OFFSETS:	125-132
       TOKENS:	P2W36-P2W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AibotadA_1]
   UNSPLITVOC:	(AibotadaynA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	Aibotad+aynA
        GLOSS:	begin/start+we

 INPUT STRING:	نعمل
     IS_TRANS:	nEml
        INDEX:	P2W27
      OFFSETS:	133-137
       TOKENS:	P2W37-P2W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
