 INPUT STRING:	الحمد
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hal~_1]
   UNSPLITVOC:	(AitoHal~it)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	AitoHal~+it
        GLOSS:	be solved+it/they/she

 INPUT STRING:	ومابقاش
     IS_TRANS:	wmAbqA$
        INDEX:	P1W6
      OFFSETS:	30-37
       TOKENS:	P1W8-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(wimA_baqA$)
          POS:	CONJ+NEG_PART+PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	wi+mA+baqaY+(null)+$
        GLOSS:	and+not+become/remain+he/it [verb]+not

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P1W7
      OFFSETS:	38-41
       TOKENS:	P1W12-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	مشاكل
     IS_TRANS:	m$Akl
        INDEX:	P1W8
      OFFSETS:	42-47
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(ma$Akil)
          POS:	NOUN
          VOC:	ma$Akil
        GLOSS:	problem/issue

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P1W9
      OFFSETS:	48-51
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	not/other

 INPUT STRING:	ابراهيم
     IS_TRANS:	AbrAhym
        INDEX:	P1W10
      OFFSETS:	52-59
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iborAhiym_1]
   UNSPLITVOC:	(<iborAhiym)
          POS:	NOUN_PROP
          VOC:	<iborAhiym
        GLOSS:	Ibrahim

 INPUT STRING:	عيسى
     IS_TRANS:	EysY
        INDEX:	P1W11
      OFFSETS:	60-64
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EiysaY_1]
   UNSPLITVOC:	(EiysaY)
          POS:	NOUN_PROP
          VOC:	EiysaY
        GLOSS:	Issa/Eissa

 INPUT STRING:	وعمرو
     IS_TRANS:	wEmrw
        INDEX:	P1W12
      OFFSETS:	65-70
       TOKENS:	P1W18-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamorw_1]
   UNSPLITVOC:	(wiEamorw)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+Eamorw
        GLOSS:	and+Amr

 INPUT STRING:	حمزاوى
     IS_TRANS:	HmzAwY
        INDEX:	P1W13
      OFFSETS:	71-77
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HamzAwiy_1]
   UNSPLITVOC:	(HamzAwiy)
          POS:	NOUN_PROP
          VOC:	HamzAwiy
        GLOSS:	hamzawi

 INPUT STRING:	وعلاء
     IS_TRANS:	wElA'
        INDEX:	P1W14
      OFFSETS:	78-83
       TOKENS:	P1W21-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalA'_1]
   UNSPLITVOC:	(wiEalA')
          POS:	CONJ+NOUN_PROP
          VOC:	wi+EalA'
        GLOSS:	and+Alaa

 INPUT STRING:	الاسوانى
     IS_TRANS:	AlAswAnY
        INDEX:	P1W15
      OFFSETS:	84-92
       TOKENS:	P1W23-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AsowAniy_1]
   UNSPLITVOC:	(AlAsowAniy)
          POS:	DET+NOUN_PROP
          VOC:	Al+AsowAniy
        GLOSS:	the+aswany

 INPUT STRING:	وخالد
     IS_TRANS:	wxAld
        INDEX:	P1W16
      OFFSETS:	93-98
       TOKENS:	P1W24-P1W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAlid_1]
   UNSPLITVOC:	(wixAlid)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+xAlid
        GLOSS:	and+Khalid

 INPUT STRING:	يوسف
     IS_TRANS:	ywsf
        INDEX:	P1W17
      OFFSETS:	99-103
       TOKENS:	P1W26-P1W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yuwsif_1]
   UNSPLITVOC:	(yuwsif)
          POS:	NOUN_PROP
          VOC:	yuwsif
        GLOSS:	Yousif/Yusif/Joseph

 INPUT STRING:	والعلمانيين
     IS_TRANS:	wAlElmAnyyn
        INDEX:	P1W18
      OFFSETS:	104-115
       TOKENS:	P1W27-P1W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EilomAniy_1]
   UNSPLITVOC:	(wiAlEilomAniy~iyn)
          POS:	CONJ+DET+ADJ+NSUFF_MASC_PL
          VOC:	wi+Al+EilomAniy~+iyn
        GLOSS:	and+the+secular+[masc.pl.]

 INPUT STRING:	الذين
     IS_TRANS:	Al*yn
        INDEX:	P1W19
      OFFSETS:	116-121
       TOKENS:	P1W29-P1W29
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~a*iyna)
          POS:	REL_PRON
          VOC:	Al~a*iyna
        GLOSS:	who/whom [pl.]

 INPUT STRING:	يريدون
     IS_TRANS:	yrydwn
        INDEX:	P1W20
      OFFSETS:	122-128
       TOKENS:	P1W30-P1W30
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yrydwn)
          POS:	NO_FUNC
          VOC:	yrydwn
        GLOSS:	nogloss

 INPUT STRING:	لمصر
     IS_TRANS:	lmSr
        INDEX:	P1W21
      OFFSETS:	129-133
       TOKENS:	P1W31-P1W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(limaSor)
          POS:	PREP+NOUN_PROP
          VOC:	li+maSor
        GLOSS:	for/to+Egypt

 INPUT STRING:	الخراب
     IS_TRANS:	AlxrAb
        INDEX:	P1W22
      OFFSETS:	134-140
       TOKENS:	P1W33-P1W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xarAb_1]
   UNSPLITVOC:	(AlxarAb)
          POS:	DET+NOUN
          VOC:	Al+xarAb
        GLOSS:	the+ruins/destroyed

 INPUT STRING:	اضف
     IS_TRANS:	ADf
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aDAf_1]
   UNSPLITVOC:	(>aDifo)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	>aDif+o
        GLOSS:	add+you [verb]

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P2W2
      OFFSETS:	4-7
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	ذلك
     IS_TRANS:	*lk
        INDEX:	P2W3
      OFFSETS:	8-11
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*alik_1]
   UNSPLITVOC:	(*alik)
          POS:	DEM_PRON_MS
          VOC:	*alik
        GLOSS:	that

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P2W4
      OFFSETS:	12-16
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	temperament/naturally/of course+[acc.indef.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P2W5
      OFFSETS:	17-19
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	اسم
     IS_TRANS:	Asm
        INDEX:	P2W6
      OFFSETS:	20-23
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(Aisom)
          POS:	NOUN
          VOC:	Aisom
        GLOSS:	name

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P2W7
      OFFSETS:	24-27
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	جمهوريه
     IS_TRANS:	jmhwryh
        INDEX:	P2W8
      OFFSETS:	28-35
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumohuwriy~ap_1]
   UNSPLITVOC:	(jumohuwriy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jumohuwriy~+ap
        GLOSS:	republic/republics+[fem.sg.]

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P2W9
      OFFSETS:	36-39
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	العربيه
     IS_TRANS:	AlErbyh
        INDEX:	P2W10
      OFFSETS:	40-47
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+Arab/Arabic+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P2W11
      OFFSETS:	48-50
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	لطيف
     IS_TRANS:	lTyf
        INDEX:	P2W12
      OFFSETS:	51-55
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laTiyf_1]
   UNSPLITVOC:	(laTiyf)
          POS:	ADJ
          VOC:	laTiyf
        GLOSS:	delicate/gentle/polite

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P2W13
      OFFSETS:	56-60
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	نخليه
     IS_TRANS:	nxlyh
        INDEX:	P2W14
      OFFSETS:	61-66
       TOKENS:	P2W14-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(nixal~iyh)
          POS:	IV1P+IV+IVSUFF_DO:3MS
          VOC:	ni+xal~iy+uh
        GLOSS:	we+release/evacuate/allow/let+him/it

 INPUT STRING:	جمهوريه
     IS_TRANS:	jmhwryh
        INDEX:	P2W15
      OFFSETS:	67-74
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumohuwriy~ap_1]
   UNSPLITVOC:	(jumohuwriy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jumohuwriy~+ap
        GLOSS:	republic/republics+[fem.sg.]

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P2W16
      OFFSETS:	75-78
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	السلفيه
     IS_TRANS:	Alslfyh
        INDEX:	P2W17
      OFFSETS:	79-86
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Alsalafiy_1]
   UNSPLITVOC:	(Alsalafiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+salafiy~+ap
        GLOSS:	the+Salafi/Salafist+[fem.sg.]

 INPUT STRING:	عفوا
     IS_TRANS:	EfwA
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eafow_1]
   UNSPLITVOC:	(EafowAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Eafow+AF
        GLOSS:	excuse me+[acc.indef.]

 INPUT STRING:	جمهوريه
     IS_TRANS:	jmhwryh
        INDEX:	P3W2
      OFFSETS:	5-12
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumohuwriy~ap_1]
   UNSPLITVOC:	(jumohuwriy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jumohuwriy~+ap
        GLOSS:	republic/republics+[fem.sg.]

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P3W3
      OFFSETS:	13-16
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	الاسلاميه
     IS_TRANS:	AlAslAmyh
        INDEX:	P3W4
      OFFSETS:	17-26
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAmiy_1]
   UNSPLITVOC:	(Al<isolAmiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+<isolAmiy~+ap
        GLOSS:	the+Islamic/Islamist/Muslim+[fem.sg.]

 INPUT STRING:	هكذا
     IS_TRANS:	hk*A
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haka*A_1]
   UNSPLITVOC:	(haka*A)
          POS:	ADV
          VOC:	haka*A
        GLOSS:	this way, this, thus

 INPUT STRING:	يقول
     IS_TRANS:	yqwl
        INDEX:	P4W2
      OFFSETS:	5-9
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yaquwl)
          POS:	IV3MS+IV
          VOC:	ya+quwl
        GLOSS:	he/it+said/say/be said/say/(for example)

 INPUT STRING:	القيادى
     IS_TRANS:	AlqyAdY
        INDEX:	P4W3
      OFFSETS:	10-17
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qiyAdiy_2]
   UNSPLITVOC:	(AlqiyAdiy)
          POS:	DET+NOUN
          VOC:	Al+qiyAdiy
        GLOSS:	the+leader/commander

 INPUT STRING:	البارز
     IS_TRANS:	AlbArz
        INDEX:	P4W4
      OFFSETS:	18-24
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAriz_1]
   UNSPLITVOC:	(AlbAriz)
          POS:	DET+ADJ
          VOC:	Al+bAriz
        GLOSS:	the+prominent/distinct

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P4W5
      OFFSETS:	25-27
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حزب
     IS_TRANS:	Hzb
        INDEX:	P4W6
      OFFSETS:	28-31
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizob_1]
   UNSPLITVOC:	(Hizob)
          POS:	NOUN
          VOC:	Hizob
        GLOSS:	party/band

 INPUT STRING:	النور
     IS_TRANS:	Alnwr
        INDEX:	P4W7
      OFFSETS:	32-37
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuwr_1]
   UNSPLITVOC:	(Aln~uwr)
          POS:	DET+NOUN_PROP
          VOC:	Al+nuwr
        GLOSS:	the+Nour/Noor

 INPUT STRING:	السلفى
     IS_TRANS:	AlslfY
        INDEX:	P4W8
      OFFSETS:	38-44
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salafiy_1]
   UNSPLITVOC:	(Als~alafiy)
          POS:	DET+ADJ
          VOC:	Al+salafiy
        GLOSS:	the+Salafi/Salafist

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P4W9
      OFFSETS:	49-53
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whom/which

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W10
      OFFSETS:	54-56
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كام
     IS_TRANS:	kAm
        INDEX:	P4W11
      OFFSETS:	57-60
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAm_1]
   UNSPLITVOC:	(kAm)
          POS:	NOUN_QUANT
          VOC:	kAm
        GLOSS:	some

 INPUT STRING:	شهر
     IS_TRANS:	$hr
        INDEX:	P4W12
      OFFSETS:	61-64
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahor_1]
   UNSPLITVOC:	($ahor)
          POS:	NOUN
          VOC:	$ahor
        GLOSS:	month/months

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P4W13
      OFFSETS:	65-69
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she [verb]

 INPUT STRING:	السياسه
     IS_TRANS:	AlsyAsh
        INDEX:	P4W14
      OFFSETS:	70-77
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(Als~iyAsap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+siyAs+ap
        GLOSS:	the+politics+[fem.sg.]

 INPUT STRING:	حرام
     IS_TRANS:	HrAm
        INDEX:	P4W15
      OFFSETS:	78-82
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HarAm_1]
   UNSPLITVOC:	(HarAm)
          POS:	NOUN
          VOC:	HarAm
        GLOSS:	sin/offense

 INPUT STRING:	واللى
     IS_TRANS:	wAllY
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(wiAill~iy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Aill~iy
        GLOSS:	and+who/whom/which

 INPUT STRING:	برضه
     IS_TRANS:	brDh
        INDEX:	P5W2
      OFFSETS:	6-10
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also/too

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P5W3
      OFFSETS:	11-14
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it [verb]

 INPUT STRING:	عمل
     IS_TRANS:	Eml
        INDEX:	P5W4
      OFFSETS:	15-18
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamal)
          POS:	NOUN
          VOC:	Eamal
        GLOSS:	work/action

 INPUT STRING:	المرأه
     IS_TRANS:	Almr>h
        INDEX:	P5W5
      OFFSETS:	19-25
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maro>ap_1]
   UNSPLITVOC:	(Almaro>ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maro>+ap
        GLOSS:	the+woman+[fem.sg.]

 INPUT STRING:	حرام
     IS_TRANS:	HrAm
        INDEX:	P5W6
      OFFSETS:	26-30
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HarAm_1]
