 INPUT STRING:	واحنا
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P3W3
      OFFSETS:	6-9
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	يبؤ
     IS_TRANS:	yb&
        INDEX:	P3W4
      OFFSETS:	10-13
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yibquwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+bq+uwA
        GLOSS:	they+remain/become+we

 INPUT STRING:	يضخو
     IS_TRANS:	yDxw
        INDEX:	P3W5
      OFFSETS:	14-18
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Dax~_1]
   UNSPLITVOC:	(yDux~uwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	y+Dux~+uwA
        GLOSS:	they+pump+we

 INPUT STRING:	البنزين
     IS_TRANS:	Albnzyn
        INDEX:	P3W6
      OFFSETS:	19-26
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[banoziyn_1]
   UNSPLITVOC:	(Albanoziyn)
          POS:	DET+NOUN
          VOC:	Al+banoziyn
        GLOSS:	the+gasoline/benzine/benzene

 INPUT STRING:	لينا
     IS_TRANS:	lynA
        INDEX:	P3W7
      OFFSETS:	27-31
       TOKENS:	P3W7-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liynA)
          POS:	PREP+PRON_1P
          VOC:	li+nA
        GLOSS:	to/for+us

 INPUT STRING:	الاول
     IS_TRANS:	AlAwl
        INDEX:	P3W8
      OFFSETS:	32-37
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw~al_1]
   UNSPLITVOC:	(Al>aw~al)
          POS:	DET+ADJ
          VOC:	Al+>aw~al
        GLOSS:	the+first of all/primarily/in the first place

 INPUT STRING:	يالهوي
     IS_TRANS:	yAlhwy
        INDEX:	P4W1
      OFFSETS:	0-6
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yaAlahowiy_1]
   UNSPLITVOC:	(yaAlahowiy)
          POS:	INTERJ
          VOC:	yaAlahowiy
        GLOSS:	oh

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P4W2
      OFFSETS:	7-10
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	الوكسه
     IS_TRANS:	Alwksh
        INDEX:	P4W3
      OFFSETS:	11-17
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wakosap_1]
   UNSPLITVOC:	(Alwakosap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+wakos+ap
        GLOSS:	the+drop in value/depreciation+[fem.sg.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P4W4
      OFFSETS:	18-20
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P4W5
      OFFSETS:	21-23
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P4W6
      OFFSETS:	24-28
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P4W7
      OFFSETS:	29-31
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	لاقين
     IS_TRANS:	lAqyn
        INDEX:	P4W8
      OFFSETS:	32-37
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lAqiy_1]
   UNSPLITVOC:	(lAqiyiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	lAqiy+iyn
        GLOSS:	finding+two

 INPUT STRING:	نقطة
     IS_TRANS:	nqTp
        INDEX:	P4W9
      OFFSETS:	38-42
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuqoTap_1]
   UNSPLITVOC:	(nuqoTap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	nuqoT+ap
        GLOSS:	point/location/position+[fem.sg.]

 INPUT STRING:	بنزين
     IS_TRANS:	bnzyn
        INDEX:	P4W10
      OFFSETS:	43-48
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[banoziyn_1]
   UNSPLITVOC:	(banoziyn)
          POS:	NOUN
          VOC:	banoziyn
        GLOSS:	gasoline/benzine/benzene

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P4W11
      OFFSETS:	49-52
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	عايزين
     IS_TRANS:	EAyzyn
        INDEX:	P4W12
      OFFSETS:	53-59
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyoziyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EAyoz+iyn
        GLOSS:	wanting/needing+two

 INPUT STRING:	يدخلونا
     IS_TRANS:	ydxlwnA
        INDEX:	P4W13
      OFFSETS:	60-67
       TOKENS:	P4W13-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dax~al_1]
   UNSPLITVOC:	(yidax~aluwnA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:1P
          VOC:	yi+dax~al+uwA+nA
        GLOSS:	they+Gloss:TBA+we+us

 INPUT STRING:	السرايا
     IS_TRANS:	AlsrAyA
        INDEX:	P4W14
      OFFSETS:	68-75
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sarAyap_1]
   UNSPLITVOC:	(Als~arAyaA)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+sarAy+ap
        GLOSS:	the+palace/asylum+[fem.sg.]

 INPUT STRING:	الصفرا
     IS_TRANS:	AlSfrA
        INDEX:	P4W15
      OFFSETS:	76-82
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaforA_1]
   UNSPLITVOC:	(AlS~aforA)
          POS:	DET+ADJ
          VOC:	Al+SaforA
        GLOSS:	the+yellow

 INPUT STRING:	والا
     IS_TRANS:	wAlA
        INDEX:	P4W16
      OFFSETS:	83-87
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P4W17
      OFFSETS:	88-91
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	عقبال
     IS_TRANS:	EqbAl
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EuqobAl_1]
   UNSPLITVOC:	(EuqobAl)
          POS:	PREP
          VOC:	EuqobAl
        GLOSS:	may they

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P5W2
      OFFSETS:	6-8
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	يرفعوا
     IS_TRANS:	yrfEwA
        INDEX:	P5W3
      OFFSETS:	9-15
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rafaE_1]
   UNSPLITVOC:	(yirofaEuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+rofaE+uwA
        GLOSS:	they+promote/raise+we

 INPUT STRING:	المعاناه
     IS_TRANS:	AlmEAnAh
        INDEX:	P5W4
      OFFSETS:	16-24
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEAnAh_1]
   UNSPLITVOC:	(AlmuEAnAh)
          POS:	DET+NOUN
          VOC:	Al+muEAnAh
        GLOSS:	the+hardship/suffering/effort

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P5W5
      OFFSETS:	25-27
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P5W6
      OFFSETS:	28-33
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	المصري
     IS_TRANS:	AlmSry
        INDEX:	P5W7
      OFFSETS:	34-40
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+Egyptian

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P5W8
      OFFSETS:	41-45
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P5W9
      OFFSETS:	46-50
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	that

 INPUT STRING:	بقينا
     IS_TRANS:	bqynA
        INDEX:	P5W10
      OFFSETS:	51-56
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaynA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	baq+aynA
        GLOSS:	remain/become+we

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P5W11
      OFFSETS:	57-59
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حصار
     IS_TRANS:	HSAr
        INDEX:	P5W12
      OFFSETS:	60-64
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HiSAr_1]
   UNSPLITVOC:	(HiSAr)
          POS:	NOUN
          VOC:	HiSAr
        GLOSS:	siege/blockade

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P6W2
      OFFSETS:	4-6
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	ريت
     IS_TRANS:	ryt
        INDEX:	P6W3
      OFFSETS:	7-10
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rayot_1]
   UNSPLITVOC:	(rayot)
          POS:	PSEUDO_VERB
          VOC:	rayot
        GLOSS:	if only!

 INPUT STRING:	الحكومة
     IS_TRANS:	AlHkwmp
        INDEX:	P6W4
      OFFSETS:	11-18
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmap_1]
   UNSPLITVOC:	(AlHukuwmap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hukuwm+ap
        GLOSS:	the+government/administration/governments/administrations+[fem.sg.]

 INPUT STRING:	تضخلنا
     IS_TRANS:	tDxlnA
        INDEX:	P6W5
      OFFSETS:	19-25
       TOKENS:	P6W5-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Dax~_1]
   UNSPLITVOC:	(tDux~linA)
          POS:	IV3FS+IV+PREP+PRON_1P
          VOC:	t+Dux~+li+nA
        GLOSS:	it/they/she+pump+to/for+us

 INPUT STRING:	شوية
     IS_TRANS:	$wyp
        INDEX:	P6W6
      OFFSETS:	26-30
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uway~ap_1]
   UNSPLITVOC:	($uway~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$uway~+ap
        GLOSS:	a little bit+[fem.sg.]

 INPUT STRING:	وقود
     IS_TRANS:	wqwd
        INDEX:	P6W7
      OFFSETS:	31-35
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waquwd_1]
   UNSPLITVOC:	(waquwd)
          POS:	NOUN
          VOC:	waquwd
        GLOSS:	fuel

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P6W8
      OFFSETS:	36-38
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	البنزينات
     IS_TRANS:	AlbnzynAt
        INDEX:	P6W9
      OFFSETS:	39-48
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[banziyn_1]
   UNSPLITVOC:	(AlbanziynAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+banziyn+At
        GLOSS:	the+fuel tank+[fem.pl.]

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P7W2
      OFFSETS:	5-9
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P7W3
      OFFSETS:	10-12
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفين
     IS_TRANS:	EArfyn
        INDEX:	P7W4
      OFFSETS:	13-19
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EArof+iyn
        GLOSS:	knowing/having knowledge of+two

 INPUT STRING:	نخرج
     IS_TRANS:	nxrj
        INDEX:	P7W5
      OFFSETS:	20-24
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaraj_1]
   UNSPLITVOC:	(nuxoruj)
          POS:	IV1P+IV
          VOC:	nu+xoruj
        GLOSS:	we+oust/remove

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P7W6
      OFFSETS:	25-27
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	بيتنا
     IS_TRANS:	bytnA
        INDEX:	P7W7
      OFFSETS:	28-33
       TOKENS:	P7W8-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayt_1]
   UNSPLITVOC:	(baytinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	bayt+nA
        GLOSS:	house/houses+our

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P7W8
      OFFSETS:	34-36
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	قلة
