 INPUT STRING:	تم
     IS_TRANS:	AlmwAqE
        INDEX:	P1W29
      OFFSETS:	174-181
       TOKENS:	P1W35-P1W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mawoqiE_1]
   UNSPLITVOC:	(AlmawAqiE)
          POS:	DET+NOUN
          VOC:	Al+mawAqiE
        GLOSS:	the+positions/locations/sites

 INPUT STRING:	صور
     IS_TRANS:	Swr
        INDEX:	P1W30
      OFFSETS:	182-185
       TOKENS:	P1W36-P1W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwar)
          POS:	NOUN
          VOC:	Suwar
        GLOSS:	pictures/photographs/illustrations/photos

 INPUT STRING:	للجاسوس
     IS_TRANS:	lljAsws
        INDEX:	P1W31
      OFFSETS:	186-193
       TOKENS:	P1W37-P1W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAsuws_1]
   UNSPLITVOC:	(liljAsuws)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+jAsuws
        GLOSS:	for/to+the+spy/spies

 INPUT STRING:	الاسرائيلي
     IS_TRANS:	AlAsrA}yly
        INDEX:	P1W32
      OFFSETS:	194-204
       TOKENS:	P1W39-P1W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<isorA}iyliy~_1]
   UNSPLITVOC:	(Al<isorA}iyliy~)
          POS:	DET+ADJ
          VOC:	Al+<isorA}iyliy~
        GLOSS:	the+Israeli

 INPUT STRING:	وهو
     IS_TRANS:	whw
        INDEX:	P1W33
      OFFSETS:	205-208
       TOKENS:	P1W40-P1W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(wihuw~a)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	wi+huw~a
        GLOSS:	while+he/it

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W34
      OFFSETS:	209-211
       TOKENS:	P1W42-P1W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ميدان
     IS_TRANS:	mydAn
        INDEX:	P1W35
      OFFSETS:	212-217
       TOKENS:	P1W43-P1W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miydAn_1]
   UNSPLITVOC:	(miydAn)
          POS:	NOUN
          VOC:	miydAn
        GLOSS:	square

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P1W36
      OFFSETS:	218-225
       TOKENS:	P1W44-P1W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN_PROP
          VOC:	Al+taHoriyr
        GLOSS:	the+Tahrir

 INPUT STRING:	وكأنه
     IS_TRANS:	wk>nh
        INDEX:	P1W37
      OFFSETS:	226-231
       TOKENS:	P1W45-P1W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ka>an~a_1]
   UNSPLITVOC:	(waka>an~uh)
          POS:	PART+PSEUDO_VERB+PRON_3MS
          VOC:	wa+ka>an~+uh
        GLOSS:	[part.]+as if, as though, like+it/he

 INPUT STRING:	صحفى
     IS_TRANS:	SHfY
        INDEX:	P1W38
      OFFSETS:	232-236
       TOKENS:	P1W48-P1W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaHafiy_1]
   UNSPLITVOC:	(SaHafiy)
          POS:	NOUN
          VOC:	SaHafiy
        GLOSS:	journalist/reporter

 INPUT STRING:	اجنبى
     IS_TRANS:	AjnbY
        INDEX:	P1W39
      OFFSETS:	237-242
       TOKENS:	P1W49-P1W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ajonabiy~_1]
   UNSPLITVOC:	(>ajonabiy~)
          POS:	ADJ
          VOC:	>ajonabiy~
        GLOSS:	foreign

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P1W40
      OFFSETS:	243-247
       TOKENS:	P1W50-P1W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(wilakin)
          POS:	CONJ+CONJ
          VOC:	wi+lakin
        GLOSS:	and+but

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W41
      OFFSETS:	248-250
       TOKENS:	P1W52-P1W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+he/it

 INPUT STRING:	صور
     IS_TRANS:	Swr
        INDEX:	P1W42
      OFFSETS:	251-254
       TOKENS:	P1W54-P1W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwar)
          POS:	NOUN
          VOC:	Suwar
        GLOSS:	picture/image/illustration/photo/pictures/photographs/illustrations/photos

 INPUT STRING:	اخرى
     IS_TRANS:	AxrY
        INDEX:	P1W43
      OFFSETS:	255-259
       TOKENS:	P1W55-P1W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>uxoraY_1]
   UNSPLITVOC:	(>uxoraY)
          POS:	ADJ
          VOC:	>uxoraY
        GLOSS:	other/another/additional

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P1W44
      OFFSETS:	260-263
       TOKENS:	P1W56-P1W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	مرتديا
     IS_TRANS:	mrtdyA
        INDEX:	P1W45
      OFFSETS:	264-270
       TOKENS:	P1W57-P1W57
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[murotadiy_1]
   UNSPLITVOC:	(murotadiyAF)
          POS:	ADJ.VN+CASE_INDEF_ACC
          VOC:	murotadiy+AF
        GLOSS:	wearing+[acc.indef.]

 INPUT STRING:	البدلة
     IS_TRANS:	Albdlp
        INDEX:	P1W46
      OFFSETS:	271-277
       TOKENS:	P1W58-P1W58
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[badolap_1]
   UNSPLITVOC:	(Albadolap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+badol+ap
        GLOSS:	the+suit/costume/suits/costumes+[fem.sg.]

 INPUT STRING:	الميري
     IS_TRANS:	Almyry
        INDEX:	P1W47
      OFFSETS:	278-284
       TOKENS:	P1W59-P1W59
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyriy_1]
   UNSPLITVOC:	(Almiyriy)
          POS:	DET+NOUN
          VOC:	Al+miyriy
        GLOSS:	the+state

 INPUT STRING:	حيث
     IS_TRANS:	Hyv
        INDEX:	P1W48
      OFFSETS:	285-288
       TOKENS:	P1W60-P1W60
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hayov_1]
   UNSPLITVOC:	(Hayov)
          POS:	REL_ADV
          VOC:	Hayov
        GLOSS:	where

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P1W49
      OFFSETS:	289-292
       TOKENS:	P1W61-P1W62
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	ظابط
     IS_TRANS:	ZAbT
        INDEX:	P1W50
      OFFSETS:	293-297
       TOKENS:	P1W63-P1W63
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ZAbiT_1]
   UNSPLITVOC:	(ZAbiT)
          POS:	NOUN
          VOC:	ZAbiT
        GLOSS:	officer

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W51
      OFFSETS:	298-300
       TOKENS:	P1W64-P1W64
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الموساد
     IS_TRANS:	AlmwsAd
        INDEX:	P1W52
      OFFSETS:	301-308
       TOKENS:	P1W65-P1W65
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwsAd_1]
   UNSPLITVOC:	(AlmuwsAd)
          POS:	DET+NOUN_PROP
          VOC:	Al+muwsAd
        GLOSS:	the+Mossad

 INPUT STRING:	الاسرئيلي
     IS_TRANS:	AlAsr}yly
        INDEX:	P1W53
      OFFSETS:	309-318
       TOKENS:	P1W66-P1W66
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aisra}iyliy~_1]
   UNSPLITVOC:	(AlAisra}iyliy~_1)
          POS:	DET+ADJ
          VOC:	Al+Aisra}iyliy~_1
        GLOSS:	the+Israeli

 INPUT STRING:	لذا
     IS_TRANS:	l*A
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*A_1]
   UNSPLITVOC:	(li*A)
          POS:	PREP+DEM_PRON
          VOC:	li+*A
        GLOSS:	for/because of+that

 INPUT STRING:	تم
     IS_TRANS:	tm
        INDEX:	P2W2
      OFFSETS:	4-6
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(tam~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	tam~+(null)
        GLOSS:	conclude/take place+he/it

 INPUT STRING:	الحكم
     IS_TRANS:	AlHkm
        INDEX:	P2W3
      OFFSETS:	7-12
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(AlHukom)
          POS:	DET+NOUN
          VOC:	Al+Hukom
        GLOSS:	the+judgment/decision/verdict/statutes/laws/judgments/decisions//verdicts

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P2W4
      OFFSETS:	13-17
       TOKENS:	P2W5-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+he/it

 INPUT STRING:	بالحبس
     IS_TRANS:	bAlHbs
        INDEX:	P2W5
      OFFSETS:	18-24
       TOKENS:	P2W7-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habos_1]
   UNSPLITVOC:	(biAlHabos)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+Habos
        GLOSS:	with/by+the+confinement/custody/prison

 INPUT STRING:	15
     IS_TRANS:	15
        INDEX:	P2W6
      OFFSETS:	25-27
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(15)
          POS:	NOUN_NUM
          VOC:	15
        GLOSS:	15

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P2W7
      OFFSETS:	28-31
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	day

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W8
      OFFSETS:	32-35
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	ذمة
     IS_TRANS:	*mp
        INDEX:	P2W9
      OFFSETS:	36-39
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*im~ap_1]
   UNSPLITVOC:	(*im~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	*im~+ap
        GLOSS:	protection/security+[fem.sg.]

 INPUT STRING:	القضية
     IS_TRANS:	AlqDyp
        INDEX:	P2W10
      OFFSETS:	40-46
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDiy~ap_1]
   UNSPLITVOC:	(AlqaDiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qaDiy~+ap
        GLOSS:	the+lawsuit/legal case/lawsuits/legal cases+[fem.sg.]

 INPUT STRING:	ولايعرف
     IS_TRANS:	wlAyErf
        INDEX:	P2W11
      OFFSETS:	47-54
       TOKENS:	P2W14-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(walAyuEraf)
          POS:	CONJ+NEG_PART+IV3MS+IV_PASS
