 INPUT STRING:	لا
     IS_TRANS:	Hdvt
        INDEX:	P1W12
      OFFSETS:	48-52
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~iv_1]
   UNSPLITVOC:	(Had~ivit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Had~iv+it
        GLOSS:	happen/take place+it/they/she

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W13
      OFFSETS:	53-55
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	عصرة
     IS_TRANS:	ESrp
        INDEX:	P1W14
      OFFSETS:	56-60
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaSorap_1]
   UNSPLITVOC:	(EaSorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	EaSor+ap
        GLOSS:	age/period/epoch+[fem.sg.]

 INPUT STRING:	ادت
     IS_TRANS:	Adt
        INDEX:	P1W15
      OFFSETS:	61-64
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ad~aY_1]
   UNSPLITVOC:	(>ad~it)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	>ad~+it
        GLOSS:	direct/guide/lead/be directed/be guided/be lead+it/they/she

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P1W16
      OFFSETS:	65-68
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	تاخر
     IS_TRANS:	tAxr
        INDEX:	P1W17
      OFFSETS:	69-73
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ta>ax~ur_1]
   UNSPLITVOC:	(ta>ax~ur)
          POS:	NOUN
          VOC:	ta>ax~ur
        GLOSS:	delay/underdevelopment

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P1W18
      OFFSETS:	74-77
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	وموضوع
     IS_TRANS:	wmwDwE
        INDEX:	P2W1
      OFFSETS:	0-6
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(wimawDuwE)
          POS:	CONJ+NOUN
          VOC:	wi+mawDuwE
        GLOSS:	and+subject/theme/issue

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P2W2
      OFFSETS:	7-12
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyawm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	خطير
     IS_TRANS:	xTyr
        INDEX:	P2W3
      OFFSETS:	13-17
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaTiyr_1]
   UNSPLITVOC:	(xaTiyr)
          POS:	ADJ
          VOC:	xaTiyr
        GLOSS:	grave/dangerous

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P2W4
      OFFSETS:	18-21
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	وهى
     IS_TRANS:	whY
        INDEX:	P2W5
      OFFSETS:	22-25
       TOKENS:	P2W6-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(wihiy~a)
          POS:	CONJ+PRON_3FS
          VOC:	wi+hiy~a
        GLOSS:	and+it/they/she

 INPUT STRING:	دراسة
     IS_TRANS:	drAsp
        INDEX:	P2W6
      OFFSETS:	26-31
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dirAsap_1]
   UNSPLITVOC:	(dirAsap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	dirAs+ap
        GLOSS:	study/studies/research+[fem.sg.]

 INPUT STRING:	حديثة
     IS_TRANS:	Hdyvp
        INDEX:	P2W7
      OFFSETS:	32-37
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadiyv_1]
   UNSPLITVOC:	(Hadiyvap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Hadiyv+ap
        GLOSS:	recent/modern+[fem.sg.]

 INPUT STRING:	أعدها
     IS_TRANS:	>EdhA
        INDEX:	P2W8
      OFFSETS:	38-43
       TOKENS:	P2W10-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEad~_1]
   UNSPLITVOC:	(>aEad~ahA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3FS
          VOC:	>aEad~+(null)+hA
        GLOSS:	prepare/make ready/be prepared/be made ready+he/it+it/them/her

 INPUT STRING:	مركز
     IS_TRANS:	mrkz
        INDEX:	P2W9
      OFFSETS:	44-48
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[marokaz_1]
   UNSPLITVOC:	(marokaz)
          POS:	NOUN
          VOC:	marokaz
        GLOSS:	center/station

 INPUT STRING:	الدراسات
     IS_TRANS:	AldrAsAt
        INDEX:	P2W10
      OFFSETS:	49-57
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dirAsap_1]
   UNSPLITVOC:	(Ald~irAsAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+dirAs+At
        GLOSS:	the+studies/research+[fem.pl.]

 INPUT STRING:	الاقتصادية
     IS_TRANS:	AlAqtSAdyp
        INDEX:	P2W11
      OFFSETS:	58-68
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiqotiSAdiy_1]
   UNSPLITVOC:	(AlAiqotiSAdiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+AiqotiSAdiy~+ap
        GLOSS:	the+economic/economical+[fem.sg.]

 INPUT STRING:	المصري
     IS_TRANS:	AlmSry
        INDEX:	P2W12
      OFFSETS:	69-75
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+Egyptian

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~a_1]
   UNSPLITVOC:	(<in~a)
          POS:	PSEUDO_VERB
          VOC:	<in~a
        GLOSS:	indeed

 INPUT STRING:	نظام
     IS_TRANS:	nZAm
        INDEX:	P3W2
      OFFSETS:	3-7
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(niZAm)
          POS:	NOUN
          VOC:	niZAm
        GLOSS:	regime/government

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P3W3
      OFFSETS:	8-13
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	نجح
     IS_TRANS:	njH
        INDEX:	P3W4
      OFFSETS:	14-17
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[najaH-a_1]
   UNSPLITVOC:	(najaHa)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	najaH+a
        GLOSS:	succeed+he/it [verb]

 INPUT STRING:	بكل
     IS_TRANS:	bkl
        INDEX:	P3W5
      OFFSETS:	18-21
       TOKENS:	P3W5-P3W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(bikul~)
          POS:	PREP+NOUN_QUANT
          VOC:	bi+kul~
        GLOSS:	with/by+all, entire, every, whole

 INPUT STRING:	المقاييس
     IS_TRANS:	AlmqAyys
        INDEX:	P3W6
      OFFSETS:	22-30
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miqoyAs_1]
   UNSPLITVOC:	(AlmaqAyiys)
          POS:	DET+NOUN
          VOC:	Al+maqAyiys
        GLOSS:	the+standards/measures/measurements

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P3W7
      OFFSETS:	31-33
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	نهب
     IS_TRANS:	nhb
        INDEX:	P3W8
      OFFSETS:	34-37
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nahob_1]
   UNSPLITVOC:	(nahob)
          POS:	NOUN
          VOC:	nahob
        GLOSS:	looting/plundering

 INPUT STRING:	اموال
     IS_TRANS:	AmwAl
        INDEX:	P3W9
      OFFSETS:	38-43
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAl_1]
   UNSPLITVOC:	(>amowAl)
          POS:	NOUN
          VOC:	>amowAl
        GLOSS:	assets/capital/funds

 INPUT STRING:	الدولة
     IS_TRANS:	Aldwlp
        INDEX:	P3W10
      OFFSETS:	44-50
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dawolap_1]
   UNSPLITVOC:	(Aldawolap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dawol+ap
        GLOSS:	the+state/country+[fem.sg.]

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P3W11
      OFFSETS:	51-54
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Hat~aY_3]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	اموال
     IS_TRANS:	AmwAl
        INDEX:	P3W12
      OFFSETS:	55-60
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAl_1]
   UNSPLITVOC:	(>amowAl)
          POS:	NOUN
          VOC:	>amowAl
        GLOSS:	assets/capital/funds

 INPUT STRING:	المعونة
     IS_TRANS:	AlmEwnp
        INDEX:	P3W13
      OFFSETS:	61-68
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEuwnap_1]
   UNSPLITVOC:	(AlmaEuwnap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maEuwn+ap
        GLOSS:	the+aid/assistance/support+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W14
      OFFSETS:	69-71
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	عام
     IS_TRANS:	EAm
        INDEX:	P3W15
      OFFSETS:	72-75
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(EAm)
          POS:	NOUN
          VOC:	EAm
        GLOSS:	year

 INPUT STRING:	1982
     IS_TRANS:	1982
        INDEX:	P3W16
      OFFSETS:	76-80
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(1982)
          POS:	NOUN_NUM
          VOC:	1982
        GLOSS:	1982

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P3W17
      OFFSETS:	81-84
       TOKENS:	P3W18-P3W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PREP
          VOC:	Hat~aY
        GLOSS:	until/up to

 INPUT STRING:	2010
     IS_TRANS:	2010
        INDEX:	P3W18
      OFFSETS:	85-89
       TOKENS:	P3W19-P3W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(2010)
          POS:	NOUN_NUM
          VOC:	2010
        GLOSS:	2010

 INPUT STRING:	نحو
     IS_TRANS:	nHw
        INDEX:	P3W19
      OFFSETS:	90-93
       TOKENS:	P3W20-P3W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[naHow_3]
   UNSPLITVOC:	(naHow)
          POS:	NOUN
          VOC:	naHow
        GLOSS:	towards/approximately

 INPUT STRING:	185
     IS_TRANS:	185
        INDEX:	P3W20
      OFFSETS:	94-97
       TOKENS:	P3W21-P3W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(185)
          POS:	NOUN_NUM
          VOC:	185
        GLOSS:	185

 INPUT STRING:	مليار
     IS_TRANS:	mlyAr
        INDEX:	P3W21
      OFFSETS:	98-103
       TOKENS:	P3W22-P3W22
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miloyAr_1]
   UNSPLITVOC:	(miloyAr)
          POS:	NOUN_NUM
          VOC:	miloyAr
        GLOSS:	billion

 INPUT STRING:	دولار
     IS_TRANS:	dwlAr
        INDEX:	P3W22
      OFFSETS:	104-109
       TOKENS:	P3W23-P3W23
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwlAr_1]
   UNSPLITVOC:	(duwlAr)
          POS:	NOUN
          VOC:	duwlAr
        GLOSS:	dollar

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W23
      OFFSETS:	109-110
       TOKENS:	P3W24-P3W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	والسوال
     IS_TRANS:	wAlswAl
        INDEX:	P4W1
      OFFSETS:	0-7
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(wiAlsu&Al)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+su&Al
        GLOSS:	and+the+question

 INPUT STRING:	اين
     IS_TRANS:	Ayn
        INDEX:	P4W2
      OFFSETS:	8-11
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayona_1]
   UNSPLITVOC:	(>ayona)
          POS:	INTERROG_ADV
          VOC:	>ayona
        GLOSS:	where

 INPUT STRING:	ذهبت
     IS_TRANS:	*hbt
        INDEX:	P4W3
      OFFSETS:	12-16
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*ahab-a_1]
   UNSPLITVOC:	(*ahabat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	*ahab+at
        GLOSS:	go/depart+it/they/she [verb]

 INPUT STRING:	تلك
     IS_TRANS:	tlk
        INDEX:	P4W4
      OFFSETS:	17-20
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*`lika_1]
   UNSPLITVOC:	(tiloka)
          POS:	DEM_PRON_F
          VOC:	tiloka
        GLOSS:	that/those

 INPUT STRING:	الاموال
     IS_TRANS:	AlAmwAl
        INDEX:	P4W5
      OFFSETS:	21-28
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAl_1]
   UNSPLITVOC:	(Al>amowAl)
          POS:	DET+NOUN
          VOC:	Al+>amowAl
        GLOSS:	the+assets/capital/funds

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W6
      OFFSETS:	29-30
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	الاجابة
     IS_TRANS:	AlAjAbp
        INDEX:	P5W1
      OFFSETS:	0-7
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ijAbap_1]
   UNSPLITVOC:	(Al<ijAbap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+<ijAb+ap
        GLOSS:	the+answer/response/consent+[fem.sg.]

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P5W2
      OFFSETS:	8-12
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAn-u_1]
   UNSPLITVOC:	(kAnat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+at
        GLOSS:	be/was/were+it/they/she [verb]

 INPUT STRING:	عند
     IS_TRANS:	End
        INDEX:	P5W3
      OFFSETS:	13-16
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Einod_1]
   UNSPLITVOC:	(Einod)
          POS:	NOUN
          VOC:	Einod
        GLOSS:	with/at

 INPUT STRING:	الدكتور
     IS_TRANS:	Aldktwr
        INDEX:	P5W4
      OFFSETS:	17-24
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dukotuwr_1]
   UNSPLITVOC:	(Aldukotuwr)
          POS:	DET+NOUN
          VOC:	Al+dukotuwr
        GLOSS:	the+doctor/Doctor/Dr.

 INPUT STRING:	صلاح
     IS_TRANS:	SlAH
        INDEX:	P5W5
      OFFSETS:	25-29
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SalAH_2]
   UNSPLITVOC:	(SalAH)
          POS:	NOUN_PROP
          VOC:	SalAH
        GLOSS:	Salah

 INPUT STRING:	جوده
     IS_TRANS:	jwdh
        INDEX:	P5W6
      OFFSETS:	30-34
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juwdah_1]
   UNSPLITVOC:	(juwdah)
          POS:	NOUN_PROP
          VOC:	juwdah
        GLOSS:	Juda

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P5W7
      OFFSETS:	35-36
       TOKENS:	P5W7-P5W7
