 INPUT STRING:	السياسة
          VOC:	Al+maSoriy~+iyn
        GLOSS:	the+Egyptian+[masc.pl.]

 INPUT STRING:	وكل
     IS_TRANS:	wkl
        INDEX:	P3W8
      OFFSETS:	38-41
       TOKENS:	P3W10-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wikul~)
          POS:	CONJ+NOUN_QUANT
          VOC:	wi+kul~
        GLOSS:	and+all/every/entire/whole

 INPUT STRING:	العرب
     IS_TRANS:	AlErb
        INDEX:	P3W9
      OFFSETS:	42-47
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy_1]
   UNSPLITVOC:	(AlEarab)
          POS:	DET+NOUN
          VOC:	Al+Earab
        GLOSS:	the+Arabs

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P3W10
      OFFSETS:	48-51
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P3W11
      OFFSETS:	52-57
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	إنكم
     IS_TRANS:	<nkm
        INDEX:	P3W12
      OFFSETS:	58-62
       TOKENS:	P3W15-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ukum)
          POS:	SUB_CONJ+PRON_2P
          VOC:	<in~+kum
        GLOSS:	that+you [pl.]

 INPUT STRING:	زعلانين
     IS_TRANS:	zElAnyn
        INDEX:	P3W13
      OFFSETS:	63-70
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaEolAn_1]
   UNSPLITVOC:	(zaEolAniyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	zaEolAn+iyn
        GLOSS:	angry/annoyed+[masc.pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W14
      OFFSETS:	71-73
       TOKENS:	P3W18-P3W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	هزيمة
     IS_TRANS:	hzymp
        INDEX:	P3W15
      OFFSETS:	74-79
       TOKENS:	P3W19-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[haziymap_1]
   UNSPLITVOC:	(haziymap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	haziym+ap
        GLOSS:	defeat+[fem.sg.]

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P3W16
      OFFSETS:	80-83
       TOKENS:	P3W20-P3W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	وفوز
     IS_TRANS:	wfwz
        INDEX:	P3W17
      OFFSETS:	84-88
       TOKENS:	P3W21-P3W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fawz_1]
   UNSPLITVOC:	(wifawz)
          POS:	CONJ+NOUN
          VOC:	wi+fawz
        GLOSS:	and+victory

 INPUT STRING:	أمريكا
     IS_TRANS:	>mrykA
        INDEX:	P3W18
      OFFSETS:	89-95
       TOKENS:	P3W23-P3W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(>amoriykA)
          POS:	NOUN_PROP
          VOC:	>amoriykA
        GLOSS:	America

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P4W1
      OFFSETS:	0-7
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	ببساطة
     IS_TRANS:	bbsATp
        INDEX:	P4W2
      OFFSETS:	8-14
       TOKENS:	P4W2-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[basATap_1]
   UNSPLITVOC:	(bibasATap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+basAT+ap
        GLOSS:	with/by+frankness/sincerity/simplicity/plainness+[fem.sg.]

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P4W3
      OFFSETS:	15-17
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P4W4
      OFFSETS:	18-21
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	ماكانش
     IS_TRANS:	mAkAn$
        INDEX:	P4W5
      OFFSETS:	22-28
       TOKENS:	P4W6-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(mA_kAn$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	mA+kAn+(null)+$
        GLOSS:	not+be+he/it [verb]+not

 INPUT STRING:	ينفع
     IS_TRANS:	ynfE
        INDEX:	P4W6
      OFFSETS:	29-33
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifiE_1]
   UNSPLITVOC:	(yinofaE)
          POS:	IV3MS+IV
          VOC:	yi+nofaE
        GLOSS:	he/it+be useful/be possible

 INPUT STRING:	تكسب
     IS_TRANS:	tksb
        INDEX:	P4W7
      OFFSETS:	34-38
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kisib_1]
   UNSPLITVOC:	(tikosab)
          POS:	IV3FS+IV
          VOC:	ti+kosab
        GLOSS:	she/it/they+gain/acquire/obtain

 INPUT STRING:	أمريكا
     IS_TRANS:	>mrykA
        INDEX:	P4W8
      OFFSETS:	39-45
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(>amoriykA)
          POS:	NOUN_PROP
          VOC:	>amoriykA
        GLOSS:	America

 INPUT STRING:	ومصر
     IS_TRANS:	wmSr
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(wimaSor)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+maSor
        GLOSS:	and+Egypt

 INPUT STRING:	إتغلبت
     IS_TRANS:	<tglbt
        INDEX:	P5W2
      OFFSETS:	5-11
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitogalab_1]
   UNSPLITVOC:	(Aitogalabit)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	Aitogalab+it
        GLOSS:	be defeated+it/they/she [verb]

 INPUT STRING:	بالأمر
     IS_TRANS:	bAl>mr
        INDEX:	P5W3
      OFFSETS:	12-18
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(biAl>amor)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+>amor
        GLOSS:	with/by+the+order/command

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P5W4
      OFFSETS:	19-23
       TOKENS:	P5W6-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(waAnA)
          POS:	CONJ+PRON_1S
          VOC:	wa+AnA
        GLOSS:	and+I

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P5W5
      OFFSETS:	24-27
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinA_1]
   UNSPLITVOC:	(hinA)
          POS:	ADV
          VOC:	hinA
        GLOSS:	here

 INPUT STRING:	بقصد
     IS_TRANS:	bqSd
        INDEX:	P5W6
      OFFSETS:	28-32
       TOKENS:	P5W9-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qaSad_1]
   UNSPLITVOC:	(baqoSud)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+>a+qoSud
        GLOSS:	[present-tense]+I+intend/mean/pursue

 INPUT STRING:	أمريكا
     IS_TRANS:	>mrykA
        INDEX:	P5W7
      OFFSETS:	33-39
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(>amoriykA)
          POS:	NOUN_PROP
          VOC:	>amoriykA
        GLOSS:	America

 INPUT STRING:	بحجمها
     IS_TRANS:	bHjmhA
        INDEX:	P5W8
      OFFSETS:	40-46
       TOKENS:	P5W12-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hajom_1]
   UNSPLITVOC:	(biHajomahA)
          POS:	PREP+NOUN+POSS_PRON_3FS
          VOC:	bi+Hajom+hA
        GLOSS:	with/by+volume/size+its/their/her

 INPUT STRING:	السياسى
     IS_TRANS:	AlsyAsY
        INDEX:	P5W9
      OFFSETS:	47-54
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsiy_1]
   UNSPLITVOC:	(Als~iyAsiy)
          POS:	DET+ADJ
          VOC:	Al+siyAsiy
        GLOSS:	the+political

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P5W10
      OFFSETS:	55-57
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	فريقها
     IS_TRANS:	fryqhA
        INDEX:	P5W11
      OFFSETS:	58-64
       TOKENS:	P5W17-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fariyq_1]
   UNSPLITVOC:	(fariyqhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	fariyq+hA
        GLOSS:	team/band/group/faction/party+its/their/her

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P5W12
      OFFSETS:	65-69
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	الأطفال
     IS_TRANS:	Al>TfAl
        INDEX:	P5W13
      OFFSETS:	70-77
       TOKENS:	P5W20-P5W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tifol_1]
   UNSPLITVOC:	(Al>aTofAl)
          POS:	DET+NOUN
          VOC:	Al+>aTofAl
        GLOSS:	the+children/infants

 INPUT STRING:	عندنا
     IS_TRANS:	EndnA
        INDEX:	P5W14
      OFFSETS:	78-83
       TOKENS:	P5W21-P5W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(EanodinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Eanod+nA
        GLOSS:	with / at+our

 INPUT STRING:	بيلعب
     IS_TRANS:	bylEb
        INDEX:	P5W15
      OFFSETS:	84-89
       TOKENS:	P5W23-P5W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liEib_1]
   UNSPLITVOC:	(biyiloEab)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+loEab
        GLOSS:	[present-tense]+he/it+play

 INPUT STRING:	أحسن
     IS_TRANS:	>Hsn
        INDEX:	P5W16
      OFFSETS:	90-94
       TOKENS:	P5W25-P5W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHosan_1]
   UNSPLITVOC:	(>aHosan)
          POS:	ADJ_COMP
          VOC:	>aHosan
        GLOSS:	better/best

 INPUT STRING:	منه
     IS_TRANS:	mnh
        INDEX:	P5W17
      OFFSETS:	95-98
       TOKENS:	P5W26-P5W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~uh)
          POS:	PREP+PRON_3MS
          VOC:	min~+uh
        GLOSS:	from+him/it

 INPUT STRING:	صدقونى
     IS_TRANS:	SdqwnY
        INDEX:	P6W1
      OFFSETS:	0-6
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(SdqwnY)
          POS:	NO_FUNC
          VOC:	SdqwnY
        GLOSS:	nogloss

 INPUT STRING:	أمريكا
     IS_TRANS:	>mrykA
        INDEX:	P6W2
      OFFSETS:	7-13
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(>amoriykA)
          POS:	NOUN_PROP
          VOC:	>amoriykA
        GLOSS:	America

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P6W3
      OFFSETS:	14-18
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she [verb]

 INPUT STRING:	لايمكن
     IS_TRANS:	lAymkn
        INDEX:	P6W4
      OFFSETS:	19-25
       TOKENS:	P6W4-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amokan_1]
   UNSPLITVOC:	(lA_yumokin)
          POS:	NEG_PART+IV3MS+IV
          VOC:	lA+yu+mokin
        GLOSS:	not+he/it+be possible/make possible for

 INPUT STRING:	تسيب
     IS_TRANS:	tsyb
        INDEX:	P6W5
      OFFSETS:	26-30
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(tisiyb)
          POS:	IV3FS+IV
          VOC:	ti+siyb
        GLOSS:	it/they/she+leave/let/flow

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P6W6
      OFFSETS:	31-34
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	تغلبها
     IS_TRANS:	tglbhA
        INDEX:	P6W7
      OFFSETS:	35-41
       TOKENS:	P6W8-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galab_1]
   UNSPLITVOC:	(tigolibhA)
          POS:	IV3FS+IV+IVSUFF_DO:3FS
          VOC:	ti+golib+hA
        GLOSS:	it/they/she+defeat/overcome+it/them/her

 INPUT STRING:	والصحف
     IS_TRANS:	wAlSHf
        INDEX:	P6W8
      OFFSETS:	42-48
       TOKENS:	P6W10-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaHifap_1]
   UNSPLITVOC:	(wiAlSuHuf)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+SuHuf
        GLOSS:	and+the+newspapers

 INPUT STRING:	العالمية
     IS_TRANS:	AlEAlmyp
        INDEX:	P6W9
      OFFSETS:	49-57
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlamiy_1]
   UNSPLITVOC:	(AlEAlamiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+EAlamiy~+ap
        GLOSS:	the+international/world-wide/world+[fem.sg.]

 INPUT STRING:	تهزأها
     IS_TRANS:	thz>hA
        INDEX:	P6W10
      OFFSETS:	58-64
       TOKENS:	P6W13-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[haz~a>_1]
