 INPUT STRING:	والله
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzomap_1]
   UNSPLITVOC:	(lAzomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	lAzom+ap
        GLOSS:	necessary/required/needed+[fem.sg.]

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P1W10
      OFFSETS:	53-55
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P1W11
      OFFSETS:	56-59
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	احرجت
     IS_TRANS:	AHrjt
        INDEX:	P1W12
      OFFSETS:	60-65
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aHoraj_1]
   UNSPLITVOC:	(>aHorajit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	>aHoraj+it
        GLOSS:	embarrass/confine/complicate+it/they/she [verb]

 INPUT STRING:	نفسها
     IS_TRANS:	nfshA
        INDEX:	P1W13
      OFFSETS:	66-71
       TOKENS:	P1W18-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafasahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	nafos+hA
        GLOSS:	same/self/selves/soul/souls+its/their/her

 INPUT STRING:	واحرجت
     IS_TRANS:	wAHrjt
        INDEX:	P1W14
      OFFSETS:	72-78
       TOKENS:	P1W20-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aHoraj_1]
   UNSPLITVOC:	(wa>aHorajit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wa+>aHoraj+it
        GLOSS:	and+embarrass/confine/complicate+it/they/she [verb]

 INPUT STRING:	مواطنها
     IS_TRANS:	mwATnhA
        INDEX:	P1W15
      OFFSETS:	79-86
       TOKENS:	P1W22-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muwATin_1]
   UNSPLITVOC:	(muwATinhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	muwATin+hA
        GLOSS:	citizen+its/their/her

 INPUT STRING:	ووقعت
     IS_TRANS:	wwqEt
        INDEX:	P1W16
      OFFSETS:	87-92
       TOKENS:	P1W24-P1W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waq~aE_1]
   UNSPLITVOC:	(wawaq~aEit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wa+waq~aE+it
        GLOSS:	and+sign+it/they/she [verb]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P1W17
      OFFSETS:	93-96
       TOKENS:	P1W26-P1W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اتفاقية
     IS_TRANS:	AtfAqyp
        INDEX:	P1W18
      OFFSETS:	97-104
       TOKENS:	P1W27-P1W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~ifAqiy~ap_1]
   UNSPLITVOC:	(Ait~ifAqiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Ait~ifAqiy~+ap
        GLOSS:	accord/treaty+[fem.sg.]

 INPUT STRING:	الخيبة
     IS_TRANS:	Alxybp
        INDEX:	P1W19
      OFFSETS:	105-111
       TOKENS:	P1W28-P1W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaybap_1]
   UNSPLITVOC:	(Alxaybap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+xayb+ap
        GLOSS:	the+disappontment/failure/disappointment+[fem.sg.]

 INPUT STRING:	التقيلة
     IS_TRANS:	Altqylp
        INDEX:	P1W20
      OFFSETS:	112-119
       TOKENS:	P1W29-P1W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tiqiyl_1]
   UNSPLITVOC:	(Alt~iqiylap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+tiqiyl+ap
        GLOSS:	the+heavy/oppressive/difficult/burdensome/cheeky/insupportable/thick/viscous+[fem.sg.]

 INPUT STRING:	لحظر
     IS_TRANS:	lHZr
        INDEX:	P1W21
      OFFSETS:	120-124
       TOKENS:	P1W30-P1W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaZor_1]
   UNSPLITVOC:	(liHaZor)
          POS:	PREP+NOUN
          VOC:	li+HaZor
        GLOSS:	for/to+prohibition/ban

 INPUT STRING:	انتشار
     IS_TRANS:	Ant$Ar
        INDEX:	P1W22
      OFFSETS:	125-131
       TOKENS:	P1W32-P1W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainoti$Ar_1]
   UNSPLITVOC:	(Ainoti$Ar)
          POS:	NOUN
          VOC:	Ainoti$Ar
        GLOSS:	spreading/spread/diffusion

 INPUT STRING:	السلاح
     IS_TRANS:	AlslAH
        INDEX:	P1W23
      OFFSETS:	132-138
       TOKENS:	P1W33-P1W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[silAH_1]
   UNSPLITVOC:	(Als~ilAH)
          POS:	DET+NOUN
          VOC:	Al+silAH
        GLOSS:	the+weapon/weapons/(military) service branch

 INPUT STRING:	النووى
     IS_TRANS:	AlnwwY
        INDEX:	P1W24
      OFFSETS:	139-145
       TOKENS:	P1W34-P1W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nawawiy_1]
   UNSPLITVOC:	(Aln~awawiy)
          POS:	DET+ADJ
          VOC:	Al+nawawiy
        GLOSS:	the+atomic/nucleic/nuclear

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P1W25
      OFFSETS:	146-149
       TOKENS:	P1W35-P1W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	اسرائيل
     IS_TRANS:	AsrA}yl
        INDEX:	P1W26
      OFFSETS:	150-157
       TOKENS:	P1W36-P1W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyl_1]
   UNSPLITVOC:	(<isorA}iyl)
          POS:	NOUN_PROP
          VOC:	<isorA}iyl
        GLOSS:	Israel

 INPUT STRING:	وبقت
     IS_TRANS:	wbqt
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(wibaqit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+baq+it
        GLOSS:	and+be/became/become/last/remain+it/they/she

 INPUT STRING:	تحت
     IS_TRANS:	tHt
        INDEX:	P2W2
      OFFSETS:	5-8
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHot_1]
   UNSPLITVOC:	(taHot)
          POS:	NOUN
          VOC:	taHot
        GLOSS:	under

 INPUT STRING:	رحمة
     IS_TRANS:	rHmp
        INDEX:	P2W3
      OFFSETS:	9-13
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHomap_1]
   UNSPLITVOC:	(raHomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	raHom+ap
        GLOSS:	compassion/mercy+[fem.sg.]

 INPUT STRING:	الوكالة
     IS_TRANS:	AlwkAlp
        INDEX:	P2W4
      OFFSETS:	14-21
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wikAlap_1]
   UNSPLITVOC:	(AlwikAlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+wikAl+ap
        GLOSS:	the+agency/agencies/proxy+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P2W5
      OFFSETS:	22-24
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	التفتيش
     IS_TRANS:	Altfty$
        INDEX:	P2W6
      OFFSETS:	25-32
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tafotiy$_1]
   UNSPLITVOC:	(Alt~afotiy$)
          POS:	DET+NOUN
          VOC:	Al+tafotiy$
        GLOSS:	the+search/check/inspection/inspections

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P2W7
      OFFSETS:	33-38
       TOKENS:	P2W8-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalayhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+she/it

 INPUT STRING:	رغم
     IS_TRANS:	rgm
        INDEX:	P2W8
      OFFSETS:	39-42
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ragom_1]
   UNSPLITVOC:	(ragom)
          POS:	NOUN
          VOC:	ragom
        GLOSS:	in spite of/despite

 INPUT STRING:	فشلها
     IS_TRANS:	f$lhA
        INDEX:	P2W9
      OFFSETS:	43-48
       TOKENS:	P2W11-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fa$al_1]
   UNSPLITVOC:	(fa$alhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	fa$al+hA
        GLOSS:	failure+its/their/her

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P2W10
      OFFSETS:	49-51
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P2W11
      OFFSETS:	52-55
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	these/this

 INPUT STRING:	المجال
     IS_TRANS:	AlmjAl
        INDEX:	P2W12
      OFFSETS:	56-62
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majAl_1]
   UNSPLITVOC:	(AlmajAl)
          POS:	DET+NOUN
          VOC:	Al+majAl
        GLOSS:	the+area/field/arena/context/opportunity/areas/fields/arenas

 INPUT STRING:	وبقت
     IS_TRANS:	wbqt
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(wibaqit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+baq+it
        GLOSS:	and+be/became/become/last/remain+it/they/she

 INPUT STRING:	بقدرة
     IS_TRANS:	bqdrp
        INDEX:	P3W2
      OFFSETS:	5-10
       TOKENS:	P3W3-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qudorap_1]
   UNSPLITVOC:	(biqudorap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+qudor+ap
        GLOSS:	with/by+capacity/ability/potential/power+[fem.sg.]

 INPUT STRING:	قادر
     IS_TRANS:	qAdr
        INDEX:	P3W3
      OFFSETS:	11-15
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAdir_1]
   UNSPLITVOC:	(qAdir)
          POS:	NOUN
          VOC:	qAdir
        GLOSS:	expert/master/artistic/capable/able/almighty one/wealthy/powerful

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P3W4
      OFFSETS:	16-20
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	يتقدم
     IS_TRANS:	ytqdm
        INDEX:	P3W5
      OFFSETS:	21-26
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitoqad~im_1]
   UNSPLITVOC:	(yitoqad~im)
          POS:	IV3MS+IV
          VOC:	yi+toqad~im
        GLOSS:	he/it+coming forward/advancement/progress

 INPUT STRING:	عنها
     IS_TRANS:	EnhA
        INDEX:	P3W6
      OFFSETS:	27-31
       TOKENS:	P3W8-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(EanhA)
          POS:	PREP+PRON_3FS
          VOC:	Ean+hA
        GLOSS:	(away) from/off/about/on/over+she/it

 INPUT STRING:	تقارير
     IS_TRANS:	tqAryr
        INDEX:	P3W7
      OFFSETS:	32-38
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taqoriyr_1]
   UNSPLITVOC:	(taqAriyr)
          POS:	NOUN
          VOC:	taqAriyr
        GLOSS:	decision/determination/report/account/reports/accounts

 INPUT STRING:	بتجاربها
     IS_TRANS:	btjArbhA
        INDEX:	P3W8
      OFFSETS:	39-47
       TOKENS:	P3W11-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tajorubap_1]
   UNSPLITVOC:	(bitajArubhA)
          POS:	PREP+NOUN+POSS_PRON_3FS
          VOC:	bi+tajArub+hA
        GLOSS:	with/by+experiences/experiments+its/their/her

 INPUT STRING:	النووية
     IS_TRANS:	Alnwwyp
        INDEX:	P3W9
      OFFSETS:	48-55
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nawawiy_1]
   UNSPLITVOC:	(Aln~awawiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+n~awawiy~+ap
        GLOSS:	the+atomic/nucleic/nuclear+[fem.sg.]

 INPUT STRING:	واسرائيل
     IS_TRANS:	wAsrA}yl
        INDEX:	P4W1
      OFFSETS:	0-8
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyl_1]
   UNSPLITVOC:	(wi<isorA}iyl)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+<isorA}iyl
        GLOSS:	and+Israel

 INPUT STRING:	محدش
     IS_TRANS:	mHd$
        INDEX:	P4W2
      OFFSETS:	9-13
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mHd$)
          POS:	NO_FUNC
          VOC:	mHd$
        GLOSS:	nogloss

 INPUT STRING:	يقدر
     IS_TRANS:	yqdr
        INDEX:	P4W3
      OFFSETS:	14-18
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qidir_1]
   UNSPLITVOC:	(yiqodar)
          POS:	IV3MS+IV
          VOC:	yi+qodar
        GLOSS:	he/it+able to/be able/be able to/be capable of/make possible/dispose/allow

 INPUT STRING:	يقربلها
     IS_TRANS:	yqrblhA
        INDEX:	P4W4
      OFFSETS:	19-26
       TOKENS:	P4W5-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qarab_1]
   UNSPLITVOC:	(yiqarablahA)
          POS:	IV3MS+IV+PREP+PRON_3FS
          VOC:	yi+qarab+li+hA
        GLOSS:	he/it+come closer+for/to+she/it

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P4W5
      OFFSETS:	27-29
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	يناقشها
     IS_TRANS:	ynAq$hA
        INDEX:	P4W6
      OFFSETS:	30-37
       TOKENS:	P4W9-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nAqi$_1]
   UNSPLITVOC:	(yinAqi$hA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yi+nAq$+hA
        GLOSS:	he/it+discuss+it/them/her

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P4W7
      OFFSETS:	38-41
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even

 INPUT STRING:	يالا
     IS_TRANS:	yAlA
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yAl~A_1]
   UNSPLITVOC:	(yAl~A)
          POS:	INTERJ
          VOC:	yAl~A
        GLOSS:	ok/come on

 INPUT STRING:	اهو
     IS_TRANS:	Ahw
        INDEX:	P5W2
      OFFSETS:	5-8
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(>ahuw~a)
          POS:	DEM_PRON+PRON_3MS
          VOC:	>a+huw~a
        GLOSS:	it/he+he/it

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P5W3
      OFFSETS:	9-12
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P5W4
      OFFSETS:	13-16
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	سبب
     IS_TRANS:	sbb
        INDEX:	P5W5
      OFFSETS:	17-20
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(sabab)
          POS:	NOUN
          VOC:	sabab
        GLOSS:	reason/cause/because of/due to/reasons/causes/circumstances

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P5W6
      OFFSETS:	21-23
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ضياع
     IS_TRANS:	DyAE
        INDEX:	P5W7
      OFFSETS:	24-28
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DayAE_1]
   UNSPLITVOC:	(DayAE)
          POS:	NOUN
          VOC:	DayAE
        GLOSS:	loss/waste/in vain

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P5W8
      OFFSETS:	29-32
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	اتخلع
