 INPUT STRING:	بالصدفة
        GLOSS:	[present-tense]+I+look

 INPUT STRING:	اعادة
     IS_TRANS:	AEAdp
        INDEX:	P1W6
      OFFSETS:	26-31
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEAdap_1]
   UNSPLITVOC:	(AiEAdap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	AiEAd+ap
        GLOSS:	repetition+[fem.sg.]

 INPUT STRING:	لبرنامج
     IS_TRANS:	lbrnAmj
        INDEX:	P1W7
      OFFSETS:	32-39
       TOKENS:	P1W9-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bironAmij_1]
   UNSPLITVOC:	(libironAmij)
          POS:	PREP+NOUN
          VOC:	li+bironAmij
        GLOSS:	for/to+program

 INPUT STRING:	وائل
     IS_TRANS:	wA}l
        INDEX:	P1W8
      OFFSETS:	40-44
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wA}il_1]
   UNSPLITVOC:	(wA}il)
          POS:	NOUN_PROP
          VOC:	wA}il
        GLOSS:	Wael/Wa'il

 INPUT STRING:	الابراشي
     IS_TRANS:	AlAbrA$y
        INDEX:	P1W9
      OFFSETS:	45-53
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iborA$iy_1]
   UNSPLITVOC:	(Al<iborA$iy)
          POS:	DET+NOUN_PROP
          VOC:	Al+<iborA$iy
        GLOSS:	the+Abrashi

 INPUT STRING:	حلقة
     IS_TRANS:	Hlqp
        INDEX:	P1W10
      OFFSETS:	54-58
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haloqap_1]
   UNSPLITVOC:	(Haloqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Haloq+ap
        GLOSS:	episode+[fem.sg.]

 INPUT STRING:	امبارح
     IS_TRANS:	AmbArH
        INDEX:	P1W11
      OFFSETS:	59-65
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AimobAriH_1]
   UNSPLITVOC:	(AimobAriH)
          POS:	NOUN
          VOC:	AimobAriH
        GLOSS:	last night

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P1W12
      OFFSETS:	66-67
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	جت
     IS_TRANS:	jt
        INDEX:	P1W13
      OFFSETS:	68-70
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jA_1]
   UNSPLITVOC:	(jat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	ja+t
        GLOSS:	came+it/they/she

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P1W14
      OFFSETS:	71-75
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	also

 INPUT STRING:	بعدها
     IS_TRANS:	bEdhA
        INDEX:	P1W15
      OFFSETS:	76-81
       TOKENS:	P1W18-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEodhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	baEod+hA
        GLOSS:	after+its/their/her

 INPUT STRING:	حلقة
     IS_TRANS:	Hlqp
        INDEX:	P1W16
      OFFSETS:	82-86
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haloqap_1]
   UNSPLITVOC:	(Haloqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Haloq+ap
        GLOSS:	episode+[fem.sg.]

 INPUT STRING:	المسلماني
     IS_TRANS:	AlmslmAny
        INDEX:	P1W17
      OFFSETS:	87-96
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musolimAniy_1]
   UNSPLITVOC:	(AlmusolimAniy)
          POS:	DET+NOUN_PROP
          VOC:	Al+musolimAniy
        GLOSS:	the+Muslimani

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W1
      OFFSETS:	0-2
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حلقة
     IS_TRANS:	Hlqp
        INDEX:	P2W2
      OFFSETS:	3-7
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haloqap_1]
   UNSPLITVOC:	(Haloqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Haloq+ap
        GLOSS:	episode+[fem.sg.]

 INPUT STRING:	المسلماني
     IS_TRANS:	AlmslmAny
        INDEX:	P2W3
      OFFSETS:	8-17
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musolimAniy_1]
   UNSPLITVOC:	(AlmusolimAniy)
          POS:	DET+NOUN_PROP
          VOC:	Al+musolimAniy
        GLOSS:	the+Muslimani

 INPUT STRING:	بدأ
     IS_TRANS:	bd>
        INDEX:	P2W4
      OFFSETS:	18-21
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bada>_1]
   UNSPLITVOC:	(bada>)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	bada>+(null)
        GLOSS:	start/begin+he/it

 INPUT STRING:	الحلقة
     IS_TRANS:	AlHlqp
        INDEX:	P2W5
      OFFSETS:	22-28
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haloqap_1]
   UNSPLITVOC:	(AlHaloqap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Haloq+ap
        GLOSS:	the+episode+[fem.sg.]

 INPUT STRING:	بالفيديو
     IS_TRANS:	bAlfydyw
        INDEX:	P2W6
      OFFSETS:	29-37
       TOKENS:	P2W6-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiydyuw_1]
   UNSPLITVOC:	(biAlfiydyuw)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+fiydyuw
        GLOSS:	with/by+the+video

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P2W7
      OFFSETS:	38-42
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P2W8
      OFFSETS:	43-46
       TOKENS:	P2W9-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	البلطجية
     IS_TRANS:	AlblTjyp
        INDEX:	P2W9
      OFFSETS:	47-55
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baloTajiy_1]
   UNSPLITVOC:	(AlbaloTajiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+baloTajiy~+ap
        GLOSS:	the+gangster/ruffian+[fem.sg.]

 INPUT STRING:	بيمنعوا
     IS_TRANS:	bymnEwA
        INDEX:	P2W10
      OFFSETS:	56-63
       TOKENS:	P2W12-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manaE_1]
   UNSPLITVOC:	(biyimonaEuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+monaE+uwA
        GLOSS:	[present-tense]+they+forbid+they

 INPUT STRING:	عربية
     IS_TRANS:	Erbyp
        INDEX:	P2W11
      OFFSETS:	64-69
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(Earabiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Earabiy~+ap
        GLOSS:	Arabic language/car+[fem.sg.]

 INPUT STRING:	المطافي
     IS_TRANS:	AlmTAfy
        INDEX:	P2W12
      OFFSETS:	70-77
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maTAfiy_1]
   UNSPLITVOC:	(AlmaTAfiy)
          POS:	DET+NOUN
          VOC:	Al+maTAfiy
        GLOSS:	the+fire fighters

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W13
      OFFSETS:	78-80
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اطفاء
     IS_TRANS:	ATfA'
        INDEX:	P2W14
      OFFSETS:	81-86
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiTofA'_1]
   UNSPLITVOC:	(AiTofA')
          POS:	NOUN
          VOC:	AiTofA'
        GLOSS:	blowing off

 INPUT STRING:	الحريق
     IS_TRANS:	AlHryq
        INDEX:	P2W15
      OFFSETS:	87-93
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hariyq_1]
   UNSPLITVOC:	(AlHariyq)
          POS:	DET+NOUN
          VOC:	Al+Hariyq
        GLOSS:	the+fire/fires

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W16
      OFFSETS:	94-95
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	بيتخانقوا
     IS_TRANS:	bytxAnqwA
        INDEX:	P2W17
      OFFSETS:	96-105
       TOKENS:	P2W20-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoxAniq_1]
   UNSPLITVOC:	(biyitoxAnoquwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+toxAnoq+uwA
        GLOSS:	[present-tense]+they+quarrel+they

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P2W18
      OFFSETS:	106-108
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	السواق
     IS_TRANS:	AlswAq
        INDEX:	P2W19
      OFFSETS:	109-115
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saw~Aq_1]
   UNSPLITVOC:	(Als~aw~Aq)
          POS:	DET+NOUN
          VOC:	Al+saw~Aq
        GLOSS:	the+chauffeur/driver

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W20
      OFFSETS:	116-117
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	بيزعقوا
     IS_TRANS:	byzEqwA
        INDEX:	P2W21
      OFFSETS:	118-125
       TOKENS:	P2W25-P2W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaE~aq_1]
   UNSPLITVOC:	(biyizaE~aquwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+zaE~aq+uwA
        GLOSS:	[present-tense]+they+scream+they

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P2W22
      OFFSETS:	126-128
       TOKENS:	P2W27-P2W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to/for+it/him

 INPUT STRING:	تطفيها
     IS_TRANS:	tTfyhA
        INDEX:	P2W23
      OFFSETS:	131-137
       TOKENS:	P2W29-P2W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aTfaY_1]
   UNSPLITVOC:	(tTfiyhA)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+IVSUFF_DO:3FS
          VOC:	t+Tf+iy+hA
        GLOSS:	you+blow off+you+it/them/her

 INPUT STRING:	لييييه
     IS_TRANS:	lyyyyh
        INDEX:	P2W24
      OFFSETS:	138-144
       TOKENS:	P2W31-P2W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P3W1
      OFFSETS:	0-1
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	ضرب
     IS_TRANS:	Drb
        INDEX:	P3W2
      OFFSETS:	2-5
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darob_1]
   UNSPLITVOC:	(Darob)
          POS:	NOUN
          VOC:	Darob
        GLOSS:	beating/hitting/striking

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P3W3
      OFFSETS:	6-7
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	قلة
     IS_TRANS:	qlp
        INDEX:	P3W4
      OFFSETS:	8-11
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qil~ap_1]
   UNSPLITVOC:	(qil~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qil~+ap
        GLOSS:	scarcity/lack of/small number or amount of+[fem.sg.]

 INPUT STRING:	ادب
     IS_TRANS:	Adb
        INDEX:	P3W5
      OFFSETS:	12-15
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>adab_1]
   UNSPLITVOC:	(>adab)
          POS:	NOUN
          VOC:	>adab
        GLOSS:	good manners/etiquette

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P3W6
      OFFSETS:	16-17
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W7
      OFFSETS:	18-20
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الآخر
     IS_TRANS:	Al|xr
        INDEX:	P3W8
      OFFSETS:	21-26
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|axar_1]
   UNSPLITVOC:	(Al|axar)
          POS:	DET+ADJ
          VOC:	Al+|axar
        GLOSS:	the+end

 INPUT STRING:	استولوا
     IS_TRANS:	AstwlwA
        INDEX:	P3W9
      OFFSETS:	27-34
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotawlay_1]
   UNSPLITVOC:	(AisotawluwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	Aisotawl+uwA
        GLOSS:	overpower+they

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P3W10
      OFFSETS:	35-38
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	العربية
     IS_TRANS:	AlErbyp
        INDEX:	P3W11
      OFFSETS:	39-46
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+Arabic language/car+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P3W12
      OFFSETS:	47-48
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	خدوها
     IS_TRANS:	xdwhA
        INDEX:	P3W13
      OFFSETS:	49-54
       TOKENS:	P3W13-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xad_1]
   UNSPLITVOC:	(xaduwhA)
          POS:	PV+PVSUFF_SUBJ:3P+PVSUFF_DO:3FS
          VOC:	xad+uwA+hA
        GLOSS:	take+they+it/them/her

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P3W14
      OFFSETS:	55-56
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	مشيوا
     IS_TRANS:	m$ywA
        INDEX:	P3W15
      OFFSETS:	57-62
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$iy_1]
   UNSPLITVOC:	(mi$oyuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	mi$oy+uwA
        GLOSS:	go+they

 INPUT STRING:	حلقة
     IS_TRANS:	Hlqp
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haloqap_1]
   UNSPLITVOC:	(Haloqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Haloq+ap
        GLOSS:	episode+[fem.sg.]

 INPUT STRING:	الابراشي
     IS_TRANS:	AlAbrA$y
        INDEX:	P4W2
      OFFSETS:	5-13
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iborA$iy_1]
   UNSPLITVOC:	(Al<iborA$iy)
          POS:	DET+NOUN_PROP
          VOC:	Al+<iborA$iy
        GLOSS:	the+Abrashi

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P4W3
      OFFSETS:	14-17
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P4W4
      OFFSETS:	18-22
       TOKENS:	P4W4-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+it/them/her

 INPUT STRING:	البيه
     IS_TRANS:	Albyh
        INDEX:	P4W5
      OFFSETS:	23-28
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayh_1]
   UNSPLITVOC:	(Albayh)
          POS:	DET+NOUN
          VOC:	Al+bayh
        GLOSS:	the+sir

 INPUT STRING:	الناشط
     IS_TRANS:	AlnA$T
        INDEX:	P4W6
      OFFSETS:	29-35
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nA$iT_2]
   UNSPLITVOC:	(Aln~A$iT)
          POS:	DET+ADJ
          VOC:	Al+nA$iT
        GLOSS:	the+energetic/active

 INPUT STRING:	احمد
     IS_TRANS:	AHmd
        INDEX:	P4W7
      OFFSETS:	36-40
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHomad_1]
   UNSPLITVOC:	(>aHomad)
          POS:	NOUN_PROP
          VOC:	>aHomad
        GLOSS:	Ahmad/Ahmed

 INPUT STRING:	ابو
     IS_TRANS:	Abw
        INDEX:	P4W8
      OFFSETS:	41-44
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>abuw_1]
   UNSPLITVOC:	(>abuw)
          POS:	NOUN_PROP
          VOC:	>abuw
        GLOSS:	Abu

 INPUT STRING:	دومة
     IS_TRANS:	dwmp
        INDEX:	P4W9
