 INPUT STRING:	دا
     IS_TRANS:	AltrAmAdwl
        INDEX:	P2W10
      OFFSETS:	69-79
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[trAmAduwl_1]
   UNSPLITVOC:	(AltrAmAduwl)
          POS:	DET+NOUN
          VOC:	Al+trAmAduwl
        GLOSS:	the+tramadol

 INPUT STRING:	وبياخدوا
     IS_TRANS:	wbyAxdwA
        INDEX:	P2W11
      OFFSETS:	80-88
       TOKENS:	P2W15-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(wibiyAxoduwA)
          POS:	CONJ+PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+bi+yA+xod+uwA
        GLOSS:	and+[present-tense]+they+take/seize+[pl.]

 INPUT STRING:	200
     IS_TRANS:	200
        INDEX:	P2W12
      OFFSETS:	89-92
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(200)
          POS:	NOUN_NUM
          VOC:	200
        GLOSS:	200

 INPUT STRING:	جنيه
     IS_TRANS:	jnyh
        INDEX:	P2W13
      OFFSETS:	93-97
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jinayh_1]
   UNSPLITVOC:	(jinayh)
          POS:	NOUN
          VOC:	jinayh
        GLOSS:	pound

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W14
      OFFSETS:	97-98
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W15
      OFFSETS:	98-99
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	عندك
     IS_TRANS:	Endk
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Einod_1]
   UNSPLITVOC:	(Einodik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	Einod+ik
        GLOSS:	with / at+your

 INPUT STRING:	دليل
     IS_TRANS:	dlyl
        INDEX:	P3W2
      OFFSETS:	5-9
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daliyl_1]
   UNSPLITVOC:	(daliyl)
          POS:	NOUN
          VOC:	daliyl
        GLOSS:	evidence/proof

 INPUT STRING:	يامحترم
     IS_TRANS:	yAmHtrm
        INDEX:	P3W3
      OFFSETS:	10-17
       TOKENS:	P3W4-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muHotaram_1]
   UNSPLITVOC:	(yAmuHotaram)
          POS:	VOC_PART+NOUN
          VOC:	yaA+muHotaram
        GLOSS:	oh+esteemed/respected

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P3W4
      OFFSETS:	17-18
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P3W5
      OFFSETS:	18-19
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P3W6
      OFFSETS:	20-23
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or/if/unless

 INPUT STRING:	جعجعه
     IS_TRANS:	jEjEh
        INDEX:	P3W7
      OFFSETS:	24-29
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jaEojaEap_1]
   UNSPLITVOC:	(jaEojaEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jaEojaE+ap
        GLOSS:	noise/noisy/vociferous+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P3W8
      OFFSETS:	30-33
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الفاضي
     IS_TRANS:	AlfADy
        INDEX:	P3W9
      OFFSETS:	34-40
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fADiy_1]
   UNSPLITVOC:	(AlfADiy)
          POS:	DET+ADJ
          VOC:	Al+fADiy
        GLOSS:	the+empty/unoccupied/free

 INPUT STRING:	والاعضاء
     IS_TRANS:	wAlAEDA'
        INDEX:	P4W1
      OFFSETS:	0-8
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EuDow_1]
   UNSPLITVOC:	(wiAlAEoDA')
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+AEoDA'
        GLOSS:	and+the+member/members

 INPUT STRING:	بيسقفوله
     IS_TRANS:	bysqfwlh
        INDEX:	P4W2
      OFFSETS:	9-17
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(bysqfwlh)
          POS:	NO_FUNC
          VOC:	bysqfwlh
        GLOSS:	nogloss

 INPUT STRING:	يطلع
     IS_TRANS:	yTlE
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TiliE_1]
   UNSPLITVOC:	(yiTolaE)
          POS:	IV3MS+IV
          VOC:	yi+TolaE
        GLOSS:	he/it+appear/rise

 INPUT STRING:	مصطفى
     IS_TRANS:	mSTfY
        INDEX:	P5W2
      OFFSETS:	5-10
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[muSTafa_1]
   UNSPLITVOC:	(muSoTafaY)
          POS:	NOUN_PROP
          VOC:	muSoTafaY
        GLOSS:	Mustafa

 INPUT STRING:	بكري
     IS_TRANS:	bkry
        INDEX:	P5W3
      OFFSETS:	11-15
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bakriy_1]
   UNSPLITVOC:	(bakriy)
          POS:	NOUN_PROP
          VOC:	bakriy
        GLOSS:	Bakri

 INPUT STRING:	يتهم
     IS_TRANS:	ythm
        INDEX:	P5W4
      OFFSETS:	16-20
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<it~aham_1]
   UNSPLITVOC:	(yit~ihim)
          POS:	IV3MS+IV
          VOC:	yi+t~ihim
        GLOSS:	he/it+accuse

 INPUT STRING:	البرادعي
     IS_TRANS:	AlbrAdEy
        INDEX:	P5W5
      OFFSETS:	21-29
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[barAdEiy_1]
   UNSPLITVOC:	(AlbarAdEiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+barAdEiy
        GLOSS:	the+BarAdii

 INPUT STRING:	بالعماله
     IS_TRANS:	bAlEmAlh
        INDEX:	P5W6
      OFFSETS:	30-38
       TOKENS:	P5W6-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EimAlap_1]
   UNSPLITVOC:	(biAlEimAlap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+EimAl+ap
        GLOSS:	with/by+the+labor force+[fem.sg.]

 INPUT STRING:	بدون
     IS_TRANS:	bdwn
        INDEX:	P5W7
      OFFSETS:	39-43
       TOKENS:	P5W8-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(biduwn)
          POS:	PREP+NOUN
          VOC:	bi+duwn
        GLOSS:	with/by+beneath/underneath/inferior

 INPUT STRING:	دليل
     IS_TRANS:	dlyl
        INDEX:	P5W8
      OFFSETS:	44-48
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daliyl_1]
   UNSPLITVOC:	(daliyl)
          POS:	NOUN
          VOC:	daliyl
        GLOSS:	evidence/proof

 INPUT STRING:	يصقفوا
     IS_TRANS:	ySqfwA
        INDEX:	P5W9
      OFFSETS:	49-55
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Saq~af_1]
   UNSPLITVOC:	(yiSaq~afuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+Saq~af+uwA
        GLOSS:	they+applaud/clap+[pl.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P5W10
      OFFSETS:	55-56
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P5W11
      OFFSETS:	56-57
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	يطلع
     IS_TRANS:	yTlE
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TiliE_1]
   UNSPLITVOC:	(yiTolaE)
          POS:	IV3MS+IV
          VOC:	yi+TolaE
        GLOSS:	he/it+appear/rise

 INPUT STRING:	النائب
     IS_TRANS:	AlnA}b
        INDEX:	P6W2
      OFFSETS:	5-11
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nA}ib_1]
   UNSPLITVOC:	(Aln~A}ib)
          POS:	DET+NOUN
          VOC:	Al+nA}ib
        GLOSS:	the+deputy/delegate/vice-

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P6W3
      OFFSETS:	12-16
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Mahmmad

 INPUT STRING:	ابو
     IS_TRANS:	Abw
        INDEX:	P6W4
      OFFSETS:	17-20
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aabuw_1]
   UNSPLITVOC:	(Abuw)
          POS:	NOUN
          VOC:	Abuw
        GLOSS:	father

 INPUT STRING:	حامد
     IS_TRANS:	HAmd
        INDEX:	P6W5
      OFFSETS:	21-25
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAmid_1]
   UNSPLITVOC:	(HAmid)
          POS:	NOUN_PROP
          VOC:	HAmid
        GLOSS:	Hamid

 INPUT STRING:	يقول
     IS_TRANS:	yqwl
        INDEX:	P6W6
      OFFSETS:	26-30
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yiquwl)
          POS:	IV3MS+IV
          VOC:	yi+quwl
        GLOSS:	he/it+said/say/be said/say/(for example)

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P6W7
      OFFSETS:	31-33
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P6W8
      OFFSETS:	34-36
       TOKENS:	P6W8-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	خرطوش
     IS_TRANS:	xrTw$
        INDEX:	P6W9
      OFFSETS:	37-42
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaroTuw$ap_1]
   UNSPLITVOC:	(xaroTuw$)
          POS:	NOUN
          VOC:	xaroTuw$
        GLOSS:	bullets/cartridges

 INPUT STRING:	والخرطوش
     IS_TRANS:	wAlxrTw$
        INDEX:	P6W10
      OFFSETS:	43-51
       TOKENS:	P6W11-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaroTuw$ap_1]
   UNSPLITVOC:	(wiAlxaroTuw$)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+xaroTuw$
        GLOSS:	and+the+bullets/cartridges

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P6W11
      OFFSETS:	52-54
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ايده
     IS_TRANS:	Aydh
        INDEX:	P6W12
      OFFSETS:	55-59
       TOKENS:	P6W14-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyd_1]
   UNSPLITVOC:	(<iyduh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	<iyd+uh
        GLOSS:	hand+his/its

 INPUT STRING:	يقولوله
     IS_TRANS:	yqwlwlh
        INDEX:	P6W13
      OFFSETS:	60-67
       TOKENS:	P6W16-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yiquwluwA_luh)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+PREP+PRON_3MS
          VOC:	yi+quwl+uwA+li+uh
        GLOSS:	they+said/say/be said/say/(for example)+we+to/for+him

 INPUT STRING:	اذا
     IS_TRANS:	A*A
        INDEX:	P6W14
      OFFSETS:	68-71
       TOKENS:	P6W19-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai*A_1]
