 INPUT STRING:	كنا
        INDEX:	P2W3
      OFFSETS:	6-9
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(Tuwl)
          POS:	NOUN
          VOC:	Tuwl
        GLOSS:	length/height/lengths/heights

 INPUT STRING:	تحطوا
     IS_TRANS:	tHTwA
        INDEX:	P2W4
      OFFSETS:	10-15
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaT~_1]
   UNSPLITVOC:	(tiHuT~uwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+HuT~+uwA
        GLOSS:	you+put+we

 INPUT STRING:	صوره
     IS_TRANS:	Swrh
        INDEX:	P2W5
      OFFSETS:	16-20
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Suwr+ap
        GLOSS:	picture/image/illustration/photo/pictures/photographs/illustrations/photos+[fem.sg.]

 INPUT STRING:	لبن
     IS_TRANS:	lbn
        INDEX:	P2W6
      OFFSETS:	21-24
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laban_1]
   UNSPLITVOC:	(laban)
          POS:	NOUN
          VOC:	laban
        GLOSS:	milk

 INPUT STRING:	الاطفال
     IS_TRANS:	AlATfAl
        INDEX:	P2W7
      OFFSETS:	25-32
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tifol_1]
   UNSPLITVOC:	(AlATofAl)
          POS:	DET+NOUN
          VOC:	Al+ATofAl
        GLOSS:	the+child/boy/child/girl/children/infants

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W8
      OFFSETS:	33-34
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	لبن
     IS_TRANS:	lbn
        INDEX:	P2W9
      OFFSETS:	35-38
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laban_1]
   UNSPLITVOC:	(laban)
          POS:	NOUN
          VOC:	laban
        GLOSS:	milk

 INPUT STRING:	نيدوا
     IS_TRANS:	nydwA
        INDEX:	P2W10
      OFFSETS:	39-44
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niydowA_1]
   UNSPLITVOC:	(niydowA)
          POS:	NOUN_PROP
          VOC:	niydowA
        GLOSS:	Nido

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P3W1
      OFFSETS:	0-1
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	كأن
     IS_TRANS:	k>n
        INDEX:	P3W2
      OFFSETS:	2-5
       TOKENS:	P3W2-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>in~_1]
   UNSPLITVOC:	(ka>in~)
          POS:	PREP+SUB_CONJ
          VOC:	ka+>in~
        GLOSS:	as+that

 INPUT STRING:	الانفاق
     IS_TRANS:	AlAnfAq
        INDEX:	P3W3
      OFFSETS:	6-13
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafaq_1]
   UNSPLITVOC:	(Al<inofAq)
          POS:	DET+NOUN
          VOC:	Al+<inofAq
        GLOSS:	the+subway/tunnels

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P3W4
      OFFSETS:	14-16
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	يتهرب
     IS_TRANS:	ythrb
        INDEX:	P3W5
      OFFSETS:	17-22
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<itohar~ab_1]
   UNSPLITVOC:	(yitohar~ab)
          POS:	IV3MS+IV_PASS
          VOC:	yi+tohar~ab
        GLOSS:	he/it+be escaped

 INPUT STRING:	منها
     IS_TRANS:	mnhA
        INDEX:	P3W6
      OFFSETS:	23-27
       TOKENS:	P3W7-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minhA)
          POS:	PREP+PRON_3FS
          VOC:	min+hA
        GLOSS:	from+her/it

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P3W7
      OFFSETS:	28-31
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(gayor)
          POS:	NOUN
          VOC:	gayor
        GLOSS:	not/other

 INPUT STRING:	اللبن
     IS_TRANS:	Allbn
        INDEX:	P3W8
      OFFSETS:	32-37
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laban_1]
   UNSPLITVOC:	(All~aban)
          POS:	DET+NOUN
          VOC:	Al+laban
        GLOSS:	the+milk

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P3W9
      OFFSETS:	38-40
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P3W10
      OFFSETS:	41-42
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P3W11
      OFFSETS:	42-43
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P4W1
      OFFSETS:	0-2
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P4W2
      OFFSETS:	3-5
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	one

 INPUT STRING:	يتحدث
     IS_TRANS:	ytHdv
        INDEX:	P4W3
      OFFSETS:	6-11
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taHadav_1]
   UNSPLITVOC:	(yataHadav)
          POS:	IV3MS+IV
          VOC:	ya+taHadav
        GLOSS:	he/it+talk/speak

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P4W4
      OFFSETS:	12-14
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	الانفاق
     IS_TRANS:	AlAnfAq
        INDEX:	P4W5
      OFFSETS:	15-22
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafaq_1]
   UNSPLITVOC:	(Al<inofAq)
          POS:	DET+NOUN
          VOC:	Al+<inofAq
        GLOSS:	the+subway/tunnels

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P4W6
      OFFSETS:	23-26
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	طول
     IS_TRANS:	Twl
        INDEX:	P4W7
      OFFSETS:	27-30
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(Tuwl)
          POS:	NOUN
          VOC:	Tuwl
        GLOSS:	length/height/lengths/heights

 INPUT STRING:	يتهموه
     IS_TRANS:	ythmwh
        INDEX:	P4W8
      OFFSETS:	31-37
       TOKENS:	P4W8-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<itaham_1]
   UNSPLITVOC:	(yathimuwuh)
          POS:	IV3MS+IV+IVSUFF_DO:3MS
          VOC:	ya+thimuw+uh
        GLOSS:	he/it+accuse+them

 INPUT STRING:	باى
     IS_TRANS:	bAY
        INDEX:	P4W9
      OFFSETS:	38-41
       TOKENS:	P4W10-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(bi>ay~)
          POS:	PREP+NOUN_QUANT
          VOC:	bi+>ay~
        GLOSS:	with/by+any

 INPUT STRING:	تهمه
     IS_TRANS:	thmh
        INDEX:	P4W10
      OFFSETS:	42-46
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tuhomap_1]
   UNSPLITVOC:	(tuhomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	tuhom+ap
        GLOSS:	accusation/charge+[fem.sg.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P5W1
      OFFSETS:	0-2
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	فلول
     IS_TRANS:	flwl
        INDEX:	P5W2
      OFFSETS:	3-7
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fal~_2]
   UNSPLITVOC:	(fuluwl)
          POS:	NOUN
          VOC:	fuluwl
        GLOSS:	dents/notches/nicks

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P5W3
      OFFSETS:	8-10
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	قلبه
     IS_TRANS:	qlbh
        INDEX:	P5W4
      OFFSETS:	11-15
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(qalobuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	qalob+uh
        GLOSS:	heart/center/essence+his/its

 INPUT STRING:	قاسى
     IS_TRANS:	qAsY
        INDEX:	P5W5
      OFFSETS:	16-20
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAsiy_1]
   UNSPLITVOC:	(qAsiy)
          POS:	ADJ
          VOC:	qAsiy
        GLOSS:	harsh/cruel/severe/stringent/brutal

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P5W6
      OFFSETS:	21-23
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P5W7
      OFFSETS:	24-26
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	مسلم
     IS_TRANS:	mslm
        INDEX:	P5W8
      OFFSETS:	27-31
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misal~im_1]
   UNSPLITVOC:	(misal~im)
          POS:	ADJ
          VOC:	misal~im
        GLOSS:	Muslim

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P5W9
      OFFSETS:	32-34
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P5W10
      OFFSETS:	35-37
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P5W11
      OFFSETS:	38-42
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P5W12
      OFFSETS:	43-44
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P5W13
      OFFSETS:	44-45
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P5W14
      OFFSETS:	45-46
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P6W1
      OFFSETS:	0-2
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اول
     IS_TRANS:	Awl
        INDEX:	P6W2
      OFFSETS:	3-6
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aw~il]
   UNSPLITVOC:	(>aw~il)
          POS:	ADJ_NUM
          VOC:	>aw~il
        GLOSS:	first

 INPUT STRING:	الثوره
     IS_TRANS:	Alvwrh
        INDEX:	P6W3
      OFFSETS:	7-13
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	والمعبر
     IS_TRANS:	wAlmEbr
        INDEX:	P6W4
      OFFSETS:	14-21
       TOKENS:	P6W4-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miEab~ar_1]
   UNSPLITVOC:	(wiAlmiEab~ar)
          POS:	SUB_CONJ+DET+NOUN
          VOC:	wi+Al+miEab~ar
        GLOSS:	while+the+crossing point/juncture

 INPUT STRING:	مفتوح
     IS_TRANS:	mftwH
        INDEX:	P6W5
      OFFSETS:	22-27
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mafotuwH_1]
   UNSPLITVOC:	(mafotuwH)
          POS:	ADJ
          VOC:	mafotuwH
        GLOSS:	open/opened

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P6W6
      OFFSETS:	28-29
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	بيعمل
     IS_TRANS:	byEml
        INDEX:	P6W7
      OFFSETS:	30-35
       TOKENS:	P6W8-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(biyiEomil)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+Eomil
        GLOSS:	[present-tense]+he/it+do/act

 INPUT STRING:	بشكل
     IS_TRANS:	b$kl
        INDEX:	P6W8
      OFFSETS:	36-40
       TOKENS:	P6W10-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	(bi$akol)
          POS:	PREP+NOUN
          VOC:	bi+$akol
        GLOSS:	with/by+manner/form/configuration/manners / types/forms/configurations

 INPUT STRING:	طبيعيى
     IS_TRANS:	TbyEyY
        INDEX:	P6W9
      OFFSETS:	41-47
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TabiyEiy_1]
   UNSPLITVOC:	(TabiyEiy)
          POS:	ADJ
          VOC:	TabiyEiy
        GLOSS:	natural/normal

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P6W10
      OFFSETS:	48-50
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	one

 INPUT STRING:	يقولى
     IS_TRANS:	yqwlY
        INDEX:	P6W11
      OFFSETS:	51-56
       TOKENS:	P6W14-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yiquwlliy)
          POS:	IV3MS+IV+PREP+PRON_1S
          VOC:	yi+quwl+l+iy
        GLOSS:	he/it+say+to+me

 INPUT STRING:	الانفاق
     IS_TRANS:	AlAnfAq
        INDEX:	P6W12
      OFFSETS:	57-64
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafaq_1]
   UNSPLITVOC:	(Al<inofAq)
          POS:	DET+NOUN
          VOC:	Al+<inofAq
        GLOSS:	the+subway/tunnels

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P6W13
      OFFSETS:	65-67
       TOKENS:	P6W18-P6W18
