 INPUT STRING:	موقع
        LEMMA:	[farAEiyn_1]
   UNSPLITVOC:	(AlfarAEiyn)
          POS:	DET+NOUN_PROP
          VOC:	Al+farAEiyn
        GLOSS:	the+FARAIYN

 INPUT STRING:	مؤتمر
     IS_TRANS:	m&tmr
        INDEX:	P2W7
      OFFSETS:	35-40
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu&otamar_1]
   UNSPLITVOC:	(mu&otamar)
          POS:	NOUN
          VOC:	mu&otamar
        GLOSS:	conference/convention

 INPUT STRING:	للدعوة
     IS_TRANS:	lldEwp
        INDEX:	P2W8
      OFFSETS:	41-47
       TOKENS:	P2W8-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEowap_1]
   UNSPLITVOC:	(lild~aEowap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+daEow+ap
        GLOSS:	for/to+the+call/invitation/supplication/calls/invitations/supplications+[fem.sg.]

 INPUT STRING:	إلي
     IS_TRANS:	<ly
        INDEX:	P2W9
      OFFSETS:	48-51
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	مليونية
     IS_TRANS:	mlywnyp
        INDEX:	P2W10
      OFFSETS:	52-59
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[milyuwniy_1]
   UNSPLITVOC:	(milyuwniy~ap)
          POS:	ADJ_NUM+NSUFF_FEM_SG
          VOC:	milyuwniy~+ap
        GLOSS:	million+[fem.sg.]

 INPUT STRING:	لترويج
     IS_TRANS:	ltrwyj
        INDEX:	P2W11
      OFFSETS:	60-66
       TOKENS:	P2W12-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tarowiyj_1]
   UNSPLITVOC:	(litarowiyj)
          POS:	PREP+NOUN
          VOC:	li+tarowiyj
        GLOSS:	for/to+furtherance/promotion/distribution/marketing

 INPUT STRING:	السياحه
     IS_TRANS:	AlsyAHh
        INDEX:	P2W12
      OFFSETS:	67-74
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAHap_1]
   UNSPLITVOC:	(Als~iyAHap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+siyAH+ap
        GLOSS:	the+tourism+[fem.sg.]

 INPUT STRING:	ودعم
     IS_TRANS:	wdEm
        INDEX:	P2W13
      OFFSETS:	75-79
       TOKENS:	P2W15-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEom_1]
   UNSPLITVOC:	(widaEom)
          POS:	CONJ+NOUN
          VOC:	wi+daEom
        GLOSS:	and+support/assistance/endorsement

 INPUT STRING:	الاقتصاد
     IS_TRANS:	AlAqtSAd
        INDEX:	P2W14
      OFFSETS:	80-88
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiqotiSAd_1]
   UNSPLITVOC:	(AlAiqotiSAd)
          POS:	DET+NOUN
          VOC:	Al+AiqotiSAd
        GLOSS:	the+economy

 INPUT STRING:	القومي
     IS_TRANS:	Alqwmy
        INDEX:	P2W15
      OFFSETS:	89-95
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawmiy_1]
   UNSPLITVOC:	(Alqawmiy)
          POS:	DET+ADJ
          VOC:	Al+qawmiy
        GLOSS:	the+national/state

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W16
      OFFSETS:	95-96
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	جاء
     IS_TRANS:	jA'
        INDEX:	P3W1
      OFFSETS:	0-3
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jA'_1]
   UNSPLITVOC:	(jA'a)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	jA'+a
        GLOSS:	arrive/come/occur+he

 INPUT STRING:	ذلك
     IS_TRANS:	*lk
        INDEX:	P3W2
      OFFSETS:	4-7
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*alik_1]
   UNSPLITVOC:	(*alik)
          POS:	DEM_PRON_MS
          VOC:	*alik
        GLOSS:	this

 INPUT STRING:	وسط
     IS_TRANS:	wsT
        INDEX:	P3W3
      OFFSETS:	8-11
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wasoT_1]
   UNSPLITVOC:	(wasoT)
          POS:	NOUN
          VOC:	wasoT
        GLOSS:	middle/midst/among

 INPUT STRING:	حضور
     IS_TRANS:	HDwr
        INDEX:	P3W4
      OFFSETS:	12-16
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HuDuwr_1]
   UNSPLITVOC:	(HuDuwr)
          POS:	NOUN
          VOC:	HuDuwr
        GLOSS:	presence/attendance

 INPUT STRING:	جماهيري
     IS_TRANS:	jmAhyry
        INDEX:	P3W5
      OFFSETS:	17-24
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAhiyriy_1]
   UNSPLITVOC:	(jamAhiyriy)
          POS:	ADJ
          VOC:	jamAhiyriy
        GLOSS:	mass/throng

 INPUT STRING:	ضم
     IS_TRANS:	Dm
        INDEX:	P3W6
      OFFSETS:	25-27
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Dam~_1]
   UNSPLITVOC:	(Dam~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Dam~+(null)
        GLOSS:	include/comprise/incorporate+he/it [verb]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P3W7
      OFFSETS:	28-30
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	يقرب
     IS_TRANS:	yqrb
        INDEX:	P3W8
      OFFSETS:	31-35
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qarab_1]
   UNSPLITVOC:	(yaqorub)
          POS:	IV3MS+IV
          VOC:	ya+qorub
        GLOSS:	he/it+near/approximate

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W9
      OFFSETS:	36-38
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ألف
     IS_TRANS:	>lf
        INDEX:	P3W10
      OFFSETS:	39-42
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alof_1]
   UNSPLITVOC:	(Alof)
          POS:	NOUN_NUM
          VOC:	Alof
        GLOSS:	thousand

 INPUT STRING:	مواطن
     IS_TRANS:	mwATn
        INDEX:	P3W11
      OFFSETS:	43-48
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwATin_1]
   UNSPLITVOC:	(muwATin)
          POS:	NOUN
          VOC:	muwATin
        GLOSS:	citizen

 INPUT STRING:	بمسرح
     IS_TRANS:	bmsrH
        INDEX:	P3W12
      OFFSETS:	49-54
       TOKENS:	P3W12-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[masoraH_1]
   UNSPLITVOC:	(bimasoraH)
          POS:	PREP+NOUN
          VOC:	bi+masoraH
        GLOSS:	with/by+theater/stage

 INPUT STRING:	السلام
     IS_TRANS:	AlslAm
        INDEX:	P3W13
      OFFSETS:	55-61
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[salAm_4]
   UNSPLITVOC:	(AlsalAm)
          POS:	DET+NOUN_PROP
          VOC:	Al+salAm
        GLOSS:	the+Salam

 INPUT STRING:	الصيفي
     IS_TRANS:	AlSyfy
        INDEX:	P3W14
      OFFSETS:	62-68
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlSayofiy_1]
   UNSPLITVOC:	(AS~ayofiy)
          POS:	DET+ADJ
          VOC:	Al+Sayofiy
        GLOSS:	the+summer/estival

 INPUT STRING:	بكورنيش
     IS_TRANS:	bkwrny$
        INDEX:	P3W15
      OFFSETS:	69-76
       TOKENS:	P3W16-P3W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kuroniy$_1]
   UNSPLITVOC:	(bikuwroniy$)
          POS:	PREP+NOUN
          VOC:	bi+kuwroniy$
        GLOSS:	with/by+corniche/coastal road

 INPUT STRING:	النيل
     IS_TRANS:	Alnyl
        INDEX:	P3W16
      OFFSETS:	77-82
       TOKENS:	P3W18-P3W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niyl_1]
   UNSPLITVOC:	(Aln~iyl)
          POS:	DET+NOUN_PROP
          VOC:	Al+niyl
        GLOSS:	the+NILE

 INPUT STRING:	بمدينة
     IS_TRANS:	bmdynp
        INDEX:	P3W17
      OFFSETS:	83-89
       TOKENS:	P3W19-P3W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madiynap_1]
   UNSPLITVOC:	(bimadiynap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+madiyn+ap
        GLOSS:	with/by+city+[fem.sg.]

 INPUT STRING:	أسوان
     IS_TRANS:	>swAn
        INDEX:	P3W18
      OFFSETS:	90-95
       TOKENS:	P3W21-P3W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asowAn_1]
   UNSPLITVOC:	(>asowAn)
          POS:	NOUN_PROP
          VOC:	>asowAn
        GLOSS:	Aswan

 INPUT STRING:	وتعزيزات
     IS_TRANS:	wtEzyzAt
        INDEX:	P3W19
      OFFSETS:	96-104
       TOKENS:	P3W22-P3W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEoziyz_1]
   UNSPLITVOC:	(witaEoziyzAt)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+taEoziyz+At
        GLOSS:	and+praise/encouragement/pride+[fem.pl.]

 INPUT STRING:	امنيه
     IS_TRANS:	Amnyh
        INDEX:	P3W20
      OFFSETS:	105-110
       TOKENS:	P3W24-P3W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amoniy_1]
   UNSPLITVOC:	(>amoniy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	>amoniy~+ap
        GLOSS:	security/safety+[fem.sg.]

 INPUT STRING:	مكثفة
     IS_TRANS:	mkvfp
        INDEX:	P3W21
      OFFSETS:	111-116
       TOKENS:	P3W25-P3W25
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mukav~af_1]
   UNSPLITVOC:	(mukav~afap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mukav~af+ap
        GLOSS:	intensive/concentrated+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W22
      OFFSETS:	116-117
       TOKENS:	P3W26-P3W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	كما
     IS_TRANS:	kmA
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamA_1]
   UNSPLITVOC:	(kamA)
          POS:	CONJ
          VOC:	kamA
        GLOSS:	and/as/also

 INPUT STRING:	دعا
     IS_TRANS:	dEA
        INDEX:	P4W2
      OFFSETS:	4-7
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEA_1]
   UNSPLITVOC:	(daEA)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	daEA+(null)
        GLOSS:	call/invite/be called/be invited+he/it

 INPUT STRING:	عكاشة
     IS_TRANS:	EkA$p
        INDEX:	P4W3
      OFFSETS:	8-13
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EukA$ap_1]
   UNSPLITVOC:	(EukA$ap)
          POS:	NOUN_PROP
          VOC:	EukA$ap
        GLOSS:	AUKASHA

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P4W4
      OFFSETS:	14-17
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to

 INPUT STRING:	انطلاق
     IS_TRANS:	AnTlAq
        INDEX:	P4W5
      OFFSETS:	18-24
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinoTilAq_1]
   UNSPLITVOC:	(AinoTilAq)
          POS:	NOUN
          VOC:	AinoTilAq
        GLOSS:	departure

 INPUT STRING:	مليونية
     IS_TRANS:	mlywnyp
        INDEX:	P4W6
      OFFSETS:	25-32
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[milyuwniy_1]
   UNSPLITVOC:	(milyuwniy~ap)
          POS:	ADJ_NUM+NSUFF_FEM_SG
          VOC:	milyuwniy~+ap
        GLOSS:	million+[fem.sg.]

 INPUT STRING:	الجمعة
     IS_TRANS:	AljmEp
        INDEX:	P4W7
      OFFSETS:	33-39
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumoEap_1]
   UNSPLITVOC:	(AljumoEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jumoE+ap
        GLOSS:	the+Friday+[fem.sg.]

 INPUT STRING:	القادمة
     IS_TRANS:	AlqAdmp
        INDEX:	P4W8
      OFFSETS:	40-47
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[AlqAdim_1]
   UNSPLITVOC:	(AlqAdimap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+qAdim+ap
        GLOSS:	the+coming+[fem.sg.]

 INPUT STRING:	أمام
     IS_TRANS:	>mAm
        INDEX:	P4W9
      OFFSETS:	48-52
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amAm_1]
   UNSPLITVOC:	(>amAm)
          POS:	NOUN
          VOC:	>amAm
        GLOSS:	front/forward

 INPUT STRING:	السفاره
     IS_TRANS:	AlsfArh
        INDEX:	P4W10
      OFFSETS:	53-60
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sifArap_1]
   UNSPLITVOC:	(Als~ifArap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+sifAr+ap
        GLOSS:	the+embassy/embassies+[fem.sg.]

 INPUT STRING:	الامريكيه
     IS_TRANS:	AlAmrykyh
        INDEX:	P4W11
      OFFSETS:	61-70
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykiy_1]
   UNSPLITVOC:	(Al>amoriykiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+>amoriykiy~+ap
        GLOSS:	the+American+[fem.sg.]

 INPUT STRING:	للمطالبة
     IS_TRANS:	llmTAlbp
        INDEX:	P4W12
      OFFSETS:	71-79
       TOKENS:	P4W12-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miTAlobap_1]
   UNSPLITVOC:	(lilmiTAlobap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+miTAlob+ap
        GLOSS:	to/for+the+requirement/demand+[fem.sg.]

 INPUT STRING:	بطرد
     IS_TRANS:	bTrd
        INDEX:	P4W13
      OFFSETS:	80-84
       TOKENS:	P4W14-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tarod_1]
   UNSPLITVOC:	(biTarod)
          POS:	PREP+NOUN
          VOC:	bi+Tarod
        GLOSS:	with/by+expulsion/dismissal/kicking out

 INPUT STRING:	السفيرة
     IS_TRANS:	Alsfyrp
        INDEX:	P4W14
      OFFSETS:	85-92
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[safiyr_1]
   UNSPLITVOC:	(Alsafiyrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+safiyr+ap
        GLOSS:	the+ambassador+[fem.sg.]

 INPUT STRING:	الامريكيه
     IS_TRANS:	AlAmrykyh
        INDEX:	P4W15
      OFFSETS:	93-102
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykiy_1]
   UNSPLITVOC:	(Al>amoriykiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+>amoriykiy~+ap
        GLOSS:	the+American+[fem.sg.]

 INPUT STRING:	بجانب
     IS_TRANS:	bjAnb
        INDEX:	P4W16
      OFFSETS:	103-108
       TOKENS:	P4W18-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAnib_1]
   UNSPLITVOC:	(bijAnib)
          POS:	PREP+NOUN
          VOC:	bi+jAnib
        GLOSS:	with/by+side/aspect/beside/sides/aspects

 INPUT STRING:	رفض
     IS_TRANS:	rfD
        INDEX:	P4W17
      OFFSETS:	109-112
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rafoD_1]
   UNSPLITVOC:	(rafoD)
          POS:	NOUN
          VOC:	rafoD
        GLOSS:	rejection/refusal

 INPUT STRING:	وجود
     IS_TRANS:	wjwd
        INDEX:	P4W18
      OFFSETS:	113-117
       TOKENS:	P4W21-P4W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wujuwd_1]
   UNSPLITVOC:	(wujuwd)
          POS:	NOUN
          VOC:	wujuwd
        GLOSS:	presence/existence

 INPUT STRING:	السفير
     IS_TRANS:	Alsfyr
        INDEX:	P4W19
      OFFSETS:	118-124
       TOKENS:	P4W22-P4W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[safiyr_1]
   UNSPLITVOC:	(Als~afiyr)
          POS:	DET+NOUN
          VOC:	Al+safiyr
        GLOSS:	the+ambassador

 INPUT STRING:	القطري
     IS_TRANS:	AlqTry
        INDEX:	P4W20
      OFFSETS:	125-131
       TOKENS:	P4W23-P4W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaTariy_1]
   UNSPLITVOC:	(AlqaTariy)
          POS:	DET+ADJ
          VOC:	Al+qaTariy
        GLOSS:	the+Qatari

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W21
      OFFSETS:	131-132
       TOKENS:	P4W24-P4W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	وأشار
     IS_TRANS:	w>$Ar
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>a$Ar_1]
   UNSPLITVOC:	(wa>a$Ara)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wa+>a$Ar+a
        GLOSS:	and+indicate/mention/cite+he/it [verb]

 INPUT STRING:	إلي
     IS_TRANS:	<ly
        INDEX:	P5W2
      OFFSETS:	6-9
