 INPUT STRING:	انتحابات
      COMMENT:	[]
        LEMMA:	[wADiH_1]
   UNSPLITVOC:	(wADoHap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	wADoH+ap
        GLOSS:	clear/obvious/visible+[fem.sg.]

 INPUT STRING:	اشوفوا
     IS_TRANS:	A$wfwA
        INDEX:	P3W1
      OFFSETS:	1-7
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$Awf_1]
   UNSPLITVOC:	($uwfuwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	$uwf+uwA
        GLOSS:	see/look+they

 INPUT STRING:	باقى
     IS_TRANS:	bAqY
        INDEX:	P3W2
      OFFSETS:	8-12
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	then

 INPUT STRING:	يامعلمين
     IS_TRANS:	yAmElmyn
        INDEX:	P3W3
      OFFSETS:	13-21
       TOKENS:	P3W3-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miEal~im_1]
   UNSPLITVOC:	(yAmiEal~imiyn)
          POS:	VOC_PART+NOUN+NSUFF_MASC_PL
          VOC:	yA+miEal~im+iyn
        GLOSS:	oh+masters+[pl.]

 INPUT STRING:	الانتخابات
     IS_TRANS:	AlAntxAbAt
        INDEX:	P3W4
      OFFSETS:	22-32
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotixAb_1]
   UNSPLITVOC:	(AlAinotixAbAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+AinotixAb+At
        GLOSS:	the+elections/selections+[fem.pl.]

 INPUT STRING:	اقربت
     IS_TRANS:	Aqrbt
        INDEX:	P3W5
      OFFSETS:	33-38
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qar~ab_1]
   UNSPLITVOC:	(qar~abit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	qar~ab+it
        GLOSS:	be closer+it/they/she

 INPUT STRING:	واحنا
     IS_TRANS:	wAHnA
        INDEX:	P3W6
      OFFSETS:	39-44
       TOKENS:	P3W7-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iHonA_1]
   UNSPLITVOC:	(wi<iHonA)
          POS:	CONJ+PRON_1P
          VOC:	wi+<iHonA
        GLOSS:	and+we

 INPUT STRING:	عايزين
     IS_TRANS:	EAyzyn
        INDEX:	P3W7
      OFFSETS:	45-51
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyoziyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EAyoz+iyn
        GLOSS:	in need/wanting/requiring+[pl.]

 INPUT STRING:	نشوف
     IS_TRANS:	n$wf
        INDEX:	P3W8
      OFFSETS:	52-56
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(ni$uwf)
          POS:	IV1P+IV
          VOC:	ni+$uwf
        GLOSS:	we+look

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P3W9
      OFFSETS:	57-60
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(miyn)
          POS:	REL_PRON
          VOC:	miyn
        GLOSS:	who/which

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P3W10
      OFFSETS:	61-64
       TOKENS:	P3W12-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness/earnestness

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P3W11
      OFFSETS:	65-67
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	نوين
     IS_TRANS:	nwyn
        INDEX:	P3W12
      OFFSETS:	68-72
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nAwiy_1]
   UNSPLITVOC:	(nAwiyiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	nAwiy+iyn
        GLOSS:	intending+[pl.]

 INPUT STRING:	الحال
     IS_TRANS:	AlHAl
        INDEX:	P3W13
      OFFSETS:	73-78
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(AlHAl)
          POS:	DET+NOUN
          VOC:	Al+HAl
        GLOSS:	the+situation/condition/case/situations/conditions/cases

 INPUT STRING:	ينعدل
     IS_TRANS:	ynEdl
        INDEX:	P3W14
      OFFSETS:	79-84
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AinEadal_1]
   UNSPLITVOC:	(yinEidil)
          POS:	IV3MS+IV_PASS
          VOC:	yi+nEidil
        GLOSS:	he/it+be better

 INPUT STRING:	عايزين
     IS_TRANS:	EAyzyn
        INDEX:	P4W1
      OFFSETS:	1-7
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyoziyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EAyoz+iyn
        GLOSS:	in need/wanting/requiring+[pl.]

 INPUT STRING:	نشوف
     IS_TRANS:	n$wf
        INDEX:	P4W2
      OFFSETS:	8-12
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(ni$uwf)
          POS:	IV1P+IV
          VOC:	ni+$uwf
        GLOSS:	we+look

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P4W3
      OFFSETS:	13-16
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	REL_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	المواصفات
     IS_TRANS:	AlmwASfAt
        INDEX:	P4W4
      OFFSETS:	17-26
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwASafAt_1]
   UNSPLITVOC:	(AlmuwASafAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+muwASaf+At
        GLOSS:	the+properties/characteristics+[fem.pl.]

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P4W5
      OFFSETS:	27-31
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	يجب
     IS_TRANS:	yjb
        INDEX:	P4W6
      OFFSETS:	32-35
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajab_1]
   UNSPLITVOC:	(yajib)
          POS:	IV3MS+IV
          VOC:	ya+jib
        GLOSS:	he/it+be necessary/be incumbent

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P4W7
      OFFSETS:	36-38
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	تكون
     IS_TRANS:	tkwn
        INDEX:	P4W8
      OFFSETS:	39-43
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwn)
          POS:	IV2MS+IV
          VOC:	ti+kuwn
        GLOSS:	you+be

 INPUT STRING:	متوافره
     IS_TRANS:	mtwAfrh
        INDEX:	P4W9
      OFFSETS:	44-51
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutawAfir_1]
   UNSPLITVOC:	(mutawAfirap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mutawAfir+ap
        GLOSS:	available/abundant+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P4W10
      OFFSETS:	52-54
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	المرشحين
     IS_TRANS:	Almr$Hyn
        INDEX:	P4W11
      OFFSETS:	55-63
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mura$~aH_1]
   UNSPLITVOC:	(Almura$~aHiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+mura$~aH+iyn
        GLOSS:	the+candidate/nominee+[pl.]

 INPUT STRING:	ودورنا
     IS_TRANS:	wdwrnA
        INDEX:	P5W1
      OFFSETS:	1-7
       TOKENS:	P5W1-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[duwr_1]
   UNSPLITVOC:	(widuwrnA)
          POS:	CONJ+NOUN+POSS_PRON_1P
          VOC:	wi+duwr+nA
        GLOSS:	and+role/part/roles/parts+our

 INPUT STRING:	هيكون
     IS_TRANS:	hykwn
        INDEX:	P5W2
      OFFSETS:	8-13
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(Hayikuwn)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+kuwn
        GLOSS:	will+he/it+be

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P5W3
      OFFSETS:	14-17
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P5W4
      OFFSETS:	18-20
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P5W5
      OFFSETS:	21-24
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha*ihi_1]
   UNSPLITVOC:	(ha*ihi)
          POS:	DEM_PRON_F
          VOC:	ha*ihi
        GLOSS:	this/these

 INPUT STRING:	الانتخابات
     IS_TRANS:	AlAntxAbAt
        INDEX:	P5W6
      OFFSETS:	25-35
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotixAb_1]
   UNSPLITVOC:	(AlAinotixAbAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+AinotixAb+At
        GLOSS:	the+elections/selections+[fem.pl.]

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P6W1
      OFFSETS:	1-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P6W2
      OFFSETS:	4-8
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	هنسبها
     IS_TRANS:	hnsbhA
        INDEX:	P6W3
      OFFSETS:	9-15
       TOKENS:	P6W3-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(hanisiybhA)
          POS:	FUT_PART+IV1P+IV+IVSUFF_DO:3FS
          VOC:	ha+ni+siyb+hA
        GLOSS:	will+we+leave+it/her/them

 INPUT STRING:	لاصحاب
     IS_TRANS:	lASHAb
        INDEX:	P6W4
      OFFSETS:	16-22
       TOKENS:	P6W6-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHib_1]
   UNSPLITVOC:	(li>aSoHAb)
          POS:	PREP+NOUN
          VOC:	li+>aSoHAb
        GLOSS:	for/to+friend/companion/friends/companions

 INPUT STRING:	الاعمال
     IS_TRANS:	AlAEmAl
        INDEX:	P6W5
      OFFSETS:	23-30
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Al>aEomAl)
          POS:	DET+NOUN
          VOC:	Al+>aEomAl
        GLOSS:	the+business

 INPUT STRING:	والنفوذ
     IS_TRANS:	wAlnfw*
        INDEX:	P6W6
      OFFSETS:	31-38
       TOKENS:	P6W9-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifuw*_1]
   UNSPLITVOC:	(wiAlnifuw*)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+nifuw*
        GLOSS:	and+the+fluence/effect

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P6W7
      OFFSETS:	40-43
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	هنديها
     IS_TRANS:	hndyhA
        INDEX:	P6W8
      OFFSETS:	44-50
       TOKENS:	P6W12-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aid~aY_1]
   UNSPLITVOC:	(Hanid~iyhA)
          POS:	FUT_PART+IV1P+IV+IVSUFF_DO:3FS
          VOC:	Ha+ni+d~iy+hA
        GLOSS:	will+we+give+it/them/her

 INPUT STRING:	لناس
     IS_TRANS:	lnAs
        INDEX:	P6W9
      OFFSETS:	51-55
       TOKENS:	P6W15-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(linAs)
          POS:	PREP+NOUN
          VOC:	li+nAs
        GLOSS:	for/to+people

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P6W10
      OFFSETS:	56-59
       TOKENS:	P6W17-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness/earnestness

 INPUT STRING:	بتحب
     IS_TRANS:	btHb
        INDEX:	P6W11
      OFFSETS:	60-64
       TOKENS:	P6W19-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(bitiHib~)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+Hib~
        GLOSS:	[present-tense]+it/they/she+love/like

 INPUT STRING:	بلدها
     IS_TRANS:	bldhA
        INDEX:	P6W12
      OFFSETS:	65-70
       TOKENS:	P6W21-P6W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(baladhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	balad+hA
        GLOSS:	country/country/countries+its/their/her

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P7W1
      OFFSETS:	1-4
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	العموم
     IS_TRANS:	AlEmwm
        INDEX:	P7W2
      OFFSETS:	5-11
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumuwm_1]
   UNSPLITVOC:	(AlEumuwm)
          POS:	DET+NOUN
          VOC:	Al+Eumuwm
        GLOSS:	the+in general/generally

 INPUT STRING:	انتم
     IS_TRANS:	Antm
        INDEX:	P7W3
      OFFSETS:	12-16
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotum_1]
   UNSPLITVOC:	(Ainotum)
          POS:	PRON_2P
          VOC:	Ainotum
        GLOSS:	you

 INPUT STRING:	عارفين
     IS_TRANS:	EArfyn
        INDEX:	P7W4
      OFFSETS:	17-23
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EArof+iyn
        GLOSS:	knowing/having knowledge of+[pl.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P7W5
      OFFSETS:	24-26
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الكوسه
     IS_TRANS:	Alkwsh
        INDEX:	P7W6
      OFFSETS:	27-33
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuwsAyap_1]
   UNSPLITVOC:	(Alkawsap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+kaws+ap
        GLOSS:	the+squash+[fem.sg.]

 INPUT STRING:	غليت
     IS_TRANS:	glyt
        INDEX:	P7W7
      OFFSETS:	34-38
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[giliy_1]
