 INPUT STRING:	مصطفى
          VOC:	Al+HAliy
        GLOSS:	the+present/current

 INPUT STRING:	والذى
     IS_TRANS:	wAl*Y
        INDEX:	P1W7
      OFFSETS:	33-38
       TOKENS:	P1W7-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(wiAl~a*iy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Al~a*iy
        GLOSS:	and+who

 INPUT STRING:	يهاجم
     IS_TRANS:	yhAjm
        INDEX:	P1W8
      OFFSETS:	39-44
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hAjim_1]
   UNSPLITVOC:	(yihAjim)
          POS:	IV3MS+IV
          VOC:	yi+hAjim
        GLOSS:	he/it+attack

 INPUT STRING:	الآن
     IS_TRANS:	Al|n
        INDEX:	P1W9
      OFFSETS:	45-49
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|an_1]
   UNSPLITVOC:	(Al|an)
          POS:	DET+NOUN
          VOC:	Al+|an
        GLOSS:	the+now

 INPUT STRING:	شباب
     IS_TRANS:	$bAb
        INDEX:	P1W10
      OFFSETS:	50-54
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	($abAb)
          POS:	NOUN
          VOC:	$abAb
        GLOSS:	young man/young men

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P1W11
      OFFSETS:	55-61
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	ويتهمهم
     IS_TRANS:	wythmhm
        INDEX:	P1W12
      OFFSETS:	62-69
       TOKENS:	P1W13-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~aham_1]
   UNSPLITVOC:	(wiyit~ihimhum)
          POS:	CONJ+IV3MS+IV+IVSUFF_DO:3P
          VOC:	wi+yi+t~ihim+hum
        GLOSS:	and+he/it+accuse+them

 INPUT STRING:	بالخيانة
     IS_TRANS:	bAlxyAnp
        INDEX:	P1W13
      OFFSETS:	70-78
       TOKENS:	P1W16-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xiyAnap_1]
   UNSPLITVOC:	(biAlxiyAnap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+xiyAn+ap
        GLOSS:	with/by+the+treason/betrayal+[fem.sg.]

 INPUT STRING:	وبتلقى
     IS_TRANS:	wbtlqY
        INDEX:	P1W14
      OFFSETS:	79-85
       TOKENS:	P1W18-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[talaq~iy_1]
   UNSPLITVOC:	(wibitalaq~iy)
          POS:	CONJ+PREP+NOUN
          VOC:	wi+bi+talaq~iy
        GLOSS:	and+with/by+receiving/receipt/acquisition

 INPUT STRING:	الأموال
     IS_TRANS:	Al>mwAl
        INDEX:	P1W15
      OFFSETS:	86-93
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAl_1]
   UNSPLITVOC:	(AlAmowAl)
          POS:	DET+NOUN
          VOC:	Al+AmowAl
        GLOSS:	the+money/capital/funds/assets/capital/funds

 INPUT STRING:	والدعم
     IS_TRANS:	wAldEm
        INDEX:	P1W16
      OFFSETS:	94-100
       TOKENS:	P1W22-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEom_1]
   UNSPLITVOC:	(wiAldaEom)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+daEom
        GLOSS:	and+the+support/assistance/endorsement

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W17
      OFFSETS:	101-103
       TOKENS:	P1W24-P1W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الخارج
     IS_TRANS:	AlxArj
        INDEX:	P1W18
      OFFSETS:	104-110
       TOKENS:	P1W25-P1W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xArij_1]
   UNSPLITVOC:	(AlxArij)
          POS:	DET+NOUN
          VOC:	Al+xArij
        GLOSS:	the+outside/outer part/overseas/exterior

 INPUT STRING:	والذى
     IS_TRANS:	wAl*Y
        INDEX:	P1W19
      OFFSETS:	111-116
       TOKENS:	P1W26-P1W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(wiAl~a*iy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Al~a*iy
        GLOSS:	and+who

 INPUT STRING:	هاجم
     IS_TRANS:	hAjm
        INDEX:	P1W20
      OFFSETS:	117-121
       TOKENS:	P1W28-P1W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hAjim_1]
   UNSPLITVOC:	(hAjim)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	hAjim+(null)
        GLOSS:	attack+he/it

 INPUT STRING:	البرادعى
     IS_TRANS:	AlbrAdEY
        INDEX:	P1W21
      OFFSETS:	122-130
       TOKENS:	P1W29-P1W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[barAdiEiy~_2]
   UNSPLITVOC:	(AlbarAdiEiy~)
          POS:	DET+NOUN_PROP
          VOC:	Al+barAdiEiy~
        GLOSS:	the+Baradei

 INPUT STRING:	تحت
     IS_TRANS:	tHt
        INDEX:	P1W22
      OFFSETS:	131-134
       TOKENS:	P1W30-P1W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHot_1]
   UNSPLITVOC:	(taHot)
          POS:	NOUN
          VOC:	taHot
        GLOSS:	under

 INPUT STRING:	قبة
     IS_TRANS:	qbp
        INDEX:	P1W23
      OFFSETS:	135-138
       TOKENS:	P1W31-P1W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qub~ap_1]
   UNSPLITVOC:	(qub~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qub~+ap
        GLOSS:	dome/cupola/domes/cupolas+[fem.sg.]

 INPUT STRING:	البرلمان
     IS_TRANS:	AlbrlmAn
        INDEX:	P1W24
      OFFSETS:	139-147
       TOKENS:	P1W32-P1W32
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barolamAn_1]
   UNSPLITVOC:	(AlbarolamAn)
          POS:	DET+NOUN
          VOC:	Al+barolamAn
        GLOSS:	the+parliament

 INPUT STRING:	ووصفه
     IS_TRANS:	wwSfh
        INDEX:	P1W25
      OFFSETS:	148-153
       TOKENS:	P1W33-P1W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waSaf_1]
   UNSPLITVOC:	(wiwaSafuh)
          POS:	SUB_CONJ+PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3MS
          VOC:	wi+waSaf+(null)+uh
        GLOSS:	while+describe/characterize/prescribe/give a prescription to/be described/be characterized+he/it+it/him

 INPUT STRING:	بالعميل
     IS_TRANS:	bAlEmyl
        INDEX:	P1W26
      OFFSETS:	154-161
       TOKENS:	P1W36-P1W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamiyl_1]
   UNSPLITVOC:	(biAlEamiyl)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+Eamiyl
        GLOSS:	with/by+the+agent/agents

 INPUT STRING:	والذى
     IS_TRANS:	wAl*Y
        INDEX:	P1W27
      OFFSETS:	162-167
       TOKENS:	P1W38-P1W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(waAl~a*iy)
          POS:	CONJ+REL_PRON
          VOC:	wa+Al~a*iy
        GLOSS:	and+who

 INPUT STRING:	دافع
     IS_TRANS:	dAfE
        INDEX:	P1W28
      OFFSETS:	168-172
       TOKENS:	P1W40-P1W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAfiE_1]
   UNSPLITVOC:	(dAfiE)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	dAfiE+(null)
        GLOSS:	defend+he/it

 INPUT STRING:	ويدافع
     IS_TRANS:	wydAfE
        INDEX:	P1W29
      OFFSETS:	173-179
       TOKENS:	P1W41-P1W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAfiE_1]
   UNSPLITVOC:	(wiyidAfiE)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+dAfiE
        GLOSS:	and+he/it+defend

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P1W30
      OFFSETS:	180-182
       TOKENS:	P1W43-P1W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P1W31
      OFFSETS:	183-189
       TOKENS:	P1W44-P1W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	العسكرى
     IS_TRANS:	AlEskrY
        INDEX:	P1W32
      OFFSETS:	190-197
       TOKENS:	P1W45-P1W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+military/army

 INPUT STRING:	بكل
     IS_TRANS:	bkl
        INDEX:	P1W33
      OFFSETS:	198-201
       TOKENS:	P1W46-P1W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(bikul~)
          POS:	PREP+NOUN_QUANT
          VOC:	bi+kul~
        GLOSS:	with/by+all, entire, every, whole

 INPUT STRING:	إستماتة
     IS_TRANS:	<stmAtp
        INDEX:	P1W34
      OFFSETS:	202-209
       TOKENS:	P1W48-P1W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotimAtap_1]
   UNSPLITVOC:	(AisotimAtap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	AisotimAt+ap
        GLOSS:	defiance of death/desperate effort+[fem.sg.]

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P1W35
      OFFSETS:	210-213
       TOKENS:	P1W49-P1W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this

 INPUT STRING:	البكرى
     IS_TRANS:	AlbkrY
        INDEX:	P1W36
      OFFSETS:	214-220
       TOKENS:	P1W50-P1W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bakoriy_1]
   UNSPLITVOC:	(Albakoriy)
          POS:	DET+NOUN_PROP
          VOC:	Al+bakoriy
        GLOSS:	the+Bakri

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P1W37
      OFFSETS:	221-223
       TOKENS:	P1W51-P1W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	صورة
     IS_TRANS:	Swrp
        INDEX:	P1W38
      OFFSETS:	224-228
       TOKENS:	P1W52-P1W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Suwr+ap
        GLOSS:	picture/image/illustration/photo/pictures/photographs/illustrations/photos+[fem.sg.]

 INPUT STRING:	أخرى
     IS_TRANS:	>xrY
        INDEX:	P1W39
      OFFSETS:	229-233
       TOKENS:	P1W53-P1W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>uxoraY_1]
   UNSPLITVOC:	(>uxoraY)
          POS:	ADJ
          VOC:	>uxoraY
        GLOSS:	other/another/additional

 INPUT STRING:	لتوفيق
     IS_TRANS:	ltwfyq
        INDEX:	P1W40
      OFFSETS:	234-240
       TOKENS:	P1W54-P1W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawfiyq_1]
   UNSPLITVOC:	(litawfiyq)
          POS:	PREP+NOUN_PROP
          VOC:	li+tawfiyq
        GLOSS:	for/to+Tawfiyq

 INPUT STRING:	عكاشة
     IS_TRANS:	EkA$p
        INDEX:	P1W41
      OFFSETS:	241-246
       TOKENS:	P1W56-P1W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EkA$ap_1]
   UNSPLITVOC:	(EkA$ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	EkA$+ap
        GLOSS:	Akasha+[fem.sg.]

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P1W42
      OFFSETS:	247-251
       TOKENS:	P1W57-P1W58
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(wilakin)
          POS:	CONJ+CONJ
          VOC:	wi+lakin
        GLOSS:	and+but

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P1W43
      OFFSETS:	252-255
       TOKENS:	P1W59-P1W59
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	طريقة
     IS_TRANS:	Tryqp
        INDEX:	P1W44
      OFFSETS:	256-261
       TOKENS:	P1W60-P1W60
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyqap_1]
   UNSPLITVOC:	(Tariyqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Tariyq+ap
        GLOSS:	method/procedure/methods/manners+[fem.sg.]

 INPUT STRING:	أكثر
     IS_TRANS:	>kvr
        INDEX:	P1W45
      OFFSETS:	262-266
       TOKENS:	P1W61-P1W61
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akovar_2]
   UNSPLITVOC:	(>akovar)
          POS:	ADJ_COMP
          VOC:	>akovar
        GLOSS:	more, most, majority

 INPUT STRING:	إحتراما
     IS_TRANS:	<HtrAmA
        INDEX:	P1W46
      OFFSETS:	267-274
       TOKENS:	P1W62-P1W62
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iHtirAm_1]
   UNSPLITVOC:	(<iHtirAmAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	<iHtirAm+AF
        GLOSS:	respect+[acc.indef.]

 INPUT STRING:	ووقارا
     IS_TRANS:	wwqArA
        INDEX:	P1W47
      OFFSETS:	275-281
       TOKENS:	P1W63-P1W64
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waqAr_1]
   UNSPLITVOC:	(wawaqArAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wa+waqAr+AF
        GLOSS:	and+dignity+[acc.indef.]

 INPUT STRING:	فهو
     IS_TRANS:	fhw
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(fahuw~a)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	fa+huw~a
        GLOSS:	because/therefore/as a result+Gloss:TBA

 INPUT STRING:	مطبلاتى
     IS_TRANS:	mTblAtY
        INDEX:	P2W2
      OFFSETS:	4-11
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miTab~ilAtiy_1]
   UNSPLITVOC:	(miTab~ilAtiy)
          POS:	NOUN
          VOC:	miTab~ilAtiy
        GLOSS:	drummer

 INPUT STRING:	لكل
     IS_TRANS:	lkl
        INDEX:	P2W3
      OFFSETS:	12-15
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(likul~)
          POS:	PREP+NOUN_QUANT
          VOC:	li+kul~
        GLOSS:	for/to+all, entire, every, whole

 INPUT STRING:	العصور
     IS_TRANS:	AlESwr
        INDEX:	P2W4
      OFFSETS:	16-22
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaSor_1]
   UNSPLITVOC:	(AlEuSuwr)
          POS:	DET+NOUN
          VOC:	Al+EuSuwr
        GLOSS:	the+ages/periods/epochs

 INPUT STRING:	واجهته
     IS_TRANS:	wAjhth
        INDEX:	P2W5
      OFFSETS:	23-29
       TOKENS:	P2W7-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wAjih_1]
   UNSPLITVOC:	(wAjihtuh)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3MS
          VOC:	wAjih+t+uh
        GLOSS:	face+she/it+it/him

 INPUT STRING:	حركة
     IS_TRANS:	Hrkp
        INDEX:	P2W6
      OFFSETS:	30-34
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harakap_1]
   UNSPLITVOC:	(Harakap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Harak+ap
        GLOSS:	movement/activity/organization+[fem.sg.]

 INPUT STRING:	6
     IS_TRANS:	6
        INDEX:	P2W7
      OFFSETS:	35-36
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(6)
          POS:	NOUN_NUM
          VOC:	6
        GLOSS:	6

 INPUT STRING:	إبريل
     IS_TRANS:	<bryl
        INDEX:	P2W8
      OFFSETS:	37-42
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aboriyl_1]
   UNSPLITVOC:	(>aboriyl)
          POS:	NOUN
          VOC:	>aboriyl
        GLOSS:	April

 INPUT STRING:	بهذه
     IS_TRANS:	bh*h
        INDEX:	P2W9
      OFFSETS:	43-47
       TOKENS:	P2W12-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*ihi_1]
   UNSPLITVOC:	(bih`*ihi)
          POS:	PREP+DEM_PRON_F
          VOC:	bi+h`*ihi
        GLOSS:	with/by+this/these

 INPUT STRING:	الحقائق
     IS_TRANS:	AlHqA}q
        INDEX:	P2W10
      OFFSETS:	48-55
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyqap_1]
   UNSPLITVOC:	(AlHaqA}iq)
          POS:	DET+NOUN
          VOC:	Al+HaqA}iq
        GLOSS:	the+truth/facts

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P2W11
      OFFSETS:	56-60
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which

 INPUT STRING:	لايمكن
     IS_TRANS:	lAymkn
        INDEX:	P2W12
      OFFSETS:	61-67
       TOKENS:	P2W16-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amkan_1]
   UNSPLITVOC:	(lAyumokin)
          POS:	NEG_PART+IV3MS+IV
          VOC:	lA+yu+mokin
        GLOSS:	not+he/it+be possible

 INPUT STRING:	إنكارها
     IS_TRANS:	<nkArhA
        INDEX:	P2W13
      OFFSETS:	68-75
       TOKENS:	P2W18-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<inkAr_1]
   UNSPLITVOC:	(<inkArhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	<inkAr+hA
        GLOSS:	denying+its/their/her

 INPUT STRING:	فعرضت
     IS_TRANS:	fErDt
        INDEX:	P2W14
      OFFSETS:	76-81
       TOKENS:	P2W20-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaraD_1]
   UNSPLITVOC:	(faEaraDit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	fa+EaraD+it
        GLOSS:	so/and+Gloss:TBA+she/it

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P2W15
      OFFSETS:	82-84
       TOKENS:	P2W22-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to+he/it

 INPUT STRING:	مقالا
     IS_TRANS:	mqAlA
        INDEX:	P2W16
      OFFSETS:	85-90
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
