 INPUT STRING:	سؤال
   UNSPLITVOC:	(AlmunotadaY)
          POS:	DET+NOUN
          VOC:	Al+munotadaY
        GLOSS:	the+conference/fair/assembly

 INPUT STRING:	الحبيب
     IS_TRANS:	AlHbyb
        INDEX:	P3W5
      OFFSETS:	28-34
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Habiyb_1]
   UNSPLITVOC:	(AlHabiyb)
          POS:	DET+ADJ
          VOC:	Al+Habiyb
        GLOSS:	the+dear/beloved/sweetheart

 INPUT STRING:	بصراحه
     IS_TRANS:	bSrAHh
        INDEX:	P4W1
      OFFSETS:	1-7
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(biSarAHap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+SarAH+ap
        GLOSS:	with/by+sincerity/candor/frankness/explicitly/openly+[fem.sg.]

 INPUT STRING:	الايام
     IS_TRANS:	AlAyAm
        INDEX:	P4W2
      OFFSETS:	8-14
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(AlAiy~Am)
          POS:	DET+NOUN
          VOC:	Al+Aiy~Am
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P4W3
      OFFSETS:	15-19
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	فاتت
     IS_TRANS:	fAtt
        INDEX:	P4W4
      OFFSETS:	20-24
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAt_1]
   UNSPLITVOC:	(fAtit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	fAt+it
        GLOSS:	expire/go by+it/they/she

 INPUT STRING:	وعموما
     IS_TRANS:	wEmwmA
        INDEX:	P4W5
      OFFSETS:	25-31
       TOKENS:	P4W6-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumuwm_1]
   UNSPLITVOC:	(wiEumuwmAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wi+Eumuwm+AF
        GLOSS:	and+in general/generally+[acc.indef.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P4W6
      OFFSETS:	32-34
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	عاده
     IS_TRANS:	EAdh
        INDEX:	P4W7
      OFFSETS:	35-39
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdap_1]
   UNSPLITVOC:	(EAdapF)
          POS:	NOUN+NSUFF_FEM_SG+CASE_INDEF_ACC
          VOC:	EAd+ap+F
        GLOSS:	habit/custom/practice/customs/practices/habits/usually/typically/generally+[fem.sg.]+[indef.acc.]

 INPUT STRING:	عندي
     IS_TRANS:	Endy
        INDEX:	P4W8
      OFFSETS:	40-44
       TOKENS:	P4W10-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eanod+iy
        GLOSS:	with+my

 INPUT STRING:	بدقق
     IS_TRANS:	bdqq
        INDEX:	P4W9
      OFFSETS:	45-49
       TOKENS:	P4W12-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daq~aq_1]
   UNSPLITVOC:	(b>adaq~aq)
          POS:	PROG_PART+IV1S+IV
          VOC:	b+>a+daq~aq
        GLOSS:	[present-tense]+I+be precise

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P4W10
      OFFSETS:	50-52
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P4W11
      OFFSETS:	53-55
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P4W12
      OFFSETS:	56-60
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	تقريبا
     IS_TRANS:	tqrybA
        INDEX:	P4W13
      OFFSETS:	61-67
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taqoriyb_1]
   UNSPLITVOC:	(taqoriybAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	taqoriyb+AF
        GLOSS:	approximation/bringing close/drawing near+[acc.indef.]

 INPUT STRING:	عني
     IS_TRANS:	Eny
        INDEX:	P5W1
      OFFSETS:	1-4
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean~iy)
          POS:	PREP+PRON_1S
          VOC:	Ean~+iy
        GLOSS:	(away) from, off, about, on, over+gloss

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P5W2
      OFFSETS:	5-7
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بشوف
     IS_TRANS:	b$wf
        INDEX:	P5W3
      OFFSETS:	8-12
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(bAa$uwf)
          POS:	PROG_PART+IV1S+IV
          VOC:	b+Aa+$uwf
        GLOSS:	[present-tense]+I+look

 INPUT STRING:	الحاجه
     IS_TRANS:	AlHAjh
        INDEX:	P5W4
      OFFSETS:	13-19
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(AlHAjap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+HAj+ap
        GLOSS:	the+thing/belongings+[fem.sg.]

 INPUT STRING:	وتعدي
     IS_TRANS:	wtEdy
        INDEX:	P5W5
      OFFSETS:	20-25
       TOKENS:	P5W7-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ead~aY_1]
   UNSPLITVOC:	(witiEad~iy)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+Ead~iy
        GLOSS:	and+it/they/she+traverse/cross/be traversed/be crossed

 INPUT STRING:	عليا
     IS_TRANS:	ElyA
        INDEX:	P5W6
      OFFSETS:	26-30
       TOKENS:	P5W9-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealay~A)
          POS:	PREP+PRON_1S
          VOC:	Ealay~+A
        GLOSS:	on+I

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P5W7
      OFFSETS:	31-34
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	ADV
          VOC:	kidah
        GLOSS:	this way

 INPUT STRING:	واخد
     IS_TRANS:	wAxd
        INDEX:	P5W8
      OFFSETS:	35-39
       TOKENS:	P5W12-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(wiAaxud)
          POS:	CONJ+IV1S+IV
          VOC:	wi+Aa+xud
        GLOSS:	and+I+take

 INPUT STRING:	رد
     IS_TRANS:	rd
        INDEX:	P5W9
      OFFSETS:	40-42
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(rad~)
          POS:	NOUN
          VOC:	rad~
        GLOSS:	reply/response

 INPUT STRING:	فعل
     IS_TRANS:	fEl
        INDEX:	P5W10
      OFFSETS:	43-46
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEol)
          POS:	NOUN
          VOC:	fiEol
        GLOSS:	doing/act/action

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P5W11
      OFFSETS:	47-49
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P5W12
      OFFSETS:	50-54
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	ادقق
     IS_TRANS:	Adqq
        INDEX:	P5W13
      OFFSETS:	55-59
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daq~aq_1]
   UNSPLITVOC:	(>adaq~aq)
          POS:	IV1S+IV
          VOC:	>a+daq~aq
        GLOSS:	I+be precise

 INPUT STRING:	وافصص
     IS_TRANS:	wAfSS
        INDEX:	P5W14
      OFFSETS:	60-65
       TOKENS:	P5W19-P5W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faS~aS_1]
   UNSPLITVOC:	(wi>afaS~aS)
          POS:	CONJ+IV1S+IV
          VOC:	wi+>a+faS~aS
        GLOSS:	and+I+go into details

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P5W15
      OFFSETS:	66-70
       TOKENS:	P5W21-P5W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+she

 INPUT STRING:	لحد
     IS_TRANS:	lHd
        INDEX:	P5W16
      OFFSETS:	71-74
       TOKENS:	P5W23-P5W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(liHad~)
          POS:	PREP+NOUN
          VOC:	li+Had~
        GLOSS:	for/to+extent/limit/level

 INPUT STRING:	ماعرف
     IS_TRANS:	mAErf
        INDEX:	P5W17
      OFFSETS:	75-80
       TOKENS:	P5W25-P5W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(mAAaEoraf)
          POS:	SUB_CONJ+IV1S+IV
          VOC:	mA+Aa+Eoraf
        GLOSS:	not+I+know/be known

 INPUT STRING:	هيا
     IS_TRANS:	hyA
        INDEX:	P5W18
      OFFSETS:	81-84
       TOKENS:	P5W27-P5W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she

 INPUT STRING:	رايحه
     IS_TRANS:	rAyHh
        INDEX:	P5W19
      OFFSETS:	85-90
       TOKENS:	P5W28-P5W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAyiH_1]
   UNSPLITVOC:	(rAyoHap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	rAyoH+ap
        GLOSS:	going+[fem.sg.]

 INPUT STRING:	فين
     IS_TRANS:	fyn
        INDEX:	P5W20
      OFFSETS:	91-94
       TOKENS:	P5W29-P5W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fayon_1]
   UNSPLITVOC:	(fayon)
          POS:	INTERROG_ADV
          VOC:	fayon
        GLOSS:	where

 INPUT STRING:	وجايه
     IS_TRANS:	wjAyh
        INDEX:	P5W21
      OFFSETS:	95-100
       TOKENS:	P5W30-P5W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAy~_1]
   UNSPLITVOC:	(wijAy~ap)
          POS:	CONJ+ADJ+NSUFF_FEM_SG
          VOC:	wi+jAy~+ap
        GLOSS:	and+coming+[fem.sg.]

 INPUT STRING:	منين
     IS_TRANS:	mnyn
        INDEX:	P5W22
      OFFSETS:	101-105
       TOKENS:	P5W32-P5W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[minayon_1]
   UNSPLITVOC:	(minayon)
          POS:	INTERROG_ADV
          VOC:	minayon
        GLOSS:	from where

 INPUT STRING:	وجايز
     IS_TRANS:	wjAyz
        INDEX:	P5W23
      OFFSETS:	106-111
       TOKENS:	P5W33-P5W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAyiz_1]
   UNSPLITVOC:	(wijAyiz)
          POS:	CONJ+ADJ
          VOC:	wi+jAyiz
        GLOSS:	and+possible

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P5W24
      OFFSETS:	112-114
       TOKENS:	P5W35-P5W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P5W25
      OFFSETS:	115-119
       TOKENS:	P5W36-P5W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P5W26
      OFFSETS:	120-122
       TOKENS:	P5W37-P5W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	correct

 INPUT STRING:	وجايز
     IS_TRANS:	wjAyz
        INDEX:	P5W27
      OFFSETS:	123-128
       TOKENS:	P5W38-P5W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAyiz_1]
   UNSPLITVOC:	(wijAyiz)
          POS:	CONJ+ADJ
          VOC:	wi+jAyiz
        GLOSS:	and+possible

 INPUT STRING:	غلط
     IS_TRANS:	glT
        INDEX:	P5W28
      OFFSETS:	129-132
       TOKENS:	P5W40-P5W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galaT_1]
   UNSPLITVOC:	(galaT)
          POS:	NOUN
          VOC:	galaT
        GLOSS:	error/blunder/mistakes/blunders

 INPUT STRING:	المهم
     IS_TRANS:	Almhm
        INDEX:	P6W1
      OFFSETS:	1-6
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muhim~_1]
   UNSPLITVOC:	(Almuhim~)
          POS:	DET+ADJ
          VOC:	Al+muhim~
        GLOSS:	the+important/serious

 INPUT STRING:	عندي
     IS_TRANS:	Endy
        INDEX:	P6W2
      OFFSETS:	7-11
       TOKENS:	P6W2-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eanod+iy
        GLOSS:	have+my

 INPUT STRING:	كذا
     IS_TRANS:	k*A
        INDEX:	P6W3
      OFFSETS:	12-15
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ka*A_1]
   UNSPLITVOC:	(ka*A)
          POS:	ADJ
          VOC:	ka*A
        GLOSS:	many

 INPUT STRING:	سؤال
     IS_TRANS:	s&Al
        INDEX:	P6W4
      OFFSETS:	16-20
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(su&Al)
          POS:	NOUN
          VOC:	su&Al
        GLOSS:	question/inquiry

 INPUT STRING:	عايزه
     IS_TRANS:	EAyzh
        INDEX:	P6W5
      OFFSETS:	21-26
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	wanting+[fem.sg.]

 INPUT STRING:	نتناقش
     IS_TRANS:	ntnAq$
        INDEX:	P6W6
      OFFSETS:	27-33
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nAqi$_1]
   UNSPLITVOC:	(nitnAqi$)
          POS:	IV1P+IV
          VOC:	ni+tnAqi$
        GLOSS:	we+discuss

 INPUT STRING:	فيهم
     IS_TRANS:	fyhm
        INDEX:	P6W7
      OFFSETS:	34-38
       TOKENS:	P6W8-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhum)
          POS:	PREP+PRON_3P
          VOC:	fiy+hum
        GLOSS:	in+they

 INPUT STRING:	بالراحه
     IS_TRANS:	bAlrAHh
        INDEX:	P6W8
      OFFSETS:	39-46
       TOKENS:	P6W10-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAHap_1]
   UNSPLITVOC:	(biAlr~AHap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+rAH+ap
        GLOSS:	with/by+the+rest/repose/leisure+[fem.sg.]

 INPUT STRING:	وبموضوعيه
     IS_TRANS:	wbmwDwEyh
        INDEX:	P6W9
      OFFSETS:	47-56
       TOKENS:	P6W12-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mawoDuwEiy~ap_1]
   UNSPLITVOC:	(wabimawoDuwEiy~ap)
          POS:	CONJ+PREP+NOUN+NSUFF_FEM_SG
          VOC:	wa+bi+mawoDuwEiy~+ap
        GLOSS:	and+with/by+objectivity+[fem.sg.]

 INPUT STRING:	كعاده
     IS_TRANS:	kEAdh
        INDEX:	P6W10
      OFFSETS:	57-62
