 INPUT STRING:	نقلاً
          POS:	NOUN_PROP
          VOC:	qamar
        GLOSS:	Qamar

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W22
      OFFSETS:	112-113
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	جمال
     IS_TRANS:	jmAl
        INDEX:	P2W23
      OFFSETS:	114-118
       TOKENS:	P2W25-P2W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAl_1]
   UNSPLITVOC:	(jamAl)
          POS:	NOUN_PROP
          VOC:	jamAl
        GLOSS:	Gamal

 INPUT STRING:	عمر
     IS_TRANS:	Emr
        INDEX:	P2W24
      OFFSETS:	119-122
       TOKENS:	P2W26-P2W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumar_1]
   UNSPLITVOC:	(Eumar)
          POS:	NOUN_PROP
          VOC:	Eumar
        GLOSS:	Omar

 INPUT STRING:	الصديق
     IS_TRANS:	AlSdyq
        INDEX:	P2W25
      OFFSETS:	124-130
       TOKENS:	P2W27-P2W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sadiyq_1]
   UNSPLITVOC:	(AlS~adiyq)
          POS:	DET+NOUN
          VOC:	Al+Sadiyq
        GLOSS:	the+friend/friends

 INPUT STRING:	الشخصى
     IS_TRANS:	Al$xSY
        INDEX:	P2W26
      OFFSETS:	131-137
       TOKENS:	P2W28-P2W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoSiy_1]
   UNSPLITVOC:	(Al$~axoSiy)
          POS:	DET+ADJ
          VOC:	Al+$axoSiy
        GLOSS:	the+personal

 INPUT STRING:	المقرب
     IS_TRANS:	Almqrb
        INDEX:	P2W27
      OFFSETS:	138-144
       TOKENS:	P2W29-P2W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miqar~ab_1]
   UNSPLITVOC:	(Almiqar~ab)
          POS:	DET+ADJ
          VOC:	Al+miqar~ab
        GLOSS:	the+closed

 INPUT STRING:	لجمال
     IS_TRANS:	ljmAl
        INDEX:	P2W28
      OFFSETS:	145-150
       TOKENS:	P2W30-P2W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAl_1]
   UNSPLITVOC:	(lijamAl)
          POS:	PREP+NOUN_PROP
          VOC:	li+jamAl
        GLOSS:	for/to+Gamal

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P2W29
      OFFSETS:	151-156
       TOKENS:	P2W32-P2W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P2W30
      OFFSETS:	157-158
       TOKENS:	P2W33-P2W33
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	وبأنهم
     IS_TRANS:	wb>nhm
        INDEX:	P2W31
      OFFSETS:	159-165
       TOKENS:	P2W34-P2W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(wibi<in~uhum)
          POS:	CONJ+PREP+SUB_CONJ+PRON_3P
          VOC:	wi+bi+<in~+hum
        GLOSS:	and+with+that+them

 INPUT STRING:	استقدموا
     IS_TRANS:	AstqdmwA
        INDEX:	P2W32
      OFFSETS:	166-174
       TOKENS:	P2W38-P2W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotaqodam_1]
   UNSPLITVOC:	(AisotaqodamuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	Aisotaqodam+uwA
        GLOSS:	invite/summon+they [verb]

 INPUT STRING:	600
     IS_TRANS:	600
        INDEX:	P2W33
      OFFSETS:	175-178
       TOKENS:	P2W39-P2W39
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[600]
   UNSPLITVOC:	(600)
          POS:	NOUN_NUM
          VOC:	600
        GLOSS:	600

 INPUT STRING:	بلطجى
     IS_TRANS:	blTjY
        INDEX:	P2W34
      OFFSETS:	179-184
       TOKENS:	P2W40-P2W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baloTajiy_1]
   UNSPLITVOC:	(baloTajiy)
          POS:	NOUN
          VOC:	baloTajiy
        GLOSS:	gangster/ruffian

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W35
      OFFSETS:	185-187
       TOKENS:	P2W41-P2W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	خارج
     IS_TRANS:	xArj
        INDEX:	P2W36
      OFFSETS:	188-192
       TOKENS:	P2W42-P2W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xArij_1]
   UNSPLITVOC:	(xArij)
          POS:	NOUN
          VOC:	xArij
        GLOSS:	outside/outer part/overseas/exterior

 INPUT STRING:	بورسعيد
     IS_TRANS:	bwrsEyd
        INDEX:	P2W37
      OFFSETS:	193-200
       TOKENS:	P2W43-P2W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buwrsaEiyd_1]
   UNSPLITVOC:	(buwrsaEiyd)
          POS:	NOUN_PROP
          VOC:	buwrsaEiyd
        GLOSS:	Portsaid

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P2W38
      OFFSETS:	201-204
       TOKENS:	P2W44-P2W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	المباراة
     IS_TRANS:	AlmbArAp
        INDEX:	P2W39
      OFFSETS:	205-213
       TOKENS:	P2W45-P2W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlmubArAp_1]
   UNSPLITVOC:	(AlmubArAp)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mubArA+ap
        GLOSS:	the+match/game/compitition+[fem.sg.]

 INPUT STRING:	للقيام
     IS_TRANS:	llqyAm
        INDEX:	P2W40
      OFFSETS:	214-220
       TOKENS:	P2W46-P2W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiyAm_1]
   UNSPLITVOC:	(lilqiyAm)
          POS:	PREP+DET+NOUN.VN
          VOC:	li+Al+qiyAm
        GLOSS:	for/to+the+undertaking/carrying out/setting up

 INPUT STRING:	بأحداث
     IS_TRANS:	b>HdAv
        INDEX:	P2W41
      OFFSETS:	221-227
       TOKENS:	P2W48-P2W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(bi>aHodAv)
          POS:	PREP+NOUN
          VOC:	bi+>aHodAv
        GLOSS:	with/by+event

 INPUT STRING:	مجزرة
     IS_TRANS:	mjzrp
        INDEX:	P2W42
      OFFSETS:	228-233
       TOKENS:	P2W50-P2W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majozarap_1]
   UNSPLITVOC:	(majozarap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	majozar+ap
        GLOSS:	massacre/slaughter+[fem.sg.]

 INPUT STRING:	الاستاد
     IS_TRANS:	AlAstAd
        INDEX:	P2W43
      OFFSETS:	234-241
       TOKENS:	P2W51-P2W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isotAd_1]
   UNSPLITVOC:	(Al<isotAd)
          POS:	DET+NOUN
          VOC:	Al+<isotAd
        GLOSS:	the+stadium

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W44
      OFFSETS:	241-242
       TOKENS:	P2W52-P2W52
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W45
      OFFSETS:	242-243
       TOKENS:	P2W53-P2W53
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	انشرو
     IS_TRANS:	An$rw
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[na$ar_1]
   UNSPLITVOC:	(>un$uruwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	>un$ur+uwA
        GLOSS:	spread/publish+[pl.]

 INPUT STRING:	الخبر
     IS_TRANS:	Alxbr
        INDEX:	P3W2
      OFFSETS:	6-11
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(Alxabar)
          POS:	DET+NOUN
          VOC:	Al+xabar
        GLOSS:	the+news/report

 INPUT STRING:	لاطفاء
     IS_TRANS:	lATfA'
        INDEX:	P3W3
      OFFSETS:	12-18
       TOKENS:	P3W3-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiTofA'_1]
   UNSPLITVOC:	(liAiTofA')
          POS:	PREP+NOUN
          VOC:	li+AiTofA'
        GLOSS:	for/to+extinguishing/fire fighting

 INPUT STRING:	نار
     IS_TRANS:	nAr
        INDEX:	P3W4
      OFFSETS:	19-22
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAr_1]
   UNSPLITVOC:	(nAr)
          POS:	NOUN
          VOC:	nAr
        GLOSS:	fire/burning

 INPUT STRING:	الفتنة
     IS_TRANS:	Alftnp
        INDEX:	P3W5
      OFFSETS:	23-29
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fitonap_1]
   UNSPLITVOC:	(Alfitonap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fiton+ap
        GLOSS:	the+sedition/dissension/discord+[fem.sg.]

 INPUT STRING:	واظهار
     IS_TRANS:	wAZhAr
        INDEX:	P3W6
      OFFSETS:	30-36
       TOKENS:	P3W7-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iZohAr_1]
   UNSPLITVOC:	(wi<iZohAr)
          POS:	CONJ+NOUN
          VOC:	wi+<iZohAr
        GLOSS:	and+expressing/showing/demonstrating

 INPUT STRING:	الحق
     IS_TRANS:	AlHq
        INDEX:	P3W7
      OFFSETS:	37-41
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(AlHaq~)
          POS:	DET+NOUN
          VOC:	Al+Haq~
        GLOSS:	the+right, prerogative, truth

 INPUT STRING:	حبيبتى
     IS_TRANS:	HbybtY
        INDEX:	P4W1
      OFFSETS:	0-6
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Habiyb_1]
   UNSPLITVOC:	(Habiybibtiy)
          POS:	ADJ+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	Habiyb+ap+iy
        GLOSS:	beloved+[fem.sg.]+my

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P4W2
      OFFSETS:	7-9
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	ينفعش
     IS_TRANS:	ynfE$
        INDEX:	P4W3
      OFFSETS:	10-15
       TOKENS:	P4W4-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafaE_1]
   UNSPLITVOC:	(yinofaE$)
          POS:	IV3MS+IV+NEG_PART
          VOC:	yi+nofaE+$
        GLOSS:	he/it+utilize+not

 INPUT STRING:	ننشر
     IS_TRANS:	nn$r
        INDEX:	P4W4
      OFFSETS:	16-20
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[na$ar_1]
   UNSPLITVOC:	(nino$ur)
          POS:	IV1P+IV
          VOC:	ni+no$ur
        GLOSS:	we+publish/spread

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W5
      OFFSETS:	21-23
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P4W6
      OFFSETS:	24-27
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyor_1]
   UNSPLITVOC:	(giyor)
          POS:	NOUN
          VOC:	giyor
        GLOSS:	not/other

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P4W7
      OFFSETS:	28-30
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	نتاكد
     IS_TRANS:	ntAkd
        INDEX:	P4W8
      OFFSETS:	31-36
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aito>ak~id_1]
   UNSPLITVOC:	(nito>ak~id)
          POS:	IV1P+IV
          VOC:	ni+to>ak~id
