 INPUT STRING:	بالبلدى
   UNSPLITVOC:	(Alka}iyb)
          POS:	DET+ADJ
          VOC:	Al+ka}iyb
        GLOSS:	the+depressed

 INPUT STRING:	المريب
     IS_TRANS:	Almryb
        INDEX:	P4W3
      OFFSETS:	15-21
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muriyb_1]
   UNSPLITVOC:	(Almuriyb)
          POS:	DET+ADJ
          VOC:	Al+muriyb
        GLOSS:	the+suspicious/doubtful

 INPUT STRING:	الرهيب
     IS_TRANS:	Alrhyb
        INDEX:	P4W4
      OFFSETS:	22-28
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rahiyb_1]
   UNSPLITVOC:	(Alr~ahiyb)
          POS:	DET+ADJ
          VOC:	Al+rahiyb
        GLOSS:	the+dreadful/fearful/serious

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P4W5
      OFFSETS:	29-31
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P4W6
      OFFSETS:	32-36
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whom/which

 INPUT STRING:	بيسال
     IS_TRANS:	bysAl
        INDEX:	P4W7
      OFFSETS:	37-42
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(bysAl)
          POS:	TYPO
          VOC:	bysAl
        GLOSS:	nogloss

 INPUT STRING:	السؤال
     IS_TRANS:	Als&Al
        INDEX:	P4W8
      OFFSETS:	43-49
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(Als~u&Al)
          POS:	DET+NOUN
          VOC:	Al+su&Al
        GLOSS:	the+question/inquiry

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P4W9
      OFFSETS:	50-52
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this [masc.sg.]

 INPUT STRING:	أغلبهم
     IS_TRANS:	>glbhm
        INDEX:	P4W10
      OFFSETS:	53-59
       TOKENS:	P4W11-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>aglab_1]
   UNSPLITVOC:	(>agolabhum)
          POS:	NOUN_QUANT+POSS_PRON_3P
          VOC:	>agolab+hum
        GLOSS:	most (of), the majority (of), the greater portion of part (of)+their

 INPUT STRING:	مسلمين
     IS_TRANS:	mslmyn
        INDEX:	P4W11
      OFFSETS:	60-66
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musolim_1]
   UNSPLITVOC:	(musolimiyn)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	musolim+iyn
        GLOSS:	Muslim+[masc.pl.]

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P4W12
      OFFSETS:	67-68
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P4W13
      OFFSETS:	68-69
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P4W14
      OFFSETS:	69-70
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	وكمان
     IS_TRANS:	wkmAn
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(wikamAn)
          POS:	CONJ+ADV
          VOC:	wi+kamAn
        GLOSS:	and+also/too

 INPUT STRING:	مسيحيين
     IS_TRANS:	msyHyyn
        INDEX:	P5W2
      OFFSETS:	6-13
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[misiyHiy_1]
   UNSPLITVOC:	(misiyHiy~iyn)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	misiyHiy~+iyn
        GLOSS:	Christian+[masc.pl.]

 INPUT STRING:	بيسألوا
     IS_TRANS:	bys>lwA
        INDEX:	P5W3
      OFFSETS:	14-21
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(biyiso>aluwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+so>al+uwA
        GLOSS:	[present-tense]+they+ask/inquire/request+[pl.]

 INPUT STRING:	نفس
     IS_TRANS:	nfs
        INDEX:	P5W4
      OFFSETS:	22-25
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafos)
          POS:	NOUN
          VOC:	nafos
        GLOSS:	same/self

 INPUT STRING:	السؤال
     IS_TRANS:	Als&Al
        INDEX:	P5W5
      OFFSETS:	26-32
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(Als~u&Al)
          POS:	DET+NOUN
          VOC:	Al+su&Al
        GLOSS:	the+question/inquiry

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P5W6
      OFFSETS:	33-34
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P5W7
      OFFSETS:	34-35
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	وبصراحة
     IS_TRANS:	wbSrAHp
        INDEX:	P6W1
      OFFSETS:	0-7
       TOKENS:	P6W1-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(wibiSarAHap)
          POS:	CONJ+PREP+NOUN+NSUFF_FEM_SG
          VOC:	wi+bi+SarAH+ap
        GLOSS:	and+with/by+sincerity/candor/frankness+[fem.sg.]

 INPUT STRING:	مكذبش
     IS_TRANS:	mk*b$
        INDEX:	P6W2
      OFFSETS:	8-13
       TOKENS:	P6W4-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ki*ib_1]
   UNSPLITVOC:	(mak*ib$)
          POS:	NEG_PART+IV1S+IV+NEG_PART
          VOC:	mA+>a+k*ib+$
        GLOSS:	not+I+lie/deceive+not

 INPUT STRING:	عليكم
     IS_TRANS:	Elykm
        INDEX:	P6W3
      OFFSETS:	14-19
       TOKENS:	P6W7-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealaykum)
          POS:	PREP+PRON_2P
          VOC:	EalaY+kum
        GLOSS:	on/above+you [pl.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P6W4
      OFFSETS:	20-24
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whom/which

 INPUT STRING:	بيسال
     IS_TRANS:	bysAl
        INDEX:	P6W5
      OFFSETS:	25-30
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(bysAl)
          POS:	TYPO
          VOC:	bysAl
        GLOSS:	nogloss

 INPUT STRING:	السؤال
     IS_TRANS:	Als&Al
        INDEX:	P6W6
      OFFSETS:	31-37
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(Als~u&Al)
          POS:	DET+NOUN
          VOC:	Al+su&Al
        GLOSS:	the+question/inquiry

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P6W7
      OFFSETS:	38-40
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this [masc.sg.]

 INPUT STRING:	مبستريحلهوش
     IS_TRANS:	mbstryHlhw$
        INDEX:	P6W8
      OFFSETS:	41-52
       TOKENS:	P6W13-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aistaray~aH_1]
   UNSPLITVOC:	(mA_bastaray~aH_lihuw$)
          POS:	NEG_PART+PROG_PART+IV1S+IV+PREP+PRON_3MS+NEG_PART
          VOC:	mA+bi+>a+staray~aH+li+huw+$
        GLOSS:	not+[present-tense]+I+rest/relax/calm down/be pleased+for/to+him/it+not

 INPUT STRING:	لإنه
     IS_TRANS:	l<nh
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~uh)
          POS:	PREP+SUB_CONJ+PRON_3MS
          VOC:	li+<in~+uh
        GLOSS:	for/to+that+he/it

 INPUT STRING:	سؤال
     IS_TRANS:	s&Al
        INDEX:	P7W2
      OFFSETS:	5-9
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(su&Al)
          POS:	NOUN
          VOC:	su&Al
        GLOSS:	question/inquiry

 INPUT STRING:	يدل
     IS_TRANS:	ydl
        INDEX:	P7W3
      OFFSETS:	10-13
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dal~_1]
   UNSPLITVOC:	(yidul~)
          POS:	IV3MS+IV
          VOC:	yi+dul~
        GLOSS:	he/it+point/indicate

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P7W4
      OFFSETS:	14-17
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	جهل
     IS_TRANS:	jhl
        INDEX:	P7W5
      OFFSETS:	18-21
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jahol_1]
   UNSPLITVOC:	(jahol)
          POS:	NOUN
          VOC:	jahol
        GLOSS:	ignorance

 INPUT STRING:	متعمد
     IS_TRANS:	mtEmd
        INDEX:	P7W6
      OFFSETS:	22-27
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mitoEam~id_1]
   UNSPLITVOC:	(mitoEam~id)
          POS:	ADJ
          VOC:	mitoEam~id
        GLOSS:	intentional/premeditated

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W7
      OFFSETS:	27-28
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W8
      OFFSETS:	28-29
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P7W9
      OFFSETS:	30-32
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	هدفه
     IS_TRANS:	hdfh
        INDEX:	P7W10
      OFFSETS:	33-37
       TOKENS:	P7W12-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadaf_1]
   UNSPLITVOC:	(hadafuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	hadaf+uh
        GLOSS:	goal/objective/intention+his/its

 INPUT STRING:	التشكيك
     IS_TRANS:	Alt$kyk
        INDEX:	P7W11
      OFFSETS:	38-45
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta$okiyk_1]
   UNSPLITVOC:	(Alt~a$okiyk)
          POS:	DET+NOUN
          VOC:	Al+ta$okiyk
        GLOSS:	the+doubt/skepticism

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P7W12
      OFFSETS:	46-48
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	إسلام
     IS_TRANS:	<slAm
        INDEX:	P7W13
      OFFSETS:	49-54
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAm_1]
   UNSPLITVOC:	(<isolAm)
          POS:	NOUN
