 INPUT STRING:	ههههه
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W12
      OFFSETS:	50-51
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	هتسيب
     IS_TRANS:	htsyb
        INDEX:	P1W13
      OFFSETS:	52-57
       TOKENS:	P1W13-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(Hatisiyb)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+siyb
        GLOSS:	will+it/they/she+flow/neglect

 INPUT STRING:	الجواسيس
     IS_TRANS:	AljwAsys
        INDEX:	P1W14
      OFFSETS:	58-66
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAsuws_1]
   UNSPLITVOC:	(AljawAsiys)
          POS:	DET+NOUN
          VOC:	Al+jawAsiys
        GLOSS:	the+spies

 INPUT STRING:	يهربوا
     IS_TRANS:	yhrbwA
        INDEX:	P1W15
      OFFSETS:	67-73
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hirib_1]
   UNSPLITVOC:	(yihorabuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+horab+uwA
        GLOSS:	they (people)+flee/escape/desert+[pl.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P1W16
      OFFSETS:	74-76
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	مشير
     IS_TRANS:	m$yr
        INDEX:	P1W17
      OFFSETS:	77-81
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$iyr_1]
   UNSPLITVOC:	(mu$iyr)
          POS:	NOUN
          VOC:	mu$iyr
        GLOSS:	field marshal/general

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W18
      OFFSETS:	81-82
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W19
      OFFSETS:	82-83
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W20
      OFFSETS:	83-84
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	اومال
     IS_TRANS:	AwmAl
        INDEX:	P2W1
      OFFSETS:	0-5
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[uwmAl_1]
   UNSPLITVOC:	(uwmAl)
          POS:	ADV
          VOC:	uwmAl
        GLOSS:	Hence/then / So

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P2W2
      OFFSETS:	6-9
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	الفلم
     IS_TRANS:	Alflm
        INDEX:	P2W3
      OFFSETS:	10-15
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[filom_1]
   UNSPLITVOC:	(Alfilom)
          POS:	DET+NOUN
          VOC:	Al+filom
        GLOSS:	the+film

 INPUT STRING:	الهندي
     IS_TRANS:	Alhndy
        INDEX:	P2W4
      OFFSETS:	16-22
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinodiy_1]
   UNSPLITVOC:	(Alhinodiy)
          POS:	DET+ADJ
          VOC:	Al+hinodiy
        GLOSS:	the+Indian

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P2W5
      OFFSETS:	23-27
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P2W6
      OFFSETS:	28-31
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	kun+t
        GLOSS:	be/was/were+you

 INPUT STRING:	عامله
     IS_TRANS:	EAmlh
        INDEX:	P2W7
      OFFSETS:	32-37
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmolap_1]
   UNSPLITVOC:	(EAmolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAmol+ap
        GLOSS:	active/operating/working+[fem.sg.]

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P2W8
      OFFSETS:	38-40
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	these/this

 INPUT STRING:	وامريكا
     IS_TRANS:	wAmrykA
        INDEX:	P2W9
      OFFSETS:	41-48
       TOKENS:	P2W9-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(wi>amoriykA)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+>amoriykA
        GLOSS:	and+America

 INPUT STRING:	ولن
     IS_TRANS:	wln
        INDEX:	P2W10
      OFFSETS:	49-52
       TOKENS:	P2W11-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lan_1]
   UNSPLITVOC:	(walan)
          POS:	CONJ+NEG_PART
          VOC:	wa+lan
        GLOSS:	and+not/never/nevermore

 INPUT STRING:	نخضع
     IS_TRANS:	nxDE
        INDEX:	P2W11
      OFFSETS:	53-57
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xaDaE_1]
   UNSPLITVOC:	(naxoDaE)
          POS:	IV1P+IV
          VOC:	na+xoDaE
        GLOSS:	we+submit/be subject

 INPUT STRING:	ولن
     IS_TRANS:	wln
        INDEX:	P2W12
      OFFSETS:	58-61
       TOKENS:	P2W14-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lan_1]
   UNSPLITVOC:	(walan)
          POS:	CONJ+NEG_PART
          VOC:	wa+lan
        GLOSS:	and+not/never/nevermore

 INPUT STRING:	نركع
     IS_TRANS:	nrkE
        INDEX:	P2W13
      OFFSETS:	62-66
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rakaE_1]
   UNSPLITVOC:	(nirokaE)
          POS:	IV1P+IV
          VOC:	ni+rokaE
        GLOSS:	we+kneel/bow

 INPUT STRING:	والشعب
     IS_TRANS:	wAl$Eb
        INDEX:	P3W1
      OFFSETS:	0-6
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(wiAl$aEob)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+$aEob
        GLOSS:	and+the+people/nation/peoples/nations

 INPUT STRING:	الغلبان
     IS_TRANS:	AlglbAn
        INDEX:	P3W2
      OFFSETS:	7-14
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galobAn_1]
   UNSPLITVOC:	(AlgalobAn)
          POS:	DET+ADJ
          VOC:	Al+galobAn
        GLOSS:	the+needy/poor

 INPUT STRING:	يصدق
     IS_TRANS:	ySdq
        INDEX:	P3W3
      OFFSETS:	15-19
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sad~aq_1]
   UNSPLITVOC:	(yiSad~aq)
          POS:	IV3MS+IV
          VOC:	yi+Sad~aq
        GLOSS:	he/it+believe/give credence to/confirm/be believed/ratify/adopt

 INPUT STRING:	واحنا
     IS_TRANS:	wAHnA
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iHonA_1]
   UNSPLITVOC:	(wa<iHonA)
          POS:	CONJ+PRON_1P
          VOC:	wa+<iHonA
        GLOSS:	and+we/I

 INPUT STRING:	بنقولها
     IS_TRANS:	bnqwlhA
        INDEX:	P4W2
      OFFSETS:	6-13
       TOKENS:	P4W3-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(binquwlhA)
          POS:	PROG_PART+IV1P+IV+IVSUFF_DO:3FS
          VOC:	bi+n+quwl+hA
        GLOSS:	[present-tense]+we+said/say/be said/(for example)+it/them/her

 INPUT STRING:	بأعلى
     IS_TRANS:	b>ElY
        INDEX:	P4W3
      OFFSETS:	14-19
       TOKENS:	P4W6-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolaY_1]
   UNSPLITVOC:	(bi>aEolaY)
          POS:	PREP+ADJ_COMP
          VOC:	bi+>aEolaY
        GLOSS:	with/by+higher/highest/supreme

 INPUT STRING:	صوتنا
     IS_TRANS:	SwtnA
        INDEX:	P4W4
      OFFSETS:	20-25
       TOKENS:	P4W8-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Suwt_2]
   UNSPLITVOC:	(SuwtnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Suwt+nA
        GLOSS:	sounds/soundu/votes/vote/sound/voices/voice+our

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P4W5
      OFFSETS:	26-30
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we/I

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P4W6
      OFFSETS:	31-35
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	لن
     IS_TRANS:	ln
        INDEX:	P4W7
      OFFSETS:	36-38
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lano_1]
   UNSPLITVOC:	(lano)
          POS:	NEG_PART
          VOC:	lano
        GLOSS:	not/never/nevermore

 INPUT STRING:	نركع
     IS_TRANS:	nrkE
        INDEX:	P4W8
      OFFSETS:	39-43
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rakaE_1]
   UNSPLITVOC:	(nirokaE)
          POS:	IV1P+IV
          VOC:	ni+rokaE
        GLOSS:	we+kneel/bow

 INPUT STRING:	ليك
     IS_TRANS:	lyk
        INDEX:	P4W9
      OFFSETS:	44-47
       TOKENS:	P4W14-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liyk)
          POS:	PREP+PRON_2MS
          VOC:	li+ak
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+you

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P4W10
      OFFSETS:	48-51
       TOKENS:	P4W16-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+CONJ
          VOC:	wa+lA
        GLOSS:	and+nor/neither

 INPUT STRING:	لنظامك
     IS_TRANS:	lnZAmk
        INDEX:	P4W11
      OFFSETS:	52-58
       TOKENS:	P4W18-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(liniZAmak)
          POS:	PREP+NOUN+POSS_PRON_2MS
          VOC:	li+niZAm+ak
        GLOSS:	for/to+regime/government/regimes/governments/systems/methodology/system/order+your

 INPUT STRING:	والثوره
     IS_TRANS:	wAlvwrh
        INDEX:	P4W12
      OFFSETS:	59-66
       TOKENS:	P4W21-P4W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(wiAlvawrap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+vawr+ap
        GLOSS:	and+the+revolution/uprising+[fem.sg.]

 INPUT STRING:	مستمره
     IS_TRANS:	mstmrh
        INDEX:	P4W13
      OFFSETS:	67-73
       TOKENS:	P4W23-P4W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotamir~_1]
   UNSPLITVOC:	(musotamir~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	musotamir~+ap
        GLOSS:	continuing/continuous/incessant+[fem.sg.]

 INPUT STRING:	قعدوا
     IS_TRANS:	qEdwA
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaEad_1]
   UNSPLITVOC:	(qaEaduwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	qaEad+uwA
        GLOSS:	sit down/be seated/remain+they

 INPUT STRING:	يقولوا
     IS_TRANS:	yqwlwA
        INDEX:	P5W2
      OFFSETS:	6-12
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yiquwluwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+quwl+uwA
        GLOSS:	they+said/say/be said/(for example)+[pl.]

 INPUT STRING:	هنستغنى
     IS_TRANS:	hnstgnY
        INDEX:	P5W3
      OFFSETS:	13-20
       TOKENS:	P5W3-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotagonaY_1]
   UNSPLITVOC:	(HanisotagonaY)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+sotagonaY
        GLOSS:	will+we+manage without/dispense with

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P5W4
      OFFSETS:	21-23
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from/off/about/on/over

 INPUT STRING:	امريكا
     IS_TRANS:	AmrykA
        INDEX:	P5W5
      OFFSETS:	24-30
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(>amoriykA)
          POS:	NOUN_PROP
          VOC:	>amoriykA
        GLOSS:	America

 INPUT STRING:	وادناها
     IS_TRANS:	wAdnAhA
        INDEX:	P5W6
      OFFSETS:	31-38
       TOKENS:	P5W7-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<id~aY_1]
   UNSPLITVOC:	(wa<id~inahA)
          POS:	CONJ+PV+PVSUFF_SUBJ:1P+PVSUFF_DO:3FS
          VOC:	wa+<id~aY+na+hA
        GLOSS:	and+give+we+her

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W7
      OFFSETS:	39-42
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	قفاها
     IS_TRANS:	qfAhA
        INDEX:	P5W8
      OFFSETS:	43-48
       TOKENS:	P5W11-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qafA_1]
   UNSPLITVOC:	(qafAhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	qafA+hA
        GLOSS:	backs/necks/back/neck/nape/reverse+its/their/her

 INPUT STRING:	واوعى
     IS_TRANS:	wAwEY
        INDEX:	P5W9
      OFFSETS:	49-54
       TOKENS:	P5W13-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waEaY_1]
   UNSPLITVOC:	(wiAuwEaY)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+AuwEaY+(null)
        GLOSS:	and+be aware of/pay attention to/be paid attention to+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P5W10
      OFFSETS:	55-57
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	جدع
     IS_TRANS:	jdE
        INDEX:	P5W11
      OFFSETS:	58-61
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jadaE_1]
   UNSPLITVOC:	(jadaE)
          POS:	NOUN
          VOC:	jadaE
        GLOSS:	youth/youths

 INPUT STRING:	والحق
     IS_TRANS:	wAlHq
        INDEX:	P5W12
      OFFSETS:	62-67
       TOKENS:	P5W17-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[laHaq_1]
   UNSPLITVOC:	(wiAlHaq)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+AlHaq+(null)
        GLOSS:	and+follow+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P5W13
      OFFSETS:	68-70
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	باشا
     IS_TRANS:	bA$A
        INDEX:	P5W14
      OFFSETS:	71-75
       TOKENS:	P5W20-P5W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bA$A_1]
   UNSPLITVOC:	(bA$A)
          POS:	NOUN
          VOC:	bA$A
        GLOSS:	pasha/pashas

 INPUT STRING:	ههههههههههههههههههههههه
     IS_TRANS:	hhhhhhhhhhhhhhhhhhhhhhh
        INDEX:	P5W15
      OFFSETS:	76-99
       TOKENS:	P5W21-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	sound of laugh

 INPUT STRING:	صحيح
     IS_TRANS:	SHyH
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W1
