 INPUT STRING:	بسم
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	lam~+ap+na
        GLOSS:	collection/gathering/visit+[fem.sg.]+our

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W10
      OFFSETS:	68-71
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	فتكات
     IS_TRANS:	ftkAt
        INDEX:	P2W11
      OFFSETS:	72-77
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fatokap]
   UNSPLITVOC:	(fatakAt)
          POS:	NOUN_PROP+NSUFF_FEM_PL
          VOC:	fatak+At
        GLOSS:	fatakat+[fem.pl.]

 INPUT STRING:	واستشااااارتنا
     IS_TRANS:	wAst$AAAAArtnA
        INDEX:	P2W12
      OFFSETS:	78-92
       TOKENS:	P2W16-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ista$Arap_1]
   UNSPLITVOC:	(wa<ista$AratnA)
          POS:	CONJ+NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	wa+<ista$Ar+ap+nA
        GLOSS:	and+consultation+[fem.sg.]+our

 INPUT STRING:	لبعض
     IS_TRANS:	lbED
        INDEX:	P2W13
      OFFSETS:	93-97
       TOKENS:	P2W19-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(libaEoD)
          POS:	PREP+NOUN_QUANT
          VOC:	li+baEoD
        GLOSS:	for/to+some

 INPUT STRING:	وبحس
     IS_TRANS:	wbHs
        INDEX:	P2W14
      OFFSETS:	98-102
       TOKENS:	P2W21-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Has~_1]
   UNSPLITVOC:	(wibiAaHis~)
          POS:	CONJ+PROG_PART+IV1S+IV
          VOC:	wi+bi+>a+His~
        GLOSS:	and+[present-tense]+I+feel/perceive/be felt/be perceived

 INPUT STRING:	بقلبكم
     IS_TRANS:	bqlbkm
        INDEX:	P2W15
      OFFSETS:	103-109
       TOKENS:	P2W24-P2W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(biqalobukum)
          POS:	PREP+NOUN+POSS_PRON_2P
          VOC:	bi+qalob+kum
        GLOSS:	with/by+heart/center/essence+your

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P2W16
      OFFSETS:	110-113
       TOKENS:	P2W27-P2W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	بتخااااف
     IS_TRANS:	btxAAAAf
        INDEX:	P2W17
      OFFSETS:	114-122
       TOKENS:	P2W28-P2W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xAf_1]
   UNSPLITVOC:	(bitixAf)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+xAf
        GLOSS:	[present-tense]+she/it+afraid

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W18
      OFFSETS:	123-126
       TOKENS:	P2W30-P2W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P2W19
      OFFSETS:	127-130
       TOKENS:	P2W31-P2W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P3W1
      OFFSETS:	0-3
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	فتوكة
     IS_TRANS:	ftwkp
        INDEX:	P3W2
      OFFSETS:	4-9
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fatuwk_1]
   UNSPLITVOC:	(fatuwkap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	fatuwk+ap
        GLOSS:	clever women+[fem.sg.]

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P3W3
      OFFSETS:	10-13
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinA_1]
   UNSPLITVOC:	(hinA)
          POS:	ADV
          VOC:	hinA
        GLOSS:	here

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W4
      OFFSETS:	14-16
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	زماان
     IS_TRANS:	zmAAn
        INDEX:	P3W5
      OFFSETS:	17-22
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zamAn_1]
   UNSPLITVOC:	(zamAn)
          POS:	NOUN
          VOC:	zamAn
        GLOSS:	time/duration

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P3W6
      OFFSETS:	23-26
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be+I

 INPUT STRING:	بتبع
     IS_TRANS:	btbE
        INDEX:	P3W7
      OFFSETS:	27-31
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(btbE)
          POS:	NO_FUNC
          VOC:	btbE
        GLOSS:	nogloss

 INPUT STRING:	السياسة
     IS_TRANS:	AlsyAsp
        INDEX:	P3W8
      OFFSETS:	32-39
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(Als~iyAsap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+siyAs+ap
        GLOSS:	the+politics+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W9
      OFFSETS:	40-42
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	بعيد
     IS_TRANS:	bEyd
        INDEX:	P3W10
      OFFSETS:	43-47
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[biEiyd_1]
   UNSPLITVOC:	(biEiyd)
          POS:	NOUN
          VOC:	biEiyd
        GLOSS:	remote/distant/far

 INPUT STRING:	لبعيد
     IS_TRANS:	lbEyd
        INDEX:	P3W11
      OFFSETS:	48-53
       TOKENS:	P3W11-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[biEiyd_1]
   UNSPLITVOC:	(libiEiyd)
          POS:	PREP+NOUN
          VOC:	li+biEiyd
        GLOSS:	for/to+remote/distant/far

 INPUT STRING:	ايااااااام
     IS_TRANS:	AyAAAAAAAm
        INDEX:	P3W12
      OFFSETS:	54-64
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yawom_1]
   UNSPLITVOC:	(>ay~Am)
          POS:	NOUN
          VOC:	>ay~Am
        GLOSS:	days

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P3W13
      OFFSETS:	65-70
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P3W14
      OFFSETS:	71-74
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be+I

 INPUT STRING:	متافائلة
     IS_TRANS:	mtAfA}lp
        INDEX:	P3W15
      OFFSETS:	75-83
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutAfA}il_1]
   UNSPLITVOC:	(mutAfA}olap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	mutAfA}ol+ap
        GLOSS:	optimistic+[fem.sg.]

 INPUT STRING:	خيييير
     IS_TRANS:	xyyyyr
        INDEX:	P3W16
      OFFSETS:	84-90
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xayor_1]
   UNSPLITVOC:	(xayor)
          POS:	NOUN
          VOC:	xayor
        GLOSS:	good

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P3W17
      OFFSETS:	91-93
       TOKENS:	P3W18-P3W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P3W18
      OFFSETS:	94-96
       TOKENS:	P3W19-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P3W19
      OFFSETS:	97-100
       TOKENS:	P3W20-P3W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	هنتغير
     IS_TRANS:	hntgyr
        INDEX:	P3W20
      OFFSETS:	101-107
       TOKENS:	P3W21-P3W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gay~ar_1]
   UNSPLITVOC:	(Hanitogay~ar)
          POS:	FUT_PART+IV1P+IV_PASS
          VOC:	Ha+ni+togay~ar
        GLOSS:	will+we+change/modify

 INPUT STRING:	والحمد
     IS_TRANS:	wAlHmd
        INDEX:	P3W21
      OFFSETS:	108-114
       TOKENS:	P3W23-P3W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(wiAlHamod)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+Hamod
        GLOSS:	and+the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P3W22
      OFFSETS:	115-118
       TOKENS:	P3W25-P3W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	to/for+Allah/God

 INPUT STRING:	اتغيرنا
     IS_TRANS:	AtgyrnA
        INDEX:	P3W23
      OFFSETS:	119-126
       TOKENS:	P3W27-P3W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gay~ar_1]
   UNSPLITVOC:	(Aitogay~arnA)
          POS:	PV_PASS+PVSUFF_SUBJ:1P
          VOC:	Aitogay~ar+nA
        GLOSS:	change/modify+we

 INPUT STRING:	وبقيناااا
     IS_TRANS:	wbqynAAAA
        INDEX:	P3W24
      OFFSETS:	127-136
       TOKENS:	P3W28-P3W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(wabaqaYnA)
          POS:	CONJ+PV+PVSUFF_SUBJ:1P
          VOC:	wa+baqaY+nA
        GLOSS:	and+became+we

 INPUT STRING:	عرفين
     IS_TRANS:	Erfyn
        INDEX:	P3W25
      OFFSETS:	137-142
       TOKENS:	P3W30-P3W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earif_1]
   UNSPLITVOC:	(Earafiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	Earaf+iyn
        GLOSS:	knowing+[masc.pl.]

 INPUT STRING:	حقنا
     IS_TRANS:	HqnA
        INDEX:	P3W26
      OFFSETS:	143-147
       TOKENS:	P3W31-P3W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~nA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Haq~+nA
        GLOSS:	right, prerogative, truth+our

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	شيفة
     IS_TRANS:	$yfp
        INDEX:	P4W2
      OFFSETS:	4-8
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayf_1]
   UNSPLITVOC:	($ayfap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	$ayf+ap
        GLOSS:	seeing+[fem.sg.]

 INPUT STRING:	دلاوقتى
     IS_TRANS:	dlAwqtY
        INDEX:	P4W3
      OFFSETS:	9-16
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dalwaqatiy_1]
   UNSPLITVOC:	(dalwaqatiy)
          POS:	ADV
          VOC:	dalwaqatiy
        GLOSS:	now

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P4W4
      OFFSETS:	17-19
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الامل
     IS_TRANS:	AlAml
        INDEX:	P4W5
      OFFSETS:	20-25
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amal_1]
   UNSPLITVOC:	(Al>amal)
          POS:	DET+NOUN
          VOC:	Al+>amal
        GLOSS:	the+hope/wish/hopes/wishes

 INPUT STRING:	بتع
     IS_TRANS:	btE
        INDEX:	P4W6
      OFFSETS:	26-29
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitaE_1]
   UNSPLITVOC:	(bitaE)
          POS:	NOUN
          VOC:	bitaE
        GLOSS:	own

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P4W7
      OFFSETS:	30-36
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	عاوزين
     IS_TRANS:	EAwzyn
        INDEX:	P4W8
      OFFSETS:	37-43
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwoziyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EAwoz+iyn
        GLOSS:	wanting/needing+[masc.pl.]

 INPUT STRING:	يطفوة
     IS_TRANS:	yTfwp
        INDEX:	P4W9
      OFFSETS:	44-49
       TOKENS:	P4W9-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Taf~ay_1]
   UNSPLITVOC:	(yiTaf~uwh)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3MS
          VOC:	yi+Taf~+uwA+uh
        GLOSS:	they+subdue/extinguish+[masc.pl.]+him/it

 INPUT STRING:	اعلام
     IS_TRANS:	AElAm
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEolAm_1]
   UNSPLITVOC:	(<iEolAm)
          POS:	NOUN
          VOC:	<iEolAm
        GLOSS:	information/media

 INPUT STRING:	فااااااسد
     IS_TRANS:	fAAAAAAsd
        INDEX:	P5W2
      OFFSETS:	6-15
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fAsid_1]
   UNSPLITVOC:	(fAsid)
          POS:	ADJ
          VOC:	fAsid
        GLOSS:	corrupt/immoral

 INPUT STRING:	محكمات
     IS_TRANS:	mHkmAt
        INDEX:	P5W3
      OFFSETS:	16-22
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muHakmap_1]
   UNSPLITVOC:	(muHakmAt)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muHakm+At
        GLOSS:	court/tribunal+[fem.sg.]

 INPUT STRING:	مخلصتش
     IS_TRANS:	mxlSt$
        INDEX:	P5W4
      OFFSETS:	23-29
       TOKENS:	P5W4-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xiliS_1]
   UNSPLITVOC:	(mA_xiloSit$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3FS+NEG_PART
          VOC:	mA+xiloS+it+$
        GLOSS:	not+finish+it/they/she+not

 INPUT STRING:	فلوس
     IS_TRANS:	flws
        INDEX:	P5W5
      OFFSETS:	30-34
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[filuws_1]
   UNSPLITVOC:	(filuws)
          POS:	NOUN
          VOC:	filuws
        GLOSS:	money

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P5W6
      OFFSETS:	35-37
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	رجعتش
