 INPUT STRING:	هذه
   UNSPLITVOC:	(malik)
          POS:	NOUN
          VOC:	malik
        GLOSS:	King

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P4W1
      OFFSETS:	2-5
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P4W2
      OFFSETS:	6-10
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	temperament/naturally/of course+[acc.indef.]

 INPUT STRING:	بتقول
     IS_TRANS:	btqwl
        INDEX:	P4W3
      OFFSETS:	11-16
       TOKENS:	P4W3-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bituquwl)
          POS:	PROG_PART+IV2MS+IV
          VOC:	bi+tu+quwl
        GLOSS:	[present-tense]+you [masc.sg.]+say

 INPUT STRING:	انجز
     IS_TRANS:	Anjz
        INDEX:	P4W4
      OFFSETS:	17-21
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>anojaz_1]
   UNSPLITVOC:	(Ainojiz)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Ainojiz+(null)
        GLOSS:	implement/accomplish/perform+you [masc.sg.] [verb]

 INPUT STRING:	ياعم
     IS_TRANS:	yAEm
        INDEX:	P4W5
      OFFSETS:	22-26
       TOKENS:	P4W6-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eam~_1]
   UNSPLITVOC:	(yA_Eam~)
          POS:	VOC_PART+NOUN
          VOC:	yA+Eam~
        GLOSS:	oh+paternal uncle

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P4W6
      OFFSETS:	27-30
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	هنام
     IS_TRANS:	hnAm
        INDEX:	P4W7
      OFFSETS:	31-35
       TOKENS:	P4W9-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAm_1]
   UNSPLITVOC:	(HaAanAm)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+nAm
        GLOSS:	will+I+sleep/lie down

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P4W8
      OFFSETS:	36-39
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	like that

 INPUT STRING:	الملك
     IS_TRANS:	Almlk
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[malik_1]
   UNSPLITVOC:	(Almalik)
          POS:	DET+NOUN
          VOC:	Al+malik
        GLOSS:	the+King

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P5W2
      OFFSETS:	6-8
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P5W3
      OFFSETS:	9-12
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it [verb]

 INPUT STRING:	معين
     IS_TRANS:	mEyn
        INDEX:	P5W4
      OFFSETS:	13-17
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miEay~in_1]
   UNSPLITVOC:	(miEay~in)
          POS:	ADJ.VN
          VOC:	miEay~in
        GLOSS:	usage/making use of/employment

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W5
      OFFSETS:	18-21
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P5W6
      OFFSETS:	22-24
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/every/entire/whole

 INPUT STRING:	ولايه
     IS_TRANS:	wlAyh
        INDEX:	P5W7
      OFFSETS:	25-30
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wilAyap_1]
   UNSPLITVOC:	(wilAyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	wilAy+ap
        GLOSS:	state/province+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W8
      OFFSETS:	31-33
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P5W9
      OFFSETS:	34-37
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wlA)
          POS:	TYPO
          VOC:	wlA
        GLOSS:	nogloss

 INPUT STRING:	ياته
     IS_TRANS:	yAth
        INDEX:	P5W10
      OFFSETS:	38-42
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(yAth)
          POS:	TYPO
          VOC:	yAth
        GLOSS:	nogloss

 INPUT STRING:	عيل
     IS_TRANS:	Eyl
        INDEX:	P5W11
      OFFSETS:	43-46
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eay~il_1]
   UNSPLITVOC:	(Eay~il)
          POS:	NOUN
          VOC:	Eay~il
        GLOSS:	child/son

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W12
      OFFSETS:	47-49
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	عياله
     IS_TRANS:	EyAlh
        INDEX:	P5W13
      OFFSETS:	50-55
       TOKENS:	P5W13-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eay~il_1]
   UNSPLITVOC:	(EiyAluh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	EiyAl+uh
        GLOSS:	children/sons+his/its

 INPUT STRING:	امير
     IS_TRANS:	Amyr
        INDEX:	P5W14
      OFFSETS:	60-64
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amiyr_1]
   UNSPLITVOC:	(>amiyr)
          POS:	NOUN
          VOC:	>amiyr
        GLOSS:	Emir

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P5W15
      OFFSETS:	65-69
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern

 INPUT STRING:	المهم
     IS_TRANS:	Almhm
        INDEX:	P6W1
      OFFSETS:	0-5
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muhim~_1]
   UNSPLITVOC:	(Almuhim~)
          POS:	DET+NOUN
          VOC:	Al+muhim~
        GLOSS:	the+main thing/most important thing

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P6W2
      OFFSETS:	6-8
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P6W3
      OFFSETS:	9-12
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/day

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P6W4
      OFFSETS:	13-15
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الايام
     IS_TRANS:	AlAyAm
        INDEX:	P6W5
      OFFSETS:	16-22
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(Al>ay~Am)
          POS:	DET+NOUN
          VOC:	Al+>ay~Am
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	خرج
     IS_TRANS:	xrj
        INDEX:	P6W6
      OFFSETS:	23-26
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaraj_1]
   UNSPLITVOC:	(xaraj)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	xaraj+(null)
        GLOSS:	go out/exit/leave+he/it [verb]

 INPUT STRING:	الملك
     IS_TRANS:	Almlk
        INDEX:	P6W7
      OFFSETS:	27-32
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[malik_1]
   UNSPLITVOC:	(Almalik)
          POS:	DET+NOUN
          VOC:	Al+malik
        GLOSS:	the+King

 INPUT STRING:	هوا
     IS_TRANS:	hwA
        INDEX:	P6W8
      OFFSETS:	33-36
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	وبعض
     IS_TRANS:	wbED
        INDEX:	P6W9
      OFFSETS:	37-41
       TOKENS:	P6W9-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(wibaEoD)
          POS:	CONJ+NOUN_QUANT
          VOC:	wi+baEoD
        GLOSS:	and+some, a few, little, part

 INPUT STRING:	اصدقائه
     IS_TRANS:	ASdqA}h
        INDEX:	P6W10
      OFFSETS:	42-49
       TOKENS:	P6W11-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sadiyq_1]
   UNSPLITVOC:	(>aSodiqA}uh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	>aSodiqA}+uh
        GLOSS:	friends+its/his

 INPUT STRING:	لصيد
     IS_TRANS:	lSyd
        INDEX:	P6W11
      OFFSETS:	50-54
       TOKENS:	P6W13-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Saydap_1]
   UNSPLITVOC:	(liSayd)
          POS:	PREP+NOUN
          VOC:	li+Sayd
        GLOSS:	for/to+hunting/fishing/trapping

 INPUT STRING:	الغزلان
     IS_TRANS:	AlgzlAn
        INDEX:	P6W12
      OFFSETS:	55-62
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gazAl_1]
   UNSPLITVOC:	(AlgizolAn)
          POS:	DET+NOUN
          VOC:	Al+gizolAn
        GLOSS:	the+gazelle/gazelles

 INPUT STRING:	وبعد
     IS_TRANS:	wbEd
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(wibaEod)
          POS:	CONJ+NOUN
          VOC:	wi+baEod
        GLOSS:	and+after

 INPUT STRING:	وقت
     IS_TRANS:	wqt
        INDEX:	P7W2
      OFFSETS:	5-8
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqot)
          POS:	NOUN
          VOC:	waqot
        GLOSS:	time/moment/period of time

 INPUT STRING:	ليس
     IS_TRANS:	lys
        INDEX:	P7W3
      OFFSETS:	9-12
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[layosa_2]
   UNSPLITVOC:	(layosa)
          POS:	NEG_PART
          VOC:	layosa
        GLOSS:	not

 INPUT STRING:	بقصير
     IS_TRANS:	bqSyr
        INDEX:	P7W4
      OFFSETS:	13-18
       TOKENS:	P7W5-P7W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qaSiyr_1]
   UNSPLITVOC:	(biqaSiyr)
          POS:	PART+ADJ
          VOC:	bi+qaSiyr
        GLOSS:	[part.]+short/small

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P7W5
      OFFSETS:	19-21
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الصيد
     IS_TRANS:	AlSyd
        INDEX:	P7W6
      OFFSETS:	22-27
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Siyd_1]
   UNSPLITVOC:	(AlSiyd)
          POS:	DET+NOUN
          VOC:	Al+Siyd
        GLOSS:	the+hunting/fishing/trapping

 INPUT STRING:	حدثت
     IS_TRANS:	Hdvt
        INDEX:	P7W7
      OFFSETS:	28-32
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~iv_1]
   UNSPLITVOC:	(Had~ivit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Had~iv+it
        GLOSS:	happen/take place+it/they/she [verb]

 INPUT STRING:	مفاجاه
     IS_TRANS:	mfAjAh
        INDEX:	P7W8
      OFFSETS:	33-39
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mufAjo>ap_1]
   UNSPLITVOC:	(mufAjo>ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mufAjo>+ap
        GLOSS:	surprise+[fem.sg.]

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P8W1
      OFFSETS:	3-5
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ah_1]
   UNSPLITVOC:	(>ah)
          POS:	INTERJ
          VOC:	>ah
        GLOSS:	ah!/ouch!

 INPUT STRING:	مفاجاه
     IS_TRANS:	mfAjAh
        INDEX:	P8W2
      OFFSETS:	6-12
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mufAjo>ap_1]
   UNSPLITVOC:	(mufAjo>ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mufAjo>+ap
        GLOSS:	surprise+[fem.sg.]

 INPUT STRING:	ياخويه
     IS_TRANS:	yAxwyh
        INDEX:	P8W3
      OFFSETS:	13-19
       TOKENS:	P8W3-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ax_1]
   UNSPLITVOC:	(yA_xuwyA)
          POS:	VOC_PART+NOUN
          VOC:	yA+xuwyA
        GLOSS:	O/oh+brother

 INPUT STRING:	عادى
     IS_TRANS:	EAdY
        INDEX:	P8W4
      OFFSETS:	20-24
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdiy_1]
   UNSPLITVOC:	(EAdiy)
          POS:	ADJ
          VOC:	EAdiy
        GLOSS:	ordinary/regular/normal

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P8W5
      OFFSETS:	25-29
