 INPUT STRING:	صبـــاحـكم
        INDEX:	P3W7
      OFFSETS:	22-23
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(/)
          POS:	PUNC
          VOC:	/
        GLOSS:	/

 INPUT STRING:	٢٠١١
     IS_TRANS:	&#x662;&#x660;&#x661;&#x661;
        INDEX:	P3W8
      OFFSETS:	24-28
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(2011)
          POS:	NOUN_NUM
          VOC:	2011
        GLOSS:	2011

 INPUT STRING:	قلبى
     IS_TRANS:	qlbY
        INDEX:	P4W1
      OFFSETS:	1-5
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(qalobiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	qalob+iy
        GLOSS:	heart/center/essence+my

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P4W2
      OFFSETS:	6-8
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	something with

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P4W3
      OFFSETS:	9-11
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	أم
     IS_TRANS:	>m
        INDEX:	P4W4
      OFFSETS:	12-14
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(>um~)
          POS:	NOUN
          VOC:	>um~
        GLOSS:	mother/maternal/mothers

 INPUT STRING:	ضاع
     IS_TRANS:	DAE
        INDEX:	P4W5
      OFFSETS:	15-18
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DAE_1]
   UNSPLITVOC:	(DAE)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	DAE+(null)
        GLOSS:	is lost+he/it

 INPUT STRING:	منها
     IS_TRANS:	mnhA
        INDEX:	P4W6
      OFFSETS:	19-23
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minhA)
          POS:	PREP+PRON_3FS
          VOC:	min+hA
        GLOSS:	from+it/them/her

 INPUT STRING:	عين
     IS_TRANS:	Eyn
        INDEX:	P4W7
      OFFSETS:	24-27
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eayn_1]
   UNSPLITVOC:	(Eayn)
          POS:	NOUN
          VOC:	Eayn
        GLOSS:	eye/eyes/water spring/water source/water springs/water sources/notables/VIP's/Aain

 INPUT STRING:	قلبها
     IS_TRANS:	qlbhA
        INDEX:	P4W8
      OFFSETS:	28-33
       TOKENS:	P4W10-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(qalobahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	qalob+hA
        GLOSS:	heart/center/essence+its/their/her

 INPUT STRING:	دون
     IS_TRANS:	dwn
        INDEX:	P4W9
      OFFSETS:	34-37
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(duwn)
          POS:	NOUN
          VOC:	duwn
        GLOSS:	without/beneath/underneath/inferior/poor

 INPUT STRING:	ذنب
     IS_TRANS:	*nb
        INDEX:	P4W10
      OFFSETS:	38-41
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*anob_1]
   UNSPLITVOC:	(*anob)
          POS:	NOUN
          VOC:	*anob
        GLOSS:	fault/offense/misdeed

 INPUT STRING:	سوى
     IS_TRANS:	swY
        INDEX:	P4W11
      OFFSETS:	42-45
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siway_1]
   UNSPLITVOC:	(siwaY)
          POS:	NOUN
          VOC:	siwaY
        GLOSS:	other than/except for

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P4W12
      OFFSETS:	46-48
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P4W13
      OFFSETS:	49-52
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	said/say/be said/say/(for example)+he/it

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P4W14
      OFFSETS:	53-55
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	لنظام
     IS_TRANS:	lnZAm
        INDEX:	P4W15
      OFFSETS:	56-61
       TOKENS:	P4W18-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(liniZAm)
          POS:	PREP+NOUN
          VOC:	li+niZAm
        GLOSS:	for/to+regime/government

 INPUT STRING:	انتهى
     IS_TRANS:	AnthY
        INDEX:	P4W16
      OFFSETS:	62-67
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotahaY_1]
   UNSPLITVOC:	(AinotahaY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	AinotahaY+(null)
        GLOSS:	finished+he/it

 INPUT STRING:	عمره
     IS_TRANS:	Emrh
        INDEX:	P4W17
      OFFSETS:	68-72
       TOKENS:	P4W21-P4W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumor_1]
   UNSPLITVOC:	(Eumoruh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Eumor+uh
        GLOSS:	age/life/ages/age groups+his/its

 INPUT STRING:	الافتراضى
     IS_TRANS:	AlAftrADY
        INDEX:	P4W18
      OFFSETS:	73-82
       TOKENS:	P4W23-P4W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AifotirADiy_1]
   UNSPLITVOC:	(AlAifotirADiy)
          POS:	DET+ADJ
          VOC:	Al+AifotirADiy
        GLOSS:	the+hypothetical

 INPUT STRING:	منذ
     IS_TRANS:	mn*
        INDEX:	P4W19
      OFFSETS:	83-86
       TOKENS:	P4W24-P4W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muno*_1]
   UNSPLITVOC:	(muno*)
          POS:	NOUN
          VOC:	muno*
        GLOSS:	since/for/in/ago

 INPUT STRING:	سنوات
     IS_TRANS:	snwAt
        INDEX:	P4W20
      OFFSETS:	87-92
       TOKENS:	P4W25-P4W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanawAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	sanaw+At
        GLOSS:	year/years+[fem.pl.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W21
      OFFSETS:	92-93
       TOKENS:	P4W26-P4W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	مشاعرى
     IS_TRANS:	m$AErY
        INDEX:	P5W1
      OFFSETS:	1-7
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uEuwr_1]
   UNSPLITVOC:	(ma$AEiriy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	ma$AEir+iy
        GLOSS:	feelings+my

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P5W2
      OFFSETS:	8-10
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	something with

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P5W3
      OFFSETS:	11-13
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	مصاب
     IS_TRANS:	mSAb
        INDEX:	P5W4
      OFFSETS:	14-18
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muSAb_1]
   UNSPLITVOC:	(muSAb)
          POS:	NOUN
          VOC:	muSAb
        GLOSS:	afflicted/injured/wounded

 INPUT STRING:	وجد
     IS_TRANS:	wjd
        INDEX:	P5W5
      OFFSETS:	19-22
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wajad_1]
   UNSPLITVOC:	(wajad)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	wajad+(null)
        GLOSS:	find/be found/exist+he/it

 INPUT STRING:	نفسه
     IS_TRANS:	nfsh
        INDEX:	P5W6
      OFFSETS:	23-27
       TOKENS:	P5W7-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nafos+uh
        GLOSS:	same/self/selves+his/its

 INPUT STRING:	ملقى
     IS_TRANS:	mlqY
        INDEX:	P5W7
      OFFSETS:	28-32
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muloqaY_1]
   UNSPLITVOC:	(muloqaY)
          POS:	ADJ.VN
          VOC:	muloqaY
        GLOSS:	discarded/thrown/cast

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W8
      OFFSETS:	33-36
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	فراش
     IS_TRANS:	frA$
        INDEX:	P5W9
      OFFSETS:	37-41
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[firA$_1]
   UNSPLITVOC:	(firA$)
          POS:	NOUN
          VOC:	firA$
        GLOSS:	bed

 INPUT STRING:	بمستشفى
     IS_TRANS:	bmst$fY
        INDEX:	P5W10
      OFFSETS:	42-49
       TOKENS:	P5W12-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musota$ofaY_1]
   UNSPLITVOC:	(bimusota$ofaY)
          POS:	PREP+NOUN
          VOC:	bi+musota$ofaY
        GLOSS:	with/by+hospital

 INPUT STRING:	تحت
     IS_TRANS:	tHt
        INDEX:	P5W11
      OFFSETS:	50-53
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHot_1]
   UNSPLITVOC:	(taHot)
          POS:	NOUN
          VOC:	taHot
        GLOSS:	under

 INPUT STRING:	قيد
     IS_TRANS:	qyd
        INDEX:	P5W12
      OFFSETS:	54-57
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qayd_1]
   UNSPLITVOC:	(qayd)
          POS:	NOUN
          VOC:	qayd
        GLOSS:	restriction/stipulation/strings attached

 INPUT STRING:	تهمة
     IS_TRANS:	thmp
        INDEX:	P5W13
      OFFSETS:	58-62
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tuhomap_1]
   UNSPLITVOC:	(tuhomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	tuhom+ap
        GLOSS:	accusation/charge/accusations/charges+[fem.sg.]

 INPUT STRING:	الشغب
     IS_TRANS:	Al$gb
        INDEX:	P5W14
      OFFSETS:	63-68
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$agab_1]
   UNSPLITVOC:	(Al$~agab)
          POS:	DET+NOUN
          VOC:	Al+$agab
        GLOSS:	the+unrest/disturbance

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W15
      OFFSETS:	68-69
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	فرحتى
     IS_TRANS:	frHtY
        INDEX:	P6W1
      OFFSETS:	1-6
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroHap_1]
   UNSPLITVOC:	(faroHitiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	faroH+ap+iy
        GLOSS:	joy/joys+[fem.sg.]+my

 INPUT STRING:	أهديها
     IS_TRANS:	>hdyhA
        INDEX:	P6W2
      OFFSETS:	7-13
       TOKENS:	P6W3-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[had~aY_1]
   UNSPLITVOC:	(Aahad~iyhA)
          POS:	IV1S+IV+IVSUFF_DO:3FS
          VOC:	Aa+had~iy+hA
        GLOSS:	I+offer+it/them/her

 INPUT STRING:	لكل
     IS_TRANS:	lkl
        INDEX:	P6W3
      OFFSETS:	14-17
       TOKENS:	P6W5-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(likul~)
          POS:	PREP+NOUN
          VOC:	li+kul~
        GLOSS:	for/to+all, entire, every, whole

 INPUT STRING:	ثائر
     IS_TRANS:	vA}r
        INDEX:	P6W4
      OFFSETS:	18-22
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vA}ir_1]
   UNSPLITVOC:	(vA}ir)
          POS:	NOUN
          VOC:	vA}ir
        GLOSS:	insurgent/revolutionaries

 INPUT STRING:	كسر
     IS_TRANS:	ksr
        INDEX:	P6W5
      OFFSETS:	23-26
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kasar_1]
   UNSPLITVOC:	(kasar)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kasar+(null)
        GLOSS:	shatter/smash+he/it

 INPUT STRING:	لى
     IS_TRANS:	lY
        INDEX:	P6W6
      OFFSETS:	27-29
       TOKENS:	P6W9-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy~a)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to+I

 INPUT STRING:	وله
     IS_TRANS:	wlh
        INDEX:	P6W7
      OFFSETS:	30-33
       TOKENS:	P6W11-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wiluh)
          POS:	CONJ+PREP+PRON_3MS
          VOC:	wi+l+uh
        GLOSS:	and+to+he/it

 INPUT STRING:	ولملايين
     IS_TRANS:	wlmlAyyn
        INDEX:	P6W8
      OFFSETS:	34-42
       TOKENS:	P6W14-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miloyuwn_1]
   UNSPLITVOC:	(walimalAyiyn)
          POS:	CONJ+PREP+NOUN_NUM
          VOC:	wa+li+malAyiyn
        GLOSS:	and+for/to+millions

 INPUT STRING:	المصريين
     IS_TRANS:	AlmSryyn
        INDEX:	P6W9
      OFFSETS:	43-51
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~iyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+maSoriy~+iyn
        GLOSS:	the+Egyptians+[masc.pl.]

 INPUT STRING:	حاجز
     IS_TRANS:	HAjz
        INDEX:	P6W10
      OFFSETS:	52-56
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjiz_1]
   UNSPLITVOC:	(HAjiz)
          POS:	NOUN
          VOC:	HAjiz
        GLOSS:	obstacle/blockade/obstacles/hurdles

 INPUT STRING:	الخوف
     IS_TRANS:	Alxwf
        INDEX:	P6W11
      OFFSETS:	57-62
       TOKENS:	P6W19-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xawf_1]
   UNSPLITVOC:	(Alxawf)
          POS:	DET+NOUN
          VOC:	Al+xawf
        GLOSS:	the+fear

 INPUT STRING:	والتراجع
     IS_TRANS:	wAltrAjE
        INDEX:	P6W12
      OFFSETS:	63-71
       TOKENS:	P6W20-P6W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tarAjuE_1]
   UNSPLITVOC:	(wiAltarAjuE)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+tarAjuE
        GLOSS:	and+the+retraction

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W13
      OFFSETS:	71-72
       TOKENS:	P6W22-P6W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	أنحنى
     IS_TRANS:	>nHnY
        INDEX:	P7W1
      OFFSETS:	1-6
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AinHanaY_1]
   UNSPLITVOC:	(>anHaniy)
          POS:	IV1S+IV
          VOC:	>a+nHaniy
        GLOSS:	I+bend/bow

 INPUT STRING:	أمام
     IS_TRANS:	>mAm
        INDEX:	P7W2
      OFFSETS:	7-11
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amAm_1]
   UNSPLITVOC:	(>amAm)
          POS:	NOUN
          VOC:	>amAm
        GLOSS:	front/forward

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P7W3
      OFFSETS:	12-14
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P7W4
      OFFSETS:	15-17
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	دافع
     IS_TRANS:	dAfE
        INDEX:	P7W5
      OFFSETS:	18-22
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
