 INPUT STRING:	المستشار
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qADiy_1]
   UNSPLITVOC:	(AlquDAap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+quDA+ap
        GLOSS:	the+judges/magistrates+[fem.sg.]

 INPUT STRING:	بدون
     IS_TRANS:	bdwn
        INDEX:	P2W9
      OFFSETS:	44-48
       TOKENS:	P2W10-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(biduwn)
          POS:	PREP+NOUN
          VOC:	bi+duwn
        GLOSS:	with/by+without/beneath/underneath/inferior/poor

 INPUT STRING:	سبب
     IS_TRANS:	sbb
        INDEX:	P2W10
      OFFSETS:	49-52
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(sabab)
          POS:	NOUN
          VOC:	sabab
        GLOSS:	reason/cause/because of/due to

 INPUT STRING:	والسماح
     IS_TRANS:	wAlsmAH
        INDEX:	P2W11
      OFFSETS:	53-60
       TOKENS:	P2W13-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[samAH_1]
   UNSPLITVOC:	(wiAlsamAH)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+samAH
        GLOSS:	and+the+permission/munificence

 INPUT STRING:	للامريكان
     IS_TRANS:	llAmrykAn
        INDEX:	P2W12
      OFFSETS:	61-70
       TOKENS:	P2W15-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykiy_1]
   UNSPLITVOC:	(lil>amoriykAn)
          POS:	PREP+DET+ADJ
          VOC:	li+Al+>amoriykAn
        GLOSS:	to/for+the+American

 INPUT STRING:	بالسفر
     IS_TRANS:	bAlsfr
        INDEX:	P2W13
      OFFSETS:	71-77
       TOKENS:	P2W17-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[safar_1]
   UNSPLITVOC:	(biAls~afar)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+safar
        GLOSS:	with/by+the+travel/trip/journeys

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P2W14
      OFFSETS:	78-81
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P2W15
      OFFSETS:	82-84
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aan_1]
   UNSPLITVOC:	(Aan)
          POS:	SUB_CONJ
          VOC:	Aan
        GLOSS:	that, to

 INPUT STRING:	كانوا
     IS_TRANS:	kAnwA
        INDEX:	P2W16
      OFFSETS:	85-90
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	kAn+uwA
        GLOSS:	be/was/were+they [verb]

 INPUT STRING:	ممنوعين
     IS_TRANS:	mmnwEyn
        INDEX:	P2W17
      OFFSETS:	91-98
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mamonuwE_1]
   UNSPLITVOC:	(mamonuwEiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	mamonuwE+iyn
        GLOSS:	prohibited/banned+[masc.pl.]

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P2W18
      OFFSETS:	98-99
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P2W19
      OFFSETS:	99-100
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P2W20
      OFFSETS:	100-101
       TOKENS:	P2W25-P2W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P3W1
      OFFSETS:	0-6
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(wibaEodayn)
          POS:	CONJ+ADV
          VOC:	wi+baEodayn
        GLOSS:	and+later/next

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P3W2
      OFFSETS:	7-9
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	تقريبا
     IS_TRANS:	tqrybA
        INDEX:	P3W3
      OFFSETS:	10-16
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taqoriyb_1]
   UNSPLITVOC:	(taqoriybAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	taqoriyb+AF
        GLOSS:	approximation/bringing close/drawing near+[acc.indef.]

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P3W4
      OFFSETS:	17-23
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	العسكرى
     IS_TRANS:	AlEskrY
        INDEX:	P3W5
      OFFSETS:	24-31
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+military/army

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P3W6
      OFFSETS:	32-34
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	رسالتة
     IS_TRANS:	rsAltp
        INDEX:	P3W7
      OFFSETS:	35-41
       TOKENS:	P3W8-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[risAlap_1]
   UNSPLITVOC:	(risAlatuh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	risAl+at+uh
        GLOSS:	letter/communication+[fem.sg.]+his/its

 INPUT STRING:	الاخيرة
     IS_TRANS:	AlAxyrp
        INDEX:	P3W8
      OFFSETS:	42-49
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>axiyr_1]
   UNSPLITVOC:	(AlAxiyrap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Axiyr+ap
        GLOSS:	the+last/latest/recent/latter/finally/recently/lately+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P3W9
      OFFSETS:	50-52
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P3W10
      OFFSETS:	53-56
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it [verb]

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P3W11
      OFFSETS:	57-60
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	said+he/it [verb]

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P3W12
      OFFSETS:	60-61
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P4W1
      OFFSETS:	0-1
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P4W2
      OFFSETS:	4-6
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ain~a_1]
   UNSPLITVOC:	(Ain~a)
          POS:	PSEUDO_VERB
          VOC:	Ain~a
        GLOSS:	indeed

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P4W3
      OFFSETS:	7-12
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	المصرى
     IS_TRANS:	AlmSrY
        INDEX:	P4W4
      OFFSETS:	13-19
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+Egyptian

 INPUT STRING:	لن
     IS_TRANS:	ln
        INDEX:	P4W5
      OFFSETS:	20-22
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lano_1]
   UNSPLITVOC:	(lano)
          POS:	NEG_PART
          VOC:	lano
        GLOSS:	not, never, nevermore

 INPUT STRING:	يركع
     IS_TRANS:	yrkE
        INDEX:	P4W6
      OFFSETS:	23-27
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rakaE_1]
   UNSPLITVOC:	(yirokaE)
          POS:	IV3MS+IV
          VOC:	yi+rokaE
        GLOSS:	he/it+knee

 INPUT STRING:	لاحد
     IS_TRANS:	lAHd
        INDEX:	P4W7
      OFFSETS:	28-32
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(li>aHad)
          POS:	PREP+NOUN
          VOC:	li+>aHad
        GLOSS:	for/to+one of /someone/ anyone/no-one/ones

 INPUT STRING:	ولن
     IS_TRANS:	wln
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lano_1]
   UNSPLITVOC:	(walano)
          POS:	CONJ+NEG_PART
          VOC:	wa+lano
        GLOSS:	and+not, never, nevermore

 INPUT STRING:	يقع
     IS_TRANS:	yqE
        INDEX:	P5W2
      OFFSETS:	4-7
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqaE_1]
   UNSPLITVOC:	(yaqaE)
          POS:	IV3MS+IV
          VOC:	ya+qaE
        GLOSS:	he/it+fall dow/take place/be located

 INPUT STRING:	تحت
     IS_TRANS:	tHt
        INDEX:	P5W3
      OFFSETS:	8-11
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHot_1]
   UNSPLITVOC:	(taHot)
          POS:	NOUN
          VOC:	taHot
        GLOSS:	under

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P5W4
      OFFSETS:	12-14
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	ضغوط
     IS_TRANS:	DgwT
        INDEX:	P5W5
      OFFSETS:	15-19
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DagoT_1]
   UNSPLITVOC:	(DuguwT)
          POS:	NOUN
          VOC:	DuguwT
        GLOSS:	pressures/stresses

 INPUT STRING:	مهما
     IS_TRANS:	mhmA
        INDEX:	P5W6
      OFFSETS:	20-24
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mahomA_1]
   UNSPLITVOC:	(mahomA)
          POS:	REL_PRON
          VOC:	mahomA
        GLOSS:	whatever

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P5W7
      OFFSETS:	25-29
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be/was/were+it/they/she [verb]

 INPUT STRING:	وان
     IS_TRANS:	wAn
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ain~_1]
   UNSPLITVOC:	(wiAin~)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+Ain~
        GLOSS:	and+that

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P6W2
      OFFSETS:	4-9
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	المصرى
     IS_TRANS:	AlmSrY
        INDEX:	P6W3
      OFFSETS:	10-16
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+Egyptian

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P6W4
      OFFSETS:	17-19
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	يركع
     IS_TRANS:	yrkE
        INDEX:	P6W5
      OFFSETS:	20-24
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rakaE_1]
   UNSPLITVOC:	(yirokaE)
          POS:	IV3MS+IV
          VOC:	yi+rokaE
        GLOSS:	he/it+knee/bow

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P6W6
      OFFSETS:	25-28
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	except for

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P6W7
      OFFSETS:	29-32
       TOKENS:	P6W8-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	وحده
     IS_TRANS:	wHdh
        INDEX:	P6W8
      OFFSETS:	33-37
       TOKENS:	P6W10-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHod_1]
   UNSPLITVOC:	(waHoduh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	waHod+uh
        GLOSS:	alone/only+his/its

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W9
      OFFSETS:	37-38
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
