 INPUT STRING:	سأنتخب
        GLOSS:	state/country/states/countries+[fem.sg.]

 INPUT STRING:	ونرجع
     IS_TRANS:	wnrjE
        INDEX:	P4W6
      OFFSETS:	23-28
       TOKENS:	P4W6-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rajaE_1]
   UNSPLITVOC:	(winirjaE)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+rajaE
        GLOSS:	and+we+send back/be sent back

 INPUT STRING:	بكام
     IS_TRANS:	bkAm
        INDEX:	P4W7
      OFFSETS:	29-33
       TOKENS:	P4W8-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAm_1]
   UNSPLITVOC:	(bikAm)
          POS:	PREP+NOUN_QUANT
          VOC:	bi+kAm
        GLOSS:	by+some

 INPUT STRING:	ست
     IS_TRANS:	st
        INDEX:	P4W8
      OFFSETS:	34-36
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sit~_1]
   UNSPLITVOC:	(sit~)
          POS:	NOUN
          VOC:	sit~
        GLOSS:	lady/miss/ladies/misses

 INPUT STRING:	وغنائم
     IS_TRANS:	wgnA}m
        INDEX:	P4W9
      OFFSETS:	37-43
       TOKENS:	P4W11-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ganiymap_1]
   UNSPLITVOC:	(waganA}im)
          POS:	CONJ+NOUN
          VOC:	wa+ganA}im
        GLOSS:	and+spoils/booty

 INPUT STRING:	فيديو
     IS_TRANS:	fydyw
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiydyuw_1]
   UNSPLITVOC:	(fiydyuw)
          POS:	NOUN
          VOC:	fiydyuw
        GLOSS:	video

 INPUT STRING:	الحوينى
     IS_TRANS:	AlHwynY
        INDEX:	P5W2
      OFFSETS:	6-13
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hiwayniy_1]
   UNSPLITVOC:	(AlHiwayniy)
          POS:	DET+NOUN_PROP
          VOC:	Al+Hiwayniy
        GLOSS:	the+hiwani

 INPUT STRING:	يحل
     IS_TRANS:	yHl
        INDEX:	P5W3
      OFFSETS:	14-17
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hal~_1]
   UNSPLITVOC:	(yiHil~)
          POS:	IV3MS+IV
          VOC:	yi+Hil~
        GLOSS:	he/it+dissolve/untie/solve (problem)/be dissolved/be untied/be solved/be solved (problem)/begin

 INPUT STRING:	مشكلة
     IS_TRANS:	m$klp
        INDEX:	P5W4
      OFFSETS:	18-23
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(mu$okilap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mu$okil+ap
        GLOSS:	problem/issue+[fem.sg.]

 INPUT STRING:	الفقر
     IS_TRANS:	Alfqr
        INDEX:	P5W5
      OFFSETS:	24-29
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqor_1]
   UNSPLITVOC:	(Alfaqor)
          POS:	DET+NOUN
          VOC:	Al+faqor
        GLOSS:	the+poverty

 INPUT STRING:	ب
     IS_TRANS:	b
        INDEX:	P6W1
      OFFSETS:	0-1
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(b)
          POS:	PREP
          VOC:	b
        GLOSS:	with/by/him/them/her

 INPUT STRING:	النسبة
     IS_TRANS:	Alnsbp
        INDEX:	P6W2
      OFFSETS:	2-8
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisobap_1]
   UNSPLITVOC:	(Aln~isobap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+nisob+ap
        GLOSS:	the+ratio/rate/percentage figure+[fem.sg.]

 INPUT STRING:	للثقافة
     IS_TRANS:	llvqAfp
        INDEX:	P6W3
      OFFSETS:	9-16
       TOKENS:	P6W3-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vaqAfap_1]
   UNSPLITVOC:	(lilv~aqAfap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+vaqAf+ap
        GLOSS:	for/to+the+culture/civilization+[fem.sg.]

 INPUT STRING:	والاثار
     IS_TRANS:	wAlAvAr
        INDEX:	P6W4
      OFFSETS:	17-24
       TOKENS:	P6W5-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>avar_1]
   UNSPLITVOC:	(wiAl|vAr)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+|vAr
        GLOSS:	and+the+antiquities

 INPUT STRING:	لن
     IS_TRANS:	ln
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lano_1]
   UNSPLITVOC:	(lano)
          POS:	NEG_PART
          VOC:	lano
        GLOSS:	not, never, nevermore

 INPUT STRING:	نحتاج
     IS_TRANS:	nHtAj
        INDEX:	P7W2
      OFFSETS:	3-8
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotAj_1]
   UNSPLITVOC:	(niHotAj)
          POS:	IV1P+IV
          VOC:	ni+HotAj
        GLOSS:	we+need/want

 INPUT STRING:	لوزارة
     IS_TRANS:	lwzArp
        INDEX:	P7W3
      OFFSETS:	9-15
       TOKENS:	P7W3-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wizArap_1]
   UNSPLITVOC:	(liwizArap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+wizAr+ap
        GLOSS:	for/to+ministry+[fem.sg.]

 INPUT STRING:	الثقافة
     IS_TRANS:	AlvqAfp
        INDEX:	P7W4
      OFFSETS:	16-23
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vaqAfap_1]
   UNSPLITVOC:	(Alv~aqAfap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vaqAf+ap
        GLOSS:	the+culture/civilization+[fem.sg.]

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P7W5
      OFFSETS:	24-26
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>awo_1]
   UNSPLITVOC:	(>awo)
          POS:	CONJ
          VOC:	>awo
        GLOSS:	Or, if not, unless, except if, except when

 INPUT STRING:	مجلس
     IS_TRANS:	mjls
        INDEX:	P7W6
      OFFSETS:	27-31
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(majolis)
          POS:	NOUN
          VOC:	majolis
        GLOSS:	council/board/Majlis

 INPUT STRING:	اثار
     IS_TRANS:	AvAr
        INDEX:	P7W7
      OFFSETS:	32-36
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>avar_1]
   UNSPLITVOC:	(|vAr)
          POS:	NOUN
          VOC:	|vAr
        GLOSS:	antiquities

 INPUT STRING:	فالاثار
     IS_TRANS:	fAlAvAr
        INDEX:	P8W1
      OFFSETS:	0-7
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>avar_1]
   UNSPLITVOC:	(faAl|vAr)
          POS:	CONJ+DET+NOUN
          VOC:	fa+Al+|vAr
        GLOSS:	so/and+the+antiquities

 INPUT STRING:	الكبيرة
     IS_TRANS:	Alkbyrp
        INDEX:	P8W2
      OFFSETS:	8-15
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(Alkibiyrap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+kibiyr+ap
        GLOSS:	the+large/big/old+[fem.sg.]

 INPUT STRING:	يجب
     IS_TRANS:	yjb
        INDEX:	P8W3
      OFFSETS:	16-19
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajab_1]
   UNSPLITVOC:	(yajib)
          POS:	IV3MS+IV
          VOC:	ya+jib
        GLOSS:	he/it+be necessary

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P8W4
      OFFSETS:	20-22
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	تدمر
     IS_TRANS:	tdmr
        INDEX:	P8W5
      OFFSETS:	23-27
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<idam~ar_1]
   UNSPLITVOC:	(tidam~ar)
          POS:	IV3FS+IV_PASS
          VOC:	ti+dam~ar
        GLOSS:	it/they/she+be destroyed

 INPUT STRING:	تطمس
     IS_TRANS:	tTms
        INDEX:	P8W6
      OFFSETS:	29-33
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iTamas_1]
   UNSPLITVOC:	(tuTomas)
          POS:	IV3FS+IV_PASS
          VOC:	tu+Tomas
        GLOSS:	it/they/she+eradicate/obliterate

 INPUT STRING:	دمر
     IS_TRANS:	dmr
        INDEX:	P9W1
      OFFSETS:	0-3
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dam~ar_1]
   UNSPLITVOC:	(dam~ar)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	dam~ar+(null)
        GLOSS:	destroy/wreck/be destroyed/be wrecked+he/it

 INPUT STRING:	الهرم
     IS_TRANS:	Alhrm
        INDEX:	P9W2
      OFFSETS:	4-9
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[haram_1]
   UNSPLITVOC:	(Alharam)
          POS:	DET+NOUN
          VOC:	Al+haram
        GLOSS:	the+pyramid/pyramids/Ahram

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P9W3
      OFFSETS:	10-12
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>awo_1]
   UNSPLITVOC:	(>awo)
          POS:	CONJ
          VOC:	>awo
        GLOSS:	Or, if not, unless, except if, except when

 INPUT STRING:	الاصنام
     IS_TRANS:	AlASnAm
        INDEX:	P9W4
      OFFSETS:	13-20
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sanam_1]
   UNSPLITVOC:	(Al>aSonAm)
          POS:	DET+NOUN
          VOC:	Al+>aSonAm
        GLOSS:	the+idol/image

 INPUT STRING:	الاخرى
     IS_TRANS:	AlAxrY
        INDEX:	P9W5
      OFFSETS:	21-27
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uxoray_1]
   UNSPLITVOC:	(Al>uxoraY)
          POS:	DET+ADJ
          VOC:	Al+>uxoraY
        GLOSS:	the+additional/other/another

 INPUT STRING:	اما
     IS_TRANS:	AmA
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>am~A_1]
   UNSPLITVOC:	(>am~A)
          POS:	FOCUS_PART
          VOC:	>am~A
        GLOSS:	As to, as for, as far as , but, however, yet, on the other hand

 INPUT STRING:	بالنسبة
     IS_TRANS:	bAlnsbp
        INDEX:	P10W2
      OFFSETS:	4-11
       TOKENS:	P10W2-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisobap_1]
   UNSPLITVOC:	(biAln~isobap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+nisob+ap
        GLOSS:	with/by+the+link/relation+[fem.sg.]

 INPUT STRING:	للاثار
     IS_TRANS:	llAvAr
        INDEX:	P10W3
      OFFSETS:	12-18
       TOKENS:	P10W4-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>avar_1]
   UNSPLITVOC:	(lil|vAr)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+|vAr
        GLOSS:	to/for+the+antiquities

 INPUT STRING:	الصغيرة
     IS_TRANS:	AlSgyrp
        INDEX:	P10W4
      OFFSETS:	19-26
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sugay~ar_1]
   UNSPLITVOC:	(AlS~ugay~arap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Sugay~ar+ap
        GLOSS:	the+young+[fem.sg.]

 INPUT STRING:	كالذهب
     IS_TRANS:	kAl*hb
        INDEX:	P10W5
      OFFSETS:	27-33
       TOKENS:	P10W7-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*ahab_1]
   UNSPLITVOC:	(kaAl*~ahab)
          POS:	PREP+DET+NOUN
          VOC:	ka+Al+*ahab
        GLOSS:	like/such as+the+gold

 INPUT STRING:	فهى
     IS_TRANS:	fhY
        INDEX:	P10W6
      OFFSETS:	34-37
       TOKENS:	P10W9-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(fahiy~a)
          POS:	CONNEC_PART+PRON_3FS
          VOC:	fa+hiy~a
        GLOSS:	so/then+it/they/she

 INPUT STRING:	حلال
     IS_TRANS:	HlAl
        INDEX:	P10W7
      OFFSETS:	38-42
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HalAl_1]
   UNSPLITVOC:	(HalAl)
          POS:	NOUN
          VOC:	HalAl
        GLOSS:	permissible/legitimate

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P10W8
      OFFSETS:	43-47
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whom/which

 INPUT STRING:	يجدها
     IS_TRANS:	yjdhA
        INDEX:	P10W9
      OFFSETS:	48-53
       TOKENS:	P10W13-P10W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[wajad_1]
   UNSPLITVOC:	(yajidhA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	ya+jid+hA
        GLOSS:	he/it+find+it/them/her

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P10W10
      OFFSETS:	54-56
       TOKENS:	P10W15-P10W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ملكه
     IS_TRANS:	mlkh
        INDEX:	P10W11
      OFFSETS:	57-61
       TOKENS:	P10W16-P10W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[milok_1]
   UNSPLITVOC:	(milokuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	milok+uh
        GLOSS:	property/real estate/possessions/property+his/its

 INPUT STRING:	يبيعها
     IS_TRANS:	ybyEhA
        INDEX:	P10W12
      OFFSETS:	62-68
       TOKENS:	P10W18-P10W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAE_1]
   UNSPLITVOC:	(yibiyEhA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yi+biyE+hA
        GLOSS:	he/it+sale+it/them/her

 INPUT STRING:	ويعيش
     IS_TRANS:	wyEy$
        INDEX:	P10W13
      OFFSETS:	69-74
