 INPUT STRING:	بعد
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الوقت
     IS_TRANS:	Alwqt
        INDEX:	P1W13
      OFFSETS:	73-78
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(Alwaqot)
          POS:	DET+NOUN
          VOC:	Al+waqot
        GLOSS:	the+time/moment/period of time

 INPUT STRING:	الذى
     IS_TRANS:	Al*Y
        INDEX:	P1W14
      OFFSETS:	79-83
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P1W15
      OFFSETS:	84-88
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P1W16
      OFFSETS:	89-92
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	تمر
     IS_TRANS:	tmr
        INDEX:	P1W17
      OFFSETS:	93-96
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~_1]
   UNSPLITVOC:	(timur~)
          POS:	IV3FS+IV
          VOC:	ti+mur~
        GLOSS:	it/they/she+pass through

 INPUT STRING:	بفترة
     IS_TRANS:	bftrp
        INDEX:	P1W18
      OFFSETS:	97-102
       TOKENS:	P1W22-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fatorap_1]
   UNSPLITVOC:	(bifatorap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+fator+ap
        GLOSS:	with/by+phase/time period/interval/phases/time periods/intervals+[fem.sg.]

 INPUT STRING:	حداد
     IS_TRANS:	HdAd
        INDEX:	P1W19
      OFFSETS:	103-107
       TOKENS:	P1W24-P1W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~Ad_1]
   UNSPLITVOC:	(Had~Ad)
          POS:	NOUN
          VOC:	Had~Ad
        GLOSS:	mourning

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P1W20
      OFFSETS:	108-111
       TOKENS:	P1W25-P1W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	ضحايا
     IS_TRANS:	DHAyA
        INDEX:	P1W21
      OFFSETS:	112-117
       TOKENS:	P1W26-P1W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaHiy~ap_1]
   UNSPLITVOC:	(DaHAyA)
          POS:	NOUN
          VOC:	DaHAyA
        GLOSS:	victim/victims

 INPUT STRING:	أحداث
     IS_TRANS:	>HdAv
        INDEX:	P1W22
      OFFSETS:	118-123
       TOKENS:	P1W27-P1W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(>aHodAv)
          POS:	NOUN
          VOC:	>aHodAv
        GLOSS:	events

 INPUT STRING:	بورسعيد
     IS_TRANS:	bwrsEyd
        INDEX:	P1W23
      OFFSETS:	124-131
       TOKENS:	P1W28-P1W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buwrsaEiyd_1]
   UNSPLITVOC:	(buwrsaEiyd)
          POS:	NOUN_PROP
          VOC:	buwrsaEiyd
        GLOSS:	Port Said

 INPUT STRING:	يواصل
     IS_TRANS:	ywASl
        INDEX:	P1W24
      OFFSETS:	132-137
       TOKENS:	P1W29-P1W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wASil_1]
   UNSPLITVOC:	(yiwASil)
          POS:	IV3MS+IV
          VOC:	yi+wASil
        GLOSS:	he/it+continue

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P1W25
      OFFSETS:	138-142
       TOKENS:	P1W30-P1W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Muhammad/Mohamed

 INPUT STRING:	زيدان
     IS_TRANS:	zydAn
        INDEX:	P1W26
      OFFSETS:	143-148
       TOKENS:	P1W31-P1W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zayodAn_1]
   UNSPLITVOC:	(zayodAn)
          POS:	NOUN_PROP
          VOC:	zayodAn
        GLOSS:	Zaidan/Zeidan

 INPUT STRING:	لاعب
     IS_TRANS:	lAEb
        INDEX:	P1W27
      OFFSETS:	149-153
       TOKENS:	P1W32-P1W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAEib_1]
   UNSPLITVOC:	(lAEib)
          POS:	NOUN
          VOC:	lAEib
        GLOSS:	player/athlete

 INPUT STRING:	منخب
     IS_TRANS:	mnxb
        INDEX:	P1W28
      OFFSETS:	154-158
       TOKENS:	P1W33-P1W33
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mnxb)
          POS:	TYPO
          VOC:	mnxb
        GLOSS:	nogloss

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P1W29
      OFFSETS:	159-162
       TOKENS:	P1W34-P1W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	لكرة
     IS_TRANS:	lkrp
        INDEX:	P1W30
      OFFSETS:	163-167
       TOKENS:	P1W35-P1W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kurap_1]
   UNSPLITVOC:	(likurap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+kur+ap
        GLOSS:	for/to+ball/globe/sphere/balls/globes/spheres/soccer/football+[fem.sg.]

 INPUT STRING:	القدم
     IS_TRANS:	Alqdm
        INDEX:	P1W31
      OFFSETS:	168-173
       TOKENS:	P1W37-P1W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qadam_1]
   UNSPLITVOC:	(Alqadam)
          POS:	DET+NOUN
          VOC:	Al+qadam
        GLOSS:	the+foot/feet

 INPUT STRING:	وإبن
     IS_TRANS:	w<bn
        INDEX:	P1W32
      OFFSETS:	174-178
       TOKENS:	P1W38-P1W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aibon_1]
   UNSPLITVOC:	(wiAibon)
          POS:	CONJ+NOUN
          VOC:	wi+Aibon
        GLOSS:	and+son

 INPUT STRING:	بورسعيد
     IS_TRANS:	bwrsEyd
        INDEX:	P1W33
      OFFSETS:	179-186
       TOKENS:	P1W40-P1W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buwrsaEiyd_1]
   UNSPLITVOC:	(buwrsaEiyd)
          POS:	NOUN_PROP
          VOC:	buwrsaEiyd
        GLOSS:	Port Said

 INPUT STRING:	إستفزازه
     IS_TRANS:	<stfzAzh
        INDEX:	P1W34
      OFFSETS:	187-195
       TOKENS:	P1W41-P1W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<istifzAz_1]
   UNSPLITVOC:	(<istifzAzuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	<istifzAz+uh
        GLOSS:	provocation+his/its

 INPUT STRING:	للمصريين
     IS_TRANS:	llmSryyn
        INDEX:	P1W35
      OFFSETS:	196-204
       TOKENS:	P1W43-P1W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(lilmaSoriy~iyn)
          POS:	PREP+DET+NOUN+NSUFF_MASC_PL
          VOC:	li+Al+maSoriy~+iyn
        GLOSS:	for+the+Egyptians+[masc.pl.]

 INPUT STRING:	بتصريحات
     IS_TRANS:	btSryHAt
        INDEX:	P1W36
      OFFSETS:	205-213
       TOKENS:	P1W45-P1W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taSoriyH_1]
   UNSPLITVOC:	(bitaSoriyHAt)
          POS:	PREP+NOUN+NSUFF_FEM_PL
          VOC:	bi+taSoriyH+At
        GLOSS:	with/by+declarations/statements+[fem.pl.]

 INPUT STRING:	مستفزة
     IS_TRANS:	mstfzp
        INDEX:	P1W37
      OFFSETS:	214-220
       TOKENS:	P1W47-P1W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mustafiz~_1]
   UNSPLITVOC:	(mustafiz~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mustafiz~+ap
        GLOSS:	provocative+[fem.sg.]

 INPUT STRING:	وذلك
     IS_TRANS:	w*lk
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*alik_1]
   UNSPLITVOC:	(wi*alik)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wi+*alik
        GLOSS:	and+that

 INPUT STRING:	عندما
     IS_TRANS:	EndmA
        INDEX:	P2W2
      OFFSETS:	5-10
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(EndmA)
          POS:	NO_FUNC
          VOC:	EndmA
        GLOSS:	nogloss

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P2W3
      OFFSETS:	11-14
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	said/say/be said/say/(for example)+he/it

 INPUT STRING:	أنه
     IS_TRANS:	>nh
        INDEX:	P2W4
      OFFSETS:	15-18
       TOKENS:	P2W5-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	زعلان
     IS_TRANS:	zElAn
        INDEX:	P2W5
      OFFSETS:	19-24
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaEolAn_1]
   UNSPLITVOC:	(zaEolAn)
          POS:	ADJ
          VOC:	zaEolAn
        GLOSS:	angry/annoyed

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W6
      OFFSETS:	25-28
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الرئيس
     IS_TRANS:	Alr}ys
        INDEX:	P2W7
      OFFSETS:	29-35
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(Alr~a}iys)
          POS:	DET+NOUN
          VOC:	Al+ra}iys
        GLOSS:	the+president/head/chairman

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P2W8
      OFFSETS:	36-41
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	وزعلان
     IS_TRANS:	wzElAn
        INDEX:	P2W9
      OFFSETS:	42-48
       TOKENS:	P2W11-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaEolAn_1]
   UNSPLITVOC:	(wizaEolAn)
          POS:	CONJ+ADJ
          VOC:	wi+zaEolAn
        GLOSS:	and+angry/annoyed

 INPUT STRING:	منه
     IS_TRANS:	mnh
        INDEX:	P2W10
      OFFSETS:	49-52
       TOKENS:	P2W13-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~uh)
          POS:	PREP+PRON_3MS
          VOC:	min~+uh
        GLOSS:	from+he/it

 INPUT STRING:	ومازلت
     IS_TRANS:	wmAzlt
        INDEX:	P3W1
      OFFSETS:	0-6
       TOKENS:	P3W1-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*Al_1]
   UNSPLITVOC:	(wimA_zilt)
          POS:	CONJ+NEG_PART+PV+PVSUFF_SUBJ:1S
          VOC:	wi+mA+zil+t
        GLOSS:	and+not+cease/stop+I

 INPUT STRING:	أحترم
     IS_TRANS:	>Htrm
        INDEX:	P3W2
      OFFSETS:	7-12
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotaram_1]
   UNSPLITVOC:	(AaHotarim)
          POS:	IV1S+IV
          VOC:	Aa+Hotarim
        GLOSS:	I+respect

 INPUT STRING:	نجله
     IS_TRANS:	njlh
        INDEX:	P3W3
      OFFSETS:	13-17
       TOKENS:	P3W5-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[najl_1]
   UNSPLITVOC:	(najluh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	najl+uh
        GLOSS:	son+his/its

 INPUT STRING:	علاء
     IS_TRANS:	ElA'
        INDEX:	P3W4
      OFFSETS:	18-22
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalA'_1]
   UNSPLITVOC:	(EalA')
          POS:	NOUN_PROP
          VOC:	EalA'
        GLOSS:	Alaa

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P3W5
      OFFSETS:	23-28
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	وسأظل
     IS_TRANS:	ws>Zl
        INDEX:	P3W6
      OFFSETS:	29-34
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ws>Zl)
          POS:	NO_FUNC
          VOC:	ws>Zl
        GLOSS:	nogloss

 INPUT STRING:	أحترمه
     IS_TRANS:	>Htrmh
        INDEX:	P3W7
      OFFSETS:	35-41
       TOKENS:	P3W10-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotaram_1]
   UNSPLITVOC:	(AaHotiromuh)
          POS:	IV1S+IV+IVSUFF_DO:3MS
          VOC:	Aa+Hotirom+uh
        GLOSS:	I+respect+him/it

 INPUT STRING:	وأقدره
     IS_TRANS:	w>qdrh
        INDEX:	P3W8
      OFFSETS:	42-48
       TOKENS:	P3W12-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qad~ar_1]
   UNSPLITVOC:	(wa>uqad~iruh)
          POS:	CONJ+IV1S+IV+IVSUFF_DO:3MS
          VOC:	wa+>u+qad~ir+uh
        GLOSS:	and+I+esteem+him/it

 INPUT STRING:	للأبد
     IS_TRANS:	ll>bd
        INDEX:	P3W9
      OFFSETS:	49-54
       TOKENS:	P3W15-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>abad_1]
   UNSPLITVOC:	(lil>abad)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+>abad
        GLOSS:	to/for+the+eternity/forever

 INPUT STRING:	وقال
     IS_TRANS:	wqAl
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiqAl)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+qAl+(null)
        GLOSS:	and+said/say/be said/say/(for example)+he/it

 INPUT STRING:	زيدان
     IS_TRANS:	zydAn
        INDEX:	P4W2
      OFFSETS:	5-10
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zayodAn_1]
   UNSPLITVOC:	(zayodAn)
          POS:	NOUN_PROP
          VOC:	zayodAn
        GLOSS:	Zaidan/Zeidan

 INPUT STRING:	أنه
     IS_TRANS:	>nh
        INDEX:	P4W3
      OFFSETS:	11-14
       TOKENS:	P4W4-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P4W4
      OFFSETS:	15-18
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qab~il_1]
   UNSPLITVOC:	(qab~il)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qab~il+(null)
        GLOSS:	kiss+he/it

 INPUT STRING:	يد
     IS_TRANS:	yd
        INDEX:	P4W5
      OFFSETS:	19-21
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yad_1]
   UNSPLITVOC:	(yad)
          POS:	NOUN
          VOC:	yad
        GLOSS:	hand

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P4W6
      OFFSETS:	22-27
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	عقب
     IS_TRANS:	Eqb
        INDEX:	P4W7
      OFFSETS:	28-31
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Euqob_1]
   UNSPLITVOC:	(Euqob)
          POS:	NOUN
          VOC:	Euqob
        GLOSS:	consequence/aftermath/heels

 INPUT STRING:	الفوز
     IS_TRANS:	Alfwz
        INDEX:	P4W8
      OFFSETS:	32-37
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fawz_1]
   UNSPLITVOC:	(Alfawz)
          POS:	DET+NOUN
          VOC:	Al+fawz
        GLOSS:	the+victory

 INPUT STRING:	ببطولة
