 INPUT STRING:	زواج
          POS:	DET+NOUN
          VOC:	Al+safar
        GLOSS:	the+travel/trip/journeys

 INPUT STRING:	للخارج
     IS_TRANS:	llxArj
        INDEX:	P2W9
      OFFSETS:	46-52
       TOKENS:	P2W10-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xArij_1]
   UNSPLITVOC:	(lilxArij)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+xArij
        GLOSS:	for/to+the+outside/outer part/overseas/exterior

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P2W10
      OFFSETS:	53-56
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P2W11
      OFFSETS:	57-59
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	انتشرت
     IS_TRANS:	Ant$rt
        INDEX:	P2W12
      OFFSETS:	60-66
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota$ar_1]
   UNSPLITVOC:	(Ainota$arit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Ainota$ar+it
        GLOSS:	spread+it/they/she

 INPUT STRING:	الأحاديث
     IS_TRANS:	Al>HAdyv
        INDEX:	P2W13
      OFFSETS:	67-75
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadiyv_2]
   UNSPLITVOC:	(Al>aHAdiyv)
          POS:	DET+NOUN
          VOC:	Al+>aHAdiyv
        GLOSS:	the+discussions/talks

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P2W14
      OFFSETS:	76-78
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	إمكانية
     IS_TRANS:	<mkAnyp
        INDEX:	P2W15
      OFFSETS:	79-86
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AimokAniy~ap_1]
   UNSPLITVOC:	(AimokAniy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	AimokAniy~+ap
        GLOSS:	possibility+[fem.sg.]

 INPUT STRING:	الحصول
     IS_TRANS:	AlHSwl
        INDEX:	P2W16
      OFFSETS:	87-93
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HuSuwl_1]
   UNSPLITVOC:	(AlHuSuwl)
          POS:	DET+NOUN
          VOC:	Al+HuSuwl
        GLOSS:	the+acquisition/obtaining/occurrence/happening

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W17
      OFFSETS:	94-97
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	زوجة
     IS_TRANS:	zwjp
        INDEX:	P2W18
      OFFSETS:	98-102
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zawjap_1]
   UNSPLITVOC:	(zawjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	zawj+ap
        GLOSS:	wife/wives+[fem.sg.]

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P2W19
      OFFSETS:	103-106
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(gayor)
          POS:	NOUN
          VOC:	gayor
        GLOSS:	not/other

 INPUT STRING:	مصرية
     IS_TRANS:	mSryp
        INDEX:	P2W20
      OFFSETS:	107-112
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	maSoriy~+ap
        GLOSS:	egyptian+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W21
      OFFSETS:	113-114
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	5000
     IS_TRANS:	5000
        INDEX:	P2W22
      OFFSETS:	114-118
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(5000)
          POS:	ADJ_NUM
          VOC:	5000
        GLOSS:	5000

 INPUT STRING:	دولار
     IS_TRANS:	dwlAr
        INDEX:	P2W23
      OFFSETS:	118-123
       TOKENS:	P2W25-P2W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwlAr_1]
   UNSPLITVOC:	(duwlAr)
          POS:	NOUN
          VOC:	duwlAr
        GLOSS:	dollar/dollars

 INPUT STRING:	عند
     IS_TRANS:	End
        INDEX:	P2W24
      OFFSETS:	124-127
       TOKENS:	P2W26-P2W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Einod_1]
   UNSPLITVOC:	(Einod)
          POS:	NOUN
          VOC:	Einod
        GLOSS:	with / at

 INPUT STRING:	تسجيل
     IS_TRANS:	tsjyl
        INDEX:	P2W25
      OFFSETS:	128-133
       TOKENS:	P2W27-P2W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tasojiyl_1]
   UNSPLITVOC:	(tasojiyl)
          POS:	NOUN
          VOC:	tasojiyl
        GLOSS:	registration/recording/documentation

 INPUT STRING:	الزواج
     IS_TRANS:	AlzwAj
        INDEX:	P2W26
      OFFSETS:	134-140
       TOKENS:	P2W28-P2W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zawAj_1]
   UNSPLITVOC:	(Alz~awAj)
          POS:	DET+NOUN
          VOC:	Al+zawAj
        GLOSS:	the+marriage/wedding

 INPUT STRING:	بالشهر
     IS_TRANS:	bAl$hr
        INDEX:	P2W27
      OFFSETS:	141-147
       TOKENS:	P2W29-P2W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahor_1]
   UNSPLITVOC:	(biAl$~ahor)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+$ahor
        GLOSS:	with/by+the+month/months

 INPUT STRING:	العقاري
     IS_TRANS:	AlEqAry
        INDEX:	P2W28
      OFFSETS:	148-155
       TOKENS:	P2W31-P2W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaqAriy_1]
   UNSPLITVOC:	(AlEaqAriy)
          POS:	DET+ADJ
          VOC:	Al+EaqAriy
        GLOSS:	the+mortgage/real estate

 INPUT STRING:	بالإضافة
     IS_TRANS:	bAl<DAfp
        INDEX:	P2W29
      OFFSETS:	156-164
       TOKENS:	P2W32-P2W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiDAfap_1]
   UNSPLITVOC:	(biAlAiDAfap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+AiDAf+ap
        GLOSS:	with/by+the+addition+[fem.sg.]

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P2W30
      OFFSETS:	165-168
       TOKENS:	P2W34-P2W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to

 INPUT STRING:	100
     IS_TRANS:	100
        INDEX:	P2W31
      OFFSETS:	169-172
       TOKENS:	P2W35-P2W35
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(100)
          POS:	ADJ_NUM
          VOC:	100
        GLOSS:	100

 INPUT STRING:	دولار
     IS_TRANS:	dwlAr
        INDEX:	P2W32
      OFFSETS:	172-177
       TOKENS:	P2W36-P2W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwlAr_1]
   UNSPLITVOC:	(duwlAr)
          POS:	NOUN
          VOC:	duwlAr
        GLOSS:	dollar/dollars

 INPUT STRING:	شهرياً
     IS_TRANS:	$hryAF
        INDEX:	P2W33
      OFFSETS:	178-184
       TOKENS:	P2W37-P2W37
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ahoriy~_1]
   UNSPLITVOC:	($ahoriy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	$ahoriy~+AF
        GLOSS:	monthly+[acc.indef.]

 INPUT STRING:	كمصروف
     IS_TRANS:	kmSrwf
        INDEX:	P2W34
      OFFSETS:	185-191
       TOKENS:	P2W38-P2W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoruwf_1]
   UNSPLITVOC:	(kamaSoruwf)
          POS:	PREP+NOUN
          VOC:	ka+maSoruwf
        GLOSS:	like/such+expenditure/expense/allowance

 INPUT STRING:	جيب
     IS_TRANS:	jyb
        INDEX:	P2W35
      OFFSETS:	192-195
       TOKENS:	P2W40-P2W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jayb_1]
   UNSPLITVOC:	(jayb)
          POS:	NOUN
          VOC:	jayb
        GLOSS:	pocket/purse/sine/pockets/cavities

 INPUT STRING:	مقابل
     IS_TRANS:	mqAbl
        INDEX:	P2W36
      OFFSETS:	196-201
       TOKENS:	P2W41-P2W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muqAbil_1]
   UNSPLITVOC:	(muqAbil)
          POS:	NOUN
          VOC:	muqAbil
        GLOSS:	in exchange for/in compensation for

 INPUT STRING:	حصول
     IS_TRANS:	HSwl
        INDEX:	P2W37
      OFFSETS:	202-206
       TOKENS:	P2W42-P2W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HuSuwl_1]
   UNSPLITVOC:	(HuSuwl)
          POS:	NOUN.VN
          VOC:	HuSuwl
        GLOSS:	acquisition/obtaining/occurrence/happening

 INPUT STRING:	الزوجة
     IS_TRANS:	Alzwjp
        INDEX:	P2W38
      OFFSETS:	207-213
       TOKENS:	P2W43-P2W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zawjap_1]
   UNSPLITVOC:	(Alz~awjap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+zawj+ap
        GLOSS:	the+wife/wives+[fem.sg.]

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P2W39
      OFFSETS:	214-217
       TOKENS:	P2W44-P2W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayr_1]
   UNSPLITVOC:	(gayr)
          POS:	NOUN
          VOC:	gayr
        GLOSS:	not/other

 INPUT STRING:	المصرية
     IS_TRANS:	AlmSryp
        INDEX:	P2W40
      OFFSETS:	218-225
       TOKENS:	P2W45-P2W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maSoriy~+ap
        GLOSS:	the+egyptian+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W41
      OFFSETS:	226-229
       TOKENS:	P2W46-P2W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الإقامة
     IS_TRANS:	Al<qAmp
        INDEX:	P2W42
      OFFSETS:	230-237
       TOKENS:	P2W47-P2W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiqAmap_1]
   UNSPLITVOC:	(AlAiqAmap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+AiqAm+ap
        GLOSS:	the+residency/setting up+[fem.sg.]

 INPUT STRING:	الفتره
     IS_TRANS:	Alftrh
        INDEX:	P2W43
      OFFSETS:	238-244
       TOKENS:	P2W48-P2W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fatorap_1]
   UNSPLITVOC:	(Alfatorap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fator+ap
        GLOSS:	the+phase/time period/interval/phases/time periods/intervals+[fem.sg.]

 INPUT STRING:	اللتى
     IS_TRANS:	AlltY
        INDEX:	P2W44
      OFFSETS:	245-250
       TOKENS:	P2W49-P2W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AllatiY_1]
   UNSPLITVOC:	(AllatiY)
          POS:	REL_PRON
          VOC:	AllatiY
        GLOSS:	that

 INPUT STRING:	تريدها
     IS_TRANS:	trydhA
        INDEX:	P2W45
      OFFSETS:	251-257
       TOKENS:	P2W50-P2W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>arAd_1]
   UNSPLITVOC:	(turiydhA)
          POS:	IV2MS+IV+IVSUFF_DO:3FS
          VOC:	tu+riyd+hA
        GLOSS:	you+want+her/its

 INPUT STRING:	وبعدها
     IS_TRANS:	wbEdhA
        INDEX:	P2W46
      OFFSETS:	258-264
       TOKENS:	P2W52-P2W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(wabaEodahA)
          POS:	PREP+NOUN+POSS_PRON_3FS
          VOC:	wa+baEod+hA
        GLOSS:	with+after+its/their/her

 INPUT STRING:	يتم
     IS_TRANS:	ytm
        INDEX:	P2W47
      OFFSETS:	265-268
       TOKENS:	P2W55-P2W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(yitim~)
          POS:	IV3MS+IV
          VOC:	yi+tim~
        GLOSS:	he/it+conclude/take place

 INPUT STRING:	الطلاق
     IS_TRANS:	AlTlAq
        INDEX:	P2W48
      OFFSETS:	269-275
       TOKENS:	P2W56-P2W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TalAq_1]
   UNSPLITVOC:	(AlT~alAq)
          POS:	DET+NOUN
          VOC:	Al+TalAq
        GLOSS:	the+divorce

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W49
      OFFSETS:	275-276
       TOKENS:	P2W57-P2W57
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	فالشاب
     IS_TRANS:	fAl$Ab
        INDEX:	P3W1
      OFFSETS:	1-7
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	(faAl$~Ab~)
          POS:	CONJ+DET+NOUN
          VOC:	fa+Al+$Ab~
        GLOSS:	so/and+the+young man/young men

 INPUT STRING:	المفلس
     IS_TRANS:	Almfls
        INDEX:	P3W2
      OFFSETS:	8-14
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mufolis_1]
   UNSPLITVOC:	(Almufolis)
          POS:	DET+ADJ
          VOC:	Al+mufolis
        GLOSS:	the+bankrupt/insolvent

 INPUT STRING:	الذي
     IS_TRANS:	Al*y
        INDEX:	P3W3
      OFFSETS:	15-19
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	that

 INPUT STRING:	حفيت
     IS_TRANS:	Hfyt
        INDEX:	P3W4
      OFFSETS:	20-24
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hifiy_1]
   UNSPLITVOC:	(Hfyit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Hfy+it
        GLOSS:	get naked+it/they/she

 INPUT STRING:	أقدامه
     IS_TRANS:	>qdAmh
        INDEX:	P3W5
      OFFSETS:	25-31
       TOKENS:	P3W6-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qadam_1]
   UNSPLITVOC:	(>aqodAmhu)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	>aqodAm+hu
        GLOSS:	feet+its/his

 INPUT STRING:	وهو
     IS_TRANS:	whw
        INDEX:	P3W6
      OFFSETS:	32-35
       TOKENS:	P3W8-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(wihuw~a)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	wi+huw~a
        GLOSS:	while+he/it

 INPUT STRING:	يبحث
     IS_TRANS:	ybHv
        INDEX:	P3W7
      OFFSETS:	36-40
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baHav_1]
   UNSPLITVOC:	(yibHv)
          POS:	IV3MS+IV
          VOC:	yi+bHv
        GLOSS:	he/it+look for/search

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P3W8
      OFFSETS:	41-43
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
