 INPUT STRING:	ما
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	شوائب
     IS_TRANS:	$wA}b
        INDEX:	P3W2
      OFFSETS:	3-8
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$A}ibap_1]
   UNSPLITVOC:	($awA}ib)
          POS:	NOUN
          VOC:	$awA}ib
        GLOSS:	defects/impurities

 INPUT STRING:	بنزين
     IS_TRANS:	bnzyn
        INDEX:	P3W3
      OFFSETS:	9-14
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[banoziyn_1]
   UNSPLITVOC:	(banoziyn)
          POS:	NOUN
          VOC:	banoziyn
        GLOSS:	gasoline/benzine/benzene

 INPUT STRING:	80
     IS_TRANS:	80
        INDEX:	P3W4
      OFFSETS:	15-17
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(80)
          POS:	NOUN_NUM
          VOC:	80
        GLOSS:	80

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P3W5
      OFFSETS:	18-19
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W6
      OFFSETS:	19-20
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P4W1
      OFFSETS:	0-2
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	التأخر
     IS_TRANS:	Alt>xr
        INDEX:	P4W2
      OFFSETS:	3-9
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta>ax~ur_1]
   UNSPLITVOC:	(Alt~a>ax~ur)
          POS:	DET+NOUN
          VOC:	Al+ta>ax~ur
        GLOSS:	the+delay/underdevelopment

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P4W3
      OFFSETS:	10-12
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	التموين
     IS_TRANS:	Altmwyn
        INDEX:	P4W4
      OFFSETS:	13-20
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamowiyn_1]
   UNSPLITVOC:	(Alt~amowiyn)
          POS:	DET+NOUN
          VOC:	Al+tamowiyn
        GLOSS:	the+food supply/provisions

 INPUT STRING:	حتي
     IS_TRANS:	Hty
        INDEX:	P4W5
      OFFSETS:	21-24
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PREP
          VOC:	Hat~aY
        GLOSS:	until/up to

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P4W6
      OFFSETS:	25-29
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be/was/were

 INPUT STRING:	بالتانك
     IS_TRANS:	bAltAnk
        INDEX:	P4W7
      OFFSETS:	30-37
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tAnK_1]
   UNSPLITVOC:	(biAltAnk)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+tAnk
        GLOSS:	with/by+the+tank

 INPUT STRING:	ب
     IS_TRANS:	b
        INDEX:	P4W8
      OFFSETS:	38-39
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(b)
          POS:	PREP
          VOC:	b
        GLOSS:	with/by/him/them/her

 INPUT STRING:	10
     IS_TRANS:	10
        INDEX:	P4W9
      OFFSETS:	40-42
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(10)
          POS:	NOUN_NUM
          VOC:	10
        GLOSS:	10

 INPUT STRING:	لتر
     IS_TRANS:	ltr
        INDEX:	P4W10
      OFFSETS:	43-46
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[litor_1]
   UNSPLITVOC:	(litor)
          POS:	NOUN
          VOC:	litor
        GLOSS:	liter

 INPUT STRING:	فقط
     IS_TRANS:	fqT
        INDEX:	P4W11
      OFFSETS:	47-50
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqaT_1]
   UNSPLITVOC:	(faqaT)
          POS:	ADV
          VOC:	faqaT
        GLOSS:	only

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W12
      OFFSETS:	50-51
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W13
      OFFSETS:	51-52
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	مضخة
     IS_TRANS:	mDxp
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maDax~ap_1]
   UNSPLITVOC:	(maDax~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maDax~+ap
        GLOSS:	pump/pumps+[fem.sg.]

 INPUT STRING:	البنزين
     IS_TRANS:	Albnzyn
        INDEX:	P5W2
      OFFSETS:	5-12
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[banoziyn_1]
   UNSPLITVOC:	(Albanoziyn)
          POS:	DET+NOUN
          VOC:	Al+banoziyn
        GLOSS:	the+gasoline/benzine/benzene

 INPUT STRING:	بتبوظ
     IS_TRANS:	btbwZ
        INDEX:	P5W3
      OFFSETS:	13-18
       TOKENS:	P5W3-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAZ_1]
   UNSPLITVOC:	(bitibuwZ)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+buwZ
        GLOSS:	[present-tense]+it/they/she+decompose/corrupt/spoil

 INPUT STRING:	بسب
     IS_TRANS:	bsb
        INDEX:	P5W4
      OFFSETS:	19-22
       TOKENS:	P5W5-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sab~_1]
   UNSPLITVOC:	(bisab~)
          POS:	PREP+NOUN
          VOC:	bi+sab~
        GLOSS:	with/by+cursing/insulting

 INPUT STRING:	الاهمال
     IS_TRANS:	AlAhmAl
        INDEX:	P5W5
      OFFSETS:	23-30
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ihomAl_1]
   UNSPLITVOC:	(Al<ihomAl)
          POS:	DET+NOUN
          VOC:	Al+<ihomAl
        GLOSS:	the+neglect/oversight/carelessness

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P5W6
      OFFSETS:	31-33
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	تنظيف
     IS_TRANS:	tnZyf
        INDEX:	P5W7
      OFFSETS:	34-39
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanoZiyf_1]
   UNSPLITVOC:	(tanoZiyf)
          POS:	NOUN
          VOC:	tanoZiyf
        GLOSS:	cleaning

 INPUT STRING:	الفلتر
     IS_TRANS:	Alfltr
        INDEX:	P5W8
      OFFSETS:	40-46
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[filtar_1]
   UNSPLITVOC:	(Alfiltar)
          POS:	DET+NOUN
          VOC:	Al+filtar
        GLOSS:	the+filter

 INPUT STRING:	وبالتالى
     IS_TRANS:	wbAltAlY
        INDEX:	P6W1
      OFFSETS:	0-8
       TOKENS:	P6W1-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAliy_1]
   UNSPLITVOC:	(wibiAltAliy)
          POS:	CONJ+PREP+DET+ADJ
          VOC:	wi+bi+Al+tAliy
        GLOSS:	and+with/by+the+following/subsequent

 INPUT STRING:	بيتجمع
     IS_TRANS:	bytjmE
        INDEX:	P6W2
      OFFSETS:	9-15
       TOKENS:	P6W4-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitojam~aE_1]
   UNSPLITVOC:	(biyitojam~aE)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+tojam~aE
        GLOSS:	[present-tense]+he/it+be gathered

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P6W3
      OFFSETS:	16-18
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الفلتر
     IS_TRANS:	Alfltr
        INDEX:	P6W4
      OFFSETS:	19-25
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[filtar_1]
   UNSPLITVOC:	(Alfiltar)
          POS:	DET+NOUN
          VOC:	Al+filtar
        GLOSS:	the+filter

 INPUT STRING:	الشوائب
     IS_TRANS:	Al$wA}b
        INDEX:	P6W5
      OFFSETS:	26-33
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A}ibap_1]
   UNSPLITVOC:	(Al$~awA}ib)
          POS:	DET+NOUN
          VOC:	Al+$awA}ib
        GLOSS:	the+defect/impurity/defects/impurities

 INPUT STRING:	وبعد
     IS_TRANS:	wbEd
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(wibaEod)
          POS:	CONJ+NOUN
          VOC:	wi+baEod
        GLOSS:	and+after/if/unless/whether/as long as/as soon as/which

 INPUT STRING:	مالفلتر
     IS_TRANS:	mAlfltr
        INDEX:	P7W2
      OFFSETS:	5-12
       TOKENS:	P7W3-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[filotar_1]
   UNSPLITVOC:	(mA_Alfilotar)
          POS:	SUB_CONJ+DET+NOUN
          VOC:	mA+Al+filotar
        GLOSS:	that+the+filter

 INPUT STRING:	يتملى
     IS_TRANS:	ytmlY
        INDEX:	P7W3
      OFFSETS:	13-18
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitomalay_1]
   UNSPLITVOC:	(yitomiliy)
          POS:	IV3MS+IV_PASS
          VOC:	yi+tomiliy
        GLOSS:	he/it+be filled/fill

 INPUT STRING:	بالشوائب
     IS_TRANS:	bAl$wA}b
        INDEX:	P7W4
      OFFSETS:	19-27
       TOKENS:	P7W6-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A}ibap_1]
   UNSPLITVOC:	(biAl$~awA}ib)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+$awA}ib
        GLOSS:	with/by+the+defect/impurity/defects/impurities

 INPUT STRING:	مابيقدرش
     IS_TRANS:	mAbyqdr$
        INDEX:	P7W5
      OFFSETS:	28-36
       TOKENS:	P7W8-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qidir_1]
   UNSPLITVOC:	(mA_biyiqodar$)
          POS:	NEG_PART+PROG_PART+IV3MS+IV+NEG_PART
          VOC:	mA+bi+yi+qodar+$
        GLOSS:	not+[present-tense]+he/it+able to/be able/be able to/be capable of/make possible/dispose/allow+not

 INPUT STRING:	يقوم
     IS_TRANS:	yqwm
        INDEX:	P7W6
      OFFSETS:	37-41
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(yiquwm)
          POS:	IV3MS+IV
          VOC:	yi+quwm
        GLOSS:	he/it+undertake/carry out/rise/stand/get up/do/be based (on)

 INPUT STRING:	بوظيفتة
     IS_TRANS:	bwZyftp
        INDEX:	P7W7
      OFFSETS:	42-49
       TOKENS:	P7W13-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waZiyfap_1]
   UNSPLITVOC:	(biwaZiyftuh)
          POS:	PREP+NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	bi+waZiyf+ap+uh
        GLOSS:	with/by+job/position/function+[fem.sg.]+his/its

 INPUT STRING:	كمنقى
     IS_TRANS:	kmnqY
        INDEX:	P7W8
      OFFSETS:	50-55
       TOKENS:	P7W16-P7W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[minaq~iy_1]
   UNSPLITVOC:	(kaminaq~iy)
          POS:	PREP+NOUN
          VOC:	ka+minaq~iy
        GLOSS:	like/such+filter

 INPUT STRING:	لشوائب
     IS_TRANS:	l$wA}b
        INDEX:	P7W9
      OFFSETS:	56-62
       TOKENS:	P7W18-P7W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$A}ibap_1]
   UNSPLITVOC:	(li$awA}ib)
          POS:	PREP+NOUN
          VOC:	li+$awA}ib
        GLOSS:	for/to+defects/impurities

 INPUT STRING:	البنزين
     IS_TRANS:	Albnzyn
        INDEX:	P7W10
      OFFSETS:	63-70
       TOKENS:	P7W20-P7W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[banoziyn_1]
   UNSPLITVOC:	(Albanoziyn)
          POS:	DET+NOUN
          VOC:	Al+banoziyn
        GLOSS:	the+gasoline/benzine/benzene

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P7W11
      OFFSETS:	70-71
       TOKENS:	P7W21-P7W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	فابتدخل
     IS_TRANS:	fAbtdxl
        INDEX:	P8W1
      OFFSETS:	0-7
       TOKENS:	P8W1-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(fAbitidxul)
          POS:	CONJ+PROG_PART+IV3FS+IV
          VOC:	fa+bi+ti+dxul
        GLOSS:	and+[present.tense]+she/it+enter

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P8W2
      OFFSETS:	8-11
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	المضخة
     IS_TRANS:	AlmDxp
        INDEX:	P8W3
      OFFSETS:	12-18
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maDax~ap_1]
   UNSPLITVOC:	(AlmaDax~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maDax~+ap
        GLOSS:	the+pump/pumps+[fem.sg.]

 INPUT STRING:	وبتعملها
     IS_TRANS:	wbtEmlhA
        INDEX:	P8W4
      OFFSETS:	19-27
       TOKENS:	P8W6-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(wibotiEomil_lahA)
          POS:	CONJ+PROG_PART+IV3FS+IV+PREP+PRON_3FS
          VOC:	wi+bi+ti+Eomil+li+hA
        GLOSS:	and+[present-tense]+she/it/they+do/make/act/function+for/to+she/it/they

 INPUT STRING:	نوع
     IS_TRANS:	nwE
        INDEX:	P8W5
      OFFSETS:	28-31
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nawE_1]
   UNSPLITVOC:	(nawE)
          POS:	NOUN
          VOC:	nawE
        GLOSS:	kind/type/kinds/species

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W6
      OFFSETS:	32-34
       TOKENS:	P8W12-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الانسداد
     IS_TRANS:	AlAnsdAd
        INDEX:	P8W7
      OFFSETS:	35-43
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinosidAd_1]
   UNSPLITVOC:	(AlAinosidAd)
