 INPUT STRING:	طبعا
     IS_TRANS:	Al$yEp
        INDEX:	P1W8
      OFFSETS:	32-38
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iyEap_1]
   UNSPLITVOC:	(Al$~iyEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$iyE+ap
        GLOSS:	the+Shiites+[fem.sg.]

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P1W9
      OFFSETS:	39-43
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	ليهم
     IS_TRANS:	lyhm
        INDEX:	P1W10
      OFFSETS:	44-48
       TOKENS:	P1W11-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liyhum)
          POS:	PREP+PRON_3P
          VOC:	li+hum
        GLOSS:	to/for+them

 INPUT STRING:	حزب
     IS_TRANS:	Hzb
        INDEX:	P1W11
      OFFSETS:	49-52
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizob_1]
   UNSPLITVOC:	(Hizob)
          POS:	NOUN
          VOC:	Hizob
        GLOSS:	party

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P1W12
      OFFSETS:	53-55
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P1W13
      OFFSETS:	56-59
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	وكأنه
     IS_TRANS:	wk>nh
        INDEX:	P2W1
      OFFSETS:	0-5
       TOKENS:	P2W1-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ka>an~_1]
   UNSPLITVOC:	(wika>an~uh)
          POS:	CONJ+PSEUDO_VERB+PRON_3MS
          VOC:	wi+ka>an~+uh
        GLOSS:	and+as if, as though, like+it/he

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P2W2
      OFFSETS:	6-8
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارف
     IS_TRANS:	EArf
        INDEX:	P2W3
      OFFSETS:	9-13
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArif)
          POS:	ADJ
          VOC:	EArif
        GLOSS:	knowing/having knowledge of

 INPUT STRING:	الشيعة
     IS_TRANS:	Al$yEp
        INDEX:	P2W4
      OFFSETS:	14-20
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iyEap_1]
   UNSPLITVOC:	(Al$~iyEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$iyE+ap
        GLOSS:	the+Shiites+[fem.sg.]

 INPUT STRING:	وأنهم
     IS_TRANS:	w>nhm
        INDEX:	P2W5
      OFFSETS:	21-26
       TOKENS:	P2W7-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(wi<in~uhum)
          POS:	CONJ+SUB_CONJ+PRON_3P
          VOC:	wi+<in~+hum
        GLOSS:	and+that+they

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P2W6
      OFFSETS:	27-29
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	يدخلوا
     IS_TRANS:	ydxlwA
        INDEX:	P2W7
      OFFSETS:	30-36
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(yudoxuluwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yu+doxul+uwA
        GLOSS:	they+enter/be entered+we

 INPUT STRING:	أي
     IS_TRANS:	>y
        INDEX:	P2W8
      OFFSETS:	37-39
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	بلد
     IS_TRANS:	bld
        INDEX:	P2W9
      OFFSETS:	40-43
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(balad)
          POS:	NOUN
          VOC:	balad
        GLOSS:	country/country/countries

 INPUT STRING:	بيحاولوا
     IS_TRANS:	byHAwlwA
        INDEX:	P2W10
      OFFSETS:	44-52
       TOKENS:	P2W14-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAwil_1]
   UNSPLITVOC:	(biyiHAwoluwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+HAwol+uwA
        GLOSS:	[present-tense]+they+attempt/try+we

 INPUT STRING:	ينشروا
     IS_TRANS:	yn$rwA
        INDEX:	P2W11
      OFFSETS:	53-59
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[na$ar_1]
   UNSPLITVOC:	(yino$uruwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+no$ur+uwA
        GLOSS:	they+publish/announce/spread+we

 INPUT STRING:	فكر
     IS_TRANS:	fkr
        INDEX:	P2W12
      OFFSETS:	60-63
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikor_1]
   UNSPLITVOC:	(fikor)
          POS:	NOUN
          VOC:	fikor
        GLOSS:	thought/thinking/thoughts/ideas/concepts

 INPUT STRING:	التشيع
     IS_TRANS:	Alt$yE
        INDEX:	P2W13
      OFFSETS:	64-70
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta$ay~uE_1]
   UNSPLITVOC:	(Alt~a$ay~uE)
          POS:	DET+NOUN
          VOC:	Al+ta$ay~uE
        GLOSS:	the+partisanship/bias

 INPUT STRING:	وإما
     IS_TRANS:	w<mA
        INDEX:	P2W14
      OFFSETS:	71-75
       TOKENS:	P2W19-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<im~A_1]
   UNSPLITVOC:	(wi<im~A)
          POS:	CONJ+CONJ
          VOC:	wi+<im~A
        GLOSS:	and+Either, whether, if

 INPUT STRING:	تتشيع
     IS_TRANS:	tt$yE
        INDEX:	P2W15
      OFFSETS:	76-81
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aito$ay~aE_1]
   UNSPLITVOC:	(tito$ay~aE)
          POS:	IV2MS+IV
          VOC:	ti+to$ay~aE
        GLOSS:	you+be Shiites

 INPUT STRING:	وإما
     IS_TRANS:	w<mA
        INDEX:	P2W16
      OFFSETS:	82-86
       TOKENS:	P2W22-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<im~A_1]
   UNSPLITVOC:	(wi<im~A)
          POS:	CONJ+CONJ
          VOC:	wi+<im~A
        GLOSS:	and+Either, whether, if

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P2W17
      OFFSETS:	87-89
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	تمكنوا
     IS_TRANS:	tmknwA
        INDEX:	P2W18
      OFFSETS:	90-96
       TOKENS:	P2W25-P2W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamak~an_1]
   UNSPLITVOC:	(tamak~anuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	tamak~an+uwA
        GLOSS:	be capable of/be able to+they

 INPUT STRING:	هيوروكي
     IS_TRANS:	hywrwky
        INDEX:	P2W19
      OFFSETS:	97-104
       TOKENS:	P2W26-P2W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[war~aY_1]
   UNSPLITVOC:	(Hayiwar~uwkiy)
          POS:	FUT_PART+IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:2FS
          VOC:	Ha+yi+war~+uwA+ik
        GLOSS:	will+they+show+we+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P2W20
      OFFSETS:	105-107
       TOKENS:	P2W29-P2W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P2W21
      OFFSETS:	108-111
       TOKENS:	P2W30-P2W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	الويل
     IS_TRANS:	Alwyl
        INDEX:	P2W22
      OFFSETS:	112-117
       TOKENS:	P2W31-P2W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wayl_1]
   UNSPLITVOC:	(Alwayl)
          POS:	DET+NOUN
          VOC:	Al+wayl
        GLOSS:	the+woe/distress

 INPUT STRING:	وأدينا
     IS_TRANS:	w>dynA
        INDEX:	P3W1
      OFFSETS:	0-6
       TOKENS:	P3W1-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Adiy_1]
   UNSPLITVOC:	(wiAdiynA)
          POS:	CONJ+DEM_PRON+PRON_1P
          VOC:	wi+Adiy+nA
        GLOSS:	and+this+we

 INPUT STRING:	شايفين
     IS_TRANS:	$Ayfyn
        INDEX:	P3W2
      OFFSETS:	7-13
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ayif_1]
   UNSPLITVOC:	($Ayofiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	$Ayof+iyn
        GLOSS:	viewer/observer/onlooker+[pl.]

 INPUT STRING:	العراق
     IS_TRANS:	AlErAq
        INDEX:	P3W3
      OFFSETS:	14-20
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EirAq_1]
   UNSPLITVOC:	(AlEirAq)
          POS:	DET+NOUN_PROP
          VOC:	Al+EirAq
        GLOSS:	the+Iraq

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P3W4
      OFFSETS:	21-25
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/whom

 INPUT STRING:	اسمه
     IS_TRANS:	Asmh
        INDEX:	P3W5
      OFFSETS:	26-30
       TOKENS:	P3W7-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(Aisomuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Aisom+uh
        GLOSS:	name+his/its

 INPUT STRING:	عمر
     IS_TRANS:	Emr
        INDEX:	P3W6
      OFFSETS:	31-34
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumar_1]
   UNSPLITVOC:	(Eumar)
          POS:	NOUN_PROP
          VOC:	Eumar
        GLOSS:	Omar/Umar

 INPUT STRING:	بيتقتل
     IS_TRANS:	bytqtl
        INDEX:	P3W7
      OFFSETS:	35-41
       TOKENS:	P3W10-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitqatal_1]
   UNSPLITVOC:	(biyitqitil)
          POS:	PROG_PART+IV3MS+IV_PASS
          VOC:	bi+yi+tqitil
        GLOSS:	[present-tense]+he/it+be killed

 INPUT STRING:	علطول
     IS_TRANS:	ElTwl
        INDEX:	P3W8
      OFFSETS:	42-47
       TOKENS:	P3W12-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(EalaTuwl)
          POS:	PREP+NOUN
          VOC:	EalaY+Tuwl
        GLOSS:	on/above+length/height/lengths/heights

 INPUT STRING:	وأدينا
     IS_TRANS:	w>dynA
        INDEX:	P3W9
      OFFSETS:	48-54
       TOKENS:	P3W14-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Adiy_1]
   UNSPLITVOC:	(wiAdiynA)
          POS:	CONJ+DEM_PRON+PRON_1P
          VOC:	wi+Adiy+nA
        GLOSS:	and+this+we

 INPUT STRING:	شايفين
     IS_TRANS:	$Ayfyn
        INDEX:	P3W10
      OFFSETS:	55-61
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ayif_1]
   UNSPLITVOC:	($Ayofiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	$Ayof+iyn
        GLOSS:	viewer/observer/onlooker+[pl.]

 INPUT STRING:	سوريا
     IS_TRANS:	swryA
        INDEX:	P3W11
      OFFSETS:	62-67
       TOKENS:	P3W18-P3W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suwryA_1]
   UNSPLITVOC:	(suwryA)
          POS:	NOUN_PROP
          VOC:	suwryA
        GLOSS:	Syria

 INPUT STRING:	وكمان
     IS_TRANS:	wkmAn
        INDEX:	P3W12
      OFFSETS:	68-73
       TOKENS:	P3W19-P3W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(wikamAn)
          POS:	CONJ+ADV
          VOC:	wi+kamAn
        GLOSS:	and+also/too

 INPUT STRING:	عايزين
     IS_TRANS:	EAyzyn
        INDEX:	P3W13
      OFFSETS:	74-80
       TOKENS:	P3W21-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyoziyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EAyoz+iyn
        GLOSS:	wanting/needing+[pl.]

 INPUT STRING:	يخربوا
     IS_TRANS:	yxrbwA
        INDEX:	P3W14
      OFFSETS:	81-87
       TOKENS:	P3W22-P3W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xar~ab_1]
   UNSPLITVOC:	(yixar~abuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+xar~ab+uwA
        GLOSS:	they+destroy+we

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W15
      OFFSETS:	88-90
       TOKENS:	P3W23-P3W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	البحرين
     IS_TRANS:	AlbHryn
        INDEX:	P3W16
      OFFSETS:	91-98
       TOKENS:	P3W24-P3W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baHorayn_1]
   UNSPLITVOC:	(AlbaHorayn)
          POS:	DET+NOUN_PROP
          VOC:	Al+baHorayn
        GLOSS:	the+Bahrain

 INPUT STRING:	لأن
     IS_TRANS:	l>n
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(la>an~)
          POS:	PREP+SUB_CONJ
          VOC:	la+>an~
        GLOSS:	for/that+that

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P4W2
      OFFSETS:	4-7
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wlA)
          POS:	TYPO
          VOC:	wlA
        GLOSS:	nogloss

 INPUT STRING:	ءهم
     IS_TRANS:	'hm
        INDEX:	P4W3
      OFFSETS:	8-11
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	('hm)
          POS:	TYPO
          VOC:	'hm
        GLOSS:	nogloss

 INPUT STRING:	بيبقى
     IS_TRANS:	bybqY
        INDEX:	P4W4
      OFFSETS:	12-17
       TOKENS:	P4W5-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(biyiboqaY)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+boqaY
        GLOSS:	[present-tense]+he/it+become/remain

 INPUT STRING:	لايران
     IS_TRANS:	lAyrAn
        INDEX:	P4W5
      OFFSETS:	18-24
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiyrAn_1]
   UNSPLITVOC:	(liAiyrAn)
          POS:	PREP+NOUN_PROP
          VOC:	li+AiyrAn
        GLOSS:	for/to+Iran

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P4W6
      OFFSETS:	25-27
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P4W7
      OFFSETS:	28-32
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	معروفة
     IS_TRANS:	mErwfp
        INDEX:	P4W8
      OFFSETS:	33-39
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoruwf_1]
   UNSPLITVOC:	(maEoruwfap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	maEoruwf+ap
        GLOSS:	known/well-known+[fem.sg.]

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/whom

 INPUT STRING:	متعرفيهوش
     IS_TRANS:	mtErfyhw$
        INDEX:	P5W2
      OFFSETS:	4-13
       TOKENS:	P5W2-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(mA_tiEorafiyhuw$)
          POS:	NEG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS+IVSUFF_DO:3MS+NEG_PART
          VOC:	mA+ti+Eoraf+iy+uh+$
        GLOSS:	not+you+know+you+it/him+not

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P5W3
      OFFSETS:	14-16
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	الشيعه
     IS_TRANS:	Al$yEh
        INDEX:	P5W4
      OFFSETS:	17-23
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iyEap_1]
   UNSPLITVOC:	(Al$~iyEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$iyE+ap
        GLOSS:	the+Shiites+[fem.sg.]

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P5W5
      OFFSETS:	24-28
       TOKENS:	P5W8-P5W8
