 INPUT STRING:	لماذا
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[kull_0]
   UNSPLITVOC:	(kul~ahA)
          POS:	NOUN_QUANT+POSS_PRON_3FS
          VOC:	kul~+hA
        GLOSS:	all+its/their/her

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P2W6
      OFFSETS:	23-25
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	تستحق
     IS_TRANS:	tstHq
        INDEX:	P2W7
      OFFSETS:	26-31
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AistaHaq_1]
   UNSPLITVOC:	(tistHq)
          POS:	IV3FS+IV
          VOC:	ti+stHq
        GLOSS:	it/they/she+deserve

 INPUT STRING:	الانفعال
     IS_TRANS:	AlAnfEAl
        INDEX:	P2W8
      OFFSETS:	32-40
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinofiEAl_1]
   UNSPLITVOC:	(AlAinofiEAl)
          POS:	DET+NOUN
          VOC:	Al+AinofiEAl
        GLOSS:	the+emotion/excitation

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P2W9
      OFFSETS:	40-41
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	يجب
     IS_TRANS:	yjb
        INDEX:	P3W1
      OFFSETS:	2-5
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajab_1]
   UNSPLITVOC:	(yajib)
          POS:	IV3MS+IV
          VOC:	ya+jib
        GLOSS:	he/it+must

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P3W2
      OFFSETS:	6-8
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	ننسى
     IS_TRANS:	nnsY
        INDEX:	P3W3
      OFFSETS:	9-13
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[nasaY_0]
   UNSPLITVOC:	(ninosaY)
          POS:	IV1P+IV
          VOC:	ni+nosaY
        GLOSS:	we+forget

 INPUT STRING:	الماضى
     IS_TRANS:	AlmADY
        INDEX:	P3W4
      OFFSETS:	14-20
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mADiy_1]
   UNSPLITVOC:	(AlmADiy)
          POS:	DET+NOUN
          VOC:	Al+mADiy
        GLOSS:	the+past

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P3W5
      OFFSETS:	21-24
       TOKENS:	P3W5-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	نفكر
     IS_TRANS:	nfkr
        INDEX:	P3W6
      OFFSETS:	25-29
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(nifak~ar)
          POS:	IV1P+IV
          VOC:	ni+fak~ar
        GLOSS:	we+think/consider/ponder

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P3W7
      OFFSETS:	30-32
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	القصاص
     IS_TRANS:	AlqSAS
        INDEX:	P3W8
      OFFSETS:	33-39
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiSAS_1]
   UNSPLITVOC:	(AlqiSAS)
          POS:	DET+NOUN
          VOC:	Al+qiSAS
        GLOSS:	the+reprisal/retaliation/punishment

 INPUT STRING:	لأن
     IS_TRANS:	l>n
        INDEX:	P3W9
      OFFSETS:	40-43
       TOKENS:	P3W10-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(li>an~a)
          POS:	PREP+SUB_CONJ
          VOC:	li+>an~a
        GLOSS:	for+that

 INPUT STRING:	لدينا
     IS_TRANS:	ldynA
        INDEX:	P3W10
      OFFSETS:	44-49
       TOKENS:	P3W12-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[ladaY_1]
   UNSPLITVOC:	(ladaynA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	ladaY+nA
        GLOSS:	with/by+us

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P3W11
      OFFSETS:	50-52
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P3W12
      OFFSETS:	53-55
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	أهم
     IS_TRANS:	>hm
        INDEX:	P3W13
      OFFSETS:	56-59
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aham~_1]
   UNSPLITVOC:	(>aham~)
          POS:	ADJ_COMP
          VOC:	>aham~
        GLOSS:	more/most important

 INPUT STRING:	بكثير
     IS_TRANS:	bkvyr
        INDEX:	P3W14
      OFFSETS:	60-65
       TOKENS:	P3W17-P3W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaviyr_2]
   UNSPLITVOC:	(bikaviyr)
          POS:	PREP+ADJ
          VOC:	bi+kaviyr
        GLOSS:	with/by+many/much/numerous

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P3W15
      OFFSETS:	65-66
       TOKENS:	P3W19-P3W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	نعم
     IS_TRANS:	nEm
        INDEX:	P4W1
      OFFSETS:	1-4
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naEam_1]
   UNSPLITVOC:	(naEam)
          POS:	INTERJ
          VOC:	naEam
        GLOSS:	yes

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P4W2
      OFFSETS:	5-7
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	افندم
     IS_TRANS:	Afndm
        INDEX:	P4W3
      OFFSETS:	8-13
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aafanodim_1]
   UNSPLITVOC:	(Afanodim)
          POS:	NOUN
          VOC:	Afanodim
        GLOSS:	sir

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W4
      OFFSETS:	13-14
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	تريدنا
     IS_TRANS:	trydnA
        INDEX:	P5W1
      OFFSETS:	1-7
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(trydnA)
          POS:	NO_FUNC
          VOC:	trydnA
        GLOSS:	nogloss

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P5W2
      OFFSETS:	8-10
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	نسمو
     IS_TRANS:	nsmw
        INDEX:	P5W3
      OFFSETS:	11-15
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(nsmw)
          POS:	NO_FUNC
          VOC:	nsmw
        GLOSS:	nogloss

 INPUT STRING:	ونتعالى
     IS_TRANS:	wntEAlY
        INDEX:	P5W4
      OFFSETS:	16-23
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AitEAlaY_1]
   UNSPLITVOC:	(winitEAlaY)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+tEAlaY
        GLOSS:	and+we+raise

 INPUT STRING:	ونبعث
     IS_TRANS:	wnbEv
        INDEX:	P5W5
      OFFSETS:	24-29
       TOKENS:	P5W6-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEav_1]
   UNSPLITVOC:	(winiboEav)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+boEav
        GLOSS:	and+we+send

 INPUT STRING:	بباقات
     IS_TRANS:	bbAqAt
        INDEX:	P5W6
      OFFSETS:	30-36
       TOKENS:	P5W8-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAqap_1]
   UNSPLITVOC:	(bibAqAt)
          POS:	PREP+NOUN+NSUFF_FEM_PL
          VOC:	bi+bAq+At
        GLOSS:	with/by+bouquet+[fem.pl.]

 INPUT STRING:	ورود
     IS_TRANS:	wrwd
        INDEX:	P5W7
      OFFSETS:	37-41
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wuruwd_1]
   UNSPLITVOC:	(wuruwd)
          POS:	NOUN
          VOC:	wuruwd
        GLOSS:	flowers

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P5W8
      OFFSETS:	42-45
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	حسنى
     IS_TRANS:	HsnY
        INDEX:	P5W9
      OFFSETS:	46-50
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Husoniy_1]
   UNSPLITVOC:	(Husoniy)
          POS:	NOUN_PROP
          VOC:	Husoniy
        GLOSS:	Hosny/Hosni

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P5W10
      OFFSETS:	51-56
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P5W11
      OFFSETS:	57-59
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	شرم
     IS_TRANS:	$rm
        INDEX:	P5W12
      OFFSETS:	60-63
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$arom_1]
   UNSPLITVOC:	($arom)
          POS:	NOUN_PROP
          VOC:	$arom
        GLOSS:	Sharm

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P5W13
      OFFSETS:	64-69
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN_PROP
          VOC:	Al+$ayx
        GLOSS:	the+Sheikh

 INPUT STRING:	لنقول
     IS_TRANS:	lnqwl
        INDEX:	P5W14
      OFFSETS:	70-75
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lnqwl)
          POS:	NO_FUNC
          VOC:	lnqwl
        GLOSS:	nogloss

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P5W15
      OFFSETS:	76-78
       TOKENS:	P5W18-P5W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to/for+it/him (it/he has)

 INPUT STRING:	آسفين
     IS_TRANS:	|sfyn
        INDEX:	P5W16
      OFFSETS:	79-84
       TOKENS:	P5W20-P5W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|sif_1]
   UNSPLITVOC:	(|sofiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	|sof+iyn
        GLOSS:	sorry+[masc.pl.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P5W17
      OFFSETS:	85-87
       TOKENS:	P5W21-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	ريس
     IS_TRANS:	rys
        INDEX:	P5W18
      OFFSETS:	88-91
       TOKENS:	P5W22-P5W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ray~is_1]
   UNSPLITVOC:	(ray~is)
          POS:	NOUN
          VOC:	ray~is
        GLOSS:	captain/chief/boss

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W19
      OFFSETS:	91-92
       TOKENS:	P5W23-P5W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وننسى
     IS_TRANS:	wnnsY
        INDEX:	P5W20
      OFFSETS:	93-98
       TOKENS:	P5W24-P5W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nasaY_1]
   UNSPLITVOC:	(wininosaY)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+nosaY
        GLOSS:	and+we+forget

 INPUT STRING:	رغبتنا
     IS_TRANS:	rgbtnA
        INDEX:	P5W21
      OFFSETS:	99-105
       TOKENS:	P5W26-P5W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ragobap_1]
   UNSPLITVOC:	(ragobitnA)
          POS:	NOUN.VN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	ragob+ap+nA
        GLOSS:	desire/wish+[fem.sg.]+our

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P5W22
      OFFSETS:	106-108
       TOKENS:	P5W28-P5W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	محاكمته
     IS_TRANS:	mHAkmth
        INDEX:	P5W23
      OFFSETS:	109-116
       TOKENS:	P5W29-P5W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muHAkmap_1]
   UNSPLITVOC:	(muHAkmituh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	muHAkm+it+uh
        GLOSS:	trial+[fem.sg.]+his/its

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P5W24
      OFFSETS:	117-119
       TOKENS:	P5W31-P5W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	وأفراد
     IS_TRANS:	w>frAd
        INDEX:	P5W25
      OFFSETS:	120-126
       TOKENS:	P5W32-P5W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[farod_1]
   UNSPLITVOC:	(wi>aforAd)
          POS:	CONJ+NOUN
          VOC:	wi+>aforAd
        GLOSS:	and+members

 INPUT STRING:	أسرته
     IS_TRANS:	>srth
        INDEX:	P5W26
      OFFSETS:	127-132
       TOKENS:	P5W34-P5W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>usrap_1]
   UNSPLITVOC:	(>usrituh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	>usr+it+uh
        GLOSS:	family+[fem.sg.]+his/its

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W27
      OFFSETS:	133-136
       TOKENS:	P5W36-P5W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	مسؤوليتهم
     IS_TRANS:	ms&wlythm
        INDEX:	P5W28
      OFFSETS:	137-146
       TOKENS:	P5W37-P5W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maso&uwliy~ap_1]
   UNSPLITVOC:	(maso&uwliy~athim)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3P
          VOC:	maso&uwliy~+at+him
        GLOSS:	responsibility+[fem.sg.]+their

 INPUT STRING:	السياسية
     IS_TRANS:	AlsyAsyp
        INDEX:	P5W29
      OFFSETS:	147-155
       TOKENS:	P5W39-P5W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsiy_1]
   UNSPLITVOC:	(Als~iyAsiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+siyAsiy~+ap
        GLOSS:	the+political+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P5W30
      OFFSETS:	156-158
       TOKENS:	P5W40-P5W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	قتل
     IS_TRANS:	qtl
        INDEX:	P5W31
      OFFSETS:	159-162
       TOKENS:	P5W41-P5W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qatol_1]
