 INPUT STRING:	زواج
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyliy_1]
   UNSPLITVOC:	(<isorA}iyliy~At)
          POS:	ADJ+NSUFF_FEM_PL
          VOC:	<isorA}iyliy~+At
        GLOSS:	Israeli+[fem.pl.]

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P3W8
      OFFSETS:	45-46
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	1
     IS_TRANS:	1
        INDEX:	P3W9
      OFFSETS:	47-48
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(1)
          POS:	NOUN_NUM
          VOC:	1
        GLOSS:	1

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P3W10
      OFFSETS:	48-49
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	الزواج
     IS_TRANS:	AlzwAj
        INDEX:	P3W11
      OFFSETS:	49-55
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zawAj_1]
   UNSPLITVOC:	(Alz~awAj)
          POS:	DET+NOUN
          VOC:	Al+zawAj
        GLOSS:	the+marriage/wedding

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W12
      OFFSETS:	56-58
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الإسرائيليات
     IS_TRANS:	Al<srA}ylyAt
        INDEX:	P3W13
      OFFSETS:	59-71
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyliy_1]
   UNSPLITVOC:	(Al<isorA}iyliy~At)
          POS:	DET+ADJ+NSUFF_FEM_PL
          VOC:	Al+<isorA}iyliy~+At
        GLOSS:	the+Israeli+[fem.pl.]

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P3W14
      OFFSETS:	72-75
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyn_1]
   UNSPLITVOC:	(biyn)
          POS:	NOUN
          VOC:	biyn
        GLOSS:	between/among

 INPUT STRING:	الأمن
     IS_TRANS:	Al>mn
        INDEX:	P3W15
      OFFSETS:	76-81
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(Al>amon)
          POS:	DET+NOUN
          VOC:	Al+>amon
        GLOSS:	the+security/safety

 INPUT STRING:	القومي
     IS_TRANS:	Alqwmy
        INDEX:	P3W16
      OFFSETS:	82-88
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawmiy_1]
   UNSPLITVOC:	(Alqawmiy)
          POS:	DET+ADJ
          VOC:	Al+qawmiy
        GLOSS:	the+national/state

 INPUT STRING:	وحقوق
     IS_TRANS:	wHqwq
        INDEX:	P3W17
      OFFSETS:	89-94
       TOKENS:	P3W18-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(wiHuquwq)
          POS:	CONJ+NOUN
          VOC:	wi+Huquwq
        GLOSS:	and+rights/law

 INPUT STRING:	الإنسان
     IS_TRANS:	Al<nsAn
        INDEX:	P3W18
      OFFSETS:	95-102
       TOKENS:	P3W20-P3W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inosAn_1]
   UNSPLITVOC:	(Al<inosAn)
          POS:	DET+NOUN
          VOC:	Al+<inosAn
        GLOSS:	the+human being

 INPUT STRING:	2
     IS_TRANS:	2
        INDEX:	P4W1
      OFFSETS:	0-1
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(2)
          POS:	NOUN_NUM
          VOC:	2
        GLOSS:	2

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P4W2
      OFFSETS:	1-2
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	الأسباب
     IS_TRANS:	Al>sbAb
        INDEX:	P4W3
      OFFSETS:	2-9
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(Al>asobAb)
          POS:	DET+NOUN
          VOC:	Al+>asobAb
        GLOSS:	the+reasons/causes/circumstances

 INPUT STRING:	الاقتصادية
     IS_TRANS:	AlAqtSAdyp
        INDEX:	P4W4
      OFFSETS:	10-20
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiqotiSAdiy_1]
   UNSPLITVOC:	(AlAiqotiSAdiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+AiqotiSAdiy~+ap
        GLOSS:	the+economic/economical+[fem.sg.]

 INPUT STRING:	لسفر
     IS_TRANS:	lsfr
        INDEX:	P4W5
      OFFSETS:	21-25
       TOKENS:	P4W5-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[safar_1]
   UNSPLITVOC:	(lisafar)
          POS:	PREP+NOUN
          VOC:	li+safar
        GLOSS:	for/to+travel/trip

 INPUT STRING:	المصريين
     IS_TRANS:	AlmSryyn
        INDEX:	P4W6
      OFFSETS:	26-34
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AlmSryyn)
          POS:	NO_FUNC
          VOC:	AlmSryyn
        GLOSS:	nogloss

 INPUT STRING:	لإسرائيل
     IS_TRANS:	l<srA}yl
        INDEX:	P4W7
      OFFSETS:	35-43
       TOKENS:	P4W8-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyl_1]
   UNSPLITVOC:	(li<isorA}iyl)
          POS:	PREP+NOUN_PROP
          VOC:	li+<isorA}iyl
        GLOSS:	for/to+Israel

 INPUT STRING:	واعرض
     IS_TRANS:	wAErD
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaraD_1]
   UNSPLITVOC:	(wiAaEoriD)
          POS:	CONJ+IV1S+IV
          VOC:	wi+Aa+EoriD
        GLOSS:	and+I+exhibit/present/review/inspect

 INPUT STRING:	لكم
     IS_TRANS:	lkm
        INDEX:	P5W2
      OFFSETS:	6-9
       TOKENS:	P5W3-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lukum)
          POS:	PREP+PRON_2P
          VOC:	li+kum
        GLOSS:	for/to+you [pl.]

 INPUT STRING:	جمل
     IS_TRANS:	jml
        INDEX:	P5W3
      OFFSETS:	10-13
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumolap_1]
   UNSPLITVOC:	(jumal)
          POS:	NOUN
          VOC:	jumal
        GLOSS:	sentences/clauses

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W4
      OFFSETS:	14-16
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	برنامج
     IS_TRANS:	brnAmj
        INDEX:	P5W5
      OFFSETS:	17-23
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baronAmij_1]
   UNSPLITVOC:	(baronAmij)
          POS:	NOUN
          VOC:	baronAmij
        GLOSS:	program

 INPUT STRING:	سري
     IS_TRANS:	sry
        INDEX:	P5W6
      OFFSETS:	24-27
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sir~iy_2]
   UNSPLITVOC:	(sir~iy)
          POS:	NOUN_PROP
          VOC:	sir~iy
        GLOSS:	Sery

 INPUT STRING:	للغايه
     IS_TRANS:	llgAyh
        INDEX:	P5W7
      OFFSETS:	28-34
       TOKENS:	P5W9-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gAyap_3]
   UNSPLITVOC:	(liAlgAyap)
          POS:	PREP+DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	li+Al+gAy+ap
        GLOSS:	to/for+the+Ghaya+[fem.sg.]

 INPUT STRING:	الذي
     IS_TRANS:	Al*y
        INDEX:	P5W8
      OFFSETS:	35-39
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom [masc.sg.]

 INPUT STRING:	يعرض
     IS_TRANS:	yErD
        INDEX:	P5W9
      OFFSETS:	40-44
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EaraD_1]
   UNSPLITVOC:	(yaEriD)
          POS:	IV3MS+IV
          VOC:	ya+EriD
        GLOSS:	he/it+exhibit/present/review/inspect

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P5W10
      OFFSETS:	45-48
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this [masc.sg.]

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P5W11
      OFFSETS:	49-56
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	بشكل
     IS_TRANS:	b$kl
        INDEX:	P5W12
      OFFSETS:	57-61
       TOKENS:	P5W15-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	(bi$akol)
          POS:	PREP+NOUN
          VOC:	bi+$akol
        GLOSS:	with/by+manner/form/configuration

 INPUT STRING:	تفصيلي
     IS_TRANS:	tfSyly
        INDEX:	P5W13
      OFFSETS:	62-68
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tafoSiyliy_1]
   UNSPLITVOC:	(tafoSiyliy)
          POS:	ADJ
          VOC:	tafoSiyliy
        GLOSS:	detailed/minute

 INPUT STRING:	يسري
     IS_TRANS:	ysry
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yusoriy_1]
   UNSPLITVOC:	(yusoriy)
          POS:	NOUN_PROP
          VOC:	yusoriy
        GLOSS:	Yusri/Yosri

 INPUT STRING:	فوده
     IS_TRANS:	fwdh
        INDEX:	P6W2
      OFFSETS:	5-9
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fuwdap_1]
   UNSPLITVOC:	(fuwdap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	fuwd+ap
        GLOSS:	Foda+[fem.sg.]

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P6W3
      OFFSETS:	9-10
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	بينما
     IS_TRANS:	bynmA
        INDEX:	P6W4
      OFFSETS:	11-16
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(bynmA)
          POS:	NO_FUNC
          VOC:	bynmA
        GLOSS:	nogloss

 INPUT STRING:	كنا
     IS_TRANS:	knA
        INDEX:	P6W5
      OFFSETS:	17-20
       TOKENS:	P6W5-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunnA)
          POS:	PV+PRON_1P
          VOC:	kun+nA
        GLOSS:	be/was/were+we [verb]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P6W6
      OFFSETS:	21-23
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	انتظار
     IS_TRANS:	AntZAr
        INDEX:	P6W7
      OFFSETS:	24-30
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotiZAr_1]
   UNSPLITVOC:	(AinotiZAr)
          POS:	NOUN
          VOC:	AinotiZAr
        GLOSS:	waiting/anticipating

 INPUT STRING:	المصري
     IS_TRANS:	AlmSry
        INDEX:	P6W8
      OFFSETS:	31-37
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+Egyptian

 INPUT STRING:	والد
     IS_TRANS:	wAld
        INDEX:	P6W9
      OFFSETS:	38-42
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAlid_1]
   UNSPLITVOC:	(wAlid)
          POS:	NOUN
          VOC:	wAlid
        GLOSS:	father

 INPUT STRING:	الطفلة
     IS_TRANS:	AlTflp
        INDEX:	P6W10
      OFFSETS:	43-49
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tifolap_1]
   UNSPLITVOC:	(AlT~ifolap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Tifol+ap
        GLOSS:	the+child/girl+[fem.sg.]

 INPUT STRING:	الإسرائيلية
     IS_TRANS:	Al<srA}ylyp
        INDEX:	P6W11
      OFFSETS:	50-61
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyliy_1]
   UNSPLITVOC:	(Al<isorA}iyliy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+<isorA}iyliy~+ap
        GLOSS:	the+Israeli+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P6W12
      OFFSETS:	61-62
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P6W13
      OFFSETS:	63-66
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I [verb]

 INPUT STRING:	موزعاً
     IS_TRANS:	mwzEAF
        INDEX:	P6W14
      OFFSETS:	67-73
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muwaz~aE]
   UNSPLITVOC:	(muwaz~aE)
          POS:	ADJ
          VOC:	muwaz~aE
        GLOSS:	distributed/scattered

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P6W15
      OFFSETS:	74-77
       TOKENS:	P6W16-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyn_1]
   UNSPLITVOC:	(biyn)
          POS:	NOUN
          VOC:	biyn
        GLOSS:	between/among

 INPUT STRING:	كوني
     IS_TRANS:	kwny
        INDEX:	P6W16
      OFFSETS:	78-82
       TOKENS:	P6W17-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kawn_1]
   UNSPLITVOC:	(kawniy)
          POS:	NOUN.VN+POSS_PRON_1S
          VOC:	kawn+iy
        GLOSS:	being+my

 INPUT STRING:	عربياً
     IS_TRANS:	ErbyAF
        INDEX:	P6W17
      OFFSETS:	83-89
       TOKENS:	P6W19-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Earabiy_1]
   UNSPLITVOC:	(Earabiy)
          POS:	ADJ
          VOC:	Earabiy
        GLOSS:	Arab/Arabic

 INPUT STRING:	وكوني
     IS_TRANS:	wkwny
        INDEX:	P6W18
      OFFSETS:	90-95
       TOKENS:	P6W20-P6W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kawn_1]
   UNSPLITVOC:	(wikawniy)
          POS:	CONJ+NOUN.VN+POSS_PRON_1S
          VOC:	wi+kawn+iy
        GLOSS:	and+being+my

 INPUT STRING:	إنساناً
     IS_TRANS:	<nsAnAF
        INDEX:	P6W19
      OFFSETS:	96-103
