 INPUT STRING:	في
   UNSPLITVOC:	(Aiqora>)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	Aiqora>+(null)
        GLOSS:	read/be read+you

 INPUT STRING:	عناوين
     IS_TRANS:	EnAwyn
        INDEX:	P1W9
      OFFSETS:	25-31
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EinowAn_1]
   UNSPLITVOC:	(EanAwiyn)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	EanAw+iyn
        GLOSS:	headline/title+two

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P1W10
      OFFSETS:	32-35
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(h`*ihi)
          POS:	DEM_PRON_FS
          VOC:	h`*ihi
        GLOSS:	this [masc.sg.]/this/these/these two [masc.du.]/these two [fem.du.]

 INPUT STRING:	الأخبار
     IS_TRANS:	Al>xbAr
        INDEX:	P1W11
      OFFSETS:	36-43
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(AlAxobAr)
          POS:	DET+NOUN
          VOC:	Al+AxobAr
        GLOSS:	the+news/report/reports

 INPUT STRING:	لتعرف
     IS_TRANS:	ltErf
        INDEX:	P1W12
      OFFSETS:	44-49
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ltErf)
          POS:	NO_FUNC
          VOC:	ltErf
        GLOSS:	nogloss

 INPUT STRING:	حقا
     IS_TRANS:	HqA
        INDEX:	P1W13
      OFFSETS:	50-53
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Haq~+AF
        GLOSS:	truth/right/against/towards/rights/law+[acc.indef.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W14
      OFFSETS:	54-56
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P1W15
      OFFSETS:	57-59
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	عميل
     IS_TRANS:	Emyl
        INDEX:	P1W16
      OFFSETS:	61-65
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eamiyl_1]
   UNSPLITVOC:	(Eamiyl)
          POS:	ADJ
          VOC:	Eamiyl
        GLOSS:	agent/agents

 INPUT STRING:	الأمريكان
     IS_TRANS:	Al>mrykAn
        INDEX:	P1W17
      OFFSETS:	66-75
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykiy_1]
   UNSPLITVOC:	(Al>amoriykAn)
          POS:	DET+ADJ
          VOC:	Al+>amoriykAn
        GLOSS:	the+American

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P2W1
      OFFSETS:	0-1
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P2W2
      OFFSETS:	1-2
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	المشير
     IS_TRANS:	Alm$yr
        INDEX:	P2W3
      OFFSETS:	3-9
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$iyr_1]
   UNSPLITVOC:	(Almu$iyr)
          POS:	DET+NOUN
          VOC:	Al+mu$iyr
        GLOSS:	the+field marshal/general

 INPUT STRING:	يلتقي
     IS_TRANS:	yltqy
        INDEX:	P2W4
      OFFSETS:	10-15
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iltaqaY_1]
   UNSPLITVOC:	(yiltiqiy)
          POS:	IV3MS+IV
          VOC:	yi+ltiqiy
        GLOSS:	he/it+meet/encounter

 INPUT STRING:	رئيس
     IS_TRANS:	r}ys
        INDEX:	P2W5
      OFFSETS:	16-20
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iys)
          POS:	NOUN
          VOC:	ra}iys
        GLOSS:	president/head/chairman

 INPUT STRING:	هيئة
     IS_TRANS:	hy}p
        INDEX:	P2W6
      OFFSETS:	21-25
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hay}ap_1]
   UNSPLITVOC:	(hay}ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	hay}+ap
        GLOSS:	organization/agency/organizations/agencies+[fem.sg.]

 INPUT STRING:	الأركان
     IS_TRANS:	Al>rkAn
        INDEX:	P2W7
      OFFSETS:	26-33
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rukon_1]
   UNSPLITVOC:	(Al>arokAn)
          POS:	DET+NOUN
          VOC:	Al+>arokAn
        GLOSS:	the+general staff

 INPUT STRING:	الأمريكية
     IS_TRANS:	Al>mrykyp
        INDEX:	P2W8
      OFFSETS:	34-43
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykiy_1]
   UNSPLITVOC:	(Al>amoriykiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+>amoriykiy~+ap
        GLOSS:	the+American+[fem.sg.]

 INPUT STRING:	للتباحث
     IS_TRANS:	lltbAHv
        INDEX:	P2W9
      OFFSETS:	44-51
       TOKENS:	P2W9-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tabAHuv_1]
   UNSPLITVOC:	(lilt~abAHuv)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+tabAHuv
        GLOSS:	to/for+the+conferring/discussing

 INPUT STRING:	بشان
     IS_TRANS:	b$An
        INDEX:	P2W10
      OFFSETS:	52-56
       TOKENS:	P2W11-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(bi$a>on)
          POS:	PREP+NOUN
          VOC:	bi+$a>on
        GLOSS:	with/by+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	قضية
     IS_TRANS:	qDyp
        INDEX:	P2W11
      OFFSETS:	57-61
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDiy~ap_1]
   UNSPLITVOC:	(qaDiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qaDiy~+ap
        GLOSS:	problem/issue/problems/issues/lawsuit/legal case/lawsuits/legal cases+[fem.sg.]

 INPUT STRING:	المنظمات
     IS_TRANS:	AlmnZmAt
        INDEX:	P2W12
      OFFSETS:	62-70
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munaZ~amap_1]
   UNSPLITVOC:	(AlmunaZ~amAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+munaZ~am+At
        GLOSS:	the+organization/organizations+[fem.pl.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W13
      OFFSETS:	70-71
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P3W1
      OFFSETS:	0-1
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P3W2
      OFFSETS:	1-2
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	حوار
     IS_TRANS:	HwAr
        INDEX:	P3W3
      OFFSETS:	3-7
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HiwAr_1]
   UNSPLITVOC:	(HiwAr)
          POS:	NOUN
          VOC:	HiwAr
        GLOSS:	conversation/dialogue/discussion/discussions/talks

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P3W4
      OFFSETS:	8-11
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyn_1]
   UNSPLITVOC:	(biyn)
          POS:	NOUN
          VOC:	biyn
        GLOSS:	between/betwen/among

 INPUT STRING:	واشنطن
     IS_TRANS:	wA$nTn
        INDEX:	P3W5
      OFFSETS:	12-18
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wA$inoTun_1]
   UNSPLITVOC:	(wA$inoTun)
          POS:	NOUN_PROP
          VOC:	wA$inoTun
        GLOSS:	Washington

 INPUT STRING:	والقاهرة
     IS_TRANS:	wAlqAhrp
        INDEX:	P3W6
      OFFSETS:	19-27
       TOKENS:	P3W6-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAhirap_1]
   UNSPLITVOC:	(wiAlqAhirap)
          POS:	CONJ+DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	wi+Al+qAhir+ap
        GLOSS:	and+the+Cairo+[fem.sg.]

 INPUT STRING:	لتسوية
     IS_TRANS:	ltswyp
        INDEX:	P3W7
      OFFSETS:	28-34
       TOKENS:	P3W8-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tasowiyap_1]
   UNSPLITVOC:	(litasowiyap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+tasowiy+ap
        GLOSS:	for/to+settlement/solution/adjustments+[fem.sg.]

 INPUT STRING:	قضية
     IS_TRANS:	qDyp
        INDEX:	P3W8
      OFFSETS:	35-39
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDiy~ap_1]
   UNSPLITVOC:	(qaDiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qaDiy~+ap
        GLOSS:	problem/issue/problems/issues/lawsuit/legal case/lawsuits/legal cases+[fem.sg.]

 INPUT STRING:	المنظمات
     IS_TRANS:	AlmnZmAt
        INDEX:	P3W9
      OFFSETS:	40-48
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munaZ~amap_1]
   UNSPLITVOC:	(AlmunaZ~amAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+munaZ~am+At
        GLOSS:	the+organization/organizations+[fem.pl.]

 INPUT STRING:	الأهلية
     IS_TRANS:	Al>hlyp
        INDEX:	P3W10
      OFFSETS:	49-56
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aholiy_1]
   UNSPLITVOC:	(Al>aholiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+>aholiy~+ap
        GLOSS:	the+civil/domestic/family+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W11
      OFFSETS:	57-59
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	أسرع
     IS_TRANS:	>srE
        INDEX:	P3W12
      OFFSETS:	60-64
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asoraE_1]
   UNSPLITVOC:	(>asoraE)
          POS:	ADJ_COMP
          VOC:	>asoraE
        GLOSS:	faster/fastest

 INPUT STRING:	وقت
     IS_TRANS:	wqt
        INDEX:	P3W13
      OFFSETS:	65-68
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqot)
          POS:	NOUN
          VOC:	waqot
        GLOSS:	time/moment/period of time/moments/times

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W14
      OFFSETS:	68-69
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P4W1
      OFFSETS:	0-1
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P4W2
      OFFSETS:	1-2
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	كلينتون
     IS_TRANS:	klyntwn
        INDEX:	P4W3
      OFFSETS:	3-10
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kliynotuwn_1]
   UNSPLITVOC:	(kliynotuwn)
          POS:	NOUN_PROP
          VOC:	kliynotuwn
        GLOSS:	Clinton

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P4W4
      OFFSETS:	10-11
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	نأمل
     IS_TRANS:	n>ml
        INDEX:	P4W5
      OFFSETS:	12-16
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amal_1]
   UNSPLITVOC:	(ni>omal)
          POS:	IV1P+IV
          VOC:	ni+>omal
        GLOSS:	we+hope for/wish for

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P4W6
      OFFSETS:	17-19
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(>an~)
          POS:	SUB_CONJ
          VOC:	>an~
        GLOSS:	that

 INPUT STRING:	نرى
     IS_TRANS:	nrY
        INDEX:	P4W7
      OFFSETS:	20-23
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ra>aY_1]
   UNSPLITVOC:	(naraY)
          POS:	IV1P+IV
          VOC:	na+raY
        GLOSS:	we+see

 INPUT STRING:	حلا
     IS_TRANS:	HlA
        INDEX:	P4W8
      OFFSETS:	24-27
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hal_1]
   UNSPLITVOC:	(HalAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Hal+AF
        GLOSS:	solution+[acc.indef.]

 INPUT STRING:	قريبا
     IS_TRANS:	qrybA
        INDEX:	P4W9
      OFFSETS:	28-33
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qariyb_1]
   UNSPLITVOC:	(qariybAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	qariyb+AF
        GLOSS:	near/close/recent/soon/recently/closely+[acc.indef.]

 INPUT STRING:	للخلاف
     IS_TRANS:	llxlAf
        INDEX:	P4W10
      OFFSETS:	34-40
       TOKENS:	P4W10-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xilAf_1]
   UNSPLITVOC:	(lilxilAf)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+xilAf
        GLOSS:	for/to+the+dispute/controversy/conflict/disputes/controversies/conflicts/(in) contrast (with)/unlike

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P4W11
      OFFSETS:	41-43
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	something with/together

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P4W12
      OFFSETS:	44-47
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	حول
     IS_TRANS:	Hwl
        INDEX:	P4W13
      OFFSETS:	48-51
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hawl_1]
   UNSPLITVOC:	(Hawl)
          POS:	NOUN
          VOC:	Hawl
        GLOSS:	about/around/concerning/power

 INPUT STRING:	المنظمات
     IS_TRANS:	AlmnZmAt
        INDEX:	P4W14
      OFFSETS:	52-60
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munaZ~amap_1]
   UNSPLITVOC:	(AlmunaZ~amAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+munaZ~am+At
        GLOSS:	the+organization/organizations+[fem.pl.]

 INPUT STRING:	الأهلية
     IS_TRANS:	Al>hlyp
        INDEX:	P4W15
      OFFSETS:	61-68
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aholiy_1]
   UNSPLITVOC:	(Al>aholiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+>aholiy~+ap
        GLOSS:	the+civil/domestic/family+[fem.sg.]

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P5W1
      OFFSETS:	0-1
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P5W2
      OFFSETS:	1-2
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	واشنطن
     IS_TRANS:	wA$nTn
        INDEX:	P5W3
      OFFSETS:	3-9
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wA$inoTun_1]
   UNSPLITVOC:	(wA$inoTun)
          POS:	NOUN_PROP
          VOC:	wA$inoTun
        GLOSS:	Washington

 INPUT STRING:	تجدد
     IS_TRANS:	tjdd
        INDEX:	P5W4
      OFFSETS:	10-14
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~id_1]
   UNSPLITVOC:	(tijad~id)
          POS:	IV3FS+IV
          VOC:	ti+jad~id
        GLOSS:	it/they/she+renew

 INPUT STRING:	مطالبتها
     IS_TRANS:	mTAlbthA
        INDEX:	P5W5
      OFFSETS:	15-23
       TOKENS:	P5W5-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muTAlbap_1]
   UNSPLITVOC:	(muTAlbithA)
          POS:	NOUN.VN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	muTAlb+ap+hA
        GLOSS:	claimant+[fem.sg.]+its/their/her

 INPUT STRING:	برفع
     IS_TRANS:	brfE
        INDEX:	P5W6
      OFFSETS:	24-28
       TOKENS:	P5W7-P5W8
