 INPUT STRING:	وانا
 INPUT STRING:	الرقيقة
     IS_TRANS:	Alrqyqp
        INDEX:	P1W11
      OFFSETS:	57-64
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raqiyq_1]
   UNSPLITVOC:	(Alr~aqiyqap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+raqiyq+ap
        GLOSS:	the+gentle/delicate/slender+[fem.sg.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P1W12
      OFFSETS:	65-69
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	بتبقى
     IS_TRANS:	btbqY
        INDEX:	P1W13
      OFFSETS:	70-75
       TOKENS:	P1W15-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(bitiboqaY)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+boqaY
        GLOSS:	[present-tense]+it/they/she+be/become/remain

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P1W14
      OFFSETS:	76-79
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyn_1]
   UNSPLITVOC:	(biyn)
          POS:	NOUN
          VOC:	biyn
        GLOSS:	between/betwen/among

 INPUT STRING:	السوستة
     IS_TRANS:	Alswstp
        INDEX:	P1W15
      OFFSETS:	80-87
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suwstap_1]
   UNSPLITVOC:	(Als~uwstap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+suwst+ap
        GLOSS:	the+zipper+[fem.sg.]

 INPUT STRING:	وطبق
     IS_TRANS:	wTbq
        INDEX:	P1W16
      OFFSETS:	88-92
       TOKENS:	P1W19-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tabaq_1]
   UNSPLITVOC:	(wiTabaq)
          POS:	CONJ+NOUN
          VOC:	wi+Tabaq
        GLOSS:	and+dish/course/meal/dishes/saucers

 INPUT STRING:	المساعد
     IS_TRANS:	AlmsAEd
        INDEX:	P1W17
      OFFSETS:	93-100
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musAEid_1]
   UNSPLITVOC:	(AlmusAEid)
          POS:	DET+NOUN
          VOC:	Al+musAEid
        GLOSS:	the+assistant/supporter/warrant officer/master sergeant

 INPUT STRING:	فهل
     IS_TRANS:	fhl
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(fahal)
          POS:	CONJ+INTERROG_PART
          VOC:	fa+hal
        GLOSS:	so/and+do?/is?

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P2W2
      OFFSETS:	4-6
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON
          VOC:	diy
        GLOSS:	these/this

 INPUT STRING:	تسبب
     IS_TRANS:	tsbb
        INDEX:	P2W3
      OFFSETS:	7-11
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sab~ib_1]
   UNSPLITVOC:	(tisab~ib)
          POS:	IV3FS+IV
          VOC:	ti+sab~ib
        GLOSS:	it/they/she+produce/provoke/cause

 INPUT STRING:	احساس
     IS_TRANS:	AHsAs
        INDEX:	P2W4
      OFFSETS:	12-17
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iHosAs_1]
   UNSPLITVOC:	(<iHosAs)
          POS:	NOUN
          VOC:	<iHosAs
        GLOSS:	feeling/sensitivity/feelings/sensitivities

 INPUT STRING:	بالخشونة
     IS_TRANS:	bAlx$wnp
        INDEX:	P2W5
      OFFSETS:	18-26
       TOKENS:	P2W6-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xu$uwnap_1]
   UNSPLITVOC:	(biAlxu$uwnap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+xu$uwn+ap
        GLOSS:	with/by+the+roughness/rudeness+[fem.sg.]

 INPUT STRING:	اثناء
     IS_TRANS:	AvnA'
        INDEX:	P2W6
      OFFSETS:	27-32
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>avonA'_1]
   UNSPLITVOC:	(>avonA')
          POS:	NOUN
          VOC:	>avonA'
        GLOSS:	meantime/meanwhile/during

 INPUT STRING:	السير
     IS_TRANS:	Alsyr
        INDEX:	P2W7
      OFFSETS:	33-38
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sayr_1]
   UNSPLITVOC:	(Als~ayr)
          POS:	DET+NOUN
          VOC:	Al+sayr
        GLOSS:	the+course/motion/march/drive belt/drive belts

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W8
      OFFSETS:	39-42
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اسفلت
     IS_TRANS:	Asflt
        INDEX:	P2W9
      OFFSETS:	43-48
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asofalot_1]
   UNSPLITVOC:	(>asofalot)
          POS:	NOUN
          VOC:	>asofalot
        GLOSS:	asphalt

 INPUT STRING:	خشن
     IS_TRANS:	x$n
        INDEX:	P2W10
      OFFSETS:	49-52
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xi$in_1]
   UNSPLITVOC:	(xi$in)
          POS:	ADJ
          VOC:	xi$in
        GLOSS:	rough/crude

 INPUT STRING:	بالنسبة
     IS_TRANS:	bAlnsbp
        INDEX:	P3W1
      OFFSETS:	0-7
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisobap_1]
   UNSPLITVOC:	(biAln~isobap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+nisob+ap
        GLOSS:	with/by+the+ratio/rate/percentage figure/ratios/rates/percentage figures/link/relation (concerning+[fem.sg.]

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P3W2
      OFFSETS:	8-11
       TOKENS:	P3W3-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+it/he

 INPUT STRING:	السوسته
     IS_TRANS:	Alswsth
        INDEX:	P3W3
      OFFSETS:	12-19
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suwstap_1]
   UNSPLITVOC:	(Als~uwstap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+suwst+ap
        GLOSS:	the+zipper+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P3W4
      OFFSETS:	20-23
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الطبق
     IS_TRANS:	AlTbq
        INDEX:	P3W5
      OFFSETS:	24-29
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tabaq_1]
   UNSPLITVOC:	(AlT~abaq)
          POS:	DET+NOUN
          VOC:	Al+Tabaq
        GLOSS:	the+dish/course/meal/dishes/saucers

 INPUT STRING:	بدون
     IS_TRANS:	bdwn
        INDEX:	P3W6
      OFFSETS:	30-34
       TOKENS:	P3W8-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(biduwn)
          POS:	PREP+NOUN
          VOC:	bi+duwn
        GLOSS:	with/by+without/beneath/underneath/inferior/poor/which

 INPUT STRING:	كوتشته
     IS_TRANS:	kwt$th
        INDEX:	P3W7
      OFFSETS:	35-41
       TOKENS:	P3W10-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kawito$_1]
   UNSPLITVOC:	(kawito$ituh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	kawito$+ap+uh
        GLOSS:	rubber+[fem.sg.]+his/its

 INPUT STRING:	بمعنى
     IS_TRANS:	bmEnY
        INDEX:	P3W8
      OFFSETS:	42-47
       TOKENS:	P3W12-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEonaY_1]
   UNSPLITVOC:	(bimaEonaY)
          POS:	PREP+NOUN
          VOC:	bi+maEonaY
        GLOSS:	with/by+meaning/sense/meanings/senses/concepts/nuances

 INPUT STRING:	حديد
     IS_TRANS:	Hdyd
        INDEX:	P3W9
      OFFSETS:	48-52
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadiyd_1]
   UNSPLITVOC:	(Hadiyd)
          POS:	NOUN
          VOC:	Hadiyd
        GLOSS:	iron

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P3W10
      OFFSETS:	53-56
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	حديد
     IS_TRANS:	Hdyd
        INDEX:	P3W11
      OFFSETS:	57-61
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadiyd_1]
   UNSPLITVOC:	(Hadiyd)
          POS:	NOUN
          VOC:	Hadiyd
        GLOSS:	iron

 INPUT STRING:	والا
     IS_TRANS:	wAlA
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(wi<il~A)
          POS:	CONJ+RESTRIC_PART
          VOC:	wi+<il~A
        GLOSS:	and+except for

 INPUT STRING:	تكون
     IS_TRANS:	tkwn
        INDEX:	P4W2
      OFFSETS:	5-9
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwn)
          POS:	IV3FS+IV
          VOC:	ti+kuwn
        GLOSS:	it/they/she+be/was/were

 INPUT STRING:	العلاية
     IS_TRANS:	AlElAyp
        INDEX:	P4W3
      OFFSETS:	10-17
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EalAyap_1]
   UNSPLITVOC:	(AlEalAyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+EalAy+ap
        GLOSS:	the+loftiness/height+[fem.sg.]

 INPUT STRING:	ازيد
     IS_TRANS:	Azyd
        INDEX:	P4W4
      OFFSETS:	18-22
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>azoyad_1]
   UNSPLITVOC:	(>azoyad)
          POS:	ADJ_COMP
          VOC:	>azoyad
        GLOSS:	higher/highest/greater/greatest

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W5
      OFFSETS:	23-25
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اللازم
     IS_TRANS:	AllAzm
        INDEX:	P4W6
      OFFSETS:	26-32
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(All~Azim)
          POS:	DET+ADJ
          VOC:	Al+lAzim
        GLOSS:	the+necessary/required/needed

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+situation/case/importance/affairs/affair/that/because/matters

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P5W2
      OFFSETS:	6-9
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/like/something like/such/like that/that way/that

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P5W3
      OFFSETS:	10-14
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	NOUN
          VOC:	mumokin
        GLOSS:	possibilities

 INPUT STRING:	تعمل
     IS_TRANS:	tEml
        INDEX:	P5W4
      OFFSETS:	15-19
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(tiEomil)
          POS:	IV3FS+IV
          VOC:	ti+Eomil
        GLOSS:	it/they/she+function/make/act/do

 INPUT STRING:	احساس
     IS_TRANS:	AHsAs
        INDEX:	P5W5
      OFFSETS:	20-25
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iHosAs_1]
   UNSPLITVOC:	(<iHosAs)
          POS:	NOUN
          VOC:	<iHosAs
        GLOSS:	feeling/sensitivity/feelings/sensitivities

 INPUT STRING:	الخشونة
     IS_TRANS:	Alx$wnp
        INDEX:	P5W6
      OFFSETS:	26-33
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xu$uwnap_1]
   UNSPLITVOC:	(Alxu$uwnap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+xu$uwn+ap
        GLOSS:	the+roughness/rudeness+[fem.sg.]

 INPUT STRING:	اكيد
     IS_TRANS:	Akyd
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	ADJ
          VOC:	>akiyd
        GLOSS:	certain/definite/certainly/surely/definitely

 INPUT STRING:	حديد
     IS_TRANS:	Hdyd
        INDEX:	P6W2
      OFFSETS:	5-9
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadiyd_1]
   UNSPLITVOC:	(Hadiyd)
          POS:	NOUN
          VOC:	Hadiyd
        GLOSS:	iron

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P6W3
      OFFSETS:	10-13
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	حديد
     IS_TRANS:	Hdyd
        INDEX:	P6W4
      OFFSETS:	14-18
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadiyd_1]
   UNSPLITVOC:	(Hadiyd)
          POS:	NOUN
          VOC:	Hadiyd
        GLOSS:	iron

 INPUT STRING:	هيسبب
     IS_TRANS:	hysbb
        INDEX:	P6W5
      OFFSETS:	19-24
       TOKENS:	P6W5-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sab~ib_1]
   UNSPLITVOC:	(Hayisab~ib)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+sab~ib
        GLOSS:	will+he/it+produce/provoke/cause

 INPUT STRING:	خشونة
     IS_TRANS:	x$wnp
        INDEX:	P6W6
      OFFSETS:	25-30
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xu$uwnap_1]
   UNSPLITVOC:	(xu$uwnap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	xu$uwn+ap
        GLOSS:	roughness/rudeness+[fem.sg.]

 INPUT STRING:	اساس
     IS_TRANS:	AsAs
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asAs_1]
   UNSPLITVOC:	(>asAs)
          POS:	NOUN
          VOC:	>asAs
        GLOSS:	foundation/basis/foundations/bases/primarily/basically

 INPUT STRING:	بالخشونه
     IS_TRANS:	bAlx$wnh
        INDEX:	P7W2
      OFFSETS:	5-13
       TOKENS:	P7W2-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xu$uwnap_1]
   UNSPLITVOC:	(biAlxu$uwnap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+xu$uwn+ap
        GLOSS:	with/by+the+roughness/rudeness+[fem.sg.]

 INPUT STRING:	سببها
     IS_TRANS:	sbbhA
        INDEX:	P7W3
      OFFSETS:	14-19
       TOKENS:	P7W4-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(sababhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	sabab+hA
        GLOSS:	reason/cause/because of/due to/reasons/causes/circumstances+its/their/her

 INPUT STRING:	المسعدين
     IS_TRANS:	AlmsEdyn
        INDEX:	P7W4
      OFFSETS:	20-28
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlmsEdyn)
          POS:	TYPO
          VOC:	AlmsEdyn
        GLOSS:	nogloss

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P7W5
      OFFSETS:	30-32
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	ظغط
     IS_TRANS:	ZgT
        INDEX:	P7W6
      OFFSETS:	33-36
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(ZgT)
          POS:	TYPO
          VOC:	ZgT
        GLOSS:	nogloss

 INPUT STRING:	العجل
     IS_TRANS:	AlEjl
        INDEX:	P7W7
      OFFSETS:	37-42
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eajalap_1]
