 INPUT STRING:	اقتل
          VOC:	yuwm+ayn
        GLOSS:	today/some day/ever/days+two

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P1W6
      OFFSETS:	29-31
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	مر
     IS_TRANS:	mr
        INDEX:	P2W1
      OFFSETS:	1-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~_1]
   UNSPLITVOC:	(mar~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	mar~+(null)
        GLOSS:	pass/go through+he/it[verb]

 INPUT STRING:	اكثر
     IS_TRANS:	Akvr
        INDEX:	P2W2
      OFFSETS:	4-8
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akovar_2]
   UNSPLITVOC:	(>akovar)
          POS:	ADJ_COMP
          VOC:	>akovar
        GLOSS:	more, most, majority

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W3
      OFFSETS:	9-11
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	عامين
     IS_TRANS:	EAmyn
        INDEX:	P2W4
      OFFSETS:	12-17
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(EAmiyn)
          POS:	NOUN+NSUFF_MASC_DU
          VOC:	EAm+iyn
        GLOSS:	year+two

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W5
      OFFSETS:	18-21
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	غرق
     IS_TRANS:	grq
        INDEX:	P2W6
      OFFSETS:	22-25
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[garaq_1]
   UNSPLITVOC:	(garaq)
          POS:	NOUN
          VOC:	garaq
        GLOSS:	drowning/sinking/inundation

 INPUT STRING:	العبارة
     IS_TRANS:	AlEbArp
        INDEX:	P2W7
      OFFSETS:	26-33
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eab~Arap_1]
   UNSPLITVOC:	(AlEab~Arap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Eab~Ar+ap
        GLOSS:	the+ferry+[fem.sg.]

 INPUT STRING:	السلام
     IS_TRANS:	AlslAm
        INDEX:	P2W8
      OFFSETS:	36-42
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAm_1]
   UNSPLITVOC:	(Als~alAm)
          POS:	DET+NOUN
          VOC:	Al+salAm
        GLOSS:	the+Salam

 INPUT STRING:	98
     IS_TRANS:	98
        INDEX:	P2W9
      OFFSETS:	43-45
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(98)
          POS:	NOUN_NUM
          VOC:	98
        GLOSS:	98

 INPUT STRING:	وهروب
     IS_TRANS:	whrwb
        INDEX:	P2W10
      OFFSETS:	48-53
       TOKENS:	P2W10-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huruwb_1]
   UNSPLITVOC:	(wihuruwb)
          POS:	CONJ+NOUN
          VOC:	wi+huruwb
        GLOSS:	and+escape/fleeing

 INPUT STRING:	مالكها
     IS_TRANS:	mAlkhA
        INDEX:	P2W11
      OFFSETS:	54-60
       TOKENS:	P2W12-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAlik_1]
   UNSPLITVOC:	(mAlikhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	mAlik+hA
        GLOSS:	proprietor/holder+its/their/her

 INPUT STRING:	النائب
     IS_TRANS:	AlnA}b
        INDEX:	P2W12
      OFFSETS:	61-67
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nA}ib_1]
   UNSPLITVOC:	(Aln~A}ib)
          POS:	DET+NOUN
          VOC:	Al+nA}ib
        GLOSS:	the+deputy/delegate/vice-

 INPUT STRING:	السابق
     IS_TRANS:	AlsAbq
        INDEX:	P2W13
      OFFSETS:	68-74
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAbiq_1]
   UNSPLITVOC:	(Als~Abiq)
          POS:	DET+ADJ
          VOC:	Al+sAbiq
        GLOSS:	the+former/previous/preceding

 INPUT STRING:	ممدوح
     IS_TRANS:	mmdwH
        INDEX:	P2W14
      OFFSETS:	75-80
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mamoduwH_1]
   UNSPLITVOC:	(mamoduwH)
          POS:	NOUN_PROP
          VOC:	mamoduwH
        GLOSS:	Mamduh

 INPUT STRING:	اسماعيل
     IS_TRANS:	AsmAEyl
        INDEX:	P2W15
      OFFSETS:	81-88
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisomAEiyl_1]
   UNSPLITVOC:	(AisomAEiyl)
          POS:	NOUN_PROP
          VOC:	AisomAEiyl
        GLOSS:	Ishmael/Ismail

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P2W16
      OFFSETS:	89-92
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	لندن
     IS_TRANS:	lndn
        INDEX:	P2W17
      OFFSETS:	93-97
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lanodan_1]
   UNSPLITVOC:	(lanodan)
          POS:	NOUN_PROP
          VOC:	lanodan
        GLOSS:	London

 INPUT STRING:	تاركا
     IS_TRANS:	tArkA
        INDEX:	P2W18
      OFFSETS:	98-103
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tArik_1]
   UNSPLITVOC:	(tArikAF)
          POS:	ADJ.VN+CASE_INDEF_ACC
          VOC:	tArik+AF
        GLOSS:	leaving+[acc.indef.]

 INPUT STRING:	خلفه
     IS_TRANS:	xlfh
        INDEX:	P2W19
      OFFSETS:	104-108
       TOKENS:	P2W21-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalof_1]
   UNSPLITVOC:	(xalofuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	xalof+uh
        GLOSS:	behind/rear/back+its/his

 INPUT STRING:	اهات
     IS_TRANS:	AhAt
        INDEX:	P2W20
      OFFSETS:	109-113
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|hap_1]
   UNSPLITVOC:	(|hAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	|h+At
        GLOSS:	exclamation/sigh+[fem.pl.]

 INPUT STRING:	وصرخات
     IS_TRANS:	wSrxAt
        INDEX:	P2W21
      OFFSETS:	114-120
       TOKENS:	P2W24-P2W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Saroxap_1]
   UNSPLITVOC:	(wiSaraxAt)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+Sarax+At
        GLOSS:	and+shouts/screams+[fem.pl.]

 INPUT STRING:	انبعثت
     IS_TRANS:	AnbEvt
        INDEX:	P2W22
      OFFSETS:	121-127
       TOKENS:	P2W26-P2W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inobaEav_2]
   UNSPLITVOC:	(AinobaEavat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	{inobaEav+at
        GLOSS:	be sent out/be revived+it/they/she [verb]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W23
      OFFSETS:	128-130
       TOKENS:	P2W27-P2W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	افواه
     IS_TRANS:	AfwAh
        INDEX:	P2W24
      OFFSETS:	131-136
       TOKENS:	P2W28-P2W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fuwh_1]
   UNSPLITVOC:	(>afowAh)
          POS:	NOUN
          VOC:	>afowAh
        GLOSS:	mouths

 INPUT STRING:	الجميع
     IS_TRANS:	AljmyE
        INDEX:	P2W25
      OFFSETS:	137-143
       TOKENS:	P2W29-P2W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyE_1]
   UNSPLITVOC:	(AljamiyE)
          POS:	DET+NOUN
          VOC:	Al+jamiyE
        GLOSS:	the+all, entire, every, whole

 INPUT STRING:	مطالبه
     IS_TRANS:	mTAlbh
        INDEX:	P2W26
      OFFSETS:	144-150
       TOKENS:	P2W30-P2W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muTAlib_1]
   UNSPLITVOC:	(muTAlibap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	muTAlib+ap
        GLOSS:	demanding+[fem.sg.]

 INPUT STRING:	بالقصاص
     IS_TRANS:	bAlqSAS
        INDEX:	P2W27
      OFFSETS:	151-158
       TOKENS:	P2W31-P2W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiSAS_1]
   UNSPLITVOC:	(biAlqiSAS)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+qiSAS
        GLOSS:	with/by+the+reprisal/retaliation/punishment

 INPUT STRING:	العادل
     IS_TRANS:	AlEAdl
        INDEX:	P2W28
      OFFSETS:	159-165
       TOKENS:	P2W33-P2W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAdil_2]
   UNSPLITVOC:	(AlEAdil)
          POS:	DET+ADJ
          VOC:	Al+EAdil
        GLOSS:	the+fair/just/equitable

 INPUT STRING:	وبعد
     IS_TRANS:	wbEd
        INDEX:	P3W1
      OFFSETS:	2-6
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(wabaEod)
          POS:	PREP+NOUN
          VOC:	wa+baEod
        GLOSS:	with+after

 INPUT STRING:	مرور
     IS_TRANS:	mrwr
        INDEX:	P3W2
      OFFSETS:	7-11
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muruwr_1]
   UNSPLITVOC:	(muruwr)
          POS:	NOUN
          VOC:	muruwr
        GLOSS:	passing/crossing/traffic

 INPUT STRING:	تلك
     IS_TRANS:	tlk
        INDEX:	P3W3
      OFFSETS:	12-15
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(tlk)
          POS:	NO_FUNC
          VOC:	tlk
        GLOSS:	nogloss

 INPUT STRING:	الفترة
     IS_TRANS:	Alftrp
        INDEX:	P3W4
      OFFSETS:	16-22
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fatorap_1]
   UNSPLITVOC:	(Alfatorap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fator+ap
        GLOSS:	the+phase/time period/interval/phases/time periods/intervals+[fem.sg.]

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P3W5
      OFFSETS:	23-27
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P3W6
      OFFSETS:	28-30
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	ليست
     IS_TRANS:	lyst
        INDEX:	P3W7
      OFFSETS:	31-35
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lays_1]
   UNSPLITVOC:	(laysit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	lays+it
        GLOSS:	not be+it/they/she [verb]

 INPUT STRING:	بالكثيرة
     IS_TRANS:	bAlkvyrp
        INDEX:	P3W8
      OFFSETS:	36-44
       TOKENS:	P3W9-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaviyr_2]
   UNSPLITVOC:	(biAlkaviyrap)
          POS:	PREP+DET+ADJ+NSUFF_FEM_SG
          VOC:	bi+Al+kaviyr+ap
        GLOSS:	with/by+the+many/much/numerous+[fem.sg.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P3W9
      OFFSETS:	45-48
       TOKENS:	P3W11-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not/non-

 INPUT STRING:	القليلة
     IS_TRANS:	Alqlylp
        INDEX:	P3W10
      OFFSETS:	49-56
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaliyl_1]
   UNSPLITVOC:	(Alqaliylap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+qaliyl+ap
        GLOSS:	the+little/few/small/a little/somewhat/briefly/shortly/few/insufficient+[fem.sg.]

 INPUT STRING:	اصدر
     IS_TRANS:	ASdr
        INDEX:	P3W11
      OFFSETS:	57-61
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSodar_1]
   UNSPLITVOC:	(>aSodar)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>aSodar+(null)
        GLOSS:	issue/publish/be issued/be published+he/it

 INPUT STRING:	القضاء
     IS_TRANS:	AlqDA'
        INDEX:	P3W12
      OFFSETS:	62-68
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDA'_1]
   UNSPLITVOC:	(AlqaDA')
          POS:	DET+NOUN
          VOC:	Al+qaDA'
        GLOSS:	the+justice/judiciary

 INPUT STRING:	المصرى
     IS_TRANS:	AlmSrY
        INDEX:	P3W13
      OFFSETS:	69-75
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+Egyptian

 INPUT STRING:	حكمه
     IS_TRANS:	Hkmh
        INDEX:	P3W14
      OFFSETS:	76-80
       TOKENS:	P3W17-P3W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(Hukomuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Hukom+uh
        GLOSS:	judgment/decision/verdict/statutes/laws/judgments/decisions//verdicts+his/its

 INPUT STRING:	الغيابى
     IS_TRANS:	AlgyAbY
        INDEX:	P3W15
      OFFSETS:	81-88
       TOKENS:	P3W19-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[giyAbiy_1]
   UNSPLITVOC:	(AlgiyAbiy)
          POS:	DET+ADJ
          VOC:	Al+giyAbiy
        GLOSS:	the+absent/in absentia

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P3W16
      OFFSETS:	89-92
       TOKENS:	P3W20-P3W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	النائب
     IS_TRANS:	AlnA}b
        INDEX:	P3W17
      OFFSETS:	93-99
       TOKENS:	P3W21-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nA}ib_1]
   UNSPLITVOC:	(Aln~A}ib)
          POS:	DET+NOUN
          VOC:	Al+nA}ib
        GLOSS:	the+deputy/delegate/vice-

 INPUT STRING:	الهارب
     IS_TRANS:	AlhArb
        INDEX:	P3W18
      OFFSETS:	100-106
       TOKENS:	P3W22-P3W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hArib_1]
   UNSPLITVOC:	(AlhArib)
          POS:	DET+ADJ
          VOC:	Al+hArib
        GLOSS:	the+fugitive/runaway/deserter

 INPUT STRING:	بالسجن
     IS_TRANS:	bAlsjn
        INDEX:	P3W19
      OFFSETS:	107-113
       TOKENS:	P3W23-P3W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sajon_1]
   UNSPLITVOC:	(biAls~ajon)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+sajon
        GLOSS:	with/by+the+detention/imprisonment

 INPUT STRING:	لمده
     IS_TRANS:	lmdh
        INDEX:	P3W20
      OFFSETS:	114-118
       TOKENS:	P3W25-P3W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mud~ap_1]
   UNSPLITVOC:	(limud~ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+mud~+ap
        GLOSS:	for/to+period of time/interval+[fem.sg.]

 INPUT STRING:	سبع
     IS_TRANS:	sbE
        INDEX:	P3W21
      OFFSETS:	119-122
       TOKENS:	P3W27-P3W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabaE_1]
   UNSPLITVOC:	(sabaE)
          POS:	NOUN_NUM
          VOC:	sabaE
        GLOSS:	seven

 INPUT STRING:	سنوات
     IS_TRANS:	snwAt
        INDEX:	P3W22
      OFFSETS:	123-128
       TOKENS:	P3W28-P3W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanawAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	sanaw+At
        GLOSS:	year/years+[fem.pl.]

 INPUT STRING:	مما
     IS_TRANS:	mmA
        INDEX:	P3W23
      OFFSETS:	129-132
       TOKENS:	P3W29-P3W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mim~A_1]
   UNSPLITVOC:	(minmA)
          POS:	PREP+REL_PRON
          VOC:	min+mA
        GLOSS:	from+what/which

 INPUT STRING:	اثلج
     IS_TRANS:	Avlj
        INDEX:	P3W24
      OFFSETS:	133-137
       TOKENS:	P3W31-P3W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>avolaj_1]
   UNSPLITVOC:	(>avolaja)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>avolaj+a
        GLOSS:	snow/freeze+he/it [verb]

 INPUT STRING:	صدور
     IS_TRANS:	Sdwr
        INDEX:	P3W25
      OFFSETS:	138-142
       TOKENS:	P3W32-P3W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suduwr_1]
   UNSPLITVOC:	(Suduwr)
          POS:	NOUN
          VOC:	Suduwr
        GLOSS:	chests

 INPUT STRING:	اهالى
     IS_TRANS:	AhAlY
        INDEX:	P3W26
      OFFSETS:	143-148
       TOKENS:	P3W33-P3W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>ahAliy)
          POS:	NOUN
          VOC:	>ahAliy
        GLOSS:	families/indigenous people

 INPUT STRING:	ضحايا
     IS_TRANS:	DHAyA
        INDEX:	P3W27
      OFFSETS:	149-154
       TOKENS:	P3W34-P3W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaHiy~ap_1]
   UNSPLITVOC:	(DaHAyA)
          POS:	NOUN
          VOC:	DaHAyA
        GLOSS:	victim/victims

 INPUT STRING:	العبارة
     IS_TRANS:	AlEbArp
        INDEX:	P3W28
      OFFSETS:	155-162
       TOKENS:	P3W35-P3W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eab~Arap_1]
   UNSPLITVOC:	(AlEab~Arap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Eab~Ar+ap
        GLOSS:	the+ferry+[fem.sg.]

 INPUT STRING:	وقد
     IS_TRANS:	wqd
        INDEX:	P4W1
      OFFSETS:	1-4
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wqd)
          POS:	NO_FUNC
          VOC:	wqd
        GLOSS:	nogloss

 INPUT STRING:	تابعنا
     IS_TRANS:	tAbEnA
        INDEX:	P4W2
      OFFSETS:	5-11
       TOKENS:	P4W2-P4W2
